@to be full@|@buibaksun@
@to beat@|@dugh-sun@
@to believe@|@va'baksun, va'baksun@
@to bite@|@k:aIšpsun@
@to boil@|@b-ox-, b-ux-@
@to bring@|@ech-sun@
@to butt@|@doIq:ala-besun@
@to carry@|@portbesun@
@to come in@|@b-aj-, baiesun@
@to count@|@zoq'albesun@
@to cut@|@bost:un@
@to drink@|@ughI-sun@
@to drizzle@|@xoxo-pesun@
@to eat@|@uksun@
@to fall@|@b-it:-sun@
@to gather@|@girbesun@
@to grind@|@b-erx-sun@
@to hit@|@dughsun, t'ap'pesun@
@to hold@|@b-iq:-sun@
@to kill@|@besbesun@
@to know@|@a-ba baksun@
@to laugh@|@axshumpesun@
@to let fall@|@s-ak-sun@
@to lick@|@lam@
@to lie@|@bas-k:es@
@to look for@|@furupsun@
@to make@|@be-s, be-sun, besun@
@to measure@|@usk'esun@
@to mow@|@oca-psun@
@to put@|@l-ax-@
@to reach@|@ej-sun@
@to rise@|@aizesun@
@to run@|@t:ist:un@
@to say@|@pesun, pesun@
@to see@|@ak:-sun@
@to sew@|@eIb@
@to sleep@|@axesun@
@to stand up@|@ajze-sun@
@to suck@|@c:um@
@to take@|@aq:-sun, biq'sun@
@to think@|@fikir-besun@
@to throw@|@lap:@
@to touch@|@laft'esun@
@to want@|@b-uq:-sun, churdesun@
@to work@|@ash-besun@
@to write@|@campesun@
@tongue@|@muz@
@tooth@|@ulux@
@top@|@k:at:až@
@tortoise@|@q:oIdiI@
@tower@|@gim-gä@
@tree@|@xod, xoddu@
@tumour@|@bexI@
@twenty@|@q:a@
@two@|@p:aI@
@udder@|@xIo@
@Udi language@|@udin muz@
@under@|@oq'a@
@until@|@-ma, -min@
@vagina@|@k:ut:@
@village@|@äiz@
@vinegar@|@op'o@
@walk@|@ta-jes@
@wall-eye@|@k:o-nak@
@warm@|@küvä@
@wash the blood@|@oc'-ne-k'-sa p'i-rx-ox@
@washed@|@oc:@
@water@|@xe@
@we@|@b-eši, jan@
@weasel@|@c:iq:I@
@weed@|@il@
@weigh@|@us-k:-sun@
@what@|@e@
@wheat@|@ar-um@
@when (he does not take@|@nä-gi-n-aq'-e-i@
@which@|@he@
@while@|@-t:an, -xu-n@
@white@|@mac:i@
@who@|@šu@
@Who's there is like a mountain@|@ich bosh bu-o burux-ne@
@wind@|@muš@
@window@|@ghIul@
@wine@|@fi@
@wing@|@aIm@
@with one leg@|@saturra@
@wolf@|@ul@
@woman@|@chu, chu-bux@
@wooden shovel@|@k:oda@
@woodpecker@|@tuktukal@
@wool of sheep@|@xa@
@word@|@ait@
@worm@|@meq@
@wrapped@|@b-ach:u-r@
@year@|@usen@
@yellow@|@neIšum@
@yogurt@|@o'xa'i'l@
@yoke@|@oq@
@you@|@waI-n@
@you should serve@|@q'ullugh-q'a-n-b-i@
@young animal@|@tul@
@young of birds@|@c:irik:@
@young of domestic animals@|@arak:@

