@English@|@Scottish Gaelic@
@attend / wait upon / minister / serve / abide@|@fritheil (v) a' frithealadh@
@attending / waiting / ministering@|@frìthealadh (m) -aidh@
@attention@|@aidh@
@attention / thought / intention / observation@|@aire   (f)@
@attentively@|@gu dùr (adv)@
@attribute / virtue / faculty /  talent@|@buadh -adh (plr) -annan (gen)@
@audience@|@luchd-èisteachd (m)@
@audience / assembly@|@luchd-amais  (m)@
@audio files@|@faidhlean-fuaim@
@audit / examine / review / inspect / look over@|@sgrùd (v) -adh@
@August@|@Lùnasdal (m)@
@austere / hardy / difficult / rigorous / ruthless@|@cruaidh (adj) -e@
@author / composer (of writing)@|@ùghdar (m) -air -an@
@autumn / fall / harvest@|@foghar (m) -air@
@avoid / dodge / elude / miss / shirk / shun@|@seachain (v) -nadh also -ainn@
@await / wait (for)@|@feith (v) -eamh (+air or +ri)@
@awake / arouse / awake@|@mosgail (v)@
@awakening / revival /@|@dùsgadh (m&vn) -aidh -aidhean@
@aware / learned  / informed / knowledgable@|@fiosrach (adj) -aiche@
@away / begone@|@gabh bhuam! (phr)@
@aye / yes / indeed / yes it is@|@seadh  (m)@
@baby / child / infant@|@leanabh (m) -aibh -an@
@back@|@cùil (adj)@
@back / back part of anything@|@cùlaibh (m)@
@back / back side / back of anything@|@cùl (m) cùll -tean@
@back room@|@seòmar-cùil (m)@
@backward@|@an comhair a' chùil@
@bad / evil@|@droch (adj)@
@bad / evil / contemptible@|@dona (adj)@
@bad beer@|@amhlaisg (f)@
@bad news@|@abrann (m)@
@bag@|@baga (m) or poca@
@bake bread / knead@|@fuin (v)@
@baker@|@fuineadair  (m)@
@bakery / bakehouse@|@taigh-fuine (m)@
@baking / act of baking@|@fuineadh (m) -rich@
@bald  / blunt / dense@|@maol (adj) -ile@
@bandage / strap / still / whisky pot@|@stail (f) -e -ean@
@banner / flag / colours / ensign@|@bratach (f) -aich -aichean@
@barber / clipper@|@bearradair (m) -ean@
@bare / plain / defenceless / destitute / nude@|@lom (a)  / luime@
@barking / howling / wailing / yell@|@donnalaich (f)@
@barley@|@eòrna (m)@
@barn@|@sabhal (m) -ail -an / sabhlean@
@base / basis / footing / foundation / ground@|@stéidh (f) -e -ean@
