@English@|@Scottish Gaelic@
@graphic display@|@taisbeanadh graificeach   (m)@
@grasp / bore /@|@rug (pst tns) beir@
@gratis / free / as a present@|@an-asgaidh (adv)@
@gratuity / present / donation / gift / boon@|@tiodhlac (m) -aic -an@
@grave accent@|@sràc-mhall (m)@
@gravel / grit@|@grinneal (m) -eil@
@great-grandfather@|@sinn-seanair (m) -ar -ean@
@great-grandmother@|@sinn-seanmhair (f) -ar -ean@
@greens / vegetables / pot-herbs@|@glasraich (f)@
@greeting / salutations / welcome@|@fàilte (f)@
@grey / grey-haired / blue (silvery)@|@liath (v) -adh@
@greyhound@|@mial-chù (m) -choin@
@griddle@|@greideal (m)@
@grimness@|@gruamachd (f)@
@grin / gape / yawn@|@braoisg (f) -e@
@grizzly bear@|@mathan molach (m)@
@ground (floor & earth) / centre@|@làr (m) -àir -a@
@ground / bottom of sea / land@|@grian (m) grein@
@ground floor / earth / ground / motif@|@ùrlar (m) -air -an@
@group / band / company / staff / body@|@còmhlan (m) -ain@
@group / band / organization / agency@|@buidhean (f) duidhe -dhinn@
@guestbook@|@leabhar-aoighean@
@guilty / at fault / sinful / convict / offender@|@ciontach (adj)@
@gullet / neck of a bottle /gorge / pit@|@slugan (m) -ain -an@
@gulp / sip / mouthful of any liquid@|@balgam (m) -aim@
@gun@|@gunna (m)@
@habitation / abode / mark / site / ruin@|@làrach (f)@
@hag / old woman@|@calleach (f) -iche -an@
@haggis / meat pudding / big-bellied / scrotum@|@taigeis (f) -e -ean@
@haggis / meat-pudding@|@marag-ghallda (f)@
@haggis-like / big-bellied@|@taigeiseach (adj) -ean@
@hail@|@clach-sneachd@
@half-hour@|@lethuair (f)@
@hammer@|@òrd (m) ùird -an@
@hand / handle@|@làmh (f) làimh -an@
@handiwork@|@obair-làimhe (f)@
@handsome / lovely / pretty / good-looking@|@brèagha@
@handy / helpful / of use / beneficial@|@feumail  (adj)@
@hank / skein@|@iarna (f) -aichean@
@happen (to) / befall / chance / fall again@|@tuit (do)@
@happen / come to pass / meet {with} / find@|@tachair (v) a' tachairt@
@harbour / haven / port@|@cala (m) -achan -aichean@
@hard-hearted  / callous / stern@|@cruaidh-chridheach  (adj)@
@hart / stag / buck@|@damh-féidh (g / pl)@
@harvest-time@|@deireadh-buana@
@hat@|@ad (f) aide / adan / adaichean@
@haunch / quarter / quadrant@|@ceathramh (m) -aimh -an@
@have been (for a long time)@|@air a' bhith@
@have nothing to do with him@|@na biodh gnothach agad ris (ph@
@having bad habits / mischievious / vicious@|@droch-àbhaisteach (adj) -iche@
@head /@|@ceann (m) cinn@
@headache@|@galar-chinn@
@headlong@|@an comhair a' chinn (phr)@
@healthy / sound / unhurt / unbroken  / whole@|@slàn (adj) -àine@
@heap / mass / flock / pile / rick@|@tòrr (m) -a -an@
@heap of stones / cairn@|@càrn (m) càirn / cùirn@
@hear / harken@|@cluinn / cluinntinn (irrg v)@
@heard (pst tns of cluinn)@|@chuala / cuala (irrg v)@
@hearing / listening / harkening@|@éisteachd (f)@
@heart@|@cridhe (m)@
@hearty / cheerful / courageous / bold@|@cridheil (ad) -eile -eala@
@heat / hotness@|@teas (m)@
@heather / heath / ling@|@fraoch  (m) -aoich@
@heaven / firmament / the skies@|@nèamh (m) -an nèimh@
@heavy / labourious / difficut / fatiguing@|@trom (adj) truime@
@heavy / ponderous / weighty / important /momentous@|@cudthromach (adj) -aiche@
@help / aid / relief@|@cobhair (f) cobhraic@
@help / assistance / aid@|@cuideachadh   (m)  -aidh@
@helpful / subsidiary / supportive / ancillary@|@cuideachail (adj)@
@hen@|@cearc (f) circ / circe -an@
@hence / out of this@|@ás an seo (adv)@
@her / it's@|@a (poss adj)@
@herb / plant / weed / flower@|@lus (m) -uis  -a  -an@
@herding / tending of cattle /@|@cullach (m) -aich@
@herdsman / shepherd / cowherd@|@buachaille (m) -ean@
@here / hither@|@an-seo (adv)@
@here / this / these@|@seo (pron+int)@
@hereditary right / imitation of ancestors / nature@|@dualchas (m)@
@heritage / inheritance / tradition / disposiotion@|@dualchas (m) -ais@
@hermit crab@|@partan-tuathal (m)@
@hero / champion / warrior /used to applaud a youth@|@laoch (m) -aoich@
@herring@|@sgadan (m) -ain@
@hide / go into hiding@|@rach am falach (int.v)/ dol am@
@Highlands@|@Gaidhealtachd  (f)@
@hill / knol / hillock / enimence@|@cnoc (m) cnuic / cnoic@
@history / chronicle / record / tale / narrative@|@eachdraidh (f) -e -ean@
@hit / mark / aim / chance / find@|@amais (v) amas / amasadh@
@hit / strike / beat / crash (into)@|@buail (v) -adh@
@hoarding / deposit / horde / investment / reserve@|@tasgadh (m+vn) -aidh -aidhean@
@hobby / past-time / activity / recreation@|@cur-seachad (m) -an@
@hold / guard / celebrate / keep / maintain@|@glèidh (v) -eadh -eil@
@holding / witholding / restraining / refraining@|@cumail (f) cumalach@
@hole / bore / perforate / orifice@|@toll (m) tuill@
@hollow / dale / narrow valley / dell@|@glac (f) / flaice -an@
@home (building a ../ he went ..)@|@dachaigh  (adv)@
@home /@|@dachaigh  (f)  -e  -an@
@homework@|@obair-dachaigh (f)@
@honey@|@mil (f) -an / meala (gen)@
@honeysuckle@|@uillean (f) -inn@
@honourable / noble / esteemed / respected /fond of@|@miadhail (adj) -e@
@hope / expectency@|@dòchas (m) -ais -an@
@hopeful / expectant / sanguine / prespective@|@dòchasach (a) -aiche@
@horizon / sky line@|@fàire (f)@
@horn / sounding horn@|@adharc (f) -airc -ean@
@hospital / infirmary@|@taigh-eiridinn (m)@
@hotdog@|@ceapaire-isbein (m)@
@hour / time@|@uair (f) uarach - ean@
@hour of time@|@uair a thìde@
@hovercraft@|@bàta-foluaimein (m)@
@how do you say ...@|@ciamar a tha thu ag ràdh ...@
@howl /  complaint / loud cry@|@donnal (m)@
@human@|@daonna (adj)@
@human hair / locks / ringlets@|@falt (f) fuilt / fuiltean@
@humidity@|@taisead (m) -eid@
@humidty@|@bruthainneachd (f)@
@humourist / joking / joke / jest /@|@àbhachd (adj) -e -ean@
@hundred / century@|@ceud (m) -an@
@hunt@|@sealg (f) -an / seilge@
@hurried / hasty / impatient@|@cabhagach (a) -aiche@
@hurry / haste@|@cabhag (f) -aig@
@hurt / act of hurting /@|@goirteachadh (m) -aidh@
@hurt / pain / cause pain / become or make sour@|@goirtich (v) a'goirteachadh@
@husk / shel / pod  / outer peel or skin / shell@|@plaosg (m)@
@I advise / recommend / etc.@|@mholainn (pers.prn)@
@I am / you are@|@tha ... orm/ort (v phr)@
@I am afraid (of)@|@tha an t-eagal ort (ro)(v phr)@
@I am much obliged to you@|@tha mi fada 'nad chomain@
@I am quite certain@|@tha mi gl'e beachdaidh (phr)@
@I am quite well / alright@|@is beag tha a'cur orm (idiom)@
@I beg pardon@|@b' àill leibh? (for bu àill)@
@I care litte for / it@|@is beag agam / leam (phr)@
@I consider it a desirable thing@|@is miann leam (phr)@
@I didn’t understand@|@cha do thuig mi (phr)@
@I dislike@|@is beag orm (phr)@
@I do not like him@|@cha chaomh leam e@
@I don’t know@|@chan eil fios agam (phr)@
@I don’t remember@|@chan eil cuimhne agam (phr)@
@I don’t understand@|@chan eil mi a’ tuigsinn )phr)@
@I don't care@|@tha mi coma (phr)@
@I have a desire@|@tha toil agam (phr)@
@I know that / I am sure of that@|@is beachdaidh leam gu (phr), is mi beachdaidh gu (phr)@
@I missed that (ie - I didn't get/hear that ... et)@|@Dè b’àill leibh? (phr)@
@I ought to be@|@bu choir dhomh a bhi@
@I try@|@feuchaidh mi@
@I would consider it a desire@|@bu thoil leam   (phr)@
@I would consider it a pleasure@|@b'aill leam  (phr)@
@I would get@|@gheibhinn (1st singl/past sub)@
@I would take@|@ghabhainn (sing past of gabh)@
@I’m not sure@|@chan eil mi cinnteach (phr)@
@I’m sorry (usually just duilich)@|@tha mi duilich (phr)@
@ice@|@deigh (f) -e (Colin Mark)@
@iceberg@|@cnoc_déigh (f)@
@ice-cream@|@reòiteag (f)@
@ie; to a close@|@crìch (dat. sing) of crìoch@
@if@|@ma (conj), nan / nam (conj)@
@if so / then@|@ma tha (conj) / ma tà@
@if you want ...@|@ma thogras tu ... (phr)@
@imaginable@|@cruth-inntinneach (adj) -eiche@
@imaginary / imaginative@|@mac-meanmnach@
@imagination@|@mac-meanmna (m) -inn@
@imagine / consider / fancy / reflect / think@|@smaoinich (v) -eachadh@
@immaterial / inconsiderable / insignificant@|@neonitheachd (f) -aiche@
@impatient@|@mì-fhoighidneach (a) -niche@
@implies purpose or nearly@|@gu (before vn)@
@importance / value@|@toirt (f) -e@
@important / key / serious@|@cudromach (a) -aiche@
@imprint / impression / mark / ruin (bldg)@|@làraich (f) -aich -ean@
@improvise@|@ocàidich (v) -eachadh@
@in / in the (used before def noun)@|@anns (prep) +an@
@in / into@|@'sna (contraction), ann (prep) of ann@
@in- / mis- / un- etc@|@mì (neg pref)@
@in a reasonable (space of) time@|@ann an ùine chothromaich@
@in a short time / presently / soon / shortly@|@a dh' aithghearr@
@in advance / previously@|@roimh làimh@
@in defiance of@|@gun taing@
@in each / in every@|@'s gach@
@in early dawn@|@anns a' mhoch (phr)@
@in earnest / seriously@|@da-rìreadh (adv)@
@in front (of)@|@air beulaibh (prep)@
@in front (of) / before (place)@|@fa comhair (prep)@
@in her@|@na (poss adj + ann)@
@in her (no lenition)@|@'na  (prep poss)@
@in her / it@|@innte (prep pron) of ann@
@in him@|@ann (prep pron) of ann@
@in his@|@na (poss adj + ann)@
@in his (lenites ..)@|@'na  (prep poss)@
@in me@|@annam (prep pron)@
@in my@|@'nam  (prep poss), nam (poss adj + ann)@
@in my/ your/ his/ her favour@|@nam chomain (v phr) nad/na/etc@
@in our@|@'nar  (prep poss), 'nar (poss adj + ann)@
@in so far as (provided)@|@cho fad 's a (tha) (adv phr)@
@in spite of@|@a dh'aindeoin (adv)@
@in spite of / despite@|@a dh'aindeoin  (adv)@
@in the@|@'sa (cont) 4 anns an@
@in the direction (of)@|@an comhair (prep)@
@in the hereafter / in the future@|@san àm ri teachd (adv)@
@in their@|@'nan  (prep poss), nan / nam (poss adj + ann)@
@in them@|@annta (prep pron) of ann@
@in this / that manner / in this / that direction@|@mar seo / sin (adv)@
@in us@|@annainn (prep pron) of ann@
@in you@|@annad (prep pron) of ann@
@in you (plr+pol.)@|@annaibh (prep pron) of ann@
@in your@|@'nad  (prep poss), nad (poss adj + ann), nur (poss adj + ann)@
@in your (plr)@|@'nur (prep poss)@
@inactive / wanting energy / silly / careless@|@mi-sgoinneil (adj) -e@
@inch@|@òirlich (f) -each@
@inclement weather / tempest / hurricane@|@doineann (f) -inn@
@inclination / interest / hope / desire@|@ùidh (f) -e -ean@
@inclination / leaning / descending / bending@|@aomadh  (m) -aidh@
@incline / like / want / wish@|@thogair (v)-gairt -gradh -gras, togair (v) -airt -radh@
@increase / multiply / add to / augment@|@meudaich (v) a' meudachadh@
@indeed / certainly / sure / truly@|@gu dearbh@
@indetermination@|@an-suidheachadh  (m)@
@indicates excellence  / very good@|@sàr (pref)@
@indifferent / not caring / regardless@|@coma (adv)@
@individually / apart / one by one / separately@|@fa leth (adv)@
@inefficiency / incapacity@|@neo-éifeachd (f)@
@inefficiency / insufficiency / ineffectualness@|@mi-éifeachd (f ind)@
@inexperience / bad habit or custom / abuse@|@ana-cleachdadh (m) -aidh -ean@
@inflating@|@gaothachadh (adj) -aidh@
@inhabitants@|@luchd-àiteachaidh  (m)@
@inhabitants / residents\@|@luchd-tuineachaidh (m)@
@inky@|@dorch (adj) / dorcha@
@inn / pub / brewery /@|@taigh-seinnse (m)@
@innuendo@|@fiar-rabhadh (m)  -aidh -aidhe@
@inordinate wish / unreasonable desire / ambition@|@an-togar (m) -air@
@inscrutable / unsearchable@|@do-rannsachaidh (adj)@
@insomnia@|@dìth-cadail (m)@
@instance / place / location / position / space@|@àite (m) -can -cachan@
@instantaneous(ly) / just in time / in the nick of@|@sa cheart àm (adj/adv)@
@instead (of) / in place (of)@|@an àite (prep)@
@instructional / teaching / training@|@ionnsachaidh (a)@
@instructive / tutorial / admonitory@|@teagasgach (adj)@
@instrument / engine / means / cause@|@sàs (m) -ais -an@
@instrument / state / condition / implement / tool@|@inneal (m) -il -an@
@interesting / encouraging / positive-minded@|@inntinneach (a) -niche@
@interface@|@eadar-aghaidh (v)@
@international@|@eadar-nàiseanta@
@internet@|@eadar-lìon (m)@
@intoxicant@|@deoch mhisgeil (f)@
@investigated / pondered / ruminated / gathered@|@cnuasaichte (pt pt)@
@invitation@|@fiathachadh (m) -aidh@
@iron@|@iarnaich (v) -achadh, iarnaig (v) -eadh@
@is mi / is tu / is e / etc@|@is (ind. v. def. & irreg)@
@island /@|@eilean (m) -ein -an@
@isn’t it?@|@tha e deagh / droch shìde nach@
@it doesn’t matter@|@chan eil e gu diofar (phr)@
@it will do@|@Ni e 'n gnothach (phr)@
@it will not annoy him@|@cha cuir e air (idiom)@
@It’s good/bad weather@|@tha e deagh / droch shìde nach@
@Italian language@|@Eadailteis@
@item / thing / point (in argument)@|@nì (m) nithean@
@ivory@|@cnàimh-deud (m)@
@janitor / porter@|@dosair (m) -ean@
@January@|@Faoilleach (m), Faoilleach (m)@
@jet-set@|@luchd strodhail (m)@
@jewel / lily@|@leug (f)@
@job / twist / cheat / bend / delude@|@car (m) cuir caran -an@
@jockey / horse-dealer@|@cobair (m)@
@joker / humourist@|@àbhachdach (adj)  -iche@
@jot / note / period@|@pong (m) puing / puingean@
@judge / umpire / judgment / sentence@|@breitheamh (m) -eimh -a -an@
@judgement / information / knowledge / betrayal@|@bràth (m) -a@
@juice / essence / sap@|@sùgh (m) -a / sùigh@
@July@|@Iuchar (m) -air@
@June@|@An t-Og-mhios (m)@
@jury@|@luchd-deuchainn (m), luchd ceart-dheuchainn  (m)@
@just a minute@|@dà mhionaid (phr)@
@just a sec (lit: 2 mins)@|@dà mhionaid (phr)@
@just now / immediately / the present time@|@an ceartuair (adv)@
@just so!@|@seadh dìreach!@
@keen / desirous / willing / animated / cheerful@|@togarrach (adj) -aiche@
@keep / retain / support / hold / contain@|@cùm  (pr pt) a' cumail@
@keep going@|@cùm a' dol!, cùmaibh a' dol! (plr)@
@keep in with / keep on good terms@|@cùm a-staigh air@
@keep up maintain@|@cùm suas@
@kettle / cauldron / corrie@|@coire (m) -achan@
@kick / prance / spurn / anger@|@breab (m) -a -an@
@kicking / prancing / stamping / spurning / kick@|@breabadh (m) -aidh@
@kickstart@|@breab-tòiseachaidh (m)@
@kid-skin@|@miniceann (m) -inn -an@
@kind / meek / gentle / mild / tender@|@caomh (adj) -a (& caoimhe)@
@kind / type / species / brand / sort@|@seòrsa (m) -chan -ichean@
@kind/ charitable/ affectionate / friendly / polite@|@carthannach (adj) -aiche@
@kindliness@|@carthannas (m) /coibhneas@
@kindness / generosity@|@coibhneas (m) coibhneis@
@kingdom@|@rìoghachd  (f)@
@kinswoman / female relative@|@bana-charaid (m) / bàn-@
@kipper@|@sgadan rèisgte@
@kiss@|@pòg (v)@
@kitten / young cat@|@piseag (f) -eig -eigean@
@knit / weave / braid / twist / plait@|@fìgh (v)  fighe@
@know / recognise@|@aithnich (v) -eachadh@
@knowledge / information / notice@|@fios  (m) -a@
@Kyle of Lachalsh@|@Caol Loch Allise (m)@
@labour / toil / work / service / work / drudgery@|@saothair (f) -rach@
@lacking / minus / without@|@aonais / às aonais (prep + ge@
@lacking / without / absence of / devoid of@|@às eugmhais (prep+gen)@
@lady (gentlewoman)@|@bana-mhorair (m)@
@lake /@|@loch (f) -a -an -annan@
@lament / mourn / weep / wail@|@caoidh (v) a' caoidh@
@land / country / territory@|@tìr (f) -e -ean@
@land / earth / plain@|@fonn (m) fuinn@
@landscaping@|@maiseachadh-tìre (m)@
@lass / girl@|@caileag (f) -eige -an@
@last / endure@|@mair (v) -sinn@
@last year@|@an-uiridh ('n uiridh)@
@late (in arriving)@|@fadalach  (a)  -aiche@
@late /unseasonable@|@anmoch (adj) -ioche@
@laugh / laughter / smile@|@gaire (f)@
@law@|@lagh (m/f) -a -an@
@lay a bet@|@cur geall@
@laziness / sloth@|@leisg (f) -e@
@leaflet / blade@|@bileag (f) -eig(e) -an@
@leap / bound / spring / start / shake@|@leum (m) léim / leuma -mannan@
@learn / teach / coach / instruct@|@ionnsaich (v) -achadh@
@learner-(person) / student-(person)@|@neach-ionnsachaidh@
@learners@|@luchd-ionnsachaidh@
@learning / art / felicity / skill / trade@|@ealain (f) -e -ean@
@leave / depart / go@|@fàg (v) -ail@
@leave / permission / license@|@cead (m)@
@lecher / dotard@|@déidh-bhodach (m)@
@leek / chive@|@creamh-gàraidh (m)@
@left hand@|@cearrag (f) -aige@
@leg / foot@|@cas (f) coise -an@
@lend (to)@|@thoir air iasad (do) (int.v), toirt air iasad (do) (int.v)@
@lenite / calm@|@sèimhich (v) -eachadh@
@lenited / calm@|@seimhichte (prep. pron)@
@lesson@|@leasan (m) -ain@
@let / permit / allow@|@leig (v)@
@letter / epistle@|@litreach (gen sing) litir@
@letter / letter (note) / epistle / literal / educa@|@litir (f) litreach -trichean@
@lettered@|@litreach (adj)@
@library@|@leabharlann (m)@
@lie@|@laigh (v)@
@lie / decieve / fib / falsehood /untruth@|@brueg (f) / brèige -an@
@lie / untruth@|@breug (f) -an brèige@
@life / existence / livelihood@|@beatha (f) -annan@
@light / minor / petty / puny / slender@|@beag / bige@
@light / not heavy / giddy / agog@|@aotrom (adj) -uime@
@light blue / light blue colour@|@gorm-aotrom (m)@
@like / similar / typical / probable / alike@|@coltach   (adj)@
@line@|@loidhne (f) -nichean@
@link / bond / bandage / fastening / restraint@|@ceangal (m) -ail -aichean@
@lion@|@leòmhann (m)@
@list@|@liosta (f) -aichean@
@listen / hear / harken /@|@éist (v) / èisd@
@little by little@|@beag air beag@
@little hollow / crevice@|@còsan (m) -ain -an@
@little jewel / charm / excellence@|@seudag (f) -aig -an@
@little pettish female / sulky female@|@gnogag (f) (dim. of gnog)@
@littleness / smallness@|@bìdeachd (m)@
@Live long and prosper!@|@Sonas 'is fad saoghail leibh@
@lively feeling / lively perception\@|@geur-mhothachadh (m)-aidh -ean@
@living / livelyhood@|@beòthachd (f)@
@load / burden@|@luchdaich (v) a'luchdaich@
@loaded@|@luchdaichte@
@loan / advantage / credit@|@iasad (m) -aid -an@
@loathe / less / least / more or most disagreeable@|@lugha  (irreg comp of beag)@
@lock / secure / embrace@|@glas (v) a' glasadh -adh@
@locomotive / mobile / motive@|@guasadach (a) -aiche@
@loft / floor / gallery / storey@|@lobht (m) -a -achan -aichean@
@look / appearance / likelihood / similarity /@|@coltas (m) -ais@
@look / request / probe / seek@|@sir (v) sireadh@
@look / see / show@|@seall (v) -tainn@
@look / watch / regard / observe@|@coimhead (v) +air  or  +ri(s)@
@look into@|@dàn sgrùdadh air (v phr)@
@loose / free@|@fa-sgaoil (adv) mu-sgaoil@
@loose / untie / unlock / liberate / relieve@|@fuasgail (v)@
@lose / forfeit /miss /  emasculate@|@caill (v)@
@losing / dropping / loss / damage / calamity@|@call (m) -a@
@lost / astray\@|@air chall (adv)@
@lost / undone@|@caillte (prs pst)@
@loud laughter / laughing loudly@|@lasganaich (f)@
@loudness / noise / percussion@|@faram (m) -aim -an@
@love@|@gaol (m), gràdh (m)@
@low / base / lowly@|@ìsle (a) / ìseal / ìosal@
@low / not high /@|@ìosal (adj) ìsle@
@lowness@|@ìsleachd (m)@
@lowness of spirits / dispiritedness@|@tad (m)@
@lubricate / oil@|@ùillich (v) -eachadh@
@lubrication@|@ùilleachadh (m&vn) -aidh@
@luck / fortune / possession / providence@|@sealbh  (m) /  seilbh@
@luckily@|@gu sèamhasar (adv)@
@lucky / fortunate / prosperous / possesive@|@sealbach (adj) -aiche@
@lullaby / soothing / caressing@|@tàladh (m)@
@lump / round hill /@|@meall (m) mill@
@lunch@|@biadh meadhan-latha (m)@
@lunch time@|@àm a bhìdh (m)@
@machine / engine / loom / frame / sheath@|@beairt (f) beart@
@made close / glued / pressed / approached@|@dlùthaichte (adj)@
@magazine / periodical / assignation / description@|@iris (f) -e -ean@
@make awry / distort anything@|@spàg (v)@
@make chatter@|@dèan cabaireachd (v.phr)@
@make into tufts or bunches / separate / prune@|@bad (v)@
@make the ship lie-to@|@cuir air laidhe thuige (idiom)@
@male@|@fireann (a)@
@manly / brave / courageous / mighty@|@fearail (adj) -ala@
@manner / method / content / good / order / pleased@|@dòigh (f) -e -ean@
@mannerly / well-bred / well principled / polite@|@modhail (adj)@
@many / a lot@|@cus (adj) -ain -an@
@many / numerous@|@iomadach (adj)@
@many / numerous / various@|@iomadach (m+vn) -aidh / iomadh@
@many / numerous / various / several@|@iomadh (m) -aidh@
@many a (precedes noun)@|@iomadh  (adj)@
@March@|@Màrt (m) / Màirt@
@marijuana@|@smùid-ghòrach (f)@
@mark / impression / token / sign / point out@|@comharradh (f) -aidh -aidhean@
@mark / spot / stain@|@smal (m) -ail@
@marking / aiming / hitting / binding /@|@amas (m) -ais@
@marry@|@pòs (v) -adh@
@Martinmas (preceded by 'An Fhèill-Martinmas')@|@Fèill Màrtainn (f)@
@mathematics@|@matamataic (adj)@
@matter / affair / cause / object / thing@|@cùis (f) -e -ean@
@May@|@Cèitean / A Mhàigh (f), Cèitean / A Mhàigh (f)@
@may / can / must@|@faod   (v) -aidh@
@may / can / must (neg only)@|@feud (v)@
@may happen / shall happen / met@|@thàrlas (fut / pst-v)@
@maybe@|@feudaidh e a bhith (adv)@
@meadow / island@|@innis  (f) -innse  -an -achan@
@mean / intend / signify / allude / interpret@|@ciallaich (v) -achadh@
@meaning / signification / interpretation@|@ciallachadh (m) -aidh@
@meanness / baseness@|@an-uaisle (f)@
@meanwhile@|@rè na h-uine (adv), rè na h-ùine seo@
@meddling with@|@a' gabhail gnothaich ri (phr)@
@media@|@meadhanan (pl)@
@medicine (science)@|@eòlas-leighis (m)@
@medicine / salve@|@cungaidh-leighis@
@meet (with)@|@coinnich (v) -eachadh (ri)@
@meeting / appointment / religious service@|@coinneamh (f) -eimh -an@
@melancholy / sorrow / sadness / homesickness@|@cianalas (m) -ais@
@melodious / musical / tuneful@|@seirmeach (a) -iche@
@memorial / remembrance / commemoration@|@cuimhneachan (m) -ain@
@memorize@|@cùm air mheomhair (v. phr)@
@memory@|@meomhair (f)@
@memory / remembrance@|@cuimhne (f)@
@mend / repair / plight / state@|@càraich (v) / càrach -aidh@
@mending / repairing / adjusting.@|@càradh (m) -aidh@
@mental reservation / dissimulation@|@cleith-inntinn (f)@
@mention / comment / hint / description / reference@|@iomradh (m) -aidh -aidhean@
@merry / cheerful / lively / good-humoured / joyful@|@sunndach (adj) -aiche@
@message / dispatch / communication@|@teachdaireachd (f)  -an@
@meter@|@inneal-tomhais (m)@
@middle / average / centre / heart / waist@|@meadhan (m) -ain -an@
@mild / placid / smooth / tranquil@|@sèimh (adj) -e@
@mind / intellect@|@inntinn (f) -e -ean@
@minus / without / lacking@|@às aonais (adv.phr)@
@minute /@|@mionaid (f) -e -ean@
@miracle / wonder / prodigy / phenomenon@|@mìorbhail (f) -e -ean@
@mirror / looking glass / reflector@|@sgàthan (m) -ain -an@
@misfortune@|@mì-fortan (m)@
@misfortune / mischance / mishap / calamity@|@tubaist (f) -e -ean@
@miss / long@|@ionndrainn (v)@
@missing@|@a dh' easbhaidh (adv)@
@modern / brand-new@|@ùr-nodha (a)@
@moistness / softness@|@taise (f)@
@momentary / temporary / transitory@|@sealach (adj) -aiche@
@Monday@|@Diluain (m)@
@money / silver / riches /@|@airgead (m) -id@
@monster / wild beast / lamprey@|@uile-bheist (m) -ean@
@mood / humour / good-humour / joy@|@sunnd (m) -ach@
@moor / hill@|@monadh (m) -adh -aidhean@
@morale / spirit@|@spiorad (m) -aid -an@
@more / extra / addition / excess@|@tuilleadh (m)@
@more fit@|@deigh (adj)  (Dwelly's)@
@more often / as often as not@|@mar is trice (phr)@
@more than enough@|@barrachd air@
@morning dram@|@maideannas (m) -ais@
@mother@|@màthair (f) -ar -thraichean@
@mountain@|@beinn  (f)@
@mountain / hillside / moor@|@sliabh (m) slèibh(e) -tean@
@mouse@|@luch  (f)@
@moustache@|@feusag-bheòil (f)@
@mouth / opening@|@beul (m) beòil@
@move / budge / agitate / excite / prompt@|@gluais (v) gluasad@
@moving / action / agitation / gesture / movement@|@gluasad (m+vn) -aid -an@
@moving / departing / motion / searching@|@siubhal (m)siùbhailchean -ail@
@multitude / crowd / great number@|@sgròl (m)@
@murky@|@dorch (adj) / dorcha@
@muscians  (plr. fear-ciuìl)@|@luchd-ciuìl (m)@
@music@|@ceòl (m) ciùil, ciùil (gen sing) ceòl@
@musical instrument@|@inneal-ciùil (m)@
@muskrat@|@radan molach (m)@
@mussel / shelelfish / limpets@|@maorach (m) -aich@
@must (is fheudar do)@|@fheudar (feudar)@
@my / used before vowels & fh@|@m' (poss pron)@
@my darling!@|@mo chiall! (phr)@
@my dear!@|@a chiallain! (phr)@
@my heart's darling!@|@a chiall mo chridhe! (phr)@
@mystery / cell@|@dìomhran (m) -ain@
@nailed / fixed with nails@|@tàirngte (pt pt of tàirng), tarraingte (pt pt of tàirng)@
@name / denomination / figurehead / title@|@ainm   (m) -e -ean -nan@
@named /@|@ainmich (v)@
@nasty / filthy / slovenly / drivelling@|@rapach (adj) -aiche@
@native / natural / indigenous / hereditary@|@dùthchasach (adj) -aiche@
@nearly / missed doing@|@theab (v)@
@neat / make tidy / adjusted@|@sgioblaich (v) a' sgioblachadh@
@neat / tidy / decent / pretty / nice@|@laghach (adj) -aiche@
@necessary / indespensable / essential@|@riatanach (adj) -aiche@
@neck@|@amhach (f) -aich -aichean@
@need / use / usefulness / worth /@|@feum (m) -a féim@
@neighbour@|@nàbaidh (m) -ean@
@nephew (brother/sister's son)@|@mac-bràthair/peathar (m)@
@nest@|@nead (m) nid@
@net / web@|@lìon (m) -tan lìn@
@never@|@a-riamh (adv)@
@never mind@|@coma leat (phr)@
@New Year's Day@|@Caillainn (f) /Cailluinn -e@
@newspaper@|@pàipear-naidheachd (m)@
@next time / second time@|@ath-uair (f) -e -ean@
@next week@|@ath-sheachdain, seachdainn 'sa tighinn@
@next year@|@ath-bliadhna@
@nickname@|@far-ainm (m)@
@niece (sister/brother's daughter)@|@nighean-peathar/bràthair (f)@
@night-watch@|@luchd na h-ionnairidh   (m)@
@nine people@|@naoinear@
@no matter how ...@|@ge b'e cho ... 's (conj)@
@no worries!@|@na gabh dragh!@
@nobility / gentility / high birth / manners@|@uaisle (f)@
@noisy / accoustic /  echoing@|@fuaimneach (adj) -aiche@
@nook / corner / niche / recess@|@cùil (f) -e -tean (plr)@
@normal / usual / custom / habit@|@àbhaist (f)@
@north@|@tuath (m)@
@nose / ridge of a hill / point of plough@|@sròn (f) -òine -a@
@not as often as@|@chan eil a cheart cho tric@
@not yet@|@cha’n’eil fhathast@
@note (written)@|@nòta (f) -aichean@
@nothing for it but (v phrs)@|@chan eil càil air a shon ach@
@noun / substantive@|@ainmear (m)@
@novel /@|@nobhail (f) -ean@
@November@|@An t-Samhain@
@now@|@san àm, san àm seo (adv)@
@now / at this time / therefore@|@a-nis (adv) a-nist -e@
@now / present time / at this time@|@dràsta (adv) an-dràsda@
@now / this present time / at this time@|@an-dràsta (adv) dràsda@
@nurse@|@ban-altram (f) -aim -an@
@nut@|@cnò (f) -tha -than@
@object / point / subject / theme / topic@|@cuspair   (m)   -ean@
@obligation / recompense / gratuity@|@comain (f) -e -ean@
@observe / stare / consider / meditate / review@|@beachdaich (v) a' beachachadh@
@occassion / cause@|@adhbharaich (v) -achadh@
@occassion / trip / journey / expedition / tour@|@turas (m) / tursan -ais@
@October / rutting time@|@Dàmhair (f) (m)@
@odds / excess / surplus / remainder / snout@|@còrr (m)@
