@lungs@|@purpu@
@maggot@|@muntr-, muntur-@
@main log in a bonfire@|@omtunal-@
@make a hole@|@x-, xw-@
@make whole@|@rt@
@male@|@koç-, mamul-, mumul-, xod-@
@man@|@k'oçi@
@marten@|@kvenur-@
@meadow@|@dulca, durca@
@meat@|@xoc-, xorc-@
@medicine@|@cham-, ncham-@
@medlar@|@ckimuntur-, cximuntur-, skilimuntr-@
@milk@|@bža-, bzha-, mža-, mzha-@
@mill@|@mskib-u, pskib-u@
@millet@|@pat-@
@millet bread@|@mçkid-, mçkud-@
@misfortune@|@gurjul-@
@mix@|@tkvap-@
@moment@|@cun-@
@moon@|@mtuta-, tuta-@
@morning@|@chuman-@
@mosquito@|@kogon-, korgon-@
@moth@|@chich-@
@mother@|@dida, nana@
@mothertongue@|@okitxusheni supara@
@mouse@|@mtug-@
@mud@|@tolop-@
@mushroom@|@soko-@
@my@|@chkim-, çkimi, škim-@
@naked@|@tentel-, tetel-@
@name@|@jox-, joxo, zhox-, zhoxo@
@navel@|@cipa-, ompa, umpa@
@neck@|@'al-, al-, qal-@
@needle@|@lemš-@
@net@|@mosa@
@nettle@|@dichkizh-, dinchkizh-, o-chxap-ul-e@
@nine@|@chxoro, chxovro@
@nit@|@mchkir-@
@no@|@va, var@
@nose@|@chxind-, chxvind-@
@not@|@mot, va, var@
@not to suffice@|@kor-@
@now@|@aci-, anci-@
@oak@|@chkon-, mchkon-, mchon-@
@occur@|@xvad-@
@old@|@mzhv-eš-, nzhv-eš-, zhv-eš-@
@older@|@unchaš-@
@one@|@ar-, art-@
@only@|@xwala@
@other@|@chkva-@
@our@|@chkin-, chkun-, ckun (i), škin-, šku-, škun-@
@overfill@|@jgip-, njgip-@
@owl@|@bgu, gu, mgu@
@paddock@|@boga@
@palisade@|@masar-@
@pear@|@mcxul-@
@penis@|@bibil-, kol-e, qol-e@
@pharynx@|@xurx-@
@piece@|@co, cor@
@pierce@|@kirt-on-@
@pig@|@gezh-@
@pigeon@|@toozh-, torozh-@
@pigling@|@tila-@
@pile@|@xorg-@
@plait@|@chimoš-@
@plaster@|@cax-, ncax-@
@Pocken@|@pukir-, pukur-, purk'-, purk-@
@pointed@|@mckil-@
@poison@|@cuna@
@pool@|@tib-a, tob-a@
@possess@|@g-@
@pour out@|@xu-@
@press upon@|@ntkab-, tkab-, tkap-@
@pretty@|@mskwa-@
@pricky plant@|@m-cig-ura@
@pull@|@zd-@
@pumice@|@zoga-pazh-@
@puppy@|@laç-, lak-@
@pus@|@txombr-, txomr-, txomu-, txomur-@
@put@|@dg-, dgim-, dgin-@
@quiver@|@patk-@
@ram@|@boch-, och-@
@ravine@|@gal-@
@raw@|@ladr-, lard-@
@recite@|@kitx-@
@report@|@c-, cu-, cv-@
@rhododendron@|@mšker-, pšker-, šker-@
@right side@|@marjgw-an-@
@ring@|@mackind-@
@ripe fig@|@cimu-lug-@
@roar@|@giin-, girin, gum-@
@roast@|@chv-, nchv-@
@roasted@|@šušk-er@
@root@|@pos-o@
@rotten tree@|@put@
@rough infertile earth@|@cara@
@salive@|@ležv-, ležv-er@
@salt@|@nzhum-u, zhum-u@
@scare@|@kut-, mkut-@
@scent@|@šur-@
@scold@|@bezhg@
@scowl@|@bundgin-@
@scythe@|@chkir, chkor-@
@sea@|@mzoga, zgua, zoga, zuga@
@sedge@|@isir-@
@seven@|@škit-, škvit-@
@shake@|@nkin-@
@shake lightly@|@nc-@
@sheep@|@chxu-, mchxur-, mškur-@
@sheep excrements@|@korkola, kwar-@
@short@|@mkule@
@shoulder@|@mxuzh-, pxuzh-, xuzh-@
@side@|@go-@
@sigh@|@kus-@
@sister@|@da@
@six@|@anš-, aš-@
@skin of hand@|@kjark-@
@skin of sheep@|@montko-, montkor-@
@sky@|@ca-, ca-, mca-, nca-@
@slant@|@gul, gula@
@sleep@|@lir-, zhir-@
@small@|@culu, kut-@
@small door@|@koco-porta@
@small nut@|@mtxir-, ntxir-, txir-@
@small pomegranate@|@purcumbol-, purcumol@
@smoke@|@koma, mkom-@
@snake@|@cicila, mgver-@
@snow@|@mtu-, mtur-, tu-@
@so@|@a-š-o, e-š-o@
@soak@|@gvar-@
@soft@|@chichku, chkuchku, lib-, libu, lob-@
@soot@|@gvamp-o, gvampu@
@sour@|@koxa, mchox-a@
@speak@|@tk-, tkum-, tkw-@
@spider@|@bombula@
@spike@|@ti@
@spindle@|@mxen-@
@spit@|@lemchkwa@
@splinter@|@no-xap-ul-e@
@split@|@chachk-, chit-@
@spoon@|@kiz-, kuz-@
@spot@|@leke-pirche@
@spring@|@camapxa@
@squeeze@|@z-, zal-@
@step@|@xar-@
@stone@|@kwa-@
@stone of fruit@|@kurka-@
@stone pan@|@kic-@
@stout@|@chxu, cjxwel-ep-e, mchxu@
@strap@|@gwed-@
@straw@|@chval-, nchval-@
@stump@|@zhirek-@
@sun@|@bža, bžora, mža, mzhora, mžora, mžua, mžura@
@supporting post@|@mzguzh-@
@sweat@|@up-@
@sweet@|@loq-@
@take care of@|@ch-, chv-@
@tear@|@çalamure-, çelamre-, çilamre-@
@tear out@|@st-, stv-@
@ten@|@vit-@
@thanks@|@didi mardi@
@their@|@hentepes (i)@
@they@|@hentepek@
@they love@|@alimberan, aoropenan, oroman, qoropan@
@They said@|@Hentepek usvez@
@thickness@|@mchxvana@
@this@|@a, ha@
@this year@|@ham co@
@thistle@|@daj-, danj-@
@thou@|@si-@
@three@|@sum-@
@thresh@|@bax-@
@throat@|@qirqint-on-@
@tinder@|@obed-@
@tip@|@dud-@
@to accompany@|@kat-@
@to ache@|@ck-, ck-un-@
@to acquire@|@jindr-, qird-@
@to be@|@or-, r-@
@to be awake@|@kucx-, kuncx-@
@to be dry@|@xom-@
@to be enough@|@bag-@
@to be extinguished@|@skir-, skur-@
@to be filled@|@pš-@
@to be glad@|@xel-@
@to be hungry@|@mšk-, om-in-, qom-in-, šk-@
@to be long@|@ginj-, gunj-@
@to be proud@|@msku-@
@to be round@|@mugwal-, murgwal-@
@to be satiated@|@jg-@
@to be seen@|@tan-@
@to be ugly@|@nzhug-, zhog-, zhug-@
@to be useful@|@rg-@
@to be wet@|@šo-l-, šuv-, šuv-@
@to beat upon@|@brang@
@to begin@|@ch-, chk-@
@to bequeath@|@chin-, mchin-@
@to bind@|@kir-, kor-@
@to boil@|@gib-, gub-, zhib-@
@to break@|@tax-@
@to burst@|@st'ik-, stik-@
@to butt@|@nkin-, nkir-@
@to buzz@|@buz-al-@
@to cackle@|@karkal-@
@to castrate@|@kvazh-, qvar-, qvazh-@
@to chew@|@kank-@
@to choke@|@xlap-, xlip-@
@to choose@|@cx-un-@
@to churn@|@chax-, chaxw-, pint-@
@to clash of teeth@|@kap-@
@to clean@|@xinc-@
@to comb@|@gag-@
@to comb the hair@|@cxon-, ncxon-@
@to contain@|@ntin-, ntir-, ntr-, ti-, tin-, tr@
@to cook@|@ge-ndug-er-@
@to cool down@|@kir-, kor-@
@to cough@|@xval-@
@to count@|@ko-recx-, ko-rocx-@
@to cover@|@rtv-, tu-, tv-@
@to crack a nut@|@tkvar-@
@to creep@|@xox-@
@to crumple@|@nzhgim-, zhgim-@
@to cry@|@mgor-@
@to cry piercingly@|@chxi-@
@to curse@|@chk-, nchku-@
@to cut off@|@kvat-@
@to darn@|@bur-@
@to deceive@|@ger-, gor-@
@to defecate@|@jg-, jg-um-, jgv-, zg-, zgv-@
@to define@|@chkin-@
@to delve in@|@kank-@
@to destroy@|@gur-, šir-@
@to die@|@gur-@
@to die of animal@|@xock, xreck-, xrock-, xrosk@
@to dig@|@xachk-, xašk-@
@to dip@|@nc-@
@to do@|@käm-, km-@
@to draft@|@crod-, curd-@
@to drag@|@tir-, tor-, tur-@
@to drink@|@šu-, šu-m-, šv-@
@to drop@|@chot-, chvet-@
@to eat@|@chkom-, mxor-, škom-@
@to exceed@|@zhg-@
@to exuviate@|@xin-@
@to fall@|@ntx-@
@to fart@|@tkor-in-, tor-in-@
@to fawn@|@mo-z-a-, mo-z-ar-, mu-zar-@
@to feed@|@gv-an-er-@
@to flap the wings slowly@|@putx-@
@to fly@|@pur-t-in-@
@to forge@|@chkad-@
@to forget@|@chkond-, chond-, chondr-@
@to gather@|@korob-@
@to get old@|@mzhv-en-@
@to get used to@|@g-@
@to get wet@|@comp-, cump-@
@to gird@|@tk-@
@to give@|@ch-, ch-am-@
@to give a good beating@|@baz-@
@to glide@|@lt-@
@to glitter@|@al-, pick-, pinck-, wal-@
@to glue@|@chab-@
@to gnash the teeth@|@grick-, grickin-, kirç-ol-@
@to gnaw@|@xor-, xvat-@
@to go@|@id-, ul-@
@to go to sleep@|@zhin-@
@to graft@|@mpon-@
@to graze@|@nzh-, zh-, zh-um-, zh-up-, zhv-@
