@antidote@|@tsjingif@
@antifreeze@|@antifriesguod@
@antique@|@antyk@
@antique dealer@|@antykhanneler@
@antisocial@|@maatsskiplik net oanpast, ûnmaastskiplik@
@anus@|@ears, gat@
@anvil@|@ambyld@
@any@|@ien, immen, in pear@
@anybody@|@immen@
@anything@|@eat@
@anywhere@|@earne@
@apart@|@apart, beskaat@
@apart from@|@behalven, bûten@
@apartment@|@appartemint, fertrek@
@aperture@|@iepening@
@apiarist@|@bijker, ymker@
@apostate@|@ôffal, ôffallich@
@apparently@|@blykber@
@appeal@|@appel@
@appeal to@|@oanroppe@
@appear@|@ferskine, skine@
@appear to be@|@skine@
@appearance@|@aspekt, ferskining, gesicht, oansjen@
@appellation@|@namme@
@appendicitis@|@blinetermûntstekking@
@applaud@|@earne mei ynstimme, hantsjeklappe@
@apple@|@apel@
@apple-sauce@|@apelsmots@
@applicant@|@adressant, beswierskriftskriuwer@
@apply@|@brûke@
@appoint@|@oanstelle@
@appointment@|@oanstelling@
@appointment book@|@bûsboekje, opskriuwboekje@
@appointment to office@|@oanstelling@
@apprehension@|@arrestaasje@
@approach@|@oanpakke, oanpakken@
@approval@|@hantsjeklappen, ynstimming@
@apricot@|@abrikoas@
@april@|@april@
@April@|@gersmoanne@
@apron@|@skelk@
@aproximately@|@neistenby, sawat@
@aptitude@|@betûftens, talint@
@aquaintance@|@kunde@
@Arabian@|@Arabysk@
@Arabic@|@Arabysk@
@arbitration@|@arbitraazje@
@arc@|@bôge@
@archangel@|@aartsingel@
@archbishop@|@aartsbiskop@
@architetonic@|@arsjitektoanysk@
@architetural@|@arsjitektoanysk@
@area@|@oerflakte@
@argument@|@argumint@
@argumentation@|@argumintaasje@
@arise@|@stige@
@aristocracy@|@aristokrasy@
@aristocratic@|@foarnaam, treftich@
@arithmetic@|@rekkenkunde@
@ark@|@arke@
@arm@|@bewapenje, earm, earmleuning, wapenje@
@armchair@|@briedstoel, earmstoel, pakestoel@
@armpit@|@earmsholte@
@arm-rest@|@earmleuning@
@army@|@hear@
@arrears@|@efterstân@
@arrest@|@arrestaasje, oppakke@
@arrested person@|@finzene@
@arrival@|@komst, oanfier, oankomst@
@arrive@|@arrivearje, oankomme, oanlânje@
@arrogant@|@astrant, astrant, bazich, malmodesta@
@arrow@|@pylk@
@arse@|@ears, gat@
@art@|@keunst@
@artery@|@slachier@
@arthritis@|@flearen@
@article@|@artikel, lidwurd@
@article clothing@|@kleed@
@artificial@|@keunstmjittich@
@artillery@|@artillery@
@artist@|@keunstner@
@artistic@|@artistyk, keunstich@
@as@|@dus, meidat, neffens, sa, sadwaande@
@as (1)@|@mei't, om't, omdat@
@as a matter of fact@|@winliken@
@as if@|@krekt as, oft@
@as stupid as an ass@|@kowedom, oaljedom@
@as though@|@krekt as, oft@
@ascend@|@bekladderje, bekliuwe, stige@
@Ascension Day@|@Himelfeartsdei@
@ash@|@esk, eskebeam, jiske@
@ashtray@|@jiskebak, jiskebakje, jiskelaad, jiskepântsje@
@Asian@|@Aziatysk@
@Asiatic@|@Aziatysk@
@ask@|@fersykje, freegje@
@ask for@|@fersykje@
@aspargus@|@asperzje@
@aspect@|@aspekt, oansjen@
@ass@|@ezel@
@assailant@|@oanfaller@
@assault@|@oanfalle, oanpakke, oanslach, oantaaste@
@assemblage@|@gearkomme, gearkomste@
@assemble@|@gearkomme@
@assert@|@beweare@
@assertion@|@bewearing@
@assessment@|@oanslach@
@assistant@|@assistint@
@associate@|@oanslute@
@assortment@|@assortimint@
@assure@|@fersekerje, ferwisje@
@asterisk@|@stjerke@
@asthmatic@|@nearboarstich@
@astonishment@|@benijing, ferbazing, ferheardens@
@astronaut@|@romtefarder@
@astronomy@|@stjerrekunde@
@asylum@|@asyl@
@at@|@by, oan@
@at a strech@|@oan ien tried troch, oanienwei@
@at first@|@te'n earsten, yn 'e earste opslach@
@at home@|@thús@
@at last@|@efternei@
@at least@|@alteast, teminsten@
@at night@|@nachts@
@at once@|@aansen, aanst, aanstûns, dalik, daliks@
@at present@|@no, no't@
@at some time@|@ea@
@at that place@|@dêr, dêre, er@
@at the outset@|@te'n earsten, yn 'e earste opslach@
@at the same time@|@teffens@
@athletics@|@atletyk@
@athmosphere@|@atmosfear@
@atinginess@|@deunens, gjirrigens@
@atomic energy@|@atoomenerzjy@
@attack@|@oanfal, oanfalle, oerhaal, raam@
@attacker@|@oanfaller@
@attend@|@besykje, bywenje, ferpleegje@
@attention@|@omtinken, regaad@
@attentive@|@attint, oandachtig, opmerksum@
@attic@|@souder@
@attitudinize@|@healwiizje, jin tjirgje@
@attract@|@ferlokje, oanlûke@
@attractive@|@aardich, bekoarlik, ferloklik, leidich@
@auction@|@feiling@
@audience@|@audiïnsje, heardei@
@audit@|@kontrolearje@
@augment@|@fergrutsje@
@august@|@augustus@
@August@|@rispmoane@
@aunt@|@muoike@
@Austria@|@Eastenryk@
@Austrian@|@Eastenriker@
@authentic@|@autentyk@
@author@|@auteur, skriuwer@
@authorative@|@autoritêr, bazich@
@autobus@|@buso@
@autocrat@|@allinnehearsker, despoot@
@automatic@|@automatysk@
@automation@|@automatisearring@
@automobile tyre@|@autobân@
@autonomy@|@autonomy, selsbestjoer@
@autumn@|@hjest@
@avail@|@bate@
@avarice@|@deunens, gjirrigens@
@avaricious@|@earnich, gjirrich, taaimelk@
@avenge@|@wreke@
@avenge oneself@|@wreke@
@avenue@|@leane@
@average@|@midden@
@averse@|@fij, wearzich@
@aversion@|@antipaty, mier, tsjinsin@
@aviary@|@fûgelflecht@
@aviator@|@fleander@
@await@|@biidzje, ferwachtsje, ôfwachtsje, wachtsje@
@awareness@|@bewustwêzen@
@awful@|@in griis@
@axe@|@bile@
@baby@|@pop, poppe@
@bachelor@|@feint, frijfeint@
@back@|@efterkant, efterstallich, efterútride, rêch@
@back of the head@|@efterholle@
@back street@|@efterôfbuert@
@back to front@|@efterstefoaren@
@backbiting@|@kwealaster, rabberij@
@back-door@|@efterdoar@
@background@|@eftergrûn@
@backside@|@efterst, gat, poepert@
@backward@|@efterlik, efteroer, tebek@
@backwards@|@efteroer, efterút, tebek@
@bacon@|@spek@
@bacterium@|@baktearje@
@bad@|@ferrotte, min@
@badger@|@das@
@bag@|@sek@
@baggage@|@bagaazje@
