@shout@|@Or@
@shovel@|@liipe@
@show@|@kiSSE@
@sibling (younger)@|@emd'E@
@side@|@n'ugerE@
@silver@|@c'ereuro:@
@sin@|@n'an'@
@sinew@|@iNd'i:@
@sink@|@amlE@
@sister (elder)@|@pa:ba:@
@sit@|@modo@
@six@|@molGE@
@skin@|@qa:r, xar@
@skis (with fur bottoms)@|@ugurc'E@
@sky@|@kuZu:@
@sleep@|@joNZE@
@sleeve@|@uuje@
@slide@|@c'ird'E@
@slip@|@pol'ir@
@slippery@|@polZis'E@
@small@|@juk, juku@
@small (in quantity)@|@c'aj@
@small hollowed boat@|@anabuska:@
@smell@|@ped'e@
@smoke@|@ju:l, o:ZE@
@snag@|@lamunZa:@
@snow@|@pukel'E@
@snow crust@|@Sil'l'E@
@snowstorm@|@aNGEjE@
@so@|@taNn'igE@
@something@|@Sa:r@
@son@|@adO:@
@son in law@|@pulej@
@song@|@jaqtE@
@soul@|@ajbi:, jül, lül, niNe:@
@soup@|@läp@
@South@|@pudi@
@space below something@|@-al@
@speak@|@an'@
@spear@|@c'obinE@
@spend a night@|@ammEl@
@spirit@|@ispi:r@
@spirit (evil)@|@jO:jE@
@split@|@jurgu:@
@spoon@|@loSkEra:@
@spring@|@po:rE@
@squeak@|@c'iqaG@
@squirrel@|@jodod'ubE@
@staff@|@jaGid'E@
@stand@|@ege@
@start@|@udel'e:d'e:@
@steal@|@ol, ono@
@stick@|@jaGid'E@
@stick out@|@nutn'E@
@stick to@|@ton@
@still@|@d'e:tEGE, daGanI, s'in@
@stomach@|@iril@
@stone@|@pie, šäu, xäi@
@stone (large)@|@pe:@
@stone (small)@|@SOjl@
@story@|@n'i:d'i:l@
@stove@|@oGoq@
@stream@|@ojl'@
@strength@|@s'i:lE@
@strong@|@nanche@
@suck@|@ib@
@suddenly@|@emes'kE@
@suffer@|@aGurpE@
@suffocate@|@qoqSE@
@summer@|@pugO@
@sun@|@jel'o:d'E, jelože@
@surface@|@pudebE@
@swallow@|@amlE@
@swamp@|@nor@
@swan@|@jangže@
@sweep@|@kerpe:@
@swell@|@puke:@
@take@|@mej, min@
@take away@|@kOudE@
@take down@|@lon, lOudE@
@take off@|@lon@
@take out@|@ugutEj@
@tale@|@c'u:l'd'i:@
@tambourine@|@jalGi@
@taste@|@cong-@
@tea@|@c'aj@
@tear@|@SaSa@
@tell@|@n'e:d'i:, n'ide, pundu@
@temple@|@abor@
@ten@|@kun'il', kune, kunn'i@
@that@|@ta, tabun, tang, tO:n@
@then@|@kunn'ukte:, ta:s'ilE, ta:tl'Et, taNde:t, taNn'igE@
@there@|@ta:, taGari:, taNdEgE, tanta:@
@they@|@tittE@
@thief@|@olo-, olol@
@thimble@|@noGi:@
@thin snow@|@ku@
@this@|@du, ti, ting, tung@
@thorn@|@nono@
@thou@|@tet@
@thought@|@c'uNZE@
@three@|@ja:, jal, jalmE@
@throut@|@tunmu@
@throw@|@aji:, pejZi:, peSSEj@
@thumb@|@SaSqul@
@tie@|@uldE@
@time@|@para:@
@time (at the time of)@|@saqanE@
@tip@|@kich, kichil, kókä@
@to@|@a:rqi:, laN, laNi@
@to appear@|@jed-@
@to be sick@|@java-, joba-, jobe-, jöbe-, jobo-@
@to bind@|@jodo-@
@to bring@|@tadi@
@to carry@|@kande-@
@to come in@|@šog-, šogu-, šon-@
@to eat@|@läg-, leg-, leu-@
@to gnaw@|@läg-, leg-, leu-, sewe-@
@to go@|@män-@
@to hear@|@xol@
@to help@|@chang, cheng@
@to melt@|@alaa-@
@to say@|@mon-@
@to split@|@long@
@tobacco@|@taba:q@
@today@|@s'ebon'n'i@
@together@|@irkinl'E, n'aGa:@
@too@|@aji:@
@tooth@|@todi:@
@top@|@i:s'E@
@touch@|@c'aN@
@towards@|@a:rqi:, laN, laNi@
@transparent@|@qod'ibE@
@trap@|@kapkan, SaSil@
@tree@|@jollE, Sa:l@
@tree (tall)@|@jugul@
@tree trunk@|@culgo-@
@tremble@|@irkE@
@trousers@|@o:@
@true@|@ubuj@
@turn@|@jodo, jodu:, jOmg@
@twist@|@jodo@
@two@|@ataq, ataql, kiji-@
@unable@|@lor@
@unbelievable@|@el'l'o:dEj@
@uncle@|@chacha, t'at'a@
@under@|@a:@
@understand@|@mOd@
@undo@|@il'l'a:@
@upstream@|@c'andE@
@various@|@mus'in@
@very@|@alIs, del'bE, naGa:@
@wade@|@kile@
@wait@|@me:@
@walk@|@eg@
@war@|@seri@
@warm@|@puge@
@warmth@|@pugel'E@
@wash@|@aje:@
@watch@|@noj@
@watch out@|@arpE@
@water@|@o:Zi:@
@way@|@c'ugO@
@we@|@mit@
@well@|@omoc'c'a:@
@wet@|@oN@
@what@|@leme, qa@
@what for@|@noNo:n@
@when@|@qajin@
@where@|@qadungE, qol, xon@
@Where is my room?@|@met nume qoll'e@
@Where is the beach?@|@chohocho qoll'e@
@which@|@qadin, xadi@
@whistle@|@c'uNZ@
@white@|@pojnE, pOn'@
@who@|@kin@
@whole@|@c'umu, c'umut@
