@snow crust@|@darkin@
@snuff@|@chuke, chuwukï@
@soft@|@depe, depe-me, n'emu-me@
@song@|@dewej@
@sour@|@gochi@
@spindrift cloud@|@n'ëkte, n'okta@
@spine vertebra@|@niri@
@spiraea@|@boloko@
@spiritual power@|@murach@
@spoil@|@munï-@
@spring@|@biraja, n'engn'e, nelki, nelki@
@squirrel@|@gurnun@
@squirrel nest@|@loki, lopi@
@steep bank@|@megdïn@
@stick@|@gara@
@stick to@|@dalbu-@
@stiff@|@kululi@
@stir@|@gori-@
@stirrup@|@dureki@
@stockings@|@dokton, ken'ete, kun'etu@
@stomach@|@gudiGë@
@stomach disease@|@mukän@
@stomach of animals@|@nimne@
@storm cloud@|@n'ökta@
@straight of a river reach@|@guru-ma@
@strike@|@giw-@
@string@|@guren@
@strive@|@mandüw-@
@stroke@|@bul-@
@stuffed tightly@|@dangama@
@stump@|@mugdekën@
@stupid@|@dulbu-n, mongnon@
@sun@|@dilachä@
@surface@|@dër, dere@
@swamp@|@bulë, jaku, lewë@
@swamp moss@|@n'amulla@
@swan@|@gäre, ük-si@
@swash@|@bulkiw-@
@sway@|@mej-@
@sweet@|@daldi, dalli@
@take@|@al-@
@take revenge on@|@bokon-@
@tall@|@gugda@
@tarbagan@|@nenmekchin@
@testicle@|@nama@
@that@|@chä-@
@thick@|@burgu, diram@
@thicket@|@nikrikägh@
@thigh@|@bökan, n'ungï@
@thin@|@nemkün@
@thing@|@ideGë@
@this@|@er, eri@
@three@|@ilan@
@threshold@|@kultir@
@throat@|@bilga@
@through and through@|@chup@
@tilth@|@nekte@
@tin@|@n'älbän@
@tired@|@mul-, multe@
@to ask@|@ejet-, lelol-@
@to bake@|@chere-@
@to be@|@bi-@
@to be afraid@|@bolgo-@
@to be angry@|@ali-, gegin-@
@to be burnt@|@nakti-mu-, negdi-@
@to be busy with smth@|@n'eke-@
@to be devoid of smth@|@malï-@
@'to be green of a larch@|@muchu-@
@to be in a difficult position@|@bë^l-@
@to be infected@|@daw-@
@to be mistaken@|@ere-@
@to be noisy@|@chawir-, chiwi-, migdi-@
@to be sad@|@bulï-@
@to be satiated@|@uwi-@
@to be sleepy@|@äme-@
@to be sore@|@gilka-@
@to be spent@|@mana-@
@to be unable@|@alba-, mulli-@
@to beckon@|@gajïw-@
@to become gelatinous@|@buldi-lë-@
@to become hot of metal@|@n'üre-@
@to begin@|@nono-@
@to begin of night@|@gepe-@
@to bend@|@buke-, doldi-, maltu-, mariw-@
@to bite@|@kik-@
@to blaze@|@gul-@
@to bleed@|@abu-@
@to borrow@|@mukchikat-@
@to bow the head@|@dungkin-@
@to break@|@kongdorgo-@
@to breathe@|@eri-@
@to bulge of belly@|@kebder-@
@to burn@|@lurgi-, zhegdi-@
@to burn down@|@korö-, korowkän-@
@to burn with fire@|@chuwkän-@
@to butt@|@guja-@
@to carry@|@ekse-@
@to cause fear@|@arit-@
@to chant@|@kochi-nzha-@
@to choke@|@kaka-@
@to close@|@dal-, dali-@
@to close eyes@|@nimngi-@
@to come near@|@iwë-@
@to come to one's senses@|@arü-@
@to cover@|@das-, kuptu-, kupu-@
@to cover a tent@|@elbe-; ellun, eldun@
@to cover oneself@|@kumu-@
@to creep@|@milki-, mirki-@
@to cross a mountain@|@ala-@
@to cross a river@|@däG-, däw-@
@to cry@|@irkihin-@
@to cut@|@mï-@
@to cut into pieces@|@meleghe-, mëlepte-, molopto-@
@to cut out@|@gir-@
@to dampen@|@derbëw-@
@to deceive@|@kochut-@
@to die@|@bu-, mekcherë-, mukcherë-@
@to dig@|@malta-@
@to direct@|@n'ungnï-, nungnï-@
@to disappear@|@ëng-@
@to divide@|@borï-@
@to drive@|@ilbe-@
@to dry on fire@|@buchï-@
@to embrace@|@kumlë-@
@to encircle@|@eGe-@
@to enter@|@ï-@
@to envy@|@kara-m-na-@
@to exuviate@|@gör-, n'ilarga-, n'ïlarga-, nilarga-@
@to fail@|@maja-@
@to fart@|@mukë-@
@to feel pain@|@enut-@
@to fight@|@kusï-@
@to fill holes@|@lü-@
@to fill mouth with liquid@|@muku-@
@to flap wings@|@nere-nnge-@
@to float on the surface@|@kepke-met-@
@to fly@|@deg-@
@to follow@|@dá-@
@to form@|@bulbente-@
@to freeze@|@begï-, kure'r-@
@to fume@|@gï-@
@to gather deer@|@kalbuldï-@
@to get accustomed@|@du-@
@to give@|@bü-@
@to glitter of eyes@|@millün-@
@to glue@|@labgän-, lamba-@
