@Macedonian@|@English@
@{i{arka@|@cone@
@{i{e@|@bottle@
@{i{ence@|@vial@
@{i{kebap@|@kebab kebob@
@{iba so kolan@|@belt (v)@
@{ie@|@baste (1)@
@{ija~ka@|@sempstress@
@{ilec@|@jag@
@{ilec (metalen)@|@spike@
@{ilest@|@jagged jaggy, keen, spiky@
@{ilest (predmet bol)@|@acute@
@{ilka@|@ginger up@
@{ilo@|@awl, bradawl@
@{im{ir@|@box (3)@
@{inuva@|@dislocate@
@{inuvawe@|@dislocation@
@{ipinka@|@haw@
@{ipka@|@bar@
@{ipka (za antena)@|@mast@
@{ir (morska)@|@bosom@
@{ira@|@must (n)@
@{irewe@|@advancement@
@{iri@|@enlarge@
@{iri glasini@|@bandy a news about@
@{iri vesti@|@blazon (v) fig@
@{irina@|@amplitude@
@{irinski@|@latitudinal@
@{irit@|@lace, braid@
@{irok i nabien (~ovek)@|@broad in the beam@
@{iroki narodni masi@|@populace@
@{irokite masi@|@masses@
@{iroko otvoren@|@agape@
@{irokograd@|@magnanimous@
@{iva~ka@|@sempstress@
@{kaf za knigi@|@bookcase@
@{kart@|@fagend@
@{kola za slepi@|@blind school@
@{kolka@|@mussel, valve 1@
@{kolska tabla@|@blackboard@
@{kolski@|@scholastic 1@
@{krilec@|@shale@
@{kripav@|@grating (adj)@
@{kripi@|@act up (coll), rustle, grate (2) v@
@{lae@|@mooch around@
@{lajm@|@sputum@
@{lakanica@|@box (n)@
@{laknuva@|@belt (v), box (2)@
@{leper@|@keel, barge@
@{lic@|@slit (n)@
@{me}er@|@bluffer@
@{nicla@|@schnitzel, escalope@
@{ok@|@blow (n)@
@{okanten@|@outrageous 1@
@{olja (klozet)@|@pan (n)@
@{orc@|@shorts@
@{ou-men@|@showman@
@{ou (programa)@|@show (n)@
@{ou biznis@|@show biz@
@{ou biznis@|@show business@
@{pajz@|@larder@
@{palir@|@lane, espalier@
@{panski sela@|@double dutch@
@{parta@|@bar (v)@
@{pedicija@|@conveyance@
@{pekulant@|@adventurer@
@{pekulant na berza@|@bear (fig)@
@{pekulantka@|@adventuress@
@{pion@|@spy@
@{pionira@|@spy@
@{piunka (na vrata)@|@embrasure@
@{poret@|@oven, cooker@
@{pric za podma~kuvawe@|@grease gun@
@{prica@|@play 2 (v)@
@{raf@|@bolt (1)@
@{rapnel@|@shrapnel@
@{tafeta@|@baton@
@{tala (Am)@|@barn@
@{talsko |ubre@|@manure@
@{tedar@|@opulent@
@{tedi@|@salt away@
@{tedliv@|@frugal@
@{tedlivost@|@frugality@
@{tedlivost (arh)@|@providence@
@{tedrost@|@bounty@
@{teta@|@damage@
@{teten@|@pestilent pestilential, mischievous.ly, maleficent@
@{teten (za sredinata)@|@antisocial@
@{teti@|@malign (v)@
@{tetnost@|@mischievousness, malignity, reflection@
@{teto~inka@|@vermin@
@{tica@|@board@
@{tica za javawe na branovi@|@surfboard@
@{tici@|@boarding@
@{tik (vo karti)@|@trick@
@{tima@|@salt down 1@
@{tima (klavir)@|@attune@
@{tipe@|@twitch@
@{tipe (studot)@|@bite@
@{tipewe@|@tweak, twitch (n)@
@{tipnuva@|@tweak@
@{tit so grb@|@eschutcheon@
@{titi@|@keep 1@
@{titnik za potkolenica@|@greave@
@{titonosec@|@esquire@
@{to@|@which@
@{to `ivee i na kopno i na voda@|@amphibious@
@{to `ivee raste na drvo@|@arboreal@
@{to `ivee vo voda@|@aquatic@
@{to }e se slu~i ako@|@supposing@
@{to ~ini dve peni@|@twopenny@
@{to ~ul (svedok)@|@auricular@
@{to aludira@|@allusive@
@{to bega@|@fugitive@
@{to bilo@|@whichever, anything@
@{to dobro ra|a (drvo `ito)@|@good bearer@
@{to dopira (do)@|@contiguous@
@{to e mo`no poskoro@|@at earliest convenience@
@{to e na mesto@|@befitting@
@{to e na zaminuvawe@|@outgoing@
@{to e odzadi@|@ulterior@
@{to e vo sklad@|@consonant@
@{to e vo soglasnost@|@accordant@
@{to e vo soglasnost so@|@coincident@
@{to e vo vrska so@|@relevant@
@{to fali@|@lacking@
@{to gnie@|@putrescent@
@{to go pre~ekoril rokot@|@overdue@
@{to i da@|@whichever@
@{to i da e@|@in any case@
@{to i da se slu~i@|@whatever may betide@
@{to im pripa|a na domorodcite@|@aboriginal (pl aborigines)@
@{to ima kuka@|@barbed@
@{to ima mnogu ~lenovi@|@articulate@
@{to ima vkus@|@artistic@
@{to isplovuva (brod)@|@outward bound, outbound@
@{to istekuva@|@refluent@
@{to istovremeno zna~i@|@connotative@
@{to iznenaduva@|@astonishing@
@{to ja smrznuva krvta (fig)@|@blood curdling@
@{to leta@|@fleeting@
@{to leta na voda@|@afloat@
@{to li~i na@|@quasi@
@{to mirisa na misk@|@musky@
@{to miruva (is~ekuva)@|@abeyant@
@{to mo`e da se ceni@|@appreciable@
@{to mo`e da se dotera@|@adjustable@
@{to mo`e da se kontrolira@|@controllable@
@{to mo`e da se objasni@|@accountable@
@{to mo`e da se odbie@|@deductible@
@{to mo`e da se prepravi@|@convertible@
@{to mo`e da se pretpostavi@|@conjectural@
@{to mo`e da se prodade@|@merchantable@
@{to mo`e da se prosti@|@pardonably@
@{to mo`e da se uveri (ubedi)@|@convincible@
@{to mu odgovara@|@after one's heart@
@{to mu pripa|a na grbot@|@armorial@
@{to nagrizuva@|@cankerous@
@{to nalo`uva (pravilo)@|@normative@
@{to ne gubi vreme@|@short and sweet@
@{to ne mo`e da se opi{e@|@beggar description@
@{to ne propu{ta do`d@|@rainproof@
@{to ne r|osuva@|@rustless@
@{to ne se izgovara (bukva)@|@mute@
@{to ne znae ni{to@|@know-nothing@
@{to nosi posledici@|@repercussive@
@{to obvrzuva@|@promissory (promissorily)@
@{to odeknuva@|@repercussive@
@{to odgovara@|@accordant@
@{to okru`uva@|@ambient@
@{to opa|a@|@refluent@
@{to oskvernuva@|@abusive@
@{to osuduva@|@condemnatory@
@{to otskoknuva@|@prominent.ly@
@{to plovi@|@afloat@
@{to poka`uva prezir (kon)@|@contemptuous@
@{to pomaga@|@auxiliary@
@{to poseduva znaewe@|@knowledgeable@
@{to poslu`uva@|@attendant@
@{to povreduva@|@injurious.ly@
@{to povrzuva@|@connective@
@{to pravi otstapka@|@concessive@
@{to predizvikuva gniewe@|@putrefactive@
@{to predizvikuva stravopo~it@|@awe inspiring@
@{to predizvikuva zavist@|@enviable@
@{to prekoruva@|@condemnatory@
@{to pri~inuva odbivnost@|@aversive@
@{to pridonesuva@|@contributory@
@{to prilega@|@consonant@
@{to propu{ta (voda)@|@permeable@
@{to raste@|@ascendant@
@{to razbesnuva@|@maddening@
