@raise@|@orgomžilï@
@ram@|@quža@
@ramson@|@mangGarsën@
@rank@|@žerhe@
@rapid@|@Gurdung@
@raven@|@kërï@
@ravine@|@žalGa@
@red@|@län@
@relative by marriage@|@Gadëm@
@relative-in-law@|@Gudä@
@rib@|@xarRuo@
@river@|@meren@
@robber@|@xulaGai@
@rock@|@Gada@
@rope@|@dïsën@
@round@|@tögörög@
@rush@|@xulusën@
@sabre@|@selme@
@sack@|@üta@
@saddle@|@emel, emël@
@saddle blanket@|@toGom@
@saddle cushion@|@debse@
@salt@|@däbsën@
@salty earth@|@xužir@
@scabbard@|@xui@
@scatter@|@tarä-@
@scissors@|@xaichi@
@secret@|@dalda@
@secretly@|@semer@
@sediment@|@šar@
@seize@|@šür-@
@self@|@bëi@
@service@|@hažig@
@shadow@|@süder@
@shagreen@|@sär@
@shaman@|@fawa@
@sharp@|@qurcha@
@sharpen@|@tär-@
@shave@|@qësë-, xurGa-@
@shave off@|@žür-@
@sheepskin@|@nëkï@
@ship@|@ongGocho@
@short@|@xoGor@
@shoulder@|@mërë, murë@
@shoulderblade@|@dälë@
@shuttlecock@|@tebeg@
@sickle@|@Gadür@
@sight@|@xarëmul@
@sinew@|@šdäsën, šëldasën@
@sixty@|@žiran@
@skewer@|@šoro@
@skin@|@arsën, xalësën@
@skirt@|@xormï@
@sleep@|@nür@
@sleeve@|@xanžün@
@slice@|@hëdge-@
@small@|@baRa@
@small span@|@söm@
@smell@|@honër, honor@
@smoke@|@hdä, xdä@
@snake@|@moGoi, mohui@
@snow@|@cheksen, chekseu, žasën@
@snow storm@|@šürGa@
@son@|@küken@
@song@|@dün@
@son-in-law@|@kurhen@
@soot@|@kü@
@soul@|@sunesën@
@soup@|@šëlen@
@South@|@ölmö@
@spin@|@gur-@
@spine@|@sïra, sür@
@spleen@|@dölön@
@stairs@|@šätë@
@star@|@hodën@
@starve@|@žöderï-@
@steep bank@|@erhë@
@stem@|@šë@
@steppe@|@tala@
@stirrup@|@dure@
@stitch@|@širë-@
@stone@|@chëlü@
@stop up@|@putü-le-@
@strength@|@kužën@
@summer@|@žun@
@sun@|@naran@
@surplus@|@hele-@
@swelling@|@xabdar@
@swift@|@turgen@
@table@|@šere@
@tail strap@|@GudurGa@
@take responsibility@|@dä-@
@tarbagan@|@tarRuan@
@taste@|@amtan@
@ten@|@harwan@
@that@|@tere@
@thick@|@budün, žužän@
@thigh@|@suzi@
@thill@|@aral@
@thin@|@narën, nemgen, nenggen@
@thirst@|@ndas-, ndäs-@
@thirty@|@qužin@
@this@|@ene@
@thou@|@chë@
@thought@|@sedgel@
@thread@|@šdäsën@
@three@|@Gurwan@
@through and through@|@chül-@
@thumb@|@hermegchi@
@time@|@cheg@
@tinder@|@xü@
@tired@|@xze-@
@to add@|@neme-@
@to advance@|@dabšil-@
@to bark@|@quža-@
