@ball@|@balius, kamuolys, rutulys, šokių vakarėlis, sviedinys@
@ballet@|@baletas@
@ballet-dancer@|@balerūnas@
@ballet-girl@|@balerina@
@ball-point pen@|@šratinukas@
@Baltic sea@|@Baltijos jūra@
@band@|@banda (gauja), diržas, grupė, juosta, orkestras@
@bandage (med.)@|@aprišti (apriša/aprišo)@
@bang@|@trenksmas (durų ~)@
@bangle@|@apyrankė@
@bank@|@bankas, krantas (upės ~/ežero ~)@
@bankrupt@|@subankrutavęs (asmuo ~)@
@bankruptcy@|@bankrotas, bankrutavimas@
@banner@|@vėliava@
@bar@|@baras@
@barber@|@kirpėjas (virų ~)@
@barefaced@|@begėdiškas@
@Barents Sea@|@Barenco jūra@
@bargain@|@derybos, lygimas@
@bark@|@lojimas, loti (loja/lojo), lupti (lupa/lupo) (žievę), žievė (miedžio ~)@
@barn@|@daržinė@
@barracks@|@kareivinės@
@barrel@|@vamzdis (šautuvo ~)@
@Basel@|@Bazelis@
@basement@|@žemutinis aukštas, žemutinis rūsio aukštas@
@Bashkiria@|@Baškirija@
@basket@|@krepšys, pintas@
@basketball (sport.)@|@krepšinis@
@Basle@|@Bazelis@
@bass clef@|@boso raktas@
@bat (zool.)@|@šiksnosparnis@
@bath@|@vonia@
@bath towel@|@vonios rankšluostis@
@battle@|@kautynės@
@battle field@|@kautynių laukas@
@Batumi@|@Batumis@
@bay@|@įlanka, lojimas, loti (loja/lojo)@
@Bay of Biscay@|@Biskajos įlanka@
@bayonet (kar.)@|@durtuvas@
@be@|@būti@
@be a drag (on)@|@stabdyti (stabdo/stabdė)@
@be a slave@|@vergauti (vergauja/vergavo)@
@be able@|@galėti (gali/galėjo)@
@be agitated@|@jaudintis@
@be at the helm (prk.)@|@vairuoti (vairuoja/vairavo)@
@be at variance (with)@|@susipykti (pyksta/pyko)@
@be away@|@išeiti (išeina/išėjo)@
@be back@|@sugrįžti (sugrįžta/sugrįžo)@
@be called@|@vadintis (vadinasi/vadinosi)@
@be delayed@|@užtrukti (užtrunka/užtūko)@
@be delighted (with)@|@žavėtis (žavisi/žavėjosi)@
@be down (snek.)@|@sirgti (serga/sirgo)@
@be dragged out@|@užtrukti (užtrunka/užtrūko)@
@be drained out@|@sekti (seka/sekė)@
@be excited@|@susijaudinti (jaudina/jaudino)@
@be exhausted@|@sekti (seka/sekė)@
@be feverish@|@karščiuoti (ščiuoja/ščiavo)@
@be fit@|@būti tinkamam@
@be fit (for)@|@tikti (tinka/tiko)@
@be frozen@|@sušalti (sušąla/sušalo)@
@be funny@|@juokauti (juokauja/juokavo)@
@be gone@|@išeiti (išeina/išėjo)@
@be heard@|@skambėti (skamba/skambėjo)@
@be ill (with)@|@sirgti (serga/sirgo)@
@be in a fever@|@karščiuoti (ščiuoja/ščiavo)@
@be in force@|@veikti (veikia/veikė)@
@be in jest@|@juokauti (juokauja/juokavo)@
@be in love@|@būti įsimylėjusiam, isimylėjęs@
@be lacking@|@trūkti (trūksta/trūko)@
@be late@|@vėluoti (vėluoja/vėlavo)@
@be lazy@|@tingėti (tingi/tingėjo)@
@be leaky@|@būti prakiurus, tekėti (teka/tekėjo)@
@be lost@|@žūti (žūsta/žuvo)@
@be lost in reverie@|@svajoti (svajoja/svajojo)@
@be lost/steeped (in)@|@skęsti (skęsta/skendo)@
@be melancholy@|@liūdėti (liūdi/liūdėjo)@
@be named@|@vadintis (vadinasi/vadinosi)@
@be noisy@|@triukšmauti (šmauja/šmavo), ūžti (ūžia/ūžė)@
@be obedient/dutiful@|@būti klusniam@
@be obliged@|@turėti (turi/turėjo)@
@be obstinate@|@užsispirti (sispiria/sispyrė)@
@be on a visit@|@viešėti (vieši/viešėjo)@
@be sad/gloomy@|@liūdėti (liūdi/liūdėjo)@
@be silent@|@tylėti (tyli/tylėjo)@
@be slow (clock)@|@vėluoti (vėluoja/vėlavo)@
@be stubborn@|@užsispirti (sispiria/sispyrė)@
@be taken ill@|@susirgti (suserga/susirgo)@
@be united@|@susijungti (jungia/jungė)@
@be/get promoted@|@kilti (kyla/kilo)@
@beacon@|@švyturys@
@beads@|@karoliai@
@beak@|@snapas@
@beam@|@spindėti (spindi/spindėjo), spindulys@
@bear (zool.)@|@lokys@
@beard@|@barzda@
@beast@|@žvėris (žiaurus žmogus)@
@beast (wild)@|@žvėris (laukinis gyvulys)@
