@one@|@eins, m'r@
@one hundred@|@hundert@
@one hundred and one@|@hunderteins@
@one hundred and ten@|@undertzehn@
@one hundred and thirty@|@undertdrizig@
@one hundred and twenty@|@undertzwanzig@
@one hundred and two@|@undertzwei@
@one quarter@|@viertel@
@one thousand@|@doizig@
@one thousand and one hundred@|@doisigeinundert@
@one thousand and two hundred@|@doisigzweihundert@
@only@|@nùmme, nûmme@
@open@|@uf@
@ostrich@|@Vöjelstrüss@
@other@|@ànder@
@out@|@nüss@
@outside@|@drüsse@
@oven@|@brader@
@over there@|@dort@
@owl@|@Ill@
@pan@|@kar@
@pancake@|@Eierküeche@
@parents@|@eltere@
@path@|@Wäj@
@paw@|@dobe@
@pear@|@Beer@
@pencil@|@Bläiwiss, bliwisel@
@pencil to slate@|@grefel@
@people@|@Lit@
@pigeon@|@Düb@
@pike@|@Hecht@
@pillow@|@Kopfekisse@
@pipe@|@Pfiff@
@plate@|@Dëller@
@pleasure@|@pläsier@
@plesure@|@pläsier@
@plugged@|@mumfel@
@poor@|@àrm@
@poster@|@Plãkãt@
@potbelly@|@wamschd, wamschd@
@pout@|@bredsch@
@precious@|@sidebridel@
@pretty@|@nätt@
@Prononciation@|@Aussprache@
@pupil@|@Schüelbüe@
@pupils@|@Schieler@
@racket (of tennis)@|@Tennis- Schläjer@
@radio@|@radio@
@rain@|@raeje@
@raisin@|@merdriwel@
@rake@|@Rëche@
@raven@|@grâb@
@received of the strokes@|@g'frésse@
@red@|@rot@
@reeds@|@Schilf@
@rest@|@rüe@
@restaurant@|@Wirthüs@
@retired@|@pensionniert@
@rifle@|@Flint@
@ring@|@Ring@
@rock@|@Felse@
@rose@|@Ros@
@rover@|@bäseles@
@rudder@|@Lãppe@
@runny-nosed@|@rûznâs schnûdelnâs@
@sad@|@trürig@
@sailboat@|@Sejelschiff@
@salt@|@drëcket@
@salt type@|@dregschlâbes@
@sardine@|@Sãrdinel@
@saturday@|@sàmschdàà@
@saw@|@Säj@
@scale@|@Leiter@
@scheming@|@gedäschdelmächdel@
