@English@|@Mari@
@middle@|@kädäl, këdal, küdül-@
@midge@|@lëme, lume, lumej, lumij@
@mitten@|@piž, piž-kom@
@moss@|@rehenä, rehence, rehencë@
@mould@|@këpa-, kup, küpa-, pëkna-, pükna-@
@mouth@|@im-šu, imë-šu, ime-šueš@
@multitude@|@-bälä-, -blä, -blak, -plak, -wlak, wälä, wlak@
@muzzle@|@tärwä, türwö@
@nail@|@käch, küc, küch@
@name@|@läm, lüm@
@name of a mild season@|@känghäž, kengež@
@narrow@|@wäckäž, wickäž, wickiž@
@near@|@lëšne, lišnä, lišne@
@neck@|@šü, šüj@
@needle@|@im, ime@
@negative particle@|@ä-š-, š- (praet.)@
@nest@|@päžäš, pëžaš, pizaš, pužaš@
@net needle@|@šapš, šapša-, sops, šopš, šopša-@
@new@|@u, uw@
@night@|@düt, jët, jüt@
@nine@|@ändekšë, indeš, indéš, indeše@
@nits@|@šarkenä, šarkence, šarkince, šorkencä@
@oak@|@tum, tumo@
@oblique@|@wažëk, wochëk@
@odor@|@üps, üpš@
@old@|@šongho@
@older@|@songho@
@on top@|@wäkä, wäl-nä, wälän@
@one@|@ik', iktä, iktät, ikte, iktët@
@opening@|@lëk, luk@
@order@|@kerdä, pülä-herdä, sär, sër, šër, šukë, šukerdä@
@otter@|@šaške, šäškë@
@pale@|@šapalhe-, šapë, šapka, šopalhe@
@part@|@rezëk, rize, rizik@
@part of shoe@|@šolkama@
@patch@|@tumëš, tumõš@
@peel@|@nalä, nole-, nolo@
@peg@|@šängge, šänghä@
@penis@|@ozë, pisa., uzë@
@pine forest@|@jäktä, jakte@
@place@|@panežä-, ponäža-, pürde-, vär, wer, werc, wercän@
@place across@|@waštareš, woštareš@
@place behind something@|@mänghe, mönghö@
@plait@|@koe-, kue-, pëne-, pune-@
@pole with shortly hewn boughs@|@šapšar, šopšar@
@porridge@|@šäräš, šüraš, šürö@
@pot@|@pat, pot@
@power@|@wi, wij@
@prayer@|@mužeda-, mužedä-@
@present@|@kucük, kuzëk@
@previous@|@üma-šte@
@push@|@lohe-, pëška-, püškä-@
@push away@|@loha-, longa-, longha-@
@quiet@|@tü-l, tüän, tühä, tühan, tühö, tüjü-l, tünä, tünö@
@quiet (1)@|@tüan, tüjän, tüjëc tühö, tünö@
@raise@|@urde-, würde-@
@rake@|@šarëm-pandë@
@ram@|@mež, miž@
@rapids@|@kaškë, koske, koške@
@raspberry@|@änghäž, engëš, engëž@
@raven@|@kurnëž, kurnuž, kurunuž@
@raw@|@nachkä, nochko, nocko@
@restrain@|@këche-, kuche-@
@revolve@|@pörta-, pörte-@
@ring@|@jär, jër@
@river@|@johe-, johë-wät, johën-wüt@
@root@|@šär, waž, wož, wür-šer@
@rope@|@käl, kël@
@rotten@|@kodën, mäkš, mekš, šac, šacka@
@row@|@pacaš, pachaš, pöchäš@
@run@|@pokte-@
@rust@|@sëc, šëc, šüc@
@sack@|@lupo, šuwëš@
@salt@|@san-cal, šan-cal, šön-cal, söncal, šöncal@
@sandy place@|@kangha@
@scab@|@lim, lümö@
@scoop@|@koe-, kolmë, kolmo, kue-@
@scrotum@|@mucha, muchá@
@sea@|@jär, jer@
@sealine for fishing@|@enger-wot, wat, wot@
@seed@|@kindä, kinde@
@seven@|@šäm, šëm, šišim, šym@
@shadow@|@šaj-kë, šajëk, šajkëla, šoj-c, šojëlch šojlan@
@shadow (1)@|@šojül@
@shadow soul@|@äške, ëške, iške, ške@
@shaft@|@pöx-koaalih, pöx-köläj, wurdë, wurdo, würdo@
@shame@|@wažëla-, wožëla-@
@sheep@|@ëžha, užha@
@ship@|@pëš, puš@
@shoot@|@lüe-, nörga, nörgö, nörhä, waštär, waštër, woštär@
@shore@|@tär, tür@
@shoulder@|@wache@
@side@|@pe.lä, pe.le, pel, pel-, pele, wel@
@sift@|@šakta, šokt-, šokta-, šokte@
@sinew@|@sün, šün@
@sing@|@mërë, mëre-, mure-, muro@
@sister@|@šëžar, šužar, šüžar@
@six@|@kud, kudët, kut@
@skin@|@j.-wät, juž, wät@
@skin from the paws of animals@|@küpš@
@sleeve@|@oža, šokš@
@sleigh@|@künžö, künžü@
@small@|@carä, ize, iže, izi@
@small piece@|@pärt, përt@
@smoke@|@šäkš, siks, šikš@
@snake@|@käškä, kiške@
@snot@|@šürem@
@snout@|@ner@
@snow@|@lëm, lum@
@snow squash@|@suz, suž, šuž@
@snowstorm@|@purha, purhäž, purhëž@
@something elevated@|@wopš-mëra@
@something protruding@|@täškä, tüška@
@something slippery@|@näl@
@son-in-law@|@wenge, winghä@
@sound@|@šakte-, šokte-@
@soup@|@lem@
@sour@|@šapë, šowo@
@space below something@|@ül-, ül- ülnä, ülnö, ülö-@
@span@|@šor, šorž@
@spear@|@jëpš@
@spine@|@tup@
@spit@|@uksënza-, ukšënza-, undä umdo, undo, unto@
@spleen@|@lep, lepä@
@spongy@|@suzë@
@squirrel@|@ur@
@stain@|@paç@
@stake@|@pecä, pichä, šëwën, šuwën@
@stalk@|@pandë, pondo@
@stallion@|@ožë, ožo@
@star@|@tištä, tište@
@stay@|@koda-, kode-@
@stem@|@šüdër, šüdür@
@step@|@aškël, aškõl, oškël- aškëla-, oškëla- aškedä-@
@stick@|@šomba@
@stick into@|@pëšte-, pište-@
@stiff@|@tänghä-, tünga-, turta-, turtangha-@
@stone@|@kü, küj@
@straight@|@wie-, wijaš, wijne-@
@strew@|@käške-, këške-, kiške-@
@stroke@|@šärä-@
@stuff@|@temä, teme, teme-@
@submerge@|@šëngha-, šënghalta-@
@surface@|@pandaš, pondaš@
@swan@|@düksö, jükcö, jükšä, jüksö@
@sweat@|@püž-wut, püž-wüt, püžalta-, püžältä-@
@swelling@|@mëhël, muhël@
@tail@|@pach, paštek, poc, poch, pola@
@ten@|@lu@
@tense@|@penghëdä, pinghädä@
@testicle@|@mënë, muno@
@Thank you@|@Kúgu táu@
@that@|@molë, molo, nëne, ninä, nine, ta-ce, ta-haçä, taçe, tädä, täš, täške, tu, tudo, tuš, tuško, umpal, umpal@
@thick@|@chakata, chokata, coka, käžhä, küžhü, šukë, šuko@
@thick (1)@|@küžhö, küžhü@
@thief@|@šolë, šolëp, šolëšta-, šolšta-@
@thin branch@|@waze@
@thing@|@ma, mo@
@this@|@sedä, sede, të, tëde, tewe, ti, ti, tidä, tide@
@this here@|@tenghe@
@thorn@|@nuž@
@thou@|@täj, tän, tëj, tëjë, tën@
@thread@|@kera-, kerä-, kerla-@
@three@|@këm, kum@
@through@|@länghš, pokte, pokten, wokten@
@tin@|@wulnë, wulno@
@tip@|@ter, tür@
@titmouse@|@cuna@
@to ache@|@šärhe-, šerhe-@
@to ask@|@jada-, joda-@
@to bark@|@opte-@
@to be able@|@mëšte-, mošte-@
@to be visible@|@kaja-, koja-@
@to become cold@|@kiže-@
@to become dry@|@koške-@
@to become lean@|@kaša@
@to become tired@|@noja-, noje-@
@to become wet@|@löchä-, löche-@
@to bewitch@|@ulda-, ulte-@
@to bind@|@käcke-, kicke-, pida-, pidä-@
@to bite@|@kachka-, kochka-, kocka-, përa-, pura-@
@to blow@|@pue-@
@to break@|@tuhe-@
@to burn@|@änghä- enga-, eng@
@to call@|@üžä-@
@to carry@|@kande-, konde-@
@to chop@|@lokšänca-, lokšënca-, lokšinca-@
@to comb@|@sera-, šera-, šerä-@
@to come@|@tola-@
@to come in@|@përe-, pure-, šunghalta-@
@to count@|@lëda-, lu, luda-@
@to cover@|@levedä-, lewaš, lewäš, leweda-, lewedëš@
@to cut@|@pächkä-, pechkalta-, pechke-, püchka-, pücka-@
@to cut (1)@|@pechkä, šela-, šelä-, šeläk@
@to dare@|@tošta-@
@to devour@|@pultäš@
@to die@|@kole-@
@to dig@|@kare-, karem, kërala-, kore-, korem, künce-, künche-, kurala-@
@to diminish@|@pëcha-, puce-, puche-@
@to dive@|@sungaltaš@
@to divide@|@užaš, üžaš, užašla-@
@to drink@|@düa-, dükte-, jüä-, jüja-, jükte-@
@to drip@|@cäwälte-, cëwëlte-, cheve-@
@to exchange@|@waštalte-@
@to fight@|@šudala-@
@to fish@|@kelde@
@to ford@|@kela-, kelä-@
