@to pick@|@oj-@
@to pick out@|@žume-@
@to plant vertically@|@tyk-@
@to pour out@|@tök-@
@to pour out water@|@quz-@
@to pray@|@çoq et-@
@to press@|@pas-, syq-@
@to pull@|@tart-@
@to put@|@sal-@
@to rain@|@jah-@
@to reach@|@jet-, jit-@
@to ride on@|@min-@
@to rise@|@küter-@
@to rob@|@q`un-, tala-@
@to roll down@|@Gol-, qula-@
@to run towards@|@qajla-@
@to say@|@di-@
@to scatter@|@saç-@
@to scrape@|@qyr-@
@to see@|@gör-@
@to sell@|@sat-@
@to separate@|@azyr-@
@to sing@|@jajna-@
@to sink@|@çoGe-, pat-@
@to sleep@|@jat-, uzu-@
@to slide@|@taj-@
@to smoke@|@tüt-@
@to split@|@jar-@
@to spread@|@jaz-, sär-@
@to stand@|@dur-@
@to strike fire@|@ça'q-@
@to surpass@|@joz-@
@to swell@|@siz-@
@to swim@|@ju-, juw-, qaj-@
@to take@|@al-@
@to taste@|@taty-@
@to tie in a knot@|@çig-, çik-@
@to tie up@|@poh-@
@to treat@|@si-la-@
@to trot@|@mang-@
@to tumble@|@ahyna-@
@to turn back@|@jan-@
@to urinate@|@sez-, siz-, syz-@
@to vomit@|@qus-@
@to wake up@|@ozhan-@
@to walk@|@jor-, jör-, jür-, par-, žor-@
@to weave@|@toqy-@
@tobacco@|@tutun@
@tooth@|@dys@
@top(s) of boots@|@qangç@
@trace@|@is@
@tramp@|@tep-@
@tree@|@jihaš, terek@
@trot@|@mang@
@trousers@|@jüm, jym, ym@
@trumpet@|@pyra@
@trust@|@isen-@
@two@|@šigy@
@uncle@|@tahyj@
@unkempt@|@Pharwaq@
@unsubstantial@|@juqa@
@variegated@|@ala@
@vein@|@tamyr@
@very@|@jeng@
@very much@|@tümen@
@waist@|@pel@
@wall@|@tam@
@war@|@jahy@
@warm@|@ilyh@
@water@|@su@
@water dirt@|@Sukhïr@
@we@|@pyz@
@well@|@bulaq@
@what@|@ni@
@white@|@aq@
@who@|@kym@
@wide@|@keng@
@wild duck@|@angyt@
@willow@|@segyt, sögüt@
@wind@|@jel@
@window@|@tyndyk@
@wing@|@qejnat@
@winter@|@qys@
@without saddle@|@jabytaq@
@wolf@|@böji, peri@
@year@|@jas, jil@
@yellow@|@saryh@
@young@|@jas@
@younger brother@|@ini, yny@
@younger sister@|@syngny@

