@plural@|@-ar, -b-ur, -er@
@pole@|@murxil@
@poles for planking ceiling@|@muk:ur@
@pond@|@'ür@
@pot-herb leaves@|@cal@
@pre series@|@-h, h-@
@pregnant@|@Rane-f@
@present gerund@|@-d, -ri@
@preserve@|@uX-@
@prick@|@zaz@
@prong of a rake@|@gwarž@
@pupil of the eye@|@nenej@
@puppy@|@kurcul@
@pus@|@maIš@
@quail@|@chemchal@
@quince@|@kuržam@
@radish@|@'uj@
@rain@|@marf, ug'al@
@ramson@|@sur@
@raspberry@|@chula mexer, merzw@
@red@|@iref@
@red-haired@|@chire-f@
@rennet@|@uraj@
@resin@|@pic@
@right@|@'ulža-n-f@
@road@|@req:@
@road metal@|@šim@
@roast grain@|@uc-@
@roasted grain@|@qIurch@
@rock@|@qIarqI@
@roof@|@'uj, margI@
@rook@|@chagh, qIad@
@root@|@maIr', marqIw@
@round@|@gilgenf@
@rust@|@maq:Iw@
@rye@|@sul@
@sack@|@šišal@
@salt@|@qIal@
@sand@|@k'um@
@say@|@p-@
@scab@|@gar@
@scoop@|@quš@
@sea@|@hül@
@secretion in the eye@|@paIr@
@seed@|@tum@
@self@|@uch@
@series Ad@|@-v@
@series Super@|@-l@
@seven@|@jeri-d@
@shake@|@daq-@
@sharp@|@ha-re-f@
@sheaf@|@žwal@
@sheath@|@q:aj@
@sheep@|@märch:@
@sheep-flock@|@Xub@
@sheep-fold@|@mex@
@sheep's dung@|@RülR-an@
@sheep-skin@|@qiriq@
@sheepskin coat@|@Xak:ul@
@shelf for dishes@|@qas@
@shell@|@gal@
@shepherd's staff@|@margh@
@shin@|@ad, tur'e@
@shirt@|@k:urt:@
@shoe@|@šum-ar@
@shore@|@dir'@
@short@|@žaq:e-f@
@short-eared ram@|@güt@
@shoulder@|@Run@
@side@|@bagw, q:wal@
@side of body@|@xach@
@silver@|@ars@
@sister@|@chi@
@six@|@jerxi-d@
@skin@|@le', xam@
@skull@|@gurga-h@
@sky@|@zav@
@sledge hammer@|@kaš@
@sleigh@|@ghIal-ar@
@slice@|@qac@
@slip@|@k:e=cherxw-@
@small@|@bici-f@
@small bird@|@žaqw@
@small earthenware jug@|@gažin@
@small stone@|@q:ut:@
@smell@|@ni'@
@smithy@|@jad@
@smoke@|@kum@
@snot@|@qIunt, xirx@
@snow@|@ibx@
@soft slippers for children@|@tirix@
@son@|@baIž@
@sound@|@un@
@soup@|@riq@
@sour@|@'uche-f, rucar@
@sour cream@|@kum@
@span@|@cheIb, chiIb@
@speech@|@chal@
@spider@|@xuch-raxan, zhimzhax@
@spit@|@tutu@
@spleen@|@zwelez@
@split@|@tulkan-@
@spoon@|@t:ur@
@spring@|@ec@
@staff@|@res@
@stairs@|@q:Iad-arar@
@star@|@gIad, had@
@steer@|@jard@
@stem@|@dar@
@stick@|@kar@
@sting@|@xut@
@stomah@|@fun@
@stone@|@duxul, g'van, ghwan@
@stone for fastening the roof@|@kele-han@
@straw@|@ärxäl, s:um@
@strawberry@|@ziwz-ar@
@string@|@'ub, turin@
@striving@|@ruq:u-f@
@stumble@|@quraghd-ark-@
@suffix of a locative case@|@-q, q-@
@suggestive@|@-t:ehari@
@summer@|@Rul@
@sun@|@ragh@
@swallow@|@bišik@
@swamp@|@qIir@
@sweat@|@emk@
@sweet@|@it:e-f@
@sweetbrier@|@chiIb@
@tail@|@rudzh, ruž@
@tear@|@neghw@
@temporal@|@-ana, -na@
@temporal gerund@|@-dahan, -gana, -guna, -guni, -hana@
@ten@|@icu-d@
@tendon@|@tab@
@testicle@|@xur@
@that@|@te@
@that below@|@gi@
@thaw@|@icw-@
@thick of liquids@|@jaq:we-f@
@thin@|@kille-f, q:Iure-f@
@thin log@|@chil@
@this@|@me@
@thou@|@wun@
@three@|@šin-cur, xibu-d@
@threshhold@|@günzel@
@threshing@|@ji@
@threshing-floor@|@rat:@
@throat@|@qIaq, qurq@
@tick@|@xic@
@tinder@|@mesw@
@to bake@|@už-@
@to bark@|@ch-irqw-@
@to be@|@a, i@
@to be defeated@|@lit-@
@to be silent@|@k:it:-isi-@
@to beat@|@uta-@
@to become@|@x-@
@to believe@|@q-ux-@
@to bend@|@qIuzhal-qas@
@to bite@|@k'atsIkac@
@to boil@|@rux=@
@to break@|@arghI-@
@to burn@|@k-ejxi-, ugas@
@to butt@|@=at:a-, al-ak:wi-, uq:-@
@to buy@|@gh-uš-@
@to carry@|@xa-@
@to carry on the back@|@q-aq-@
@to catch@|@f-ac-@
@to change@|@d-aXu-b aqas@
@to close in@|@q-ik:w-@
@to close up@|@alchan-@
@to comb@|@ž-irx-@
@to come@|@adi-, adis, ša-w@
@to come in@|@uch-@
@to curdle@|@ruta-s@
@to cut@|@at-, ruk:-@
@to dance@|@luq-as@
@to die@|@kIes@
@to dig@|@ruk-, urqi-@
@to disperse@|@d-alxan-@
@to drink@|@ux-, uxas@
@to drip@|@at-@
@to eat@|@'üt-, gIu'tIac@
@to extinguish@|@qat-us-@
@to fal@|@gh-ulkan-@
@to flow@|@lajch-@
@to fly@|@g'ishac@
@to freeze@|@rugh-@
@to get into@|@arx-@
@to give@|@is@
@to gnaw@|@chilqw-, curxa-@
@to go@|@baI-, g'Ivas, xi-@
@to go to ruin@|@archw-@
@to hear@|@un x'as@
