@brush (v)@|@skrtačiti@
@Brussels@|@Bruselj@
@Bucarest@|@Bukarešta@
@buck (deer)@|@srnjak@
@buck (young)@|@srnjaček@
@bucket seats@|@školjkasti sedeži@
@Budapest@|@Budimpešta@
@buffet@|@bife@
@bugle@|@rog@
@build (to..)@|@graditi@
@building@|@poslopje, sestavljanje, zgradba@
@Bulgaria@|@Bolgarija@
@bull@|@bik@
@bullet@|@krogla, naboj@
@bum@|@zadnjica@
@bump@|@grba@
@bumper@|@odbijač@
@bun@|@krof, žemlja@
@bunch themselves@|@košatiti se@
@bureau@|@biro@
@bureau of....@|@pisarna@
@burn@|@opeklina@
@burn (to..)@|@zažgati@
@burnt smell@|@smod@
@burst (v)@|@počiti@
@bus@|@avtobus@
@bus or train stop@|@postaja@
@bus stop@|@avtobusna postaja, postajališče@
@bush@|@grm@
@bushes@|@grmovje@
@bushings@|@bužirke, distančniki@
@business card@|@vizitka@
@bust@|@kip@
@busy@|@zaposlen, zaseden@
@but@|@a, ampak, toda@
@butcher's shop@|@mesnica@
@butter@|@maslo@
@butterfly@|@metulj@
@button@|@gumb@
@button or snap@|@zaponka@
@buy (to..)@|@kupiti@
@buying (to be..)@|@kupovati@
@buzz (v)@|@brencati, brenčati@
@buzzard@|@kanja@
@by@|@po@
@by air@|@letalski@
@by day@|@podnevi@
@by heart@|@na pamet@
@by law@|@zakonodaja@
@by night@|@ponoč@
@by plane@|@letalski@
@by the way@|@mimogrede@
@bye@|@ciao@
@cabbage@|@zelje@
@cable entry@|@dovod@
@cablecar@|@žičnica@
@café@|@kavarna@
@café (lieu)@|@bar@
@cake@|@torta@
@cake shop@|@slaščičarna@
@calculate (v)@|@računati@
@calculation@|@račun@
@calculator (colloq)@|@digitronček@
@calendar@|@koledar@
@calf@|@tele, teliček@
@caliper@|@čeljust@
@call (to..)@|@poklicati@
@call (to...)@|@klicati@
@calling card@|@vizitka@
@calm@|@tih@
@camel etc.)@|@jahati@
@camera@|@aparat@
@camera (pix)@|@fotoaparat@
@camp@|@kamp@
@camping@|@kamping@
@can@|@konzerva, piksna, škatla@
@can (v)@|@znati@
@Canada@|@Kanada@
@cancel (to..)@|@odpovedati@
@cancel (v)@|@preklicati@
@cancellation@|@odpoved@
@cancer@|@rak@
@candle@|@sveča@
@candle (little )@|@svečka@
@candy@|@bonbon@
@canned food@|@konzerva@
@canon (warfare etc.)@|@top@
@canvas@|@platen, platno@
@cap@|@čepica, kapa@
@capable of doing@|@lahko@
@capital letters@|@velike črke@
@capricorn@|@kozorog@
@car@|@avto@
@caravan@|@prikolica@
@carburant@|@gorivo@
@carcase@|@trup@
@card reader@|@čitalec kartic@
@care@|@skrb@
@care for (to..)@|@skrbeti@
@care for (v)@|@poskrbeti@
@carefully@|@pazljivo@
@carriage@|@voz@
@carrier frquency@|@nosilna frekvenca@
@carrots@|@korenje@
@carrry (to..)@|@nositi@
@carry (to..)@|@nesti@
@carry out (v)@|@izvajati@
@carrying case@|@kovček@
@carrying out (v)@|@izvrševati, opravljati@
@carrying out of@|@opravljanje@
@cars@|@dren@
@cart@|@voz@
@cartoon@|@risanka@
@case@|@primer@
@case (pillow..)@|@prevleka@
@cash@|@blagajna@
@cash money@|@gotovina@
@cash register@|@blagajna@
@cashier@|@blagajnik@
@cassette@|@kaseta@
@cast (for an injury)@|@mavec@
@castele owner@|@graščak@
@castle@|@grad@
@cat@|@muca@
@cat (f)@|@mačka@
@cat (m)@|@maček@
@catch (to..)@|@loviti, ujeti, uloviti@
@catch fish (to..)@|@loviti ribe@
@caterpillar@|@gosenica@
@cathode (elec)@|@katoda (elek)@
@caught@|@ujet@
@Cauliflower@|@cvetača@
@cause@|@razlog, vzrok@
@cause of death@|@vzrok smrti@
@caution!@|@pozor!@
@cave@|@jama@
@cave people@|@jamski ljudje@
@cd rom drive@|@cd pogon@
@cd rom drive (pc)@|@optična enota@
@ceiling@|@strop@
@celebrated@|@slaven, z bogato preteklostjo, zelo znan in cenjen@
@celebration@|@praznovanje@
@celesta@|@celesta@
@cell phone@|@mobilni telefon, mobitel@
@cell phone (colloq)@|@regla (pogov.)@
@cemetary@|@pokopališče@
@center@|@center, središče@
@center circle@|@središčni krog@
@centifugal force@|@centifugalna sila@
@central (heating)@|@centralna@
@century@|@stoletje, vek@
@cereal@|@žitarica@
@ceremony@|@obred@
@cerials@|@žito@
@certain@|@prepričan@
@certainly@|@gotovo@
@certificate@|@potrdilo@
@cessation@|@prenehanje, ustavitev@
@chain@|@veriga@
@chair@|@stol@
@chairlift@|@sedežnica@
@challenge@|@izziv@
@championship@|@prvenstvo@
@chance@|@priložnost@
@chandelier@|@lestenec@
@change@|@sprememba@
@change (money)@|@drobiž@
@change (to..)@|@spremeniti, zamenjati@
@change a child's diaper (to..)@|@previti@
@change colour (v)@|@obarvati@
@changing@|@spreminjanje@
@channel@|@kanal, uzvod@
@channel (TV)@|@program@
@character (pc)@|@znak (PC)@
@character set@|@nabor znakov@
@characteristic@|@lastnost, značilnost@
@charcoal@|@oglje@
@charge (v)@|@naelektriti@
@chase (v)@|@gnati@
@chassis@|@ogrodje, šasija@
@château@|@grad@
@cheap@|@poceni, skop, škrt@
@cheaper@|@ceneje@
@check in@|@prijava@
@check out@|@odjava@
@checkup@|@pregled@
@cheese@|@sir@
@chello (music)@|@čelo (glasba)@
@cheque@|@ček@
@cherry@|@češnja@
@chest@|@prsi, skrinjica@
@chestnut@|@kostanj@
@chew up@|@odžirati@
@chewing gums@|@žvečilni gumi@
@chickadee@|@sinica, sinička@
@chicken@|@kokoš, piščanec@
@chicken (colloq)@|@piška@
@chicken coop@|@kurnik@
@chief@|@poglavar@
@child@|@otrok@
@child seat restraint (tether hook)@|@varovalo za prevoz otroka@
@children@|@otroci@
@chimney@|@dimnik@
@chin@|@brada@
@chipset@|@čipovje@
@chocolate@|@čokolada@
@chocolate for drinking@|@kakav@
@choice@|@izbira, izbor@
@choke (elec)@|@dušilka (elek)@
@choose (to...)@|@izbrati@
@chord@|@akord@
@chosen@|@izbran@
@christmas@|@božič@
@church@|@cerkev@
@chute@|@jašek@
@cicada@|@škržat@
@cigar@|@cigara@
@cigarette@|@cigareta@
@cigarette (colloq)@|@čik@
@cigarettes@|@cigarete@
@cinders@|@pepel@
@cinéma@|@kino@
@circle@|@krog@
@circling in flight (v)@|@obletavati@
@circuit@|@tokokrog@
@circuit board@|@vezje@
@circumstances@|@okoliščine, razmere@
@cite (v)@|@navesti@
@cities@|@mesta@
@citizen@|@državljan@
@citizenship@|@državljanstvo@
@citronelle@|@roženkraut@
@city@|@mesto@
@claim@|@zahtevek@
@claimant@|@zavarovanec@
@clap (to..)@|@ploskati@
@clarinet@|@klarinet@
@class@|@razred, razred, stan@
@classroom@|@učilnica@
@clean@|@čist@
