@meadow@|@kahènta@
@measure (v.)@|@-te'nyentenhstha'@
@meat@|@o'wàronk@
@metal@|@karihstatsi@
@midnight@|@ahsonthen@
@milk@|@onònta@
@milk pitcher@|@yenon'tarahkwa@
@milking cow@|@kanòntat@
@minnow@|@kaniyonta@
@misty: it is ~@|@tyotsha'tayenthon@
@mittens@|@a'nyanawen'@
@moccasins@|@ahtahkwa'onwe@
@Mohawk nation@|@Kahnyen'kehàka@
@Monday@|@Yawententa'onh@
@money@|@ohwihsta@
@monkey@|@katsi'nonhtaks@
@moose@|@ska'nyonhsa@
@morning: in the ~@|@orhen'kème@
@moss@|@awerahsa@
@mother@|@-'nihstenha@
@mouse@|@tsinowen@
@mouth@|@ohsakàra@
@mud@|@onawatsta@
@nail@|@karonware@
@necklace@|@ennihtyakstha@
@net@|@a'are@
@nine@|@tyohton@
@nineteen@|@tyohton-yawenre@
@ninety@|@tyohton-niwahsen@
@nose@|@o'nhonhsa@
@November@|@Kentenhkowa@
@nut@|@ohsòkwa@
@October@|@Kentenha@
@oil@|@kènye'@
@older brother@|@-tsi'a@
@one@|@enhskat@
@one hundred@|@ehnskat-tewn'nyawer@
@one thousand@|@enhskat-tewen'nyawe'ehseron@
@Oneida nation@|@Onenyotehàka@
@Onondaga nation@|@Ononta'kehàka@
@orange@|@otyarènta@
@otter@|@tawine@
@outer ear@|@ohonhta@
@owl@|@tsihstekeri@
@pants@|@athahsteren'@
@parrot@|@tekahstya'ks@
@partridge@|@ahkwesen@
@pear@|@katshe'kahik@
@peas@|@onekwa@
@pen@|@yehyatonhkwa@
@pepper@|@tyotskara'kowa@
@perch@|@oyenhèta@
@person@|@onkwe@
@photograph@|@kayàtare@
@pick fruit (v.)@|@-hyakwas@
@pickerel@|@skakahrakseen@
@pig@|@kweskwes@
@pike@|@tsikhnennàtaks@
@pillow@|@atkònsera@
@pine tree@|@ohnehta'kowa@
@pink@|@wehsènrate@
@plant (v.)@|@-kyenthos@
@plantain@|@atenneha@
@plate@|@akèra@
@platter@|@kaksowanen@
@plum@|@wihson kahik@
@polar bear@|@wahkwari'takenra@
@potatoes@|@ohnennàta@
@pour (v.)@|@-werons@
@practice (v.)@|@-teweyenhstha'@
@pumpkin@|@onon'onhsera'kowa@
@puppy@|@eris@
@purple@|@oharennahta@
@purse@|@kenhnàta@
@quiver@|@ahtatshera@
@rabbit@|@kwa'yenha@
@raccoon@|@atiron@
@radio@|@kawennokwas@
@radish@|@yotsihkwatskàra@
@raining: it is ~@|@yokennoren@
@raspberries@|@skanekwenhtarati@
@receive (v.)@|@-yenahs@
@red@|@onekwenhtara, onekwenhtara@
@red cedar tree@|@onen'takwenhton@
@red oak@|@karihton@
@refrigerator@|@kakhwawihstonhtha@
@rest (v.)@|@-torishenks@
@restaurant@|@tsi teyontska'honhkwa@
@ring@|@ennihsnonhsawi'@
@river@|@kahyonhowanen@
@road@|@ohaha@
@robin@|@tsihskoko@
@rock@|@otstènra@
@roof@|@ahskwa@
@roots@|@ohtera@
@rubber@|@ohnatirontha@
@ruler@|@wate'nyentenhstahkwa@
@salad dressing@|@yehontohseràtha@
@salt@|@tyohyòtsis@
@Saturday@|@Tsi yenaktohares@
@scarf@|@teyontenyàteren'@
@seagull@|@tsyowatstakawe@
