@sheaves ready for threshing@|@xäl@
@sheep@|@nüšej@
@sheep-cot@|@wyzyr@
@sheep-flock@|@xIyb@
@sheep's dung@|@käkäl@
@shepherd's staff@|@kaš@
@shin@|@charaqaj@
@shin-bone@|@cum@
@shirt@|@uxun@
@short@|@zhyk-dy@
@shoulder@|@ghIun@
@side@|@beg@
@sieve@|@sixw@
@sinew@|@tab@
@sister@|@riši@
@six@|@rixy-d@
@skin@|@le'@
@sky@|@xIal@
@slab@|@lazh@
@sleigh@|@ghIal@
@slime on a stone@|@zhäb@
@slip@|@cu=xwe-@
@slush@|@lar@
@small@|@ky'-dy@
@small axe@|@kiruw@
@small sheep@|@baci@
@small stone@|@cwar, q:at@
@smallpox@|@bych-byr@
@smoke@|@xum@
@snake@|@gar@
@snivel@|@qyr@
@snot@|@qIymyt@
@snow@|@jiz@
@sock@|@sukaj@
@son@|@dux@
@soot@|@ser@
@sound@|@un@
@soup@|@ryq@
@sour@|@chyrchym-dy@
@sour cream@|@zhar@
@southern slope@|@wys@
@span@|@chub@
@sparrow@|@iški-l, nyc@
@spelt@|@naxIw@
@spider's web@|@xaš@
@spine@|@barkw, gwarg@
@spit@|@tu@
@spittle@|@rix@
@spleen@|@ziliz@
@spool@|@timug@
@spoon@|@dur@
@spring wool@|@arxI@
@squeeze@|@=ircha-, =iricha-@
@stack@|@razh@
@stake@|@xak@
@stalk@|@ghur@
@star@|@xIadij@
@step of stairs@|@qIyt@
@step-father@|@chuxud-did@
@stick@|@kar, tatal@
@sting@|@xud@
@stone@|@cud@
@stone trough for watering@|@lat@
@stop up@|@ä=šwa-@
@straw@|@naxw, sum@
@strawberry@|@niGGä@
@stump@|@q:wat@
@sublative@|@-á, -ý@
@suffix of a locative case@|@-q, -x@
@suffix of abstract nouns@|@-n@
@summer@|@ghIyl-d@
@sun@|@virygh@
@superiority in reaping@|@marf@
@support@|@myxyl@
@sweet@|@id-dy@
@sweetbrier@|@kaškal-byr, niggä@
@tail@|@zhy-byr@
@taking the kettle off fire@|@bac-byr@
@tale@|@maxw@
@tear@|@naghw@
@ten@|@jicy-d@
@testiculus@|@qylyq@
@that@|@ha-d@
@thaw@|@=ica-@
@thick of liquids@|@iqw-dy@
@thin@|@qyldy@
@thin log@|@chil@
@thin rope@|@uxur@
@thou@|@ghu, wy@
