@to stop still@|@ifyn, tífyng, tïp@
@to suck breast@|@ma'm, mamät, mamn@
@to sweat@|@abbataghan@
@to tell@|@ky:hj@
@to throw@|@esy'@
@to tie@|@ulingtet@
@to trot@|@chat-tat@
@to warm up@|@afynget@
@to weave@|@kãp@
@tooth@|@ä, är, i:ht, iteng@
@top of head@|@fãt, fattat, fattatyng, fatyngen@
@towards the shore@|@agéj@
@towards there@|@kane:hš@
@toy@|@afynyngsi@
@trap@|@ki, ki'ng@
@tree@|@oksy@
@trousers@|@aling, alyngyn@
@Tungus@|@fAmba, fAmban@
@tussock@|@flryng, fyhš@
@twenty@|@e'k, eksy@
@twins@|@yn 'bringgisi@
@upon@|@lxat@
@upwards@|@cho'j, chosej@
@vagina@|@faran, faranyng@
@vessel made of birch bark@|@y:t, ydeng@
@wagtail@|@chichik, chichikan@
@war@|@ka:hr@
@water spirit@|@urgus@
@we@|@'btn@
@weak@|@e:h@
@wear@|@-dyr, x-ir@
@wedge@|@en, enyng@
@well@|@axte@
@wesp@|@bysset, bysseyn@
@wet@|@uttá-diding@
@what a@|@ases, assa@
@what?@|@assa@
@when@|@ãskej, ãskejsit@
@which@|@asejs@
@whirlwind@|@ulbej, ulgit@
@whistle@|@kucharéj, kuchiréj@
@white moss@|@chadyng, tãdeng, tãdengen@
@who@|@anet, asera@
@whole@|@e:hf, e:hp, efyng@
@why@|@aj, asejsang, asesang@
@widow@|@blssem@
@wild animal@|@atöe:hr, atöen@
@wilderness@|@a:hr@
@willow@|@d'l-git, d'lfat@
@willow bark@|@d'neng, dl:hn@
@wind@|@bej@
@wind from the river source@|@ud-bej, útej@
@window@|@xamgok@
@wing@|@ke'j, kejadyng, kejäng, kejat@
@winter@|@k't@
@wolverine@|@ku:hn, kunyn@
@wood spirit@|@xajgus@
@woody hill@|@parämpãs@
@worm@|@iolyn, o'l, ollä@
@writing@|@iding engning, idingej@
@you@|@'kng, k'kng@
@your@|@uk@
@Yugh@|@du:hk, dugn@

