@white@|@jagwara-n@
@who@|@hi-šu@
@wide@|@aqI-n@
@wild turkey@|@sole@
@willow@|@chow@
@wind@|@kulak, myc@
@window@|@ghul@
@wineskin@|@qoche@
@winter-supply of dried meat@|@gon-na@
@wither@|@sa-chy=xIar-@
@wolf@|@umul@
@woman@|@xuna-š:e@
@woman's adorned belt@|@cura@
@wood@|@os@
@woodpecker@|@taqtaqaj@
@wool@|@xa@
@worm@|@aIbra-wuche, myqI@
@yarn@|@mysyl@
@year@|@sen@
@yellow@|@qI:ybyna@
@yesterday@|@s:an-ghi@
@yoke@|@oIk, ok@
@you@|@šu@
@young goat@|@kuwar@
@young he-goat@|@myxIywa, wudra, wydra@
@young of domestic animals@|@kurij, kurukaj@

