@to clear up of weather@|@oI=chin-@
@to comb@|@=ex:a-@
@to come@|@a=li-, bat:-eš:a-@
@to come in@|@chu-@
@to copulate@|@=eIha-@
@to crush@|@=áta-@
@to cut@|@a=ta-, lwa-@
@to cut in pieces@|@ars:a-@
@to dance@|@qe-bus@
@to destroy@|@a=ka-@
@to die@|@xwi-@
@to dig@|@já=xIa-@
@to dip@|@ors:a-@
@to divide@|@qIa-@
@to drag@|@xIa-@
@to fall@|@e=ka-@
@to ferment@|@tar-as@
@to find@|@xo-@
@to forget@|@e=xin-@
@to get hungry@|@lah-bos@
@to glance@|@hara-kes@
@to gnaw@|@artin-, chwelchä-bos@
@to go@|@herqIa-s, qIe-s@
@to go away@|@=ak:i-@
@to grumble@|@ghIemghIä-bos@
@to gulp down@|@x:u-bus@
@to hang@|@exin-@
@to hear@|@ko-@
@to itch@|@guk:ä bos@
@to kill@|@a=ch:a-@
@to kiss@|@pa-bos@
@to knead dough@|@š:eIn-@
@to knit@|@x:em-@
@to laugh@|@xIar-@
@to leave@|@=aq:a-s@
@to lick@|@cha-, lam-, lam-mus@
@to lie@|@a=xa-@
@to look@|@sa=k:a-@
@to make@|@a=a-@
@to make an ablution@|@e=l:in-@
@to milk@|@=ac:a-@
@to open@|@d-axa as@
@to plane@|@babca-@
@to plough@|@=ac:a-@
@to pluck@|@=ot:a-@
@to pour@|@=exa-@
@to pour into@|@=ec:a-@
@to praise@|@ca-@
@to pull@|@lun-@
@to put@|@e=l:a-@
@to put on@|@=ubla-s@
@to reach@|@e=qi-@
@to return@|@baqIa-@
@to ripen@|@o=qi-@
@to rot@|@šeI-@
@to run away@|@l:un-, šeI-@
@to saw@|@x:ux:u-bos@
@to scatter@|@=arx:in-@
@to scoop up@|@=erx:Ia-@
@to see@|@=ak:u-@
@to sharpen@|@=eIch:a-@
@to sift@|@cum-, cum-mus@
@to sing@|@xa-, xa-bus@
@to sit@|@oqis@
@to sleep@|@axu kes@
@to smear@|@s:us:ä-bos@
@to spit@|@tu-bus@
@to stand@|@o=c:i-@
@to stand up@|@x:a-@
@to stay@|@e=x:a-, imm(a)-ex:as@
@to suck@|@=uxa-, mam=uxa-@
@to swallow@|@=oq:Ia-@
@to sweep@|@=el:a-@
@to swell@|@babx:Ia-@
@to take@|@š:u-@
@to think@|@arha-s@
@to throw@|@kam-, lap:us@
@to touch@|@s:a-@
@to tremble@|@=as:a-@
@to unlock@|@d-abla-@
@to wake up@|@e=la-@
@to want@|@l:an@
@to wash@|@=oc:a-@
@to win@|@xe-@
@to wind@|@cha-@
@to winnow@|@jáha-@
@to work@|@irxwin-@
@together@|@l:wa@
@tomb-stone@|@mosol@
@tomorrow@|@šut:a@
@tongue@|@mac@
@tooth@|@sot@
@top of boot@|@qIaq:Ii@
@tortoise@|@qalaq-uIrbäti@
@trap@|@x:on@
@trough for grain winnowing@|@chach:i@
@trousers@|@paIt:ä-la@
@tube@|@gak:i@
@tuber@|@qIwib@
@twenty@|@qa@
@two@|@qIwe@
@untie@|@oI=ša-@
@until@|@eqen@
@urge@|@a=ka-@
@urine@|@cor@
@vagina@|@qIut@
@village@|@xIor@
@wall@|@cher@
@water@|@l:an@
@watering trough@|@takan@
@wax@|@xam@
@we@|@nen@
@weasel@|@š:ibux:al, tunl:@
@wedding@|@oq@
@weigh@|@a=sin-@
@wet@|@cha:Ira-@
@wheat@|@qoqol@
@when@|@basa@
@whey@|@meI@
@whistle@|@š:wit-bos@
@white@|@chuIba-t:ut@
@who@|@kwi, l:i, l:i-li@
@wild turkey@|@mus:al@
@wine@|@chon@
@wineskin@|@qwachi@
@winter pasture@|@mal:i@
@wither@|@tux-@
@wolf@|@jam@
@woman@|@l:on:ol@
@women@|@xom@
@wooden shovel@|@kati@
@wool of sheep@|@ol@
@word@|@chat@
@worm@|@milixIu, xwarši@
@year@|@s:an@
@yellow@|@xaxat:ut@
@yesterday@|@s:an-ghi@
@yoke@|@ol:@
@you@|@žwe-n@

