@encyclopaedia@|@baekgwasajeon@
@enemy@|@weonsu@
@engine@|@gigwan@
@engineer@|@gisa@
@England@|@yeongguk@
@English language@|@yeongeo@
@English person@|@yeongguksaram@
@enter (go into)@|@deureogada@
@entertainment@|@jeopdae@
@entrance@|@ipgu@
@envelope@|@pieonjibongtu@
@environment@|@hwangyeong@
@equator@|@jeokdo@
@eraser@|@jiugae@
@estimate (cost)@|@gyeonjeok@
@estimate (written)@|@gyeonjeokseo@
@Europe@|@yureop@
@European person@|@yureopin@
@evening@|@jeonyeok@
@evil@|@nabbeun@
@evolution@|@jinhwa@
@examination@|@siheom@
@examine@|@siheomhada@
@example@|@bogi@
@excersise book@|@gongchaek@
@exchange@|@gyohwan@
@exercise@|@undong@
@exit@|@chulgu@
@expedition@|@weonjeong@
@expensive@|@bisada@
@experience@|@gyeongheom@
@experiment@|@silheom@
@expert@|@iksukhan@
@exploration@|@tamheom@
@explore@|@tamheomhada@
@explorer@|@tamheomga@
@exterior@|@baggateui@
@eye@|@nun@
@eyebrow@|@nunsseop@
@eyelash@|@soknunsseop@
@eyelid@|@nunggeopul@
@eyesight@|@siryeok@
@face@|@eolgul@
@factory@|@gongjang@
@faith@|@sinang@
@faithful@|@silloehalsu itneun@
@fall (autumn)@|@gaeul@
@family@|@gajok@
@famous@|@yumyeonghan@
@fan (electric)@|@sanpungee@
@fan (hand)@|@buchae@
@farm@|@nongjang@
@farm house@|@nongga@
@farmer@|@nongbu@
@farming@|@nongeop@
@fashion@|@yuhaeng@
@fashionable@|@yuhaenge matneun@
@father@|@abeoji@
@fawn@|@saeggi saseum@
@feather@|@gitteol@
@February@|@iweol@
@female@|@yeoja@
@fence@|@dam@
@fern@|@gosari@
@ferry@|@yeollakseon@
@festival@|@chukje@
@fiction (novel)@|@soseol@
@fifteen (C)@|@sipo@
@fifteen (K)@|@yeoldaseot@
@fifty (C)@|@osip@
@fifty (K)@|@swin@
@fig@|@muhwagwa@
@fight@|@ssaum@
@film@|@pilreum@
