@English@|@Finnish@
@added@|@lisätty, yhteenlaskettu@
@addendum@|@lisälehti@
@adder@|@kyy, laskukone, lisääjä@
@addict@|@-hullu, huumeriippuvainen, jäädä koukkuun, narkomaani, riippuvainen, tulla riippuvaiseksi@
@addiction@|@addiktio, riippuvaisuus, riippuvuus@
@addictive@|@addiktiivinen, riippuvuus-, riippuvuutta aiheuttava@
@addition@|@lisäys, yhteenlasku@
@additional@|@lisä, lisä-, muu, oheinen@
@additional subject@|@sivuaine@
@additional value@|@lisäarvo@
@additionally@|@sekä@
@additive@|@additiivinen (math.), lisäaine@
@addle@|@mätä@
@add-on@|@lisäosa@
@address@|@adressi, kertoa, kirjelmä, kirjoittaa, kohdistaa, käsitellä, onnittelukirje, osoite, osoittaa, puhutella@
@address a person formally@|@teititellä@
@adds up to@|@yhteensä@
@adduce@|@esittää@
@adept@|@haka@
@adequacy@|@pätevyys@
@adequate@|@antoisa, kelvollinen, riittoisa, riittävä@
@adequately@|@kylliksi, kyllin, riittävissä määrin, riittävästi@
@adhere@|@kannattaa, myötäillä, noudattaa, olla uskollinen, tarttua@
@adhere to@|@pitäytyä@
@adherent point@|@kosketuspiste (math.)@
@adhesive@|@kiinnittyvä, liimainen, liimamainen, tahmainen, tahmea, tarraava, tarramainen, tarrautuva, tarttuva@
@adhesive force@|@sidosvoima@
@adhesiveness@|@sidosvoima@
@adieu!@|@hyvästi!@
@adipose fin@|@rasvaevä@
@adjacent@|@läheinen, rinnakkain, viereinen, vierekkäin@
@adjective@|@adjektiivi, laatusana@
@adjoin@|@yhdistyä, yhdistää@
@adjoining@|@viereinen@
@adjoint@|@adjungaatti (math.), adjunkti (math.)@
@adjoint space@|@duaaliavaruus (math.)@
@adjourn@|@hajaantua, siirtyä@
@adjudicate@|@päättää@
@adjunct@|@määre, määrite, määräys@
@adjure@|@pyytää, rukoilla@
@adjust@|@asetella, kohentaa, mukaantua, mukauttaa, rukata, säädellä, säätää@
@adjust to@|@mukauttaa@
@adjustable@|@mukautuva@
@adjuster@|@säädin@
@adjustment@|@asetelma, asettelu, mukauttaminen, mukautuminen, muutos, muuttaminen, sopeuttaminen, sopeutuminen, sopeutus, sovittaminen, säätäminen@
@adjutant@|@adjutantti@
@administer@|@antaa, toimittaa@
@administer the communion@|@pitää ehtoollinen@
@administration@|@hallinto, hallintoelimet, hallintokausi, presidenttikausi, toimeenpanevat elimet@
@administrative@|@hallinnollinen@
@administrative district@|@lääni, piirikunta, virka-alue@
@administrative law@|@hallintolaki@
@administrator@|@johtaja, pesänhoitaja, päättäjä, ylläpitäjä@
@admirable@|@erinomainen, ihailtava@
@admiral@|@amiraali@
@admiration@|@arvostus, ihailu, ihmetys@
@admire@|@ihailla@
@admirer@|@ihailija@
@admissible@|@sallittava, suotava@
@admission@|@sisään päästäminen@
@admission charge@|@sisäänpääsymaksu@
@admission fee@|@sisäänpääsymaksu@
@admission note@|@lähete@
@admission price@|@sisäänpääsymaksu@
@admit@|@hyväksyä, myöntää, päästää@
@admittance@|@sisään päästäminen@
@admitted@|@tunnustettu@
@admitting that@|@vaikka@
@admixture@|@sekoitus@
@admonish@|@kehottaa, nuhdella, ojentaa, varoittaa@
@admonition@|@huomautus, muistutus, nuhde, nuhteet, nuhtelu, ojennus, varoitus@
@admonitory@|@varoittava@
@ado@|@hälinä@
@adolescent@|@epäkypsä, teini, teini-ikäinen@
@adopt@|@adoptoida, ajaa asiaa, käydä, omaksua, ottaa, saada@
@adopt an attitude@|@suhtautua@
@adopted child@|@ottolapsi@
@adopted son@|@ottopoika@
@adopter@|@adoptoija@
@adoption@|@adoptio, käyttöönotto, omaksuminen@
@adoptive child@|@ottolapsi@
@adorable@|@hellyyttävä, suloinen@
@adoration@|@ihailu, ylistys@
@adore@|@jumaloida@
@adored@|@armas, rakas@
@adorn@|@antaa valtaa, kaunistaa, koristaa, koristella, pukea, somistaa@
@adornment@|@koriste, koristus@
@adrift@|@tuuliajolla@
@adroitly@|@taitaen, taitavasti, taiten@
@adult@|@aikaihminen, aikamies, aikuinen, täysi-ikäinen, täysikasvuinen@
@adult male chicken@|@kukko@
@adult man@|@aikamies@
@adulterate@|@jatkaa, laimentaa@
@adultery@|@uskottomuus@
@adumbration@|@pääkohdat, yleiskuva@
@advance@|@antaa ennakkoon, arvonnousu, edesauttaa, edetä, edistys, edistysaskel, edistyä, edistää, ennakko, ennakko-, esittää, eteneminen, etumatka, kannustaa, korottaa, kulkea, kulku, laina, liikkua, lisätä, lisäys, lähestyminen, lähestymisyritys, meno, parannus, pärjätä, siirtää eteenpäin, vahvistaa, voimistaa, ylentää, yletä@
@advance payment@|@ennakko@
@advance slowly@|@astella@
@advanced@|@edennyt, edistynyt, eteni, etenivät, hienostunut, konstikas, kulki, kulkivat, moderni, mutkikas@
@advancement@|@edistys, edistysaskel, edistystä, ennakko, eteneminen@
@advancing@|@etenevä@
@advantage@|@ansio, etu, valtti@
@advantageous@|@edullinen, hyödyllinen, otollinen, suopea@
@advent@|@adventti, alku, keksiminen, tulo@
@Advent@|@adventti@
@adventure@|@ottaa riski, riskeerata, seikkailu, vaarantaa@
@adventuresome@|@uskalias@
@adventurous@|@uskalias@
@adverb@|@adverbi@
@adversary@|@vastustaja@
@adverse@|@epäsuotuisa, nurja, päinvastainen, vasta-, vastakkainen, vastoinkäyminen@
@adversity@|@ahdinko, hankaluus, koettelemus, vaikeus, vastoinkäyminen@
@advert@|@huomioida, kuunnella, mainita@
@advert to@|@viitata@
@advertise@|@mainostaa@
@advertisement@|@ilmoitus, mainos@
@advertiser@|@mainostaja@
@advertising@|@mainos, mainos-, mainosala, mainostus@
@advertising film@|@mainoselokuva@
@advertising medium@|@mainosväline@
@advertising sign@|@mainoskilpi@
@advertising value@|@mainosarvo@
@advice@|@eväät, kehotus, neuvo, neuvoa, opastus@
@advisable@|@edullinen, haluttava, haluttu, mieleinen, suositeltava, suotava, viisas@
@advise@|@ehdottaa, evästää, huomauttaa, ilmoittaa, kehottaa, neuvoa, neuvonta, tiedottaa@
@advisedly@|@tahallaan, tarkoituksella, tieten tahtoen, vasiten@
@adviser@|@konsultti, neuvonantaja@
@advisor@|@konsultti, neuvonantaja@
@advisory@|@neuvoa antava@
@advocate@|@ajaa asiaa, asianajaja, ideoija, kannattaja, neuvoa, puolestapuhua, puolestapuhuja, puolustaja, puolustusasianajaja, saarnata, suositella@
@advocator@|@ideoija, puolestapuhuja@
@adynamic@|@hintelä@
@aeonian@|@ikuinen@
@aeration@|@ilmastus@
@aerial@|@antenni, eteerinen, ilma-, ilmassa elävä, ilmassa oleva, ilmava, kevyt, lento-@
@aerie@|@kotkanpesä, pesä, petolinnun pesä, poikue@
@aero@|@ilma-, ilmailu-, lento-, lentokone-@
@aerobatics@|@taitolento@
@aerobics@|@aerobinen harjoittelu@
@aeroplane@|@lentokone@
@aerosol@|@aerosoli, suihke, suihkepullo@
@aerospace@|@ilmakehä ja avaruus@
@aery@|@pesä@
@aesthetic@|@aistikas, esteettinen, estetiikka@
@aesthetical@|@esteettinen@
@aesthetics@|@estetiikka@
@afar@|@kauas, kaukana@
@affable@|@lämmin, mukava, seurallinen, ystävällinen@
@affair@|@afääri, asia, esine, juttu, rakkaussuhde, seikka, suhde, tapahtuma, tehtävä, tilaisuus, toimi, toiminta@
@affaire@|@suhde@
@affairs@|@toiminta@
@affect@|@teeskennellä@
@affectation@|@poseeraus, teennäinen käytös, teennäisyys, teeskentely@
@affected@|@epäluonnollinen, kopea, korskea, leuhka, luonnoton, mairea, nokkava, pöyhkeä, ylenkatseellinen@
@affecting@|@sykähdyttävä@
@affection@|@hellyys, kiintymys, mielenliikutus, mieltymys@
@affectionate@|@hempeä@
@affianced@|@kihlaantunut@
@afficionado@|@harras ihailija@
@affidavit@|@valanalainen lausunto@
@affiliate@|@jäsen, liittolainen, liittyä, olla jonkun seurassa, solmia suhde, tuttu@
@affiliation@|@isyyden määrääminen, järjestö, liittyminen, suhde, suhteiden solmiminen, yhteys, yhtyminen@
@affine@|@affiini (math.), affiininen (math.)@
@affinity@|@lähisukuisuus, samankaltaisuus, sukulaisuus, veto@
@affirm@|@luvata, taata, tukea, vahvistaa, vannoa, varmistaa@
@affirmation@|@myöntäminen, toteaminen, tunnustaminen, varmistus, väittäminen@
@affirmative@|@suopea@
