@English@|@Finnish@
@Milky Way@|@linnunrata@
@mill@|@harhailla, jauhaa, jauhaminen, mylly, tampata, tehdas, vanuttaa@
@mill about@|@harhailla, maleksia, norkoilla@
@mill around@|@maleksia, norkoilla@
@miller@|@mylläri@
@milliard (Br)@|@miljardi@
@millimeter@|@millimetri@
@millimetre@|@millimetri@
@million@|@miljoona@
@millipeds@|@tuhatjalkaiset@
@milt@|@kalanmaiti, maiti@
@mimic@|@apinoija, imitaattori, matkia@
@minacious@|@pahaenteinen, uhkaava@
@minatory@|@pahaenteinen, uhkaava@
@mince@|@hakata, hillitä, pehmentää, sipsutella@
@mind@|@aikomus, ajattelija, huolehtia, huomio, kehdata, mieli, olla tarkkana, piitata, pitää mielessä, varoa, välittää, äly, älykkö@
@minded@|@taipuvainen@
@mindless@|@järjetön, mieletön, tolkuton, typerä, älytön@
@mindset@|@mielenlaatu@
@mind-set@|@mielenlaatu@
@mine@|@kaivos, louhia, miina, miinoittaa, minun, mun (informal)@
@mine (explosive)@|@miina@
@mine opening@|@kaivosaukko@
@mine shaft@|@kaivoskuilu@
@miner@|@kaivosmies, kaivostyöläinen, miinoittaja@
@mineral@|@mineraali@
@mine-shaft@|@kaivoskuilu@
@mingle@|@sekoittaa@
@mingle-mangle@|@sitä ja tätä@
@mingy@|@itara, pihi@
@minimal@|@minimaalinen, vähin@
@minimalist@|@minimalisti, minimalistinen, varovainen@
@minimise@|@kutistaa, minimoida, pienentää, tehdä merkityksettömäksi, vähätellä@
@minimize@|@kutistaa, minimoida, pienentää, tehdä merkityksettömäksi, vähätellä@
@minimum@|@alin, minimi@
@mining@|@kaivostoiminta@
@mining establishment@|@kaivos@
@minion@|@kätyri@
@minister@|@kirkkoherra, ministeri, pappi, pappismies@
@minister of defense@|@puolustusministeri@
@minister to@|@huolehtia@
@ministerial@|@ministeri-, papin@
@ministry@|@ministeriö@
@mink@|@minkki@
@minnow@|@sintti@
@minor@|@lapsi, pieni, pikku, sivuaine, toissijainen, vaatimaton, vähäinen@
@minor subject@|@sivuaine@
@minority@|@vähemmistö@
@mint@|@paljon@
@minus@|@miinus, vähentää@
@minute@|@minuutti, muistiinpano@
@minx@|@veitikka@
@miracle@|@ihme@
@mirage@|@kangastus@
@mire@|@liata, räme@
@mirror@|@kajastaa, peili@
@mirth@|@riemu@
@mirthful@|@hauska, huvittava, koominen, riemukas@
@mirthfulness@|@riemu@
@misanthropic@|@kyyninen@
@misanthropical@|@kyyninen@
@misapply@|@käyttää väärin, väärinkäyttää@
@misapprehend@|@käsittää väärin, tulkita väärin@
@misapprehension@|@erehdys@
@misbelief@|@harha@
@miscarry@|@raueta@
@miscellanea@|@sekoitus@
@miscellaneous@|@erilaiset, kaikenlaiset, sekalaiset, useat@
@miscellany@|@sekoitus@
@mischief@|@kelmi, ketku, nilkki, vekkuli@
@mischief tomboy@|@rasavilli@
@mischief-maker@|@rasavilli@
@mischievous@|@ilkeä, tuhma, veikeä@
@mischievously@|@tuhmasti@
@misconceive@|@käsittää väärin, tulkita väärin@
@misconstrue@|@käsittää väärin, tulkita väärin@
@miscreant@|@konna@
@miscue@|@lipsahdus@
@misdemeanor@|@rike, rikkomus, rötös@
@misdemeanour@|@rike, rikkomus, rötös@
@miser@|@saituri, visukinttu@
@miserable@|@kehno, kurja, onneton, pahainen, rähjä, surkea, synkeä, säälittävä, vaivainen, viheliäinen@
@misericorde@|@tikari@
@miserly@|@nuuka, saita@
@misery@|@hätä, hätä, kurjuus, onnettomuus, surkeus, vaivaisuus@
@misfortunate@|@säälittävä@
@misfortune@|@epäonni, onnettomuus, vastoinkäyminen@
@misgiving@|@epäily, epävarmuus, odotus, tuskallinen odotus@
@misguide@|@eksyttää, harhaanjohtaa, viedä harhaan@
@misguided@|@väärä@
@mishandle@|@kädettää (slang), möhliä, sotkea, tunaroida, töpeksiä@
@mishap@|@tapaturma@
@mishmash@|@sitä ja tätä@
@mish-mash@|@sitä ja tätä@
@misinterpret@|@käsittää väärin, tulkita väärin@
@misjudging@|@erehtyvä@
@mislay@|@hukata, hävittää, kadottaa@
@mislead@|@eksyttää, harhaanjohtaa, naruttaa, viedä harhaan@
@misleading@|@eksytys, harhaanjohtava, harhaanjohto, pettävä@
@misplace@|@hukata, hävittää, kadottaa@
@mispresent@|@kopeloida, käpelöidä, käpälöidä, näpelöidä, sormeilla@
@misprint@|@painovirhe@
@misread@|@lukea väärin, tulkita väärin, ymmärtää väärin@
@misrepresentation@|@harhaanjohtaminen, harhautus, puijaaminen@
@miss@|@haikailla, harhalyönti, huti, ikävöidä, iskeä harhaan, jättää väliin, kadottaa, kaiho, kaihota, kaivata, laiminlyödä, mennä sivu suun, neiti, ohiheitto, ohilyönti, olla huomaamatta, osua harhaan@
@Miss@|@neiti@
@miss out@|@laiminlyödä@
@missed@|@huti mennyt, kaipasi, kaipasivat, kaivanneet, kaivannut, ohi mennyt@
@missile@|@ohjus@
@missing@|@ilman, kadonnut, kaipaus, puutteellinen, vailla@
@mission@|@komennus, tehtävä, ulkomaanedustusto@
@missionary@|@lähetyssaarnaaja@
@mist@|@auer, sumu, usva, utu@
@mistake@|@erehdys, erehtyä, erhe, harha, kämmi (informal), lapsus, moka, sekoittaa, vikatikki, virhe@
@mistaken@|@virheellinen, väärä@
@mistaking@|@erehtyvä@
@mister@|@herra@
@mistily@|@hämärästi@
@mistle thrush@|@kulorastas@
@mistreat@|@kohdella huonosti, kohdella kaltoin@
@mistress@|@rakastajatar@
@mistrust@|@epäily, epäluottamus@
@misty@|@autereinen, sumuinen, usvainen, utuinen@
@misunderstand@|@käsittää väärin, tulkita väärin@
@misunderstanding@|@erehdys@
@misunderstood@|@väärinymmärretty@
@misuse@|@käyttää väärin, pidellä pahoin, väärinkäyttää, väärinkäyttö@
@miter@|@hiippa@
@mitigate@|@lieventää, pehmentää, vähentää@
@mitigated@|@helpottui, helpottuivat@
@mitre@|@hiippa@
@mitt@|@kinnas, käsi, lapanen, rukkanen, räpylä, vanttu@
@mitten@|@hansikas, hanska, kinnas, lapanen, rukkanen, vanttu@
@mittens@|@kintaat, lapaset, vanttuut@
@mitts@|@kintaat, lapaset, vanttuut@
@mix@|@avata kaikille ihmisryhmille, sekoittaa, sekoittua, sekoitus, seota@
@mix up@|@sekoittaa@
@mix with@|@kajota, seota@
@mixed@|@erilaiset, kaikenlaiset, kirjava, seka-, sekalainen, sekalaiset, sekava, sekoitettu, useat@
@mixed bag@|@sekoitus@
@mixer@|@vatkain@
@mixing@|@sekoittaen, sekoitus@
@mixture@|@keitos, sekoitus@
@mix-up@|@sekasotku, sotku@
@mizzle@|@ripeksiä, sataa tihkua, tihku, tihkusade, tihuttaa, tihuuttaa, tiputella, vihma, vihmasade, vihmoa@
@mm@|@millimetri@
@Mn@|@mangaani@
@mnemonic@|@helposti muistettava lyhenne, muistisääntö@
@Mo@|@molybdeeni@
@moan@|@itkeä, pahoitella, ruikuttaa, uikuttaa@
@moan and groan@|@mukista, nurista, nurkua, urputtaa@
@moat@|@oja, vallihauta, vesihauta@
@mob@|@ihmisjoukko, ihmislauma, joukko, kansanjoukko, köyhälistö, rahvas, rikollisjengi, rikollisjärjestö, roskajoukko, roskaväki, tungeksia, tunkea, väkijoukko@
@mobile@|@liikkuva, matka-, mobile@
@mobile phone@|@känny, kännykkä, matkapuhelin@
@mobility@|@liikkuvaisuus, liikkuvuus@
@mocha@|@mokka@
@mock@|@ilkkua, irvailla, ivailla, ivata, nälviä, pilkata@
@mocker@|@koiranleuka, pilkkaaja@
@mockery@|@pilkka@
@mocking@|@irvailu, kyyninen, pilkallinen, pilkka, pilkkaava@
@mod@|@moderni@
@mode@|@laatu, moodi, muoti, sävellaji, tapa, tapaluokka, tila@
@model@|@esikuva, esimerkki, hahmottaa, kaava, kaavailla, kaavailu, kokeellinen, kuosi, malli, mallikas, muovata, näyte, poseerata@
@model aeroplane@|@lennokki@
@model aircraft@|@lennokki@
@model example@|@malliesimerkki@
@model plane@|@lennokki@
@modeling@|@valos@
@moderate@|@estellä, hallita, hillitty, hillitä, johtaa, keskinkertainen, keventää, kohtalainen, kohtuullinen, leuto, liennyttää, lieventää, maltillinen, pidätellä, pidättyväinen, rajoittaa, säädellä, taltuttaa, vaimentaa, valvoa@
@moderately@|@ihan, jokseenkin, joltisenkin, kohtalaisen, kohtuullisen, kohtuullisesti, kohtuullisesti, melko, siedettävän, siedettävästi@
@moderateness@|@maltillisuus, pidättyvyys@
@moderation@|@alkututkinto, helpotus, kohtuullisuus, kohtuus, maltillisuus, pidättyneisyys, pidättyvyys, pidättyväisyys, vaimennus, vaimentaminen@
@modern@|@moderni, nykyaikainen, uudenaikainen@
@modern language@|@nykykieli@
@modernise@|@kehittyä@
@modernize@|@kehittyä, uudistaa, uusia@
@modest@|@hillitty, säädyllinen, vaatimaton@
@modesty@|@häveliäisyys, säädyllisyys@
@modifiable@|@mukautuva@
@modification@|@mukaelma, muunnelma, muunnos, muutos, muuttaminen, määräys, säätäminen@
@modify@|@muunnella, muuntaa, muuttaa, rajata, rajoittaa, rukata@
@modish@|@moderni@
@mods@|@alkututkinto@
@module@|@hengenlahja, moduuli@
@modus vivendi@|@elämäntapa@
@mogul@|@pohatta@
@Mohammedan@|@muslimi@
@moil@|@huhkia, puurtaa, raataa, ravistaa@
@moist@|@kostea, kosteahko@
@moist wart@|@visvasyylä@
@moisten@|@kosteuttaa, kostua@
@moisture@|@kosteus@
@mold@|@antaa suuntaa, home, homeentua, kehä, multa, muokata, muotoilla, muotti, muovata, myötäillä, työstää, vaikuttaa, valaa, valos@
@molder@|@mädäntyä@
@molding@|@valos@
@moldy@|@homeinen@
@mole@|@aallonmurtaja, maamyyrä, myyrä@
@molecular@|@molekyyli-@
@molecule@|@molekyyli@
@molest@|@harmittaa, kiusata@
@mollifying@|@sopuisa@
@mollusk@|@nilviäinen@
@mollycoddle@|@hemmotella, lellitellä@
@molten@|@sula, sulanut@
@molybdenum@|@molybdeeni@
@mom@|@äiti@
@moment@|@ajankohta, hetki, hetkinen, hetkonen, kotva, momentti (math.), sysäys, tovi, tuokio@
@moment ago@|@äsken@
@moment of inertia@|@hitausmomentti@
@momentaneous@|@hetkellinen@
@momentary@|@hetkellinen@
@momentum@|@liikemäärä@
@momma@|@äiti@
@mommy@|@äiti@
@monarch@|@valtias@
@monarchy@|@kuningaskunta, monarkia@
@monastery@|@luostari, munkkiluostari@
@monastic@|@luostari-@
@Monday@|@maanantai@
@monetary@|@raha, rahallinen@
@monetary compensation@|@rahakorvaus@
@monetary indemnity@|@rahakorvaus@
@monetary institution@|@rahalaitos@
@monetary transactions@|@rahaliikenne@
@monetary value@|@arvo, raha-arvo@
@money@|@fyrkka (slang), hillo (slang), hynä (slang), massi (slang), pätäkkä (informal), raha, varat@
@money agency@|@rahalaitos@
@money box@|@kassa, kassalipas, säästölipas, säästöpossu@
@money matters@|@raha-asiat@
@money operations@|@rahaliikenne@
@money traffic@|@rahaliikenne@
@money transactions@|@rahaliikenne@
@money value@|@raha-arvo@
@money-box@|@kassa@
@moneyed@|@rahakas@
@monger@|@kaupata, kaupitella, kauppias, kaupustella@
@Mongol@|@mongooli, mongoolialainen@
@Mongolia@|@Mongoolia@
@Mongolian@|@mongooli, mongoolialainen@
@monic polynomial@|@mooninen polynomi@
@monish@|@varoittaa@
@monition@|@nuhde@
@monitor@|@monitori, näyttö, säädellä@
@monitoring@|@havainnoiminen, havainnointi, monitorointi, seuraaminen, tarkkaileminen, tarkkailu, valvominen@
@monitory@|@varoittava@
@monk@|@munkki@
@monkey@|@apina@
@mono-@|@yksin-@
@monochromatic@|@monokromaattinen, yksivärinen@
@monochrome@|@yksiväri-, yksivärimaalaus, yksivärinen@
@monochromic@|@yksivärinen@
@monochromous@|@yksivärinen@
@monoid@|@monoidi@
@monolingual@|@yksikielinen@
@monolithic@|@monoliittinen@
@monopoly@|@monopoli, yksinoikeus@
@monotone@|@monotoninen (math.)@
@monotonic@|@monotoninen (math.)@
@monotonous@|@ikävä@
@monster@|@hirmu, hirvitys, hirviö, jätti, jättiläinen, luonnonoikku, piru@
@monstrosity@|@luonnonoikku@
@monstrous@|@hirviömäinen, luonnoton@
@montagu's harrier@|@niittysuohaukka@
@month@|@kuu, kuukausi@
@monthly@|@joka kuinen, kuukausijulkaisu, kuukausittain, kuukausittainen@
@monument@|@monumentti, muistomerkki@
@moo@|@ammua@
@mood@|@ilmapiiri, mielentila, mieliala@
@moody@|@synkeä, synkkä, äksy@
@moon@|@kuu, kuunkierto@
@moonlight@|@kuutamo@
@moonshine@|@hölynpöly, joutava puhe, kuutamo@
@moor@|@ankkuroida, kangas, kiinnittää, nummi, saapua satamaan@
@Moor@|@mauri, maurilainen@
@moorhen@|@liejukana@
@moor-hen@|@liejukana@
@moorland@|@kangas, nummi@
@moose@|@hirvi@
@moot@|@kiisteltävä, punnita, väiteltävä@
@mope@|@jöröttää, mököttää@
@moral@|@eettinen, moraalinen, opetus@
@moral excellence@|@hyveellisyys@
@morale@|@moraali@
@moralistic@|@moralisoiva@
@morality@|@moraali, moraalisuus, siveys@
@moralizing@|@moralisoiva@
@morals@|@moraalisuus, siveys@
@morass@|@hete, räme, rämeikkö@
@mordant@|@kyyninen@
@more@|@edelleen, enemmän, lisä, lisä-, lisää, useampi@
@more comfortable@|@mukavampi@
@more complex@|@hankalampi@
@more convenient@|@mukavampi@
@more difficult@|@hankalampi, vaikeampi@
@more distinct@|@selkeämpi, selvempi@
@more evident@|@selkeämpi, selvempi@
@more exceptional@|@erikoisempi@
@more helpful@|@auliimpi@
@more idiotic@|@hölmömpi, typerämpi@
@more immense@|@valtavampi@
@more inexpensive@|@halvempi@
@more intense@|@voimakkaampi@
@more laborious@|@työläämpi@
@more or less@|@noin@
@more peaceful@|@rauhallisempi@
@more pleasant@|@miellyttävämpi@
@more powerful@|@vahvempi, voimakkaampi, väkevämpi@
@more profound@|@syvempi, syvällisempi@
@more recent@|@uudempi@
@more refined@|@hienostuneempi@
@more relaxed@|@rennompi@
@more secure@|@turvatumpi@
@more slender@|@kapeampi@
@more sober@|@selkeämpi, selvempi@
@more special@|@erikoisempi@
@more successful@|@menestyksekkäämpi@
@more than@|@enemmän, enemmän kuin@
@more than a few@|@useahkot@
@more uncommon@|@harvinaisempi@
@more unusual@|@harvinaisempi@
@more visible@|@selkeämpi, selvempi@
@more willing@|@auliimpi@
@moreover@|@lisäksi@
@mores@|@tapa@
@morning@|@aamu, aamunkoitto, aamupäivä, auringonnousu, päivänkoitto@
@morning coffee@|@aamukahvi@
@morning devotion@|@aamuhartaus@
@morning meal@|@aamuateria@
@morning news@|@aamu-uutiset@
@morning person@|@aamuvarhainen, aamuvirkku@
@morning prayer@|@aamuhartaus@
@morning snack@|@aamupala@
@morning star@|@kointähti@
@morning!@|@huomenta!@
@mornings@|@aamuisin, aamupäivisin@
@moron@|@heikkolahjainen, heikkomielinen, nuija, pöljä, pölkkypää, taukki@
@morose@|@juro, jörö, synkeä@
@morphology@|@morfologia, muoto-oppi@
@morrow@|@huomen, huominen@
@mortal@|@kuolettava, kuolevainen, tappava@
@mortal clay@|@tomumaja@
@mortal danger@|@hengenvaara@
@mortality@|@kuolevaisuus, kuolleisuus@
@mortar@|@heitin, huhmare, kranaatinheitin, laasti@
@mortgage@|@lainoittaa, pantata@
@mortice chisel@|@taltta@
@mortify@|@häpäistä, nöyryyttää, pidättyä, pidättäytyä@
@mortise@|@upotus@
@mosaic@|@mosaiikki, mosaiikki-@
@Mosaic@|@Mooseksen@
@Moscow@|@Moskova@
@mosk@|@moskeija@
@Moslem@|@muslimi@
@mosque@|@moskeija@
@mosquito@|@hyttynen, itikka@
@moss@|@räme, sammal, sammaleikko, sammalikko, sammalisto, suo@
@mossback@|@ukko@
@most@|@enin, eniten, erittäin, suurin, useampi, useimmat@
@most advantageous@|@edullisin, kannattavin@
@most beneficial@|@edullisin, kannattavin@
@most comfortable@|@mukavin@
@most complex@|@hankalin@
@most convenient@|@mukavin@
@most difficult@|@hankalin, vaikein@
@most evident@|@selvin@
@most helpful@|@aulein@
@most important@|@tärkein@
@most inexpensive@|@edullisin, halvin, huokein@
@most intense@|@voimakkain@
@most laborious@|@työläin@
@most likely@|@todennäköisesti@
@most people@|@useimmat@
@most pleasant@|@kivoin, miellyttävin@
@most powerful@|@vahvin, voimakkain, väkevin@
@most profitable@|@edullisin, kannattavin@
@most profound@|@syvin, syvällisin@
@most recent@|@uusimmat, uusin, viimeisimmät, viimeisin@
@most refined@|@hienostunein@
@most relaxed@|@rennoin@
@most secure@|@turvallisin, turvatuin@
@most sober@|@selvin@
@most usual@|@yleisin@
@most willing@|@aulein@
@mostly@|@etupäässä, pääosin, suureksi osaksi, suurimmaksi osaksi, yli kaiken, ylipäätään@
@mote@|@rikka@
@moth@|@koi, koiperhonen, yöperhonen@
@moth-eaten@|@koinsyömä, kulunut@
@mother@|@emo, emä, mutsi (slang), tehdä lapsia, äiti@
@mother country@|@isänmaa, kotimaa@
@mother wit@|@järki@
@mother-in-law@|@anoppi@
@motherland@|@isänmaa, kotimaa@
@motif@|@aihe, teema@
@motility@|@liike@
@motion@|@aloite, elehtiä, kulku, liike@
@motion picture@|@elokuva@
@motionless@|@levossa oleva, liikkumaton@
@motivate@|@ajaa, motivoida, saada@
@motivating@|@liikuttava@
@motivation@|@motivaatio@
@motivator@|@kannuste, kannustin, kiihoke, kiihote, rohkaisu, virike, yllyke@
@motive@|@aihe, liikuttava, motiivi, rohkaisu, syy, teema, vaikutin@
@motiveless@|@aiheeton, tarpeeton@
@motley@|@erilaiset, kaikenlaiset, sekalaiset, sekoitus, useat@
@motor@|@ajaa, ajaa autolla, liikuttava, moottori, motti@
@motor car@|@auto@
@motor scooter@|@mopedi, mopo, skootteri@
@motor-car@|@auto@
@motorcycle@|@moottoripyörä@
@motorist@|@ajaja, autoilija@
@motortruck@|@rekka@
@motorway@|@moottoritie@
@mottled@|@kirjava@
@motto@|@iskulause, motto@
@mould@|@home, multa, muotoilla, muotti, muovata, työstää, valaa, valos, vanukas@
@moulder@|@mädäntyä@
@mouldered@|@laho@
@moulding@|@piena, reunus, valos, valu@
@mouldy@|@tunkkainen@
@mound@|@kumpu, kunnas@
@mount@|@asentaa, astua, hela, heloittaa, kehys, kehystää, kiivetä, kohota, upottaa@
@mountain@|@röykkiö, tunturi, vuori@
@mountain ash@|@pihlaja@
@mountain chain@|@vuorijono@
@mountain climber@|@vuorikiipeilijä@
@mountain lion@|@puuma@
@mountain pass@|@sola@
@mountain range@|@vuorijono@
@mountaineer@|@vuorikiipeilijä, vuorikiipeillä@
@mountainside@|@rinne@
@mounter@|@nuosija@
@mounting@|@asennus, hela, hela, kehys@
@mountings@|@helat@
@mounts@|@hela@
@mourn@|@itkeä, murehtia, pahoitella, surra, särkeä@
@mourning@|@sureminen, sureva, surupuku@
@mourning band@|@surunauha@
@mouse@|@hiipiä, hiiri, hipsiä@
@moustache@|@viikset, viiksi@
@mouth@|@kita, nielu, puhua, suu@
@mouth off@|@paasata, pauhata, vouhottaa@
@mouth piece@|@suulake@
@mouth-piece@|@suulake@
@movable@|@irrallinen, liikkuva@
@movable property@|@irtaimisto@
@move@|@edetä, ehdottaa, hetkahtaa, hetkauttaa, hievahtaa, hivuttautua, kulkea, liikauttaa, liike, liikkua, liikuttaa, matkata, muuttaa, muuttaminen, muutto, olla liikkeessä, saada, siirto, siirtyä, siirtää, tehdä aloite, toimenpide, tuoda, vuoro@
@move ahead@|@edetä@
@move along@|@edetä@
@move blindly@|@hamuilla, hamuta@
@move downward@|@alentua, aleta@
@move farther away@|@etääntyä, siirtyä kauemmas@
@move fast@|@kiitää, viilettää@
@move forward@|@edetä@
@move into@|@mennä sisään@
@move on@|@edetä, edistyä, kulkea@
@move out@|@mennä ulos@
@move over@|@ajaa, kulkea, siirtyä@
@move slowly@|@hivuttaa@
@move swiftly@|@kiitää, viilettää@
@move toward@|@tulla@
@move towards@|@kuroa kiinni, kuroa umpeen@
@moved@|@edennyt, eteni, etenivät, kulki, kulkivat@
@moved forward@|@edennyt, eteni@
@movement@|@koneisto, liike, toiminta@
@movement of soil caused by frost@|@routa@
@movie@|@elokuva, filmi@
@movie house@|@elokuvateatteri@
@movie theater@|@elokuvateatteri@
@moving@|@eteneminen, irrallinen, kulku, liikkuva, muuttaminen, siirtyvä, sykähdyttävä@
@moving picture@|@elokuva@
@moving ridge@|@aalto, laine@
@mow@|@niittää@
@mower@|@ruohonleikkuri@
@moxie@|@sisu@
@Mrs.@|@rouva@
@MSc@|@maisteri@
@much@|@kosolti, moni, paljon@
@mucilage@|@liima@
@mucilaginous@|@kiinnittyvä, liimainen, liimamainen, tahmainen, tahmea, tarraava, tarramainen, tarrautuva, tarttuva@
@muck@|@liata, lima, loka@
@muck up@|@liata, möhliä, sotkea, tunaroida, töpeksiä@
@muckle@|@paljon@
@mucus@|@lima@
@mud@|@kura, liata, lieju, loka, mura, muta, rapa, savi@
@muddle-headed@|@tohelo@
@muddy@|@kurainen, lokainen@
@muesli@|@mysli@
@muff@|@möhliä, sotkea, tunaroida, töpeksiä@
@muffled@|@vaimea@
@mug@|@hakata, kippo, muki, tuoppi@
@mug up@|@päntätä@
@muggy@|@nihkeä@
@mugwort@|@pujo@
@Muhammadan@|@muslimi@
@Muhammedan@|@muslimi@
@mulch@|@olkipeite@
@mulct@|@huijata, huiputtaa@
@mule@|@jukuripää, muuli@
@mulish@|@jukuripäinen@
@mull@|@miettiä@
@mull over@|@miettiä@
@multifaceted@|@moni-ilmeinen@
@multifarious@|@moni-ilmeinen, monta, usea@
@multifidus@|@monijakoinen@
@multilateral@|@monenkeskinen, monenvälinen, monikansallinen, monipuolinen, multilateraalinen@
@multilingual@|@monikielinen@
@multimedia@|@multimedia@
@multinational@|@monikansallinen@
@multinomial distribution@|@multinomijakauma@
@multiple@|@moni, monikerta (math.), monta, usea, useita@
@multiplex@|@moni, moninainen, monta, multipleksaava, usea@
@multiplication@|@kertolasku, lisääntyminen@
@multiplicity@|@kertaluku, kertaluku (math.), monimutkaisuus, mutkikkuus@
@multiplier@|@kerroin@
@multiply@|@kertoa, lisääntyä@
@multiplying@|@lisääntyminen@
@multitude@|@ihmiset, joukko@
@multitudinal@|@monta, usea@
@multitudinous@|@monta, usea@
@mum@|@näytellä elenäytelmässä, vaieta, äiti, äänetön@
@mumble@|@hymistä, höpinä, höpistä, höpötys, jupina, jupista, mumina, mumista, mutina, mutista, pulista, sopertaa, supatus, supina, supista@
@mummy@|@muumio, äiti@
@mummy-brown@|@harmaanruskea, keltaruskea@
@mumps@|@sikotauti@
@munch@|@haukkaus, haukku, mussuttaa, mutustaa, napostella, näykkiä@
@mundane@|@jokapäiväinen, maallinen@
@municipal@|@kaupungin, kunnallinen, kunnallis-, kunnan@
@municipal election@|@kunnallisvaali@
@municipal heating@|@kaukolämpö@
@municipality@|@kunta@
@munition@|@ammukset, asiakirja, linnoitus, puolustusasema, puolustuskeino@
@munuaispaisti@|@loin@
@murder@|@hoitaa päiviltä, murhata, panna päiviltä@
@murderer@|@murhaaja, murhamies (male)@
@murky@|@synkeä, synkkä@
@murly@|@hauras@
@murmur@|@humista, kohista, kuhista, solista, sorina, suhista, valittaa hiljaa@
@muscle@|@lihas, lihaskudos, lihasvoima@
@muscular@|@roteva, vahva, voimakas@
@muscular tissue@|@lihaskudos@
@musculus@|@lihas@
@muse@|@miettiä, runotar, uneksia@
@museum@|@museo@
@mush@|@mömmö, mössö, puuro, tarpoa@
@mushroom@|@sieni@
@mushy@|@hempeä, imelä@
@music@|@musiikki@
@musical@|@musikaali@
@musical instrument@|@soitin@
@musical note@|@nuotti@
@musical time@|@tahti@
@musician@|@soittaja@
@musket@|@musketti@
@musketeer@|@muskettisoturi@
@muskrat@|@piisami@
@musk-rat@|@piisami@
@Muslim@|@muslimi@
@musquash@|@piisami@
@mussy@|@epäsiisti, siivoton, sotkuinen, sottainen@
@must@|@pitää, täytyy, täytyä@
@must be@|@tulee olla@
@mustache@|@viikset@
@mustard@|@sinappi@
@muster@|@asepalvelus, asevelvollisuus, nimenhuuto@
@muster in@|@värvätä@
@musty@|@tunkkainen@
@mut@|@kirjasimen koko@
@mutation@|@mutaatio@
@mute@|@mykistää, mykkä@
@mute swan@|@kyhmyjoutsen@
@mutilate@|@rampauttaa, ruhjoa, runnella, silpoa, teloa@
@mutiny@|@kapina@
@mutt@|@tollo@
@mutter@|@hymistä, höpistä, jupina, jupista, kohista, mumina, mumista, mutina, mutista, pulista, sopertaa, supatus, supina, supista, urputtaa, valittaa hiljaa@
@mutton@|@kirjasimen koko, lammas@
@mutton chop@|@pulisonki@
@mutual@|@keskinäinen, vastavuoroinen, yhteinen@
@mutually relate@|@olla sukua keskenään@
@muzzle@|@nielu, turpa@
@muzzy@|@epämääräinen, epäselvä, samea, selkeytymätön, sumea, sumuinen@
@my@|@minun, mun (informal)@
@my name is ...@|@nimeni on ...@
@my self@|@minä, minä itse@
@myself@|@itse, itseni, minä, minä itse@
@mysterious@|@arvoituksellinen, hämyinen, hämärä, hämäräperäinen, salamyhkäinen, salaperäinen, selittämätön@
@mystery@|@arvoitus, dekkaritarina, mysteeri@
@mystery story@|@dekkaritarina@
@mystic@|@arvoituksellinen, hämärä, mystikko, mystinen, salamyhkäinen, salaperäinen, selittämätön@
@mystify@|@hämmentää@
@mystifying@|@arvoituksellinen, hämyinen, hämärä@
@myth@|@jumalaistaru, myytti, taru@
@mythic story@|@taru@
@mythical@|@myyttinen@
@mythical creature@|@taruolento@
@mythical story@|@jumalaistaru, taru@
@mythical tale@|@taru@
@mythology@|@jumaltarusto, mytologia, tarusto@
@N@|@typpi@
@Na@|@natrium@
@nab@|@napata, ottaa kiinni, pidättää, saada kiinni, siepata@
@nada@|@ei mikään@
@nag@|@jaaritella, jankata, jankuttaa, jurnuttaa, jäkättäjä, jäkättää, kaakki, kinastella, kinata, koni, kopukka, luuska, mankua, marista, marmattaa, motkottaa, nalkuttaa, nalkuttaja, nurista, nälviä, pieni hevonen, poni, purnata, ruikuttaa, ruinata, tivata, tolkuttaa@
@nagger@|@jäkättäjä, nalkuttaja@
@naif@|@lapsellinen@
@nail@|@kynsi, naula, pidättää, sormenkynsi@
@nail down@|@määritellä tarkasti@
@naive@|@lapsellinen, naivi@
@naked@|@alaston, ilkosillaan, kelteisillään, munasillaan (vulg.), nakuna, paljas@
@naked person@|@nakupelle (childish)@
@name@|@maine, mainita, nimetä, nimi, nimittää, ristiä@
@name again@|@nimetä uudelleen@
@name anew@|@nimetä uudelleen@
@named@|@nimeltä, nimetty@
@nameless@|@nimetön@
@namely@|@nimittäin@
@namesake@|@kaima@
@naming@|@nimeäminen, nimitys@
@nanny@|@lastenhoitaja@
@nano@|@nano@
@nanus@|@kääpiö@
@nap@|@nukka, torkahtaa, torkut@
@nape@|@niska@
@napkin@|@vaippa@
@nappy@|@vaippa@
@narcism@|@itserakkaus, narsismi@
@narcissism@|@itserakkaus, narsismi@
@narcissist@|@narsisti@
@narcotic@|@huumausaine, huume, kama, narkoottinen@
@naris@|@sierain@
@narrate@|@kertoa@
@narration@|@kertomus, tarina@
@narrative@|@kerronnallinen, kertoma-, kertomus, kertova, tarina@
@narrator@|@kertoja@
@narrow@|@ahdas, erikoistua, kaita, kapea, kaventaa, kaventua, kaveta, kiperä, määritellä tarkasti, niukka, ohut, rajata, rajoittaa, supistaa@
@narrow down@|@erikoistua, määritellä tarkasti@
@narrow opening@|@rako@
@narrow pass@|@kapeikko@
@narrow passage@|@kapeikko@
@narrower@|@ahtaampi, kaidampi, kapeampi@
@narrow-minded@|@ahdasmielinen@
@nasal@|@nasaalinen, nenä-, nenä-äänne@
