@huckleberry@|@mellene@
@huge@|@milzīgs@
@humane@|@cilvēcīgs@
@humid@|@mitrs@
@humidity@|@mitrums@
@hundred@|@simts@
@hunger-strike@|@bada streiks@
@hunter@|@mednieks@
@husband@|@vīrs@
@I@|@es@
@I am hot@|@man ir karsti@
@I am warm@|@man ir silti@
@ice@|@ledus@
@ice-breaker@|@ledlauzis@
@icicle@|@lāsteka@
@icy@|@ledains@
@idol@|@elks@
@illness@|@slimība@
@ill-will@|@nelabvēlība@
@image@|@tēls@
@important@|@svarīgs@
@in token of@|@par zīmi@
@inborn@|@iedzimts@
@ink@|@tinte@
@insect@|@kukainis@
@invisible@|@neredzams@
@iron@|@dzels@
@ivy@|@efeja@
@January@|@janvāris@
@jobless@|@bez darba@
@joke@|@joks@
@keen knife@|@ass nazis@
@kerchief@|@lakats@
@kid (goat)@|@kazlēns@
@kidney@|@niere@
@kiln@|@ceplis@
@king@|@karalis@
@kitchen@|@virtuve@
@kitten@|@kaķēns@
@knead (verb)@|@mīcīt@
@knife@|@nazis@
@knight@|@bruņinieks@
@know (verb)@|@zinat@
@lake@|@ezers@
@lamb@|@jērs@
@lamp@|@lampa@
@lance@|@šķēps@
@larch@|@lapegle@
@lark@|@cīrulis@
@larva@|@kūniņa@
@larynx@|@balsene@
@Latvian@|@Latvietis@
@law@|@likums@
@laziness@|@slinkums@
@lazy@|@slinks@
@lead (metal)@|@svins@
@leaf@|@lapa@
@leafless@|@bez lapām@
@leafy@|@lapots@
@leech@|@dēle@
@leek@|@puravs@
@lentil (plant)@|@lēca@
@liar@|@melis@
@lie (subst)@|@meli@
@light (subst) (lux)@|@gaisma@
@lime-tree@|@liepa@
@linguist@|@valodnieks@
@lion@|@lauva@
@lioness@|@lauvene@
@lion's share@|@lauvas tiesa@
@lithe@|@lokans@
@live (adj)@|@dzīvs@
@live fish@|@dzīva zivs@
@liver@|@aknas@
@lizard@|@ķirzaka@
@lord (god)@|@kungs@
@louse@|@uts@
@lousy@|@utains@
@lout@|@lempis@
@loutish@|@lempīgs@
@lung@|@plauša@
@luxurious@|@grezns@
@lye@|@sārms@
@lynx@|@lūsis@
@mammary gland@|@krūšu dziedzeris@
@manuscript (subst)@|@rokraksts@
@maple@|@kļava@
@marble@|@marmors@
@mare@|@ķēve@
@market@|@tirgus@
@marshy@|@purvains@
@marten@|@cauna@
@maybe@|@varbūt@
@mead@|@medalus@
@meadow@|@pļava@
@mermaid@|@nāra@
@midnight@|@pusnakts@
@milch-cow@|@slaucama govs@
@milieu@|@vide@
@milk (subst)@|@piens@
@milk (verb)@|@slaukt@
@milk-tooth@|@piena zobs@
@milky@|@pienīgs@
@Milky Way@|@Piena Ceļš@
@mini-skirt@|@mini-svārki@
@minnow@|@grundulis@
@miracle@|@brīnums@
@miraculous@|@brīnumains@
@mirror (subst)@|@spogulis@
@mirth@|@jautrība@
@mistletoe@|@āmuļi@
@mole@|@kurmis@
@mole-hill@|@kurmja rakums@
@Monday@|@Pirmdiena@
@money@|@nauda@
@moneyed@|@naudīgs@
@month@|@mēnesis@
@moon@|@mēness@
@morning@|@rīts@
@moss@|@sūna@
@moth@|@kode@
@mother@|@māte@
@mother tongue@|@dzimtā valoda@
@motherless@|@bez mātes@
@mountain@|@kalns@
@mountaineer@|@kalnietis@
@mountainous@|@kalnains@
@mouse@|@pele@
@moustache@|@ūsas@
@mouth@|@mute@
@mucus@|@gļotas@
@mud@|@dubļi@
@mushroom@|@sēne@
@my@|@mans@
@mysterious@|@noslēpumains@
@mystery@|@noslēpums@
@nail@|@nags@
@naked@|@kails@
@naked body@|@kails ķermenis@
@nakedness@|@kailums@
@narrow@|@šaurs@
@nation@|@tauta@
@nationality@|@tautība@
@natural@|@dabisks@
@nature@|@daba@
@near (adj)@|@tuvs@
@near friend@|@tuvs draugs@
@nearness@|@tuvums@
@neck@|@kakls@
@needle@|@adata@
@neigh@|@zviegt@
@neighbour@|@kaimiņš@
@nestling@|@putnēns@
@net (subst) (for fishing)@|@tīkls@
@new@|@jauns@
@New Testament@|@Jaunā Derība@
@New Year@|@Jaungads@
@night@|@nakts@
@nightingale@|@lakstīgala@
@nit@|@gnīda@
@noose@|@cilpa@
@north@|@ziemeļi@
@nose@|@deguns@
@nostril@|@nāss@
@not at all@|@nemaz@
@noun@|@lietvārds@
@oaf@|@lempis@
@oak@|@ozols@
@oar@|@airis@
@oat@|@auzas@
@oil@|@eļļa@
@old@|@vecs@
@Old Testament@|@Vecā Derība@
@on the table@|@uz galda@
@on Thursday@|@ceturtdien@
@on Tuesday@|@otrdien@
@onion@|@sīpols@
@only son@|@vienīgais dēls@
@ore@|@rūda@
@orphan@|@bārenis@
@orphaned@|@bārs@
@other@|@otrs@
@otter@|@udrs@
@ounce (léopard des neiges)@|@barss@
@oven@|@krāsns@
@ox@|@vērsis@
@pea@|@zirnis@
@peace@|@miers@
@peaceful@|@mierīgs@
@peacock@|@pāvs@
@pelvis@|@iegurnis@
@pencil@|@zīmulis@
@pepper@|@pipari@
@perch@|@asaris@
@pie@|@pīrāgs@
@pigeon@|@balodis@
@pike (fish)@|@līdaka@
@pillow@|@spilvens@
@pitch@|@darva@
@plough (subst)@|@arkls@
@plough (verb)@|@art@
@ploughman@|@arājs@
@ploughshare@|@lemesis@
@port@|@osta@
@pregnant@|@grūta@
@price@|@cena@
@prison@|@cietums@
@prisoner of war@|@karagūsteknis@
@privet (plant)@|@ligustrs@
@prophet@|@pravietis@
@pus@|@strutas@
@rabbit@|@trusis@
@rain@|@lietus@
@rainy@|@lietains@
@ram@|@auns@
@raspberry@|@avene@
@rat@|@žurka@
@raven@|@krauklis@
@ray@|@stars@
@red (adj)@|@sarkans@
@Red Cross@|@Sarkanais Krusts@
@reed@|@niedre@
@reptile@|@rāpulis@
@rice@|@rīss@
@river@|@upe@
@road@|@ceļš@
@roe@|@ikri, stirna@
@roof@|@jumts@
@roofless@|@bez jumta@
@rooster@|@gailis@
@rust (subst)@|@rūsa@
@rye@|@rudzi@
@sack@|@maiss@
@sacred@|@svēts@
@sailor@|@jūrnieks@
@sakmon@|@lasis@
@salary@|@alga@
@saliva@|@siekalas@
@sallow@|@kārkls@
@salt@|@sāls@
@sand@|@smilts@
@saw (subst) (tool)@|@zāģis@
@scar@|@klints@
@school year@|@mācību gads@
@sea@|@jūra@
@seal@|@ronis@
@sealskin@|@roņāda@
@sedge@|@grīslis@
@seed@|@sēkla@
@serpent@|@čūska@
@servant (fem)@|@kalpone@
@servant (masc)@|@kalps@
@sew (verb)@|@šūt@
@shadow@|@ēna@
@shame@|@kauns@
@sheaf@|@kūlis@
@sheep@|@aita@
@shepherd@|@gans@
@shepherdess@|@gane@
@ship@|@kuģis@
@shirt@|@krekls@
@shoe@|@kurpe@
@shooting star@|@krītoša zvaigzne@
@shore@|@krasts@
@short story@|@īsais stāsts@
@shoulder@|@plecs@
@sick@|@slims@
@sieve (subst)@|@siets@
@silk@|@zīds@
@silken@|@zīdains@
@silver@|@sudabrs@
@sin (subst)@|@grēks@
@sinner@|@grēcinieks@
@sister@|@māsa@
@skin@|@āda@
@sky@|@debesis@
@slave (fem)@|@verdzene@
@slave (masc)@|@vergs@
@slavery@|@verdzība@
@sleep (subst)@|@miegs@
@slumber (subst)@|@snauda@
@sly@|@viltīgs@
@smile (subst)@|@smaids@
@smith@|@kalējs@
@smoke (subst)@|@dūmi@
@smoker@|@smēķētājs@
@snail@|@gliemezis@
@snake@|@čūska@
@sneeze (verb)@|@šķaudīt@
@snore (verb)@|@krākt@
@snow (subst)@|@sniegs@
@snow (verb)@|@snigt@
@snowball@|@sniega pika@
@snowy@|@sniegains@
@soap@|@ziepes@
@soccer@|@futbols@
@society@|@sabiedrība@
@soldier@|@kareivis@
@son@|@dēls@
@son adoptive@|@audžudēls@
@song@|@dziesma@
@son-in-law@|@znots@
@sorcerer@|@burvis@
@sorceress@|@burve@
@sorcery@|@brurvība@
@soul@|@dvēsele@
@sour@|@skābs@
@sow (verb)@|@sēt@
@sower@|@sējējs@
@sparrow@|@zvirbulis@
@speak (verb)@|@runāt@
@speak english@|@runāt angliski@
@speech@|@runa@
@speed@|@ātrums@
@speedy@|@ātrs@
@spider@|@zirneklis@
@spider's web@|@zirneķla tīkls@
@spirit@|@gars@
@spleen@|@liesa@
@sport@|@sports@
@spring (season)@|@pavasaris@
@spy (subst)@|@spiegs@
@squirrel@|@vavere@
@stable (horse)@|@stallis@
@stagnant (water)@|@stāvošs@
@stain@|@traips@
@stallion@|@ērzelis@
@star@|@zvaigzne@
@state (general)@|@stāvoklis@
@state (politics)@|@valsts@
@statue@|@statuja@
@steal (verb)@|@zagt@
@steam@|@tvaiks@
@steamboat@|@tvaikonis@
@steamer@|@tvaikonis@
@steed (poet)@|@zirgs@
@steel@|@tērauds@
@stench@|@smirdoņa@
@stenchy@|@smirdošs@
@step@|@solis@
@step by step@|@soli pa solim@
@sticky@|@lipīgs@
@stink (subst)@|@smirdoņa@
@stink (verb)@|@smirdēt@
@stocking@|@zeķe@
@stomach@|@kuņģis@
@stone@|@akmens@
@stony@|@akmņains@
@stork@|@stārķis@
@storm@|@vētra@
@stormy@|@vētrains@
@story@|@stāsts@
@stove@|@krāsns@
@straight@|@taisns@
@strange@|@svešs@
@straw@|@salms@
@strawberry@|@zemene@
@stream@|@upe@
@street@|@iela@
@strength@|@spēks@
@strike (work)@|@streiks@
@strong@|@stiprs@
@struggle@|@cīņa@
@student@|@students@
@stupid@|@muļķīgs@
@stupidity@|@muļķība@
@sturgeon@|@store@
@substantive@|@lietvārds@
@suck (verb)@|@zist@
@suckle@|@zīdīt@
@suckling@|@zīdainis@
@suction@|@zīšana@
@sudden@|@pēkšņs@
@suddenly@|@pēkšņi@
@suffering@|@ciešanas@
@sufficient@|@pietiekams@
@sugar@|@cukurs@
@suicide (subst)@|@pašnāvība@
@sulphur@|@sērs@
@summer@|@vasara@
@sun@|@saule@
@sun-bath@|@saules vanna@
@Sunday@|@Svētdiena@
@sunless@|@bez saulez@
@sunlight@|@saules gaisma@
@sunny@|@saulains@
@superstition@|@māņticība@
@supper@|@vakariņas@
@surgeon@|@ķirurgs@
@surly@|@īgns@
@surname@|@uzvārds@
@swan@|@gulbis@
@swarm (bees)@|@spiets@
@sweat (subst)@|@sviedri@
@sweet (adj)@|@salds@
@sweeten@|@saldināt@
@sweetish@|@saldens@
@swimming-pool@|@peldbaseins@
@swine@|@cūka@
@swinish@|@cūcīgs@
@sword@|@zobens@
@table@|@galds@
@talent@|@talants@
@talented@|@talantīgs@
@tangerine@|@mandarins@
@tapeworm@|@lentenis@
@tar@|@darva@
@tariff@|@tarifs@
@tasteful@|@gaumīgs@
@tasty@|@garšigs@
@Taurus (zodiac)@|@Vērsis@
@tea@|@tēja@
@teach@|@mācīt@
@teacup@|@tējas tase@
@tear (eyes)@|@asara@
@temperate zone@|@mērenā josla@
@temperature@|@temperatūra@
@tempter@|@kārdinātājs@
@tepid@|@remdens@
@terrible@|@šausmīgs@
@terror@|@šausmas@
@that is all@|@tas ir viss@
@theft@|@zādzība@
@thief@|@zaglis@
@thieve@|@zagt@
@thievish@|@zaglīgs@
@thin@|@tievs@
@thine@|@tavs@
@thing@|@lieta@
@think@|@domāt@
@thinker@|@domātājs@
@thirdly@|@treškārt@
@thirst@|@slāpes@
@this is worth@|@to ir vērts@
@this morning@|@šorīt@
@thole@|@dullis@
@thought (subst)@|@doma@
@thraldom@|@verdzība@
@thrall@|@vergs@
@thread@|@diegs@
@threat (subst)@|@draudi@
@threaten@|@draudēt@
@thresh (verb)@|@kult@
@thresher@|@kūlējs@
@threshold@|@slieksnis@
@throat@|@rīkle@
@throne@|@tronis@
@throstle@|@strazds@
@thumb@|@īkšķis@
@thunder@|@pērkons@
@Thursday@|@Ceturtdiena@
@thy@|@tavs@
@thy brother@|@tavs brālis@
@tie (subst)@|@saite@
@ties of friendship@|@draudzības saites@
@tight@|@blīvs@
@time@|@laiks@
@to horse !@|@zirgos !@
@toad@|@krupis@
@toboggan@|@kamanas@
@toddler@|@bērns@
@token@|@zīme@
@Tom Thumb@|@Īkšķitis@
@tomb@|@kaps@
@tongue@|@mēle@
@tonsil@|@mandele@
@tooth@|@zobs@
@toothache@|@zobu sāpes@
@tooth-brush@|@zobu suka@
@toothless@|@bezzobains@
@torrid zone@|@karstā josla@
@tourist@|@tūrists@
@towel@|@dvielis@
@tower@|@tornis@
@town@|@pilsēta@
@toxic@|@indīgs@
@train@|@vilciens@
@treason@|@nodevība@
@tree@|@koks@
@trinity@|@trīsvienība@
@trout@|@forele@
@truth@|@patiesība@
@Tuesday@|@otrdiena@
@tulip@|@tulpe@
@turkey@|@tītars@
@twice@|@divreiz@
@tyre@|@riepa@
@udder@|@tesmenis@
@ulcer@|@čūla@
@uncle@|@tēvocis@
@uterus@|@dzemde@
@uvula@|@ūka@
@valley@|@ieleja@
@V-Day@|@Uzvaras diena@
@venom@|@inde@
@venomous@|@indīgs@
@vertebra@|@skriemelis@
@vetch@|@vīķi@
@victim@|@upuris@
@vinegar@|@etiķis@
@viper@|@odze@
@virgin@|@jaunava@
@Virgo (zodiac)@|@Jaunava@
@vivtory@|@uzvara@
@voice@|@balss@
@voice (grammar)@|@kārta@
@voiced@|@balsīgs@
@wall@|@siena@
@wallow@|@vārtīšanās@
@wand@|@zizlis@
@Wandering Jew@|@mūžīgais žīds@
@war@|@karš@
@war crimes@|@kara noziegumi@
@war of nerves@|@nervu karš@
@war-cry@|@kaujas sauciens@
@warm@|@silts@
@war-path@|@kara celļš@
@war-ship@|@karakuģis@
@wart@|@kārpa@
@warty@|@kārpains@
@washable@|@mazgājams@
@wasp@|@lapsene@
@wasp nest@|@lapseņu pūznis@
@waste of time@|@laika izšķiešana@
@water@|@ūdens@
@water from the well@|@ūdens no akas@
@watery@|@ūdeņains@
@wave@|@vilnis@
@wax@|@vasks@
@wax (verb)@|@augt@
@waxing moon@|@augošs mēness@
@way@|@ceļš@
@we@|@mēs@
@weak@|@vājš@
@weapon@|@ierocis@
@weasel (belette)@|@zebiekste@
@weather@|@laiks@
@weaver@|@audējs@
@web@|@tīkls@
@web of lies@|@melu tīkls@
@wedding-ring@|@laulības gredzens@
@wedge@|@ķīlis@
@wedlock@|@laulība@
@Wednesday@|@trešdiena@
@week@|@nedēļa@
@weeping willow@|@sēru vītols@
@weft (subst)@|@audi@
@weight@|@svars@
@welkin@|@debesis@
@well-bred@|@labi audzināts@
@werewolf@|@vilkacis@
@west@|@rietumi@
@wether@|@auns@
@wheat@|@kvieši@
@wheatmeal@|@kviešu milti@
@wheel@|@rats@
@when@|@kad@
@where@|@kur@
@where are you ?@|@kur tu esi ?@
@where is it ?@|@kur tas ir ?@
@whey (petit-lait)@|@sūkalas@
@white@|@balts@
@White House@|@Baltais Nams@
@White Sea@|@Baltā Jūra@
@whole milk@|@pilnpiens@
@whole number@|@vesels skaitlis@
@whole world@|@visa pasaule@
@whortleberry@|@mellene@
