@brick@|@brik@
@bride@|@meri i marit nupela@
@bridge@|@bris@
@bridle@|@kopstik, stia@
@briefcase@|@paus@
@bright@|@tulait@
@brightness@|@tulait@
@Britain@|@Englan@
@brnady@|@brandi@
@broad@|@braitpela@
@broadcast@|@brotkas, salim tok long wailis@
@broken@|@bagarap, bruk, nogut@
@broom@|@brum@
@broom stick@|@brumstik@
@broomstick@|@brum@
@broth@|@sup@
@brothel@|@haus bilong pamuk@
@brother@|@brada@
@brother- or sister-in-law@|@tambu@
@brothers and sisters@|@bratasusa@
@brown@|@braun(pela)@
@brush@|@bras, bros@
@bubble gum@|@abababa@
@bucket@|@baket@
@budget@|@baset@
@bug@|@binatang@
@bugle@|@biugel@
@bulk store@|@bakstua@
@bull@|@bulmakau@
@bull shit (vulgar)@|@bulsit@
@bullet@|@katres@
@bully@|@bikhet, hambakman@
@bundle@|@mekpas@
@bus@|@bas@
@bush@|@bus, liklik tri@
@bush (forest)@|@bus@
@bush knife@|@busnaip@
@bushman@|@manabus@
@business@|@bisnis, kampani@
@business man@|@bisnisman@
@businessman@|@kampani masta@
@busy@|@bisi, wok@
@but@|@mas, tasol@
@butter@|@bata@
@butterfly@|@bataplai, bembe@
@buttock@|@as@
@button@|@baten@
@buttox@|@as@
@by@|@long@
@by (general preposition)@|@long@
@by-and-by@|@baimbai@
@bye-bye@|@baibai@
@cabbage@|@kabis@
@cabin@|@haus bilong sip, kebin@
@cabinet@|@srang@
@cable@|@waia@
@cage@|@kalabus@
@cake@|@kek@
@calendar@|@kalenda@
@calf@|@baksait bilong lek, pikinini bilong bulmakau@
@calm@|@isi@
@camel@|@kamel@
@camera; to photo@|@poto@
@camp@|@kem@
@can@|@ken, tin@
@can opener@|@optin@
@candidate@|@kandidet@
@candle@|@kandel@
@candy@|@loli, suga@
@cane@|@kanda, rotang, stik@
@canned fish@|@tin pis@
@canned sardines@|@tin talai@
@cannon@|@bikgan, masket@
@canoe@|@canu, kanu, por@
@canoe without outrigger@|@mon@
@canvas@|@sel@
@cap@|@hat, kep@
@cape@|@poin@
@captain@|@kepten@
@captive@|@kalabusman@
@car@|@jip, ka, motoka, trak@
@carabao@|@bikbel@
@carbonated drink@|@loliwara@
@cards@|@kat@
@carefully@|@isi isi@
@careless@|@hap hap, nabaut@
@carelessly@|@nabaut@
@caretaker@|@keteka@
@cargo@|@kago@
@cargo cult@|@kago bilong ol tumbuna@
@carpenter@|@kamda, kamdaman, kamta@
@carpenter's level@|@level@
@carpenter's plane@|@hobel, plen@
@carpenter's saw@|@so@
@carpet@|@kapet, tepik@
@carriage@|@karis@
@carrier@|@kagoboi@
@carrot@|@kerot@
@carton@|@bokis, kes@
@cartridge@|@katres@
@case@|@bokis, kes@
@cask@|@kas@
@cassava@|@maniok, tapiok@
@cassowary@|@muruk@
@castor oil@|@kaswel@
@casuarina tree@|@yar@
@cat@|@pusi@
@Catholic@|@katolik, popi@
@cattle@|@bulmakau, kau@
@cave@|@hul@
@cedar tree@|@nakas@
@celebration@|@krismas, pesto, singsing@
@cement@|@simen@
@cemetery@|@matmat@
@cent@|@sens@
@center@|@namel@
@ceremony@|@lotu, lotu, tambaran@
@certificate@|@setifiket@
@chain@|@sen@
@chair@|@sia, sidaun@
@chairman@|@siaman@
@chalk@|@kraide, pensil, sok@
@change@|@senis@
@chapter@|@sapta@
@characteristics@|@mak@
@charm@|@malera, marila, marila@
@chastity@|@klinpasin@
@chatter@|@toktok@
@checkbook@|@sekbuk@
@cheeky@|@siki@
@cheese@|@sis@
@chest@|@bros, bros, brus@
@chewing gum@|@abababa@
@chicken@|@kakaruk, paul@
@chief@|@bikbos, hetman, kukurai, luluai@
@chief of a tribe@|@kukurai@
@chief steward@|@boskuk@
@child@|@pikinini@
@chili pepper@|@lombo@
@chill@|@skin i kol@
@chin@|@wasket@
@China@|@Saina@
@Chinaman@|@sainaman@
@Chinatown@|@Sainataun@
@chinese@|@kongkong@
@Chinese@|@Saina@
@chisel@|@kolsis (for metal), maisel (for wood), sisel@
@chock@|@pilo@
@choir@|@kwaia@
@chore@|@hatwok@
@Christ@|@Krais, Kraist@
@Christian@|@Kristen@
@Christmas@|@Krismas@
@church@|@eklesia, haus lotu, sios@
@church conference@|@sinot@
@cigar@|@siga@
@cigarette@|@sigaret@
@cinema@|@muvi, piksa@
@circle@|@raun, ring@
@circuit@|@seket@
@circular@|@raun, raunpela@
@cistern@|@tang@
@city@|@biktaun@
@clam shell@|@kramsel@
