@policeman@|@iyinnakiikoan@
@popcorn@|@paapáówahsini@
@pork sausage@|@áíksinottsis@
@porridge@|@pikkiáákssi@
@potato@|@maatáák@
@prairie dog@|@kitsisomahkokata@
@puppy@|@sisomm@
@rabbit@|@ááattsishaa@
@rain@|@sootaa@
@raisin@|@i'náksiin@
@rattle snake@|@sáí'ittsikotoyi@
@raven@|@omahkai'stoo@
@red@|@máóhk@
@red fox@|@máóhkataatoyi@
@rib@|@mohpikis@
@ribs@|@mohpikíístsi@
@rice@|@issssiinainikimm@
@ring@|@isapiikitsoohsa'tsis@
@running@|@okska'sssini, okska'sssini, okska'sssini@
@salmon@|@i'kotsóómii@
@salt@|@isttsiksioko@
@sandwich@|@po'tstákssin@
@sarcee tribe@|@saahsi@
@saturday@|@tótohtáátoyiiksistsiko@
@see@|@ainima@
@seed@|@kiníínoko@
@september@|@áwákaasiiki'somm, iitáómatapapittssko@
@seven@|@ihkitsik, ixkitsika@
@she eats very much@|@iikáísstóksoyiwa@
@she is pregnant@|@áaksistsí'tsaana'pssiwa@
@shin@|@motsínaa@
@shoulder@|@mottsikis@
@shoulder blade@|@mohkatsíkin@
@side by side@|@opaksikssto@
@sideways@|@paahksíst@
@sing@|@ainihkiwa@
@sioux tribe@|@pinaapisinaa@
@sister@|@áákiim@
@sister-in-law@|@ootoohkiimaan@
@sit at the place of honor@|@ikimópii@
@six@|@naa, nau@
@snack@|@a'písttaapiksistaki@
@snow@|@ohpotaa@
@son@|@ohkó@
@song@|@ninihkihsini, ninihkssini, ninskssini@
@son-in-law@|@iss@
@soup@|@akóópihkaan, akóópskaan, kóópis@
@south@|@waamsskaap@
@south peigan@|@aamssáápipikani@
@South Piikani@|@Aamsskáápipikani@
@southern peigan persons@|@amsskáá pipikaniikoaiksi@
@speak blackfoot@|@iitsi'poyi@
@spoon@|@innóóhsoyi, innóóhsoyis@
@spring@|@ákaotowa, ao'tósi, moto, motoy, otó@
@stew@|@okksisákáóo'sin@
@stomach@|@móókoan@
@stony tribe@|@saahsáísso'kitaki@
@storekeeper@|@áóhpommáópii@
@storm@|@ipahka'pií@
@student@|@áíssksinimá'tssa@
@sugar@|@náápiiniiwan@
@summer@|@áaksiipowa, ákaayippowa, niipówa, yiipo@
@summer (1)@|@otá'yiipohsi@
@sun@|@ki'sómm, ki'sómma@
@sunday@|@naatoyíkistsiko@
@sunlight@|@waahkanaapinako@
@swan@|@iimahkáyii@
@take warning@|@ksiistóyiiwaaki@
@tea@|@áísoyoopoksiikimi, siksikimí@
@teacher@|@áíssksinima'tstohki@
@teeth@|@mohpííkiistsi@
@ten@|@kepo, kiipó@
@they@|@ostoasuai@
@thigh@|@moápisakis@
@thirty@|@niiíppo, nippo@
@three@|@nioókska, niuokska@
@throat@|@mohksistón@
@thunder@|@ksiistsikomm@
@thunderbird@|@ksiistsikómiipi'kssii@
@thursday@|@náámiksistsiko@
@timber wolf@|@ómahkapi'si@
@time will pass@|@áaka'paisiiwa@
@tomato@|@kiníí@
@tongue@|@maisiní@
@tooth@|@mohííkin@
@torso@|@mo'kin@
@tuesday@|@isttsinaikisistsiko@
@turkey@|@ómahksipi'kss@
@twelve@|@náátsikopotto@
@twenty@|@náátsippo, natsippo@
@twin@|@niistsímii@
@two@|@ist, natoka@
@uncle@|@aaáhs@
@under@|@istaaht@
@unmarried single woman@|@námaakii@
@up@|@ssp@
@water@|@aohkíí, aohkííyi@
@watermellon@|@ómahkotsskoi'nssimaan@
@we@|@ksistunan, nistunan@
@we had a squabble@|@nitsíípiwa'psspinnaana@
@we have split up@|@nikááwayákiitoohpinnaana@
@wednesday@|@iitawáánao'kso'kii'p@
@west@|@waami't@
@what are you trying to do?@|@kitáíssáaksikííhpa?@
@what did i do?@|@nitsííhpa?@
@what does it mean?@|@tsá anistápanissina?@
@what is it?@|@tsá anistápiiwa?@
@what is your name?@|@tsá kitánikkoo?@
@wheat@|@miiniinokoo@
@when did you eat?@|@tsá anistsííyi kitsítsoyihpa?@
@where did you sleep?@|@tsimá kitsítso'kááhpa?@
@whiskey@|@náápiaohkii@
@white@|@áápi, ksikk@
@white buffalo berry@|@apssí@
@white chest clan@|@kayikkao'kikin@
@white robe clan@|@ksikksis'ka'simi@
@white woman@|@náápiakii@
@who are you?@|@takáá kiistówa?@
@who are your relatives?@|@tahkáa kinóóhkiitsistowahsina?@
@who is it?@|@takáatsiksí?@
@wife@|@ohkiimaan@
@wild onion@|@pisatsiinikimm@
@wind@|@sopo@
@windy@|@isopo@
@wine@|@mííniaohkii@
@winter@|@aksipákssaisstoyiwa, ipákssaisstoyi@
@winter (1)@|@ipákssaisstoyiwa@
@woman@|@a'kííwa, aakíí, aakííwa@
@yeast bread@|@koohpááttstaan@
@yellow@|@otahko@
@you@|@ksistoa@
@you (pl)@|@ksistoau@
@you are a nice person@|@kitsikááhsitapi@
@you are skinny@|@kitsííksipíksini@
@young@|@a'sitápi@
@young married man@|@saahkinaa@

