@to delve@|@soqo-@
@to destroy@|@juj-@
@to determine@|@jaha-@
@to die@|@ül-@
@to dig@|@qady-, üngü-@
@to dive@|@sumy-@
@to divide@|@üläš-@
@to drag@|@hud-@
@to draw@|@hyd-@
@to drink@|@es-@
@to drive away@|@hür-@
@to drop@|@tam-@
@to dry off@|@hywal-@
@to dry out@|@kip-@
@to earn wages by labour@|@qazan-@
@to eat@|@aša-, je-@
@to embroider@|@sige-@
@to enter@|@ker-@
@to erect a building@|@qor-@
@to err@|@jangylyš-@
@to explain@|@jura-@
@to feel@|@hid-@
@to file@|@igä-@
@to find@|@tap-@
@to flow@|@aq-@
@to fly@|@os-@
@to follow@|@ijär-@
@to forget@|@unut-@
@to freeze@|@küšek-, öšö-@
@to give@|@bir-@
@to gnaw@|@kimer-@
@to go astray@|@ad-@
@to go away@|@kit-@
@to go mad@|@al-jawu@
@to graft@|@ašla-@
@to grasp@|@tot-@
@to grow@|@üs-@
@to hack@|@tumyr-@
@to hang@|@as-, kir-, tart-@
@to hang on (smth.)@|@el-@
@to harness@|@jek-@
@to hate@|@jeker-@
@to heal@|@böt-öš-@
@to heal of a wound@|@böt-öš-@
@to heap up@|@üj-@
@to hear@|@išet-@
@to hit@|@tuqylda-@
@to hobble@|@aqha-, tyša-@
@to howl@|@möngrä-@
@to hull@|@küde-, küjde-@
@to hurry@|@jüger-@
@to instigate@|@qotort-@
@to itch@|@qysy-@
@to join@|@bötörgös@
@to jump@|@hiker-@
@to kick@|@tula-@
@to kill@|@ülter-@
@to knead@|@id-@
@to kneel down@|@süg-, sük-@
@to know@|@bel-@
@to lean@|@tajan-@
@to lick@|@jala-@
@to listen@|@tyngla-@
@to load@|@art-@
@to lose strength@|@tal-@
@to love@|@hüj-@
@to make@|@qyl-@
@to make holes@|@tiš-@
@to make magic@|@arba-@
@to measure@|@ülsä-@
@to melt@|@ire-@
@to migrate@|@küs, küs-@
@to miss@|@hahyn-@
@to move@|@qyjmylda-@
@to neigh@|@yngyran-@
@to open@|@as-@
@to order@|@bojor-@
@to paint@|@buja-, hary@
@to patch@|@jama-@
@to peck@|@suqy-@
@to perceive@|@toj-@
@to pick@|@uj-@
@to pinch@|@semte-@
@to pity@|@aja-@
@to plait@|@ür-@
@to play@|@ujna-@
@to pound@|@töj-@
@to pour out@|@tük-@
@to pour out water@|@qoj-@
@to press@|@bas-, hyq-@
@to prop@|@hüjä-, taja-@
@to pull@|@hüjrä-@
@to rage@|@buj-la-@
@to rain@|@jaw-@
@to rake@|@köre-@
@to reach@|@jet-, tej-@
@to rise@|@qalq-, ür-@
@to rise of the sun@|@awa-la-@
@to rize@|@men-@
@to rob@|@tala-@
@to roll@|@awn-@
@to roll down@|@qola-@
@to roll over@|@aw-@
@to rot@|@sere-@
@to rub teeth@|@qajra-@
@to run away@|@tyzdap kit-@
@to say@|@äjt-, ti-@
@to scoop@|@hüs-@
@to scrape@|@qašy-@
@to search@|@tente-@
@to see@|@kür-@
@to sell@|@hat-@
@to separate@|@ajyr-@
@to sew@|@jöj-, qaj-, xaj-@
@to shake@|@hilk-@
@to shiver@|@bid-@
@to sift@|@ile-@
@to singe@|@üt-@
@to sink@|@bat-@
@to sit@|@ultyr-@
@to slaughter@|@saly-, saly-@
@to sleep@|@jat-, joqla-@
@to slide@|@taj-, tajy-@
@to smoke@|@tötä-@
@to snatch@|@qap-@
@to sob@|@hyng-qylda-@
@to sober up@|@ajyq-@
@to sow@|@ik-@
@to speak@|@hüjlä-@
@to spit@|@tökör-@
@to split@|@jar-@
@to spread@|@jad-, jad-, jäj-@
@to spread out@|@tüšä-@
@to stand@|@tor-@
@to step@|@atla-@
@to stick into@|@qada-@
@to stick to@|@joq-@
@to stiffen@|@uju-, ujuš-@
@to strain@|@hüd-@
@to strike fire@|@sah-, saq-@
@to suck@|@hur-@
@to suffer@|@imgen-, köj-@
@to support@|@terä-@
@to surpass@|@aš-@
@to swallow@|@jot-@
@to swallow greedily@|@hypyr-@
@to sweep@|@hepere-@
@to swell@|@käpäj-, küp-, qabar-, šeš-, tomraj-@
@to swim@|@jyw-@
@to take@|@al-@
@to taste@|@taty-@
@to test@|@hyna-@
@to thread a needle@|@hap-@
@to threaten@|@hiskän-, jana-@
@to throw out@|@byraq-tyr-@
@to tie up@|@byw-@
@to trample@|@tapa-@
@to tumble@|@awna-@
@to turn@|@äwir-@
