@English@|@Indonesian@
@(v); men-kan@|@gunjing@
@(v); meny-kan@|@santai@
@(v); -mulah@|@tangis@
@(v); pe-@|@maling@
@(v); pen-@|@tampil, tulis@
@(v); pen-an@|@jadwal@
@(v); peny-@|@sidik@
@(v); per-kan(lah)@|@lihat@
@(v); scratch; peng-@|@garuk@
@(v); set on fire@|@bakar@
@(v); stingingly painful@|@dera@
@(v); support; (gendong)@|@dukung@
@(v); tdk ter-@|@pisah@
@(v); ter-@|@jamin, pesona@
@(v); ter-/subjected@|@perintah@
@(v);energetic@|@deras@
@(v. w/ obj)@|@lolos@
@(verb)@|@saksi@
@(Warung Tegal) food stall with cheap food@|@warteg@
@(yang terhormat) the honorable (on letter addresses and salutations)@|@yth.@
@(zaman) time period/epoch/era@|@jaman@
@-)(berhak mendapat)@|@pantas@
@); acute (angle math)@|@lancip@
@-. men-i@|@tatap@
@..@|@kan@
@-/give in (- kalah@|@serah@
@-/prepared; meny-kan@|@sedia@
@-/serial; ke-an@|@sinambung@
@-/skip over@|@langkah@
@-/without interruption@|@sinambung@
@-; ber-an@|@patut@
@-; hesitant (ragu2)@|@enggan@
@; ke-an@|@layak@
@-; me-kan/i@|@ragu@
@; used for emphasis@|@nah@
@??@|@solok@
@@@ the latest; Jangan sampai ter-@|@lambat@
@1 hr before dawn; daybreak@|@subuh@
@1.skin rash 2.litter 3.crazy@|@sarap@
@100 grams; ounce; (-an) by the ounce@|@on@
@-2@|@kadang, kata, kuman, maki, mentang, saruk, sia, tiap@
@2 activities together); -an@|@sambil@
@2faced/insincere/hypocritical@|@muka@
@2nd hand things; pasar loak@|@loak@
@a - person@|@ramah@
@a belch; ber-@|@tahak@
@a binding ruling in religious matters; instructions@|@fatwa@
@a catch@|@cakup@
@a cheerful person@|@riang@
@a claim@|@tagih@
@a dance@|@tari@
@a fan of@|@gemar@
@a forking branch; crossing; crossroad@|@cagak@
@a glance; meng-@|@kilas@
@a jab (w/ sharp instr.); mem-@|@bacok@
@a joke@|@gurau@
