@chief@|@hǫfðingi, hilmir@
@chieftain@|@yfirmaðr@
@child@|@barn@
@childhood@|@barnœska@
@choice@|@kostr@
@choose (v)@|@kjósa@
@church@|@kirkja@
@churl@|@karl@
@circle@|@hringr@
@claim@|@tilkall@
@clash@|@gnyr, hlǫkk, hnit, sǫngr@
@clashing@|@brǫkun, gnat@
@clasp (v)@|@spenna@
@clear@|@auðsýnn, brýnn, gløggr, heiðr, ljóss, skyrr@
@clear (v)@|@ryðja@
@clear_sighted@|@gløggr@
@clearing@|@rjóðr@
@cleave (v)@|@kljúfa@
@clench (v)@|@herða@
@clever@|@slœgr@
@cliff@|@bjarg, hamarr@
@climb (v)@|@hlaupa@
@cloak@|@feldr, skikkja@
@close@|@kærr, nálægr@
@closely@|@nær@
@cloth@|@skrúð@
@clothe (v)@|@klæða@
@clothes@|@fat, lérept, ript, váðir@
@clothing@|@klæði@
@cloud@|@sky@
@cluster@|@kǫngull@
@coals@|@kol@
@coat@|@skyrta@
@cock@|@hani@
@coil@|@baugr@
@coin@|@penningr@
@cold@|@kaldr@
@coldly@|@seint@
@collect (v)@|@safna, samna@
@color@|@litr@
@colored@|@litklæði@
@colorless@|@litlauss@
@Come about (v)@|@koma@
@Come to (v)@|@hitta@
@Come up to (v)@|@nálgask@
@comfort@|@huggan@
@commend (v)@|@fela@
@commit (v)@|@andvarða@
@common@|@karl@
@commonly@|@hversdagliga@
@community@|@sveit@
@companion@|@félagi, lagsmaðr, sinni@
@company@|@fǫruneyti, sjǫt@
@compensate (v)@|@bœta@
@compensation@|@bót, iðgjǫld, sómi, yfirbœtr@
@compensations@|@bœtr@
@competition@|@kapp@
@complain (v)@|@krikta@
@complete@|@fullkominn@
@complete (v)@|@fylla@
@completely@|@vandliga@
@complexion@|@litr@
@compose (v)@|@gera, gøra@
@comrade@|@félagi@
@conceal (v)@|@leyna@
@condition@|@efni, far, kostr, réttr@
@conduct@|@far@
@conference@|@málstefna@
@confidence@|@traust@
@conflict@|@samgangr@
@conquer (v)@|@vinna@
@consequence@|@tilkváma@
@consider (v)@|@hugsa, íhuga, telja@
@consolation@|@hugarbót, huggan@
@constitution@|@lǫg@
@contend (v)@|@þreyta@
@contention@|@deila, róg@
@contest@|@fang, kapp, leikr@
@continuous@|@fastr@
@control@|@vald@
@controlled@|@stiltr@
@contumely@|@níð@
@conversation@|@mál, rœða@
@converse (v)@|@tala@
@cook@|@matsveinn@
@cook (v)@|@sjóða@
@cooking_fire@|@seyðir@
@copper@|@eir@
@corn@|@korn@
@corner@|@horn@
@corpse@|@lík, nár@
@correct@|@réttligr, réttr@
@cost@|@kostnaðr@
@cough@|@hósti@
@counsel@|@ráð@
@counsel (v)@|@ráða@
@count (v)@|@telja@
@country@|@land@
@courage@|@áræði, dáð, drengskapr, frami, hugr, kapp@
@course@|@skeið@
@court@|@dómr, garðr, hirð@
@courteously@|@kurteisliga@
@cousin@|@systrungr@
@cover@|@hlíf, hulða@
@cow@|@kyr@
@cowardly@|@argr@
@crack (v)@|@braka@
@cradle@|@vagga@
@crafty@|@slœgr@
@crag@|@bjarg, hamarr@
@crash (v)@|@gnata@
@crave (v)@|@krefja@
@creak (v)@|@braka@
@create (v)@|@skapa@
@creature@|@kvikindi@
@credit@|@mannvirðing@
@creep (v)@|@krjúpa@
@crew@|@skipan@
@cross@|@kross@
@cross_beam@|@þvertré@
@crouch (v)@|@krjúpa@
@crowd@|@fjǫlmenni@
@crowd (v)@|@drifa, skipa@
@crowded@|@fjǫlmennr@
@crozier@|@bagall, stafr@
@cruelty@|@illska@
@crusaders@|@Jórsalafarar@
@cry (v)@|@hlakka@
@Cry out (v)@|@kalla, krikta, œpa@
@curiosity@|@forvitni@
@current@|@straumr@
@curses@|@feiknstafir@
@cushion@|@hœgindi@
@custom@|@háttr, siðr, siðvenja, vani@
@cut (v)@|@bita, hǫggva, skera, sníða@
@dainty@|@krás@
@dale@|@dalr@
@damage@|@skaði@
@damage (v)@|@hata@
@dance@|@danzleikr@
@dancing_song@|@danzleikr@
@dandy@|@skartsmaðr@
@danger@|@háski@
@dangerous@|@hættr@
@dare (v)@|@bella, þora@
@daring@|@áræði, djarfr, stórráðr@
@dark@|@blakkr, myrkr, ófǫlr@
@darkness@|@myrkr@
@daughter@|@dóttir@
@dauntless@|@hraustligr@
@dawn@|@elding, nætrelding@
@dawn (v)@|@daga, lysa@
@day@|@dagr, dœgr@
@daybreak@|@dagan@
@daylight@|@dagr@
@dead@|@dauðr, feigr, líflátinn@
@Deal with (v)@|@mœta@
