@English@|@Selkup@
@sleeve@|@tönak, tyynang, tyynjang@
@sleigh@|@kanch, kanddse, kandsa, kandše, qanti@
@sleigh harness@|@kuudago, qüte-ko@
@smoke@|@symde, syndim@
@snake@|@šü, šý, syy@
@snout@|@nanné, njännä, njanne, njanneä, njärne, njärnen@
@snowfall@|@kochu, kodš@
@snowstorm@|@purqaat, purqälcha-, purqälche- puraajingpaat@
@soar@|@tï-@
@soft@|@njaamagel, njeukka, njülgue, njúlgueh, njuulguek@
@something stamped@|@pel, pêlli, pîle@
@son-in-law@|@kenek, kuenä, kûenek@
@sour@|@tembal@
@space below something@|@î.l, iil, îîl, il, îl, illé@
@spear@|@täpsau@
@spit@|@ängti, ongti@
@split@|@paas, päs, päse, pasi@
@squirrel@|@täpäk, täpäng, tëpeq@
@star@|@kesaka, kesangka, kiška, qešqasej@
@stay@|@keet-, kuedša-, kuetja-, kuettja-, qëchi-@
@step@|@aasel-@
@stone@|@puu@
@string@|@chend, chênd@
@summer@|@taang, tagi, tagî, tangi@
@swamp@|@när, njär@
@sweep@|@chütch-@
@tail of a deer@|@mä.chä, mätjä, mätjä, mëcha@
@take out@|@titi-@
@tame@|@îînje, îînjeka@
@taste@|@aaku-, haaku-, häku-, sanga-@
@tear@|@neker-, nengken-, ninga, niwa, njakkan-, saina-gai@
@tear (1)@|@haet-kai, hait-kai, qäne@
@testicle@|@mäne@
@that@|@na, ta, tä, tam, tämi, tap, tau, to, tó, tona, too@
@that (1)@|@neka, ní, nî, nii, nîî, nîîn'e, nín, nittja, tö, tö@
@that (2)@|@na@
@They (two) went hunting@|@süryjja qänpöqi@
@thief@|@teli-, telti-, tuel-@
@thin fibre@|@hach, sächu, säcu@
@thin snow@|@kurä@
@thing@|@më-, mee-, mi, mï-@
@this@|@nittjan, nittjátagan, te cêl, ti, ti, tí, tii, tina@
@this (1)@|@nend@
@thou@|@tan, tat@
@through@|@hachko, sacko, satkatje@
@time@|@okur-pär, pär@
@to be afraid@|@piti-@
@to be forgotten@|@émelžam@
@to be warm@|@pö, pyy@
@to become@|@esyš@
@to become dry@|@kuuska@
@to become tired@|@njú'undsa-, nuuna-, núuna-, nuunetja-@
@to beware@|@aacha-, ächá-@
@to bind@|@háara-, hára-, kura-, küra-, saara-@
@to blow@|@püa-, putön-, puttu, puunga-, puuwa-@
@to bore@|@päraq, paring, pur@
@to burn@|@porcha-, pore-, poru-, purcha-@
@to call@|@kera-, kuera-, kûera-, qëri-@
@to carry@|@kuanda-, kuenda-, kuenda-@
@to comb@|@tifi, tïfi, tipsen, tipsin@
@to come@|@tü-, tüa-, tüu-, tyynga-, tyywa-@
@to cough@|@koot, kot, köt, kotarna-@
@to curve@|@karengdal, karengdel, kärukkai@
@to cut@|@püti-@
@to devour@|@pöl-, poli-@
@to die@|@kua-, küa-, qü-, qump-, quu-@
@to drink@|@ëra-, îra-, öra-@
@to extinguish@|@kapta-@
@to fall@|@äs-, äsettà-, êsta-@
@to flow@|@sörmba-, šormbá-@
@to follow the tracks@|@pýda-, pýdar-, pyyda-, pyytaldš-@
@to ford@|@qäl-@
@to get accustomed@|@tanamda-, tanti-@
@to get lost@|@örga-, ürë-, yra-, yrga-, yrua-@
@to go@|@männempa-, mäntëja-, mänti-, menda-, mentétja-@
@to grow@|@chaadš, chadš, chatcheak, taadše, taatjeä, tadše@
@to hang@|@êdá-, ëdá-, îta-, îtta-@
@to hear@|@ko, qooo@
@to hit@|@petku-@
@to lead@|@kueta-@
@to lick@|@nu-, nüqel-, nuuqel-@
@to live@|@ela-, ilá-, ïla-@
@to move@|@laga-, lagara-, mödena-, mootja-, moottja-@
@to nurse@|@ilaš@
@to paint@|@pateldša-@
@to peel@|@kera-, kîra-@
@to plait@|@pachkalna-, patkalna-@
@to rot@|@té, tê, teé, temb-@
@to row@|@tû-, tua-, tuu-, túwa-@
@to say@|@my-mbiem@
@to scrape skin@|@natkal-, natkan-@
@to see@|@aaca-, aacha-, aatti-, äca, ati-, ätti-, otti-@
@to sit@|@aamda-, aamta-, amte-, omte-, omti-@
@to sit down@|@ti-@
@to stamp with feet@|@tabarna-, täberna-, taperna-, tapir-, tappol-@
@to suck@|@nem-@
@to suckle@|@njimaš@
@to swim@|@ü-, ürk-, uurn-@
@to urinate@|@küš, küša-, küše, küšempe-@
@to walk@|@chändša-@
@to wash@|@musaš, müselcha-, muselža-, müsilti-, mysa-@
@top@|@hok, hök, sok, sök@
@trace@|@njo-, njód-, njoo-, njoot, nö-, wat, watta, wuette@
@trap@|@lata@
@tree juice@|@öl, yl, yllu@
@turned over@|@qamcha-, qamittä, qamt@
@two@|@sede, sitte@
@uncle@|@chetcheka, chetšeka, cica, citca@
@vessel@|@holak, holák, solak, solang, sólang@
@vessel made of birch bark@|@käti, keti, kietä@
@walk@|@kuuremba-, qüra-, quri-@
@wander@|@cheti-, chetti-@
@wart@|@sëla, šïla@
@water@|@öt, üt, üut, yt@
@wave@|@kämper-, kómbo, koombo, qaampe, qoomp@
@we@|@me, më@
@what@|@awuo, kai, kod, kud, kun, kut, küt, kute, kuu, qaj@
@Where is my room? (1)@|@kut't'at maadam eeja@
@Where is the bar?@|@kut'tat bar eeja, man kun 'ütympyläk@
@Where is the beach?@|@kut't'at paaryt eeja, kut 'qanyk kun 'einga@
@why@|@kutar@
@wife of an elder relative@|@ona, ono@
@wild animal@|@húurup, sürip, súuram, suurem, súurêm@
@wild animal (1)@|@tïmpitil sürip@
@wing@|@tu, tú, tuu@
@woman@|@näl-gop@
@wood@|@pö, poo@
@wooded hill@|@marge, mark@
@wooden vessel@|@somma@
@worm@|@nën, njeiju, njénje@
@year@|@arà, ärä@
@yellow@|@paate, pät, päte, patelcha-, patta, patte@
@you@|@te, ti@
@young@|@i, í, ii, ïja@

