@make butter@|@ftije-, pifti-, piftu-, piJte-, pište-, pivte-@
@man@|@lomanj@
@maple@|@ukštor, ukštoro, ukštur, uštor@
@mead@|@mäd, med@
@meat@|@s'ivel, sivel@
@meet@|@sato-@
@method@|@koj@
@midge@|@säskä, seske, siskä@
@month@|@kong, kov, kov@
@moss@|@lupon, nupon@
@mother@|@ava@
@mouse@|@chejer, chever, šejer@
@multitude@|@lama, lamo, välä, velä, vele@
@name@|@läm, lem@
@narrow@|@täjnä, teja@
@nasty@|@pežet, pichä, pižä@
@navel@|@pokon@
@neck@|@sivä, sive, siveks@
@negative particle@|@da-, e-, i-la-, ta-@
@nest@|@piza, pize@
@new@|@od@
@night@|@vä, ve@
@nine@|@vejkse, vexksa, vexkse@
@nits@|@saRka, sarko@
@not@|@a@
@not to be@|@jiljams@
@oak@|@tuma, tumo@
@oats@|@pinem, pineme@
@oblique@|@vašade-, venaža, venuža@
@odor@|@opos@
@old@|@s'irä, sirä, sire@
@on back@|@kuntst@
@on top@|@velks@
@one@|@fkä, ifkä, väJkä, vejke, viJkä@
@open@|@ancema, anksima, avsima@
@order@|@kirda@
@other@|@ombo@
@over@|@chachk, chachkov, chachkuv, chacka, šachk, šachkuv@
@ox@|@buka@
@part@|@pola, polafto-, polavto-@
@path@|@ur-kškä@
@pearl@|@pov, puv@
@peg@|@tula, tulo@
@person@|@inže, inži, lomanj, mirdä, mirde@
@pestle@|@petkel, petkol@
@piece@|@pal@
@pierce@|@toka-@
@pig@|@tuva, tuvo@
@piglet@|@puRc, puRcis, purcos, pursuz@
@place@|@pane-, pane-, purda-, purna-, tarka, verenc@
@place behind something@|@mäjlä, mejle, mekej, mekeng, mekev, meki, melä@
@place behind something (1)@|@mek@
@plait@|@koda-, pona-@
@plow@|@soka@
@poison@|@ožo@
@pole@|@salga, salgo, salgo-, salgu-@
@polished@|@maze, mazi@
@porridge@|@sora, suro@
@post@|@olga, päl, päl, päll@
@power@|@vi, vij@
@present@|@kaze-, kaznä, kazne@
@previous@|@umok@
@price@|@arce-, arse-, chando@
@prince@|@azor, azoro@
@prop@|@neže@
@push away@|@lije-@
@rabbit@|@numolo@
@raise@|@tir'a-, tira-, tra-@
@rare@|@churo, šura@
@raspberry@|@inezi, inze, inzej@
@raven@|@kranch, kränš, krench, krenš@
@raw@|@nachka, nachko@
@reason@|@mäl, mel@
@release@|@laska-, laskenda-, lastä, laste@
@revolve@|@puvora-, puvra-, puvra-@
@rich@|@kozä, kozav, sjupav@
@ring@|@pera-, perä pira-, perf, pert, pire, piri-@
@river@|@jov, juv, rav, rava, ravo@
@room@|@komnata@
@root@|@undoks, unduks, unks@
@root (end)@|@jur@
@rope@|@rismä, risme@
@rotten@|@makša, makšo@
@rudder@|@melidi-, milä, mile@
@rump@|@kaska, kaske, ronga, rungo@
@rust@|@sod@
@salt@|@sal@
@scab@|@leme@
@scoop@|@kajmä, kojmä, kojme@
@scrotum@|@moša@
@sea@|@äRkä, erke, jäRkä@
@sell@|@mije-@
@separate@|@java-, javo-@
@seven@|@sisem@
@shadow@|@äs, es@
@shaft@|@näd, ned, pangga, panggo@
@shame@|@visks, vizde-, vizks@
@shank@|@pukša, pukšo@
@shape@|@chama, šama@
@she@|@son@
@sheep@|@ucha, utsa@
@ship@|@chakš, šakš@
@shoe@|@kämä, kem, keme@
@side@|@chire, päl, pälä, pel, pel, pele, sirä, širä, širä, sire, vir@
@sieve@|@požnavto-@
@sift@|@sifonde-, suvtne-@
@sinew@|@san@
@sing@|@mor, mora-, moro@
@sister@|@sazor@
@sister-in-law@|@kel, kijal, kijalo@
@sit down@|@oza-@
@six@|@kota, koto@
@ski@|@soks@
@skin@|@jož, joža, jožo, käd, ked@
@slave@|@urä, ure, urende-@
@sleeve@|@kätks, ketks, oža@
@sleigh@|@nurda, nurdo@
@smell@|@chijne, chine šinä, kacham, kachamo@
@smoke@|@katšamo, sufta-, suvode-, suvodo-@
@snake@|@guj, kijov, kju, kuj@
@sneeze@|@noska-@
@snot@|@nolga, nolgo@
@snout@|@när, ner@
@snow@|@long, lov@
@snow shoe@|@soks, soks'@
@snow squash@|@suz, suzu@
@snowstorm@|@porf, porga-, purga-@
@soft@|@läpä@
@something protruding@|@tikše, tišä@
@something slippery@|@nelämt-, nola, nolaža@
@son-in-law@|@ov, ova@
@sorrow@|@sumorde-, sumurde-@
@soul@|@cho-paca, cho-pacha, šo-pacha@
@soul of a dead@|@cho-pacha, chov, šo-pacha@
@soup@|@jam, läm, lem@
@space below something@|@al, ala, alo@
@spit@|@uksno-, uksondo-@
@splinter@|@sorado-, soradu-, sorana, sra-, srado-, strado-@
@split@|@käd-luv, lužado-@
@spoon@|@pänch, pench, peñch@
@spring@|@kedi, kedij, tunda, tundo@
@squirrel@|@ur@
@stable@|@karda@
@stalk@|@ponda@
@stallion@|@ajgor@
@star@|@täštä, teše, tešte@
@stay@|@kado-@
@stem@|@sad@
@step@|@askila-, askola-, eskila-, iskila-@
@stick in@|@pongo-, povo-@
@stick into@|@päla-, päle-, pela-, pele-@
@stiff@|@tangoda@
@stomach@|@pekä, peke, vacä, vace@
@stone@|@käv, kev@
@straight@|@vidä, vide, vijede, vijet, vit@
@straw@|@olgo@
@string@|@piks@
@strong@|@kecä, keca-, kecakado-@
@summer@|@kiza, kize@
@support@|@neže, nežede-@
@surface@|@ponda, pondakš@
@swallow@|@bizgata, pezdaka, pezgata, pezgun, pizgudav@
@swallow (1)@|@pezga.ta, pizgata, pizgun, pizgutaj@
@swamp@|@pora@
@swan@|@loksij, loksti, lokstim@
@sweat@|@pisi, psi@
@tail@|@pula, pulo@
@tall@|@särij, ser, sere, sere, serej, serev, seri@
@tell@|@jofks, jofta-, jovks, jovta-@
@temple@|@uj@
@ten@|@kemen@
@testicle@|@mona@
@that@|@nonat, oma, omba, ombo, ombocä, omboce, omoce@
@that (1)@|@sä-, se, sej, sija, tona, tosa, toso, toza, tozo@
@thick@|@eckä, ecke@
@thick end of tree@|@tejet, tenet@
@thick forest@|@kuro@
@thief@|@sala-, salaj@
@thin@|@tšjava@
@thin ice cover@|@šušma, šušmin@
@thing@|@meje, mezä, meze@
@this@|@e-ne, e-se, e-sn, e-te, tä, tasa, te, tesa, tese@
@this (1)@|@e-sa, e-sta, nä, nat, ne, net, sijä@
@thou@|@ton@
@thread@|@kärks, kärksa-, kerks, kerksa-@
@three@|@kolma, kolmo@
@threshhold@|@kenchiks, kengš kenchks, kenkš@
@throat@|@kërga, kirga, kirga, korga@
@through@|@šachk, šächk, šichk@
@thumb@|@päLkä, pelka@
@tie@|@näda-, näta-, neda-, neta-@
@tinder@|@säjam, seje, sejim, sejme, sem, seme, sijam@
@to ask@|@kevkste-, kevste-, kevštjms, kizefte-@
@to be@|@uljnems@
@to be able@|@mašto-@
@to be afraid@|@pele-@
@to be angry@|@kor@
@to be seen@|@njejavoms@
@to be visible@|@kaje@
@to become dry@|@koskä, koske, koske-, kosko-@
@to become dumb@|@tajmaskado-@
@to become free@|@mäne-, mene-, mini-@
@to become sour@|@chapaks, chapamo, šapaks, šapama@
@to bend@|@mände-, menda-@
@to bewitch@|@alsta-, alta-, alvta-, lëme-, lume-@
@to bite@|@pore-@
@to blow@|@puva-@
@to braid@|@ponams@
@to break@|@säräde-, serede-, sive-@
@to breathe@|@läka-, läko-, lekse-@
@to breathe heavily@|@lepija-@
@to bring@|@tujems@
@to burn@|@palo-, puLta-, pulta-@
@to burst@|@pochkode-@
@to carry@|@kando-, vedjams@
@to catch@|@kunda-@
@to chop@|@lakse-@
@to close@|@solgo-@
@to comb@|@sejende-, semede-, siRcama, siRcämä, surceme@
@to comb (1)@|@sidira-, sidra-, siRcem, sudra-, suRcem@
@to come in@|@sova-, suva.-@
@to cough@|@koz, kozo-@
@to count@|@lovo-, luvo-@
@to crawl@|@madamo@
@to creak@|@tšikordoms@
@to cut@|@pechkä, pechke-@
@to dawn@|@vaRmode-@
@to depilate@|@nevelda-, nevele-, nevila-, nevilda-@
@to devour@|@pal@
@to die@|@kulo-, kuloms@
@to dig@|@kara-@
@to drink@|@irede-, simems@
@to dry@|@puže-, pužo-@
@to eat@|@jarsams, s'eve-, säwi-, seve-, sive-@
@to fall down@|@pra-@
@to fart@|@puska-@
@to fear@|@peljims@
@to ferment@|@tšalavtoms@
@to ford@|@käle, kele-@
@to freeze@|@palo-@
@to get accustomed@|@tonado-@
@to get tired@|@sizems@
@to give@|@ando-, maksams, makso-, maksse-@
@to go@|@molems@
@to go away@|@lifte-, liJte-, lište-, livte-@
@to go down@|@valgo-@
@to grind@|@jaža-@
@to grow@|@chacho-, šacho-@
@to hang@|@ite-, kece-, keche-, pongavto-@
@to harness@|@kilde-@
@to hear@|@kule-, kulems@
@to help@|@changgode-@
@to hide@|@käše-, kekše-@
@to hit@|@chavo-, pikse-, pivce-, pivse-, šavo-@
@to hold@|@peda-@
@to know@|@sodams@
@to laugh@|@rakams, serta-@
@to lead@|@väda-, väte-, veda-, viti-@
@to let come@|@safto-, sato-, savto-@
@to lick@|@nola-, nolams@
@to live@|@ära-, era-, erjams@
@to loosen@|@purgavto-@
@to meet@|@pung@
@to melt@|@sola, sola-@
@to milk@|@lofca, lovco, lovso, peda-@
@to obtain@|@s'ävo-, sa-, saje-, savo-, sävo-@
@to open@|@panže-, panžo-@
@to pass@|@mole-@
@to peel@|@vatka-@
@to peel bark@|@wala-@
@to penetrate@|@chude-, šude-@
@to plow@|@sokams@
@to pluck@|@kochka-, kochko-@
@to pluck out@|@näfti-, nefte-, nevta-@
@to pour@|@valf, valfkä, valks, valo-@
@to pour out@|@poch, pochaña, pochana pocht, pochf, pochodo-@
@to press@|@iche-, pane-, pane-@
@to put@|@äzem, ezem, izim, jäzem@
@to reach@|@sazi-, sazu-@
@to rest@|@nuvse-@
@to rip@|@sinde-@
@to rot@|@si, sij@
@to run@|@chije-@
@to say@|@mäna-, merems, muna-@
@to scoop@|@amola-, amula-@
@to see@|@uche-, ucho-, vacha-@
@to shine@|@valda, valdo@
@to sieve@|@ponžafto-, ponžavto-@
@to sink@|@londade-, londado-, vaja-@
@to smile@|@muzgulda-@
@to sneeze@|@kešna-, kešne-, kšna-@
@to sound@|@gajge-, kajge-@
@to speak@|@kortams@
@to spin@|@kištir, kštir, šchere, štere@
@to spit@|@selgä, selge, selge-@
@to split@|@lufta, lungidu-, lunkfta-, luvode-@
@to spread@|@tetke-@
@to stamp with feet@|@tapa-@
@to stand@|@sta-@
@to stretch@|@racakado-@
@to strew@|@sorafta-, sorafto-, sravto-, stravto-@
@to suffer@|@kirjdems@
@to swallow@|@nile-, njilems@
@to swim@|@uje-@
@to teach@|@tonavtoms@
@to tear out@|@säze-, seze-@
@to throw@|@kaja-, vachka-, vide-@
@to throw with a boom@|@tomba@
@to understand@|@maštoms@
@to wake@|@pufta-, puvta-@
@to want@|@karma-@
@to wash@|@muske-, muškems, musko-@
@to wash head@|@peze-, pezi-, pezo-@
@to whistle@|@veškams@
@tongs@|@peš, peš-chuvto@
@tooth@|@päj, pej, peng, pev@
@top@|@cocana@
@tree bark@|@sud@
@trough@|@kovil, ochka, ochko@
@tuber@|@pokol@
@turned over@|@koma-@
@twenty@|@komes, koms@
@twigs@|@karcht, kurcht@
@two@|@kafta, kafto, kavto@
@udder@|@odar@
@unbind@|@jukse-, jukso-, ukse-@
@uncle@|@chiche, scava, scenä, šchäta, šchätä, šchava@
@uncle (1)@|@scinä@
@understanding@|@važov@
@unevenness@|@muška@
@valley of a river@|@läj, lej@
@very@|@pekj@
@vessel made of birch bark@|@keche, kechenä@
@walk@|@kolge-@
@wander@|@jota-, juta-@
@warm@|@ežda-, ežde-, eže-@
@warmth@|@lämbä, lembe@
@wart@|@cilgä, selgä, silgä, silge@
@water@|@väd, ved, vedj@
@wave@|@komba, komboldo-, kopildi-, kumboldo-@
@wax@|@kšta, šta@
@we@|@min@
@wetness@|@lopafto-, lopavto-@
@what@|@kida, koda, kona, kosa, koso, kuda, me@
@where@|@koso@
@Where is my room?@|@kosa monj komnatazä?, monj komnatam koso?@
@Where is the bar?@|@bar koso?, kosa barsj?@
@Where is the beach?@|@kosa shuvarnalsj?, pliazhosj koso?@
@whet@|@chova-, šova-@
@while@|@ška@
@white@|@akša, ašo@
@who@|@ki, kijä, kije@
@whole@|@väsij, vese, vesi@
@why@|@me@
@widow@|@uros, urus@
@wife of an elder relative@|@anaka, niz-ana@
@wild duck@|@šenš, šenže@
@wing@|@tolga@
@winter@|@tala, tele@
@woman@|@niz-ana, nizaka@
@wooded hill@|@mar@
@wooden mortar@|@chovar, šovar@
@wooden vessel@|@sima, suma@
@word@|@val@
@work@|@täv, tev@
@worker@|@robotjnikj@
@worm@|@ki, suks@
@woven chain@|@limä@
@wrinkle@|@s'orma, s'orma-, sorma, sorma-@
@year@|@ije@
@yeast@|@chong, chov, šov, tšalavtuma@
@yellow@|@piža, piže, t'uža, t'užä, tuža@
@yonder@|@tombale@
@you@|@tin@
@young@|@äj-d, ej-d, ej-kakš, ej-t@
@young animal@|@vaša, vašo@
@young deer@|@sarda, sardo@
@young lime tree@|@levoš, levš@

