@see@|@'mr, hzy, hzy, r'y@
@seed@|@zrx@
@Seed@|@zarex@
@Seedling@|@Catle@
@Seek@|@Baqqac@
@self@|@npš@
@Sell@|@Makar@
@Senate@|@Adyriim, Ra'ciim@
@Servant@|@Amat, Xabd@
@Servant of Adon@|@Xabdo@
@Shake@|@Racac@
@Shear@|@Jalam@
@Sheep@|@sa'n@
@Shield@|@Mjann@
@Silver@|@Kesep@
@Sister@|@Iht@
@sit@|@yšb@
@Skillful@|@Mehir@
@slaughter@|@zbh@
@Slaughter@|@tabah@
@slaughterer@|@tbh@
@Slave (Female)@|@Amat@
@sleep@|@škb@
@Smell@|@Roh@
@son@|@bir@
@Son@|@Bin@
@Sonship@|@Baniim@
@Sound@|@Qawl@
@sowing@|@zri@
@speak@|@dbr@
@Spirit@|@napac@
@Spring@|@Xayn@
@Stamp@|@tabax@
@star@|@kbkb@
@Stay@|@Bqy@
@Steal@|@Janab@
@Stele@|@Nasob@
@stone@|@'bn@
@Stone@|@Ibben, sur@
@Strangler of the lamb@|@hnkt 'mr@
@Strength@|@Xizmat@
@Strong@|@xizz@
@subordinate@|@mhyr@
@Sun@|@Camc@
@sunset@|@rb@
@t@|@taaw@
@t'@|@teet@
@Tax Collector@|@Nijic@
@Tell@|@Dabar@
@Temple@|@Maqdac, Ocrit@
@the one who builds@|@fillec@
@Then@|@Iz@
@These@|@Awl@
@Thin@|@Qoton@
@thou@|@'t@
@Thousand@|@Elep@
@throw@|@dhy@
@Tiger@|@Nimr@
@till@|@hrš@
@Time@|@dor@
@Time of@|@yawm@
@to gather@|@iry@
@to grow ripe@|@abiib@
@Tomb@|@Birr@
@Tongue@|@Lcen@
@Tower@|@Mijdil@
@Trader@|@Mekir@
@Trans@|@Xabr@
@Translator@|@mullas@
@Triumph@|@Nahar, Nsoor@
@Trust@|@Btah@
@Tunic@|@Kitten@
@two@|@šnm@
@type of sacrifice@|@bšr@
@Under@|@Taht@
@understand@|@bn@
@Valley@|@Xammiq@
@Vessel@|@Mi'en@
@Village@|@hawta, Kapr@
@Vineyard@|@Karm@
@voice@|@kol@
@Vow@|@Nadar, Nidir@
@Voyage@|@dariik@
@w@|@waaw@
@Wage@|@Ijdi@
@Wagon@|@xajlit@
@Wall@|@Jdar@
@War@|@Malhamit@
@Warrior@|@Jabbur@
@Water@|@Miim@
@we@|@'nhn@
@We@|@Nihna@
@Wealth@|@Anim@
@what?@|@m@
@Wheel@|@Jiljol@
@Where@|@ay@
@white@|@lbn@
@White@|@Laban@
@Who@|@Ici@
@who?@|@mii@
@Wife@|@Ecta@
@Wine (Red)@|@hamr@
@Wisdom@|@hikmat@
@Without@|@Dool@
@woman@|@'št@
@Woman@|@Ecta@
@Word@|@Umer@
@work@|@p'l@
@Write@|@hatt, Katab@
@Writing@|@ktebit@
@y@|@yood@
@yard@|@hsr@
@You@|@Itta@
@z@|@zayin@

