@English@|@Latin@
@accuse@|@accusare, arguo, culpo@
@accused@|@reus@
@accuser@|@accusator, criminator@
@accusor@|@accusator@
@accustomed@|@solitus@
@Acheron@|@Acheron@
@achieve@|@perficio@
@achievement@|@adeptio, factum@
@acid@|@acidus@
@acknowledge@|@agnoscere, agnosco, confiteor confessus@
@aconite@|@aconitum@
@acorn@|@balanus@
@acquainted with@|@gnarus@
@acquire@|@adepto, conciliare, usurpo@
@acre@|@ager (agri)@
@across@|@trans (+ acc.)@
@across from@|@contra, in@
@act@|@actio, actum, facio (trans.), factum@
@act of oath-taking@|@juramentum@
@acting unlawfully@|@injurius@
@action@|@actio, actum, commissio, facina -oris, factum@
@active@|@impiger, practicus, strenuus@
@actively@|@impigre, strenue@
@actor's mask@|@persona@
@actually@|@vere@
@-actus] put down@|@subigo@
@acute@|@argutus@
@Adam@|@Adam@
@adamant@|@adamans, insuadibilis@
@adapt@|@accommodo, adapto, commodo@
@adapted@|@ingeniosus@
@add@|@accensere, accommodare, adaugeo, addo, suggero, suppono subpono@
@added to lime-deficie@|@mara@
@adding up@|@consummatio@
@address@|@adicio, affatus, affor, aggredior, compello, oratio@
@adequate@|@sufficiens@
@adequately@|@sufficienter@
@adhere@|@adhaero@
@adieu@|@ave@
@adj@|@assimilares, celebrer, consonum, valde@
@adj.@|@praeter@
@adj. learned@|@philologus@
@adj. relating to a store-room@|@cellarius@
@adjacent@|@finitimus finitumus@
@adjective@|@adjectivum@
@adjoining@|@finitimus@
@adjust@|@adapto@
@administer@|@curo, fungor@
@administration@|@administratio, cura, procuratio@
@administration of justice@|@iurisdictio@
@adminstration@|@exercitatio@
@adminstrator@|@executor@
@admirably@|@divinitus@
@admiration@|@admiratio@
@admire@|@admirari, admiror, miror@
@admirer@|@admirator@
@admit@|@ascisco, confiteor confessus, fateor@
@admonish@|@admoneo, moneo, paecipio@
@admonition@|@monitio, monitum@
@adopt@|@adopto, ascisco@
@adopt as one's own@|@ascio@
@adore@|@adorare@
@adorn@|@decoro, distinguo, excolo, exorno, extollo, glorifico, insignio, orno@
@adorned@|@ornata@
@Adriatic@|@Hadria@
@Adriatic Sea@|@Hadria@
@adroit@|@solers@
@adulator@|@adulator@
@adult@|@adultus (adj.)@
@adulterer@|@adulter@
@adulteress@|@adultera@
@adv@|@congrue, deinde, igitur, item, juxta, pie, praecipue, praeter, praeterea, quandoque, quantum, quidem, saltem, singulariter, tam, tanquam, tantundem@
@adv.@|@gregatim@
@adv. a long while@|@diu@
@adv. far and wide@|@passim@
@adv. just as@|@velut@
@adv. suddenly@|@subito@
@adv. too much@|@nimis@
@adv. undeservingly@|@immerito@
@adv/conj@|@quamvis@
@advance@|@bellicum, enitor, eo ire itum, procedo, profectus, profero, proficio, proficio, progredior, progressio, progressus, promoveo promovi promotum, proveho, proximare@
@advanced@|@promutuus (cash), provectus@
@advanced in age@|@provectus@
@advanced in years@|@provectus@
@advantage@|@commodum, oportunitas, opportunitas, usus@
@advantageous@|@salubris, utilis@
@advantageously@|@salubriter@
@advent@|@adventum@
@adverb@|@adverbium@
@adversary@|@adversarius, antagonista@
@adversity@|@adversitas, adversum@
@advertise@|@annuntiare, vendo@
@advice@|@consilium, consultum@
@advise@|@admoneo, censeo, moneo, monere, precipio@
@advise (a person)@|@suadeo@
@advisor@|@consuasor@
@advocate@|@advocatus, altor, causidicus@
@-ae@|@reproba@
@aeon@|@æon@
@aeris air@|@aer@
@affable@|@comis, facilis, lepidus@
@affair@|@causa, res, res, res rei@
@affect@|@caritas, contineo, inflecto, moveo moti motum@
@affected@|@vultuosus@
@affection@|@amor@
@affectionate@|@affectuosus, charus@
@affirm@|@autumo, firmo, protestor, protesto, retineo@
@afflict@|@adficio, contristo, ingravo@
@affliction@|@plaga@
@affluence@|@affluencia, sufficientia@
@affluent@|@sufficiens@
@affluently@|@affluenter, sufficienter@
@afraid@|@formido@
@afresh@|@denuo@
@Africa@|@Africa@
@African@|@Afer@
