@English@|@Serbian@
@insulate@|@izolovati, odeliti, usamiti@
@insulating@|@izolacioni, koji izoluje@
@insulator@|@izolator@
@insult@|@uvrediti@
@insuperable@|@nepremostiv, nesavladiv@
@insurance@|@osiguranje@
@insure@|@osigurati@
@insured@|@osiguranik@
@insurgent@|@buntovnik@
@insurmountable@|@nepremostiv@
@insurrection@|@buna, ustanak@
@insusceptible@|@neprijemciv@
@intact@|@nedirnut, netaknut@
@intake@|@usisavanje@
@intangible@|@neopipljiv@
@integral@|@ceo, integralan, potpun@
@integrity@|@celokupnost, integritet, ispravnost, poštenje@
@intellect@|@intelekt, razum, um@
@intelligence@|@inteligencija, razum, razumevanje@
@intelligent@|@inteligentan@
@intelligible@|@razumljivo@
@intemperate@|@neumeren@
@intend@|@nameravati@
@intense@|@moćan, silan@
@intensity@|@jačina, silina@
@intent@|@plan, svrha@
@intention@|@namera, svrha@
@inter@|@sahraniti@
@interaction@|@međusobni uticaj@
@interblend@|@izmešati@
@interbreed@|@ukrštati@
@intercede@|@intervenisati, posredovati, zauzeti se@
@intercept@|@preprečiti@
@intercession@|@posredovanje, zauzimanje za@
@interchange@|@premeštanje, razmena@
@intercity@|@međugradski@
@intercourse@|@održavanje veze, snošaj, trgovanje, uzajamno@
@interdependence@|@uzajamna zavisnost@
@interdict@|@zabrana@
@interest@|@interesovanje, kamat, korist, pažnja, zainteresovati@
@interesting@|@zanimljiv@
@interfere@|@posredovati, umešati se@
@interfuse@|@izmešati se@
@intergrowth@|@klijanje@
@interim@|@međuvreme, prethodan, privremen@
@interior@|@unutrašnji, unutrašnjost@
@interjacent@|@spojni, središnji@
@interject@|@ubaciti@
@interjection@|@uzvik@
@interlace@|@isprepletati se@
@interlock@|@povezati se, spojiti se@
@interlocutor@|@sabesednik@
@interlocutory@|@privremena odluka@
@interlope@|@umešati se@
@interloper@|@nametljivac, neovlašćena trgovina@
@interlude@|@interludijum, međuigra, pauza@
@intermediary@|@posredni, posrednik@
@intermediate@|@srednji@
@interment@|@sahrana@
@interminable@|@beskonačan, dosadno dug@
@intermingle@|@izmešati se@
@intermission@|@prekid, stanka, zastoj@
@intermittent@|@isprekidan, sa prekidima@
@intermix@|@izmešati se@
@intern@|@internirti, staviti pod  na, stažirati, stažista@
@internal@|@unutarnji@
@international@|@međunarodni@
@internecine@|@međusobni@
@interpellation@|@interpelacija@
@interplanetary@|@međuplanetarni@
@interpose@|@ubaciti, umetnuti@
@interpret@|@prevoditi, tumačiti@
@interpretation@|@tumačenje@
@interpreter@|@tumač@
@interregnum@|@bezvlašće@
@interrelation@|@međusobna veza@
@interrogate@|@pitati@
@interrogative@|@upitnik@
@interrupt@|@preseći@
@intersect@|@presecati@
@intersection@|@presek@
@intersperse@|@rasuti@
@intertwine@|@ispreplesti@
@interurban@|@međugradski@
@interval@|@međuprostor, zastanak@
@intervene@|@dogoditi se, umešati se@
@interview@|@intervju, razgovor@
@interweave@|@protkati, utkati@
@interwove@|@past interweave@
@interwoven@|@pp. interweave@
@intestine@|@creva, drob, utroba@
@intimacy@|@blizina, druženje, intimnost, intimnost, poverenje@
@intimate@|@intiman, poverljiv, prisan@
@intimation@|@nagoveštaj@
@intimidate@|@zaplašti@
@into@|@u@
@intolerable@|@nepodnosiv, nepodnošljiv, nesnosan@
@intonation@|@naglašavanje@
@intoxicate@|@opiti, zaneti@
@intransitive@|@neprelazni@
@intrepid@|@neustrašiv@
@intrepidly@|@neustrašivo@
@intricate@|@zamršen@
@intrigue@|@spletakriti, spletka@
@intrinsic@|@bitan, unutarnji@
@introduce@|@pretstaviti, uneti@
@introduction@|@pretstavjanje@
@introductory@|@uvodni@
@introspection@|@samokritika@
@introvert@|@introvert@
@intrude@|@nametati se, provaliti@
@intruder@|@nametljivac@
@intuition@|@intuicija@
@inundate@|@navodnjavati@
@inure@|@naviknuti, očeličiti@
@invade@|@najezditi, upasti, zauzeti@
@invalid@|@invalid, nepunovažno@
@invaluable@|@basnoslovan, dragocen, neprocenjiv@
@invariable@|@nepromenjljiv@
@invasion@|@najezda, upad@
@invective@|@grdnja@
@inveigh@|@grditi, napadati, psovati@
@invent@|@izumeti, pronaći@
@inventory@|@inventar, popis@
@inverse@|@obratan, obrnut, suprotnost@
@invert@|@izokrenuti, prevrnuti@
@invertebrate@|@beskičmenjak@
@invest@|@odenuti, uložiti novac@
@investigate@|@razmatrati@
@investment@|@ulaganje, ulog@
@investor@|@investitor, ulagač@
@inveterate@|@okoreo, zagrižen@
@invidious@|@uvredljiv@
@invigorate@|@obodriti, okrepiti@
@invincible@|@nepobediv@
@inviolable@|@nepovrediv@
@invisible@|@nevidljiv@
@invitation@|@poziv@
@invite@|@pozivati, pozvati@
@invoice@|@dostavnica, račun@
@invoke@|@dozivati, pozivati se na nešto@
@involuntary@|@nehotičan, nenameran@
@involve@|@obaviti, obuhvatiti, uplesti@
@invulnerable@|@neranjiv@
@inward@|@u nutrini, unutra, unutrašnji@
@inwardness@|@unutrašnjost@
@inwrought@|@umetnut, utkan@
@iodine@|@jod@
@ion@|@jon@
@iota@|@jota, malenkost@
@iou@|@zadužnica@
@iranian@|@iranski, iranski jezik@
@iraqi@|@irački, iraki, stanovnik iraka@
@irascible@|@plahovit, razdražljiv@
@irate@|@besan, razdražen@
@ire@|@ljutnja@
@ireful@|@ljutit@
@iridescence@|@prelivanje u duginim bojama@
@iridescent@|@koji se preliva, u bojama duge@
@iris@|@dužica (oka), perunika@
@irish@|@irski@
@irk@|@dosađivati, ljutiti@
@iron@|@gvožđe, pegla, peglati@
@ironic(al)@|@ironičan@
@ironmonger@|@gvožđar@
@ironworks@|@topionica, železara@
@irony@|@gvozden, ironija, podsmeh@
@irradiance@|@sijanje@
@irrational@|@iracionalan, nelogičan, nerazuman@
@irreclaimable@|@nepopravljiv, nepovratan@
@irreconcilable@|@nepomirljiv@
@irrecoverable@|@nenadoknadiv, nepovratan@
@irredeemable@|@beznadan, neunovčiv@
@irreducible@|@neumoljiv@
@irrefutable@|@neoboriv, nepobitan@
@irregular@|@neredovan@
@irrelevant@|@irelevantan, nevažan@
@irremediable@|@nepopravljivo@
@irremissible@|@neodložan, neoprostiv@
@irreparable@|@nenaknadivo@
@irreplaceable@|@nenadoknadiv, nezamenljiv@
@irrepressible@|@neukrotiv@
@irresistible@|@neodoljiv@
@irresolute@|@neodlučan@
@irrespective@|@bez obzira, nezavisno@
@irresponsible@|@neodgovoran@
@irresponsive@|@koji ne reaguje@
@irretrievable@|@nepovratan@
@irreverence@|@nepoštovanje@
@irreverent@|@koji ne odaje poštovanje@
@irreversible@|@neopoziv, neponištiv@
@irrevocable@|@neopoziv@
@irrigate@|@ispirati, navodnjavati, orositi@
@irritability@|@razdražljivost@
@irritable@|@razdražljiv@
@irritate@|@izazvati, razljutiti@
@is@|@3. lice jednine prezenta, je, jeste@
@islam@|@islam@
@island@|@ostrvo@
@isle@|@ostrvo, živeti na ostrvu@
@isnt@|@nije@
@issue@|@emisija, izdavanje, izdavati, nastati, proizilaziti, sporno pitanje@
@isthmus@|@prevlaka, tesnac@
@it@|@ono, to@
@italian@|@italijan, italijanka, italijanski, italijanski jezik@
@italic@|@kurziv@
@itch@|@šuga, svrab, svrbeti@
@item@|@članak, detalj, pojedinačan@
@itemize@|@specificirati@
@iteration@|@ponavljanje@
@itinerant@|@putujući@
@itinerary@|@plan puta, putni vodič, putopis@
@its@|@njega, njegov@
@it's@|@to je@
@itself@|@lično, njega, ono, se@
@i've@|@imam@
@ivory@|@slonova kost@
@ivory tower@|@akademska izolovanost@
@ivy@|@bršljan@
@ivy league@|@8 najstarijih fakulteta u sad, elitan (fig.), najbolji (fig.)@
@jab@|@kratak direkt, udariti šiljastim predmetom@
@jabber@|@blebetati@
@jack@|@čovek, dizalica, momak, pomorska zastav@
@jackal@|@šakal@
@jack-boot@|@čizma@
@jackdaw@|@čavka@
@jacket@|@kratak kaput@
@jack-knife@|@veliki perorez@
@jade@|@kljuse, raga@
@jaded@|@iscrpljen, iznuren, oguglao@
@jag@|@oštra izbočina, vršak, zarez@
@jagged@|@zupčast@
@jaggy@|@nazubljen@
@jaguar@|@jaguar@
@jail@|@uhapsiti@
@jam@|@pekmez, sabiti, slatko, zbiti se@
@jamb@|@dovratnik, prozorski okvir@
@janitor@|@vratar@
@january@|@januar@
@japan@|@crni lak@
@japanese@|@japanac, japanka, japanski, japanski jezik@
@jar@|@krčag, svađa, tresti se, uzdramati@
@jargon@|@šatrovački jezik@
@jasmin(e)@|@jasmin@
@jasmine@|@jasmin@
@jaundice@|@izliv žuči, žutica@
@jaunt@|@izlet, šetnja@
@jaunty@|@zadovoljan@
@jaw@|@vilica@
@jay@|@kreja (ptica)@
@jazz@|@džez@
@jealous@|@ljubomoran, zavidljiv@
@jealousy@|@ljubomora, zavist@
@jeer@|@rugati se, zadirkivati@
@jelly@|@žele@
@jelly-fish@|@meduza@
@jenny@|@ženka magarca@
@jeopard@|@izložiti opasnosti@
@jeopardize@|@izlagati opasnosti@
@jeopardy@|@pogibao@
@jerk@|@grčevito trzanje, povući, trnuti, trzaj@
@jerry-builder@|@loš građevinar@
@jersey@|@džemper, sportski dres@
@jest@|@podsmeh, šala, šaliti se@
@jesuit@|@isusovac@
@jet@|@mlaz, slavina@
@jetsam@|@teret bačen u more@
@jetty@|@brana, crn kao katran, gat, pristanište@
@jew@|@jevrejin@
@jewel@|@dragi kamen@
@jewess@|@jevrejka@
@jewish@|@jevrejski@
@jib@|@flok@
@jibe@|@potsmeh@
@jiff(y)@|@časak, tren@
@jig@|@matrica, uzorak@
@jigsaw@|@vrsta testere@
@jigsaw puzzle@|@mozaik zagonetka@
@jilt@|@namiguša, zavodnica@
@jingle@|@zveckanje, zveket@
@jingo@|@šovinista@
@jingoism@|@šovinizam@
@jinks@|@veselje@
@jitters@|@uzbuđenje@
@job@|@posao, preduzeće, uposlenje@
@jock@|@student sportista@
@jockey@|@džokej@
@jocose@|@komičan@
@jocular@|@komičan, veseo@
@jocund@|@raspoložen, razdragan@
@jog@|@guranje, gurkanje@
@join@|@sastaviti, sjediniti se, spajanje@
@joiner@|@stolar@
@joint@|@spojiti, zajednički, zglob@
@joist@|@greda@
@joke@|@šaliti se@
@jolly@|@izvanredan, radostan@
@jolt@|@potres, truckati, trzaj@
@jostle@|@gurati, tiskati se@
@jot@|@pribeležiti, tačkica@
@jounce@|@poskakivati@
@journal@|@časopis, dnevnik, novine@
@journalist@|@novinar@
@journey@|@putovanje, putovati@
@jovial@|@raspoložen@
@jowl@|@čeljust, vilica@
@joy@|@radost, veseliti se, veselje@
@joyous@|@radostan, zadovoljan@
@joystick@|@komandna ručica, pilotska palica@
@jubilant@|@oduševljen, razdragan, trijumfujući@
@jubilee@|@jubilej, svetkovina@
@judge@|@sudija, suditi@
@judgement@|@presuda, rasuđivanje@
@judiciary@|@sudski@
@judicious@|@razuman@
@jug@|@bokal, krčag@
@juggle@|@čarolija@
@jugular@|@vratna žila, žila kucavica@
@juice@|@sok@
@july@|@jul@
@jumble@|@bezoblična masa@
@jumbo@|@gorostas@
@jump@|@preskočiti, skočiti, skok@
@jumper@|@džemper@
@jump-start@|@upaliti motor@
@jumpy@|@nervozan, razdražljiv@
@junction@|@spajanje, spoj@
@junction box@|@razvodna kutija@
@juncture@|@mesto spajanje, stanje stvari, sticaj, trenutak@
@june@|@jun@
@jungle@|@džungla@
@junior@|@mlađi@
@juniper@|@smreka@
@junk@|@balvan, kriska@
@juridical@|@pravni, sudijski, sudski@
@jurisdiction@|@pravna nadležnost@
@jurist@|@pravnik@
@juristic(al)@|@pravni@
@juror@|@porotnik@
@jury@|@porota@
@just@|@baš, jedva, nepristrasan, pošten, pravilan, upravo@
@justice@|@pravičnost, sudija@
@justify@|@dati za pravo, opravdati@
@jut@|@izbočina, stršiti, viriti@
@jute@|@juta@
@juvenile@|@maloletnik, mladić@
@juxtapose@|@staviti napored@
@juxtaposition@|@jukstapozicija@
@kale@|@kelj@
@kangaroo@|@kengur@
@keel@|@kobilica (brod)@
@keen@|@oštrouman, revnostan@
@keep@|@držati se@
@keeper@|@čuvar@
@keeping@|@držanje, izdržavanje@
@keepsake@|@uspomena@
@keg@|@burence@
@ken@|@saznati@
@kennel@|@kuća za pse@
@kept@|@pp. od keep, proš. od keep@
@kerb@|@ivičnjak, rub pločnika@
@kerchief@|@marama za glavu@
@kernel@|@jezgro, koščica, zrno@
@kerosene@|@kerozin@
@ketchup@|@vrsta sosa@
@kettle@|@čajnik, kotao@
@kettle-drum@|@talambas@
@key@|@dirka, ključ@
@key chain@|@privezak@
@keyboard@|@klavijatura, razvodna ploča, tastatura@
@keyhole@|@ključaonica@
@key-note@|@osnovni glas, ton@
@keystone@|@osnovni princip, spoljni kamen@
@khaki@|@koji je zemljane boje, zemljana boja@
@kick@|@lupiti nogom, udarac nogom@
@kid@|@dete, jare, srndać@
@kiddy@|@detence@
@kidnap@|@kidnapovati@
@kidney@|@bubreg@
@kidney-bean@|@vrsta pasulja@
@kill@|@lov, ubijanje, ubiti@
@kilo@|@kilo@
@kilogram(me)@|@kilogram@
@kilometre@|@kilometar@
@kilowatt@|@kilovat@
@kin@|@rod, srodnik, srodstvo@
@kind@|@dobar, pomenit, porodica, rod, vrsta (život.)@
@kindergarten@|@dečji vrtić@
@kind-hearted@|@dobar, mekog srca@
@kindle@|@oduševiti se, zapaliti se@
@kindliness@|@dobro delo, dobrota@
@kindly@|@dobronameran@
@kindred@|@rođački, srodan, srodstvo@
@kinematics@|@filmska umetnost@
@kinetic@|@pun života@
@king@|@kralj@
@kingdom@|@kraljevina@
@kingpin@|@najvažnija osoba (fig.), srednji čunj (u kuglanju)@
@kink@|@izviti@
@kinsfolk@|@rođaci@
@kinship@|@sličnost, srodstvo@
@kiosk@|@kiosk@
@kip@|@krevet (slang)@
@kipper@|@dimljena riba@
@kirk@|@crkva@
@kiss@|@ljubiti, poljubac, poljubiti se@
@kit@|@alat (radnika), oprema, ranac@
@kit-bag@|@torba za stvari@
@kitchen@|@kuhinja@
@kite@|@jastreb, jastreb, zmaj, zmaj@
@kitten@|@mače, mače, omaciti se@
@kleveta@|@slander@
@klevetnièki@|@slanderous@
@klevetnik@|@slanderer@
@knack@|@smisao, veština@
@knapsack@|@ranac, ruksak@
@knave@|@nitkov, pub, žandar@
@knead@|@gnječiti, masirati, mesiti@
@knee@|@klečati, koleno@
@knee-jerk@|@refleksno (fig.)@
@kneel@|@klečati, klečati, kleknuti, kleknuti@
@knelt@|@past. kneel, pp. kneel, proš. od kneel@
@knew@|@proš. od know@
@knickerbockers@|@golf pantalone@
@knickers@|@gaćice@
@knick-knack@|@igračka, sitnica@
@knife@|@kama, nož, seći, ubosti@
@knight@|@konj, vitez u šah@
@knit@|@plesti, združiti@
@knives@|@noževi@
@knob@|@čvor, dugme@
@knock@|@kucati, lupiti, udarac@
@knoll@|@brežuljak@
@knot@|@čvor, mašna, vezati u čvor@
@knotty@|@čvornovat, kvrgast@
@know@|@razumeti, upoznati, znati@
@know-how@|@znanje@
@knowingly@|@savesno, znalački@
@knowledge@|@nauka, znanje@
@known@|@pp. od know@
@knuckle@|@zglob šake@
@korean@|@koreanac, koreanka, koreanski, koreanski jezik@
@kowtow@|@klanjati se, ulizivati se@
@krone@|@norveška kruna@
@kudos@|@čast, slava@
@label@|@etiketa, nalepnica, obeležiti@
@labial@|@usnen glas@
@laboratory@|@laboratorija@
@laborious@|@marljiv, mučan@
@labour@|@napor, raditi, radna snaga, radništvo, trud, truditi se@
@labyrinth@|@lavirint@
@lace@|@čipka, gajtan, pertla@
@lacerate@|@raskomadati, rastrgati, razdirati@
@lachrymatory@|@koji izaziva  suze@
@lack@|@nedostajati, oskudica, pomanjkanje@
@lackadaisical@|@izveštačen, pun čežnje@
@lackey@|@lakej, sluga@
@lackluster@|@koji je bez strasti@
@laconic@|@kratak, lakonski@
@lacquer@|@lakirani, lakirati@
@lacrosse@|@vrsta sportske igre@
@lactic@|@mlečni@
@lad@|@dečko, momče@
@ladder@|@lestve@
@lade@|@nakrcati, utovariti@
@laden@|@p.pr. od lade@
@ladle@|@kutlača, varjača, velika kašika@
@lady@|@dama, gospođa, ledi@
@ladybird@|@bubamara@
@lady-bird@|@buba@
@lag@|@ići sporo, zaostajati@
@lager (beer)@|@vrsta piva@
@laggard@|@lenjivac, mlitavac@
@lagoon@|@laguna@
@laid@|@past. od lay, pp. od lay@
@lain@|@pp. od to lie@
@lair@|@jazbina, ležište životinja@
@laity@|@laici@
@lake@|@jezero@
@lam@|@bekstvo (slang), izbiti, pobeći, udariti@
@lamb@|@jagnje@
@lambaste@|@izbiti (slang), izgrditi (slang)@
@lambent@|@svetlucav, treperav@
@lame@|@ćopav, hrom, postatati hrom@
@lament@|@jadikovanje, oplakivanje@
@laminated@|@lisnat, pločast@
@lamp@|@lampa@
@lampoon@|@pogrdan spis, zlobna satira@
@lamp-post@|@ulična svetiljka@
@lance@|@koplje, nabosti na koplje@
@lancer@|@kopljanik, ulan@
@lancet@|@hirurški nož@
@land@|@aterirati, iskrcati se, kopno, pristati, zemlja@
@landing@|@ateriranje, iskrcavanje, odmorište (step), sletanje@
@landlady@|@domaćica, gazdarica@
@landlord@|@posednik@
@landmark@|@beleg@
@landowner@|@zemljovlasnik@
@landscape@|@pejsaž, predeo@
@landslide@|@odronjavanje@
@lane@|@putanja, putić, staza@
@lang-syne@|@davna prošlost@
@language@|@jezik@
@languid@|@mlitav@
@languish@|@čeznuti, malaksavati@
@languor@|@iznemoglost, klonulost, malaksalost@
@lank@|@mršav, suv, visok i mršav@
@lanky@|@dugih nogu, visok@
@lantern@|@fenjer, lampa@
@lap@|@etapa, krilo (ljudi), krug (atletika), preklop, preklopiti, srkati, zapljuskivanje@
@lapel@|@rever@
@lapful@|@puno krilo (nečega)@
@lapidary@|@sažet (fig.), urezan u kamenu@
@lapland@|@laponija@
@lapse@|@gubitak (legal), isticanje, nestati, omaška, pripasti (nekome), propadanje, propasti, tok@
@lapsus@|@greška, omaška@
@larcenous@|@razbojnički@
@larceny@|@krađa@
@larch@|@ariš, četinar, tisa@
@lard@|@mast, nadenuti slaninom, prošarati (fig.), salo, začiniti (fig.)@
@larder@|@ostava za hranu@
@large@|@izdašan, krupan, obiman, veliki@
@large-hearted@|@velikodušan@
@largely@|@u velikoj meri@
@large-scale@|@velikih razmera@
@largess@|@darežljivost@
@largesse@|@darežljivost@
@lark@|@šega, ševa@
@larva@|@larva, punoglavac@
@laryngitis@|@zapaljenje grla@
@larynx@|@grkljan@
@lascivious@|@lascivan, pohotljiv@
@laser@|@laser@
@laser beam@|@laserski snop@
@lash@|@bič, šibati, zajedati@
@lash out@|@verbalno napasti@
@lass@|@draga, neudata devojka@
@lassie@|@devojče@
@lassitude@|@klonulost, zamor@
@last@|@najzad, nedavno, očuvati, poslednji, skorašnji, skoro, trajati, zadnji@
@last-ditch defense@|@do poslednjeg čoveka@
@lasting@|@dug, dugotrajan, postojan@
@lastly@|@na kraju@
@latch@|@kvaka, reza@
@late@|@dockan, nedavno, pokojni, skorašnji, zadocneo@
@lately@|@nedavno, u poslednje vreme@
@latent@|@latentni, skriveni@
@later@|@docnije@
@lateral@|@bočni sa strne@
@lath@|@letva, motka@
@lathe@|@tokarska tezga@
@lather@|@nasapunati, pena, peniti, sapunica@
@latin@|@latinski, latinski jezik, romanski@
@latitude@|@geografska širina, širina, sloboda@
@latrine@|@zahod@
@latter@|@docniji, drugi, ovaj potonji@
@latter-day@|@najnoviji, poslednjih dana@
@lattice@|@rešetka, rešetkast@
@latvian@|@letonac, letonka, letonski@
@laud@|@hvala, hvaliti, pohvla@
@laudable@|@dostojan hvale@
@laudatory@|@koji hvali@
@laugh@|@ismevati, smeh, smejati se@
@laughingstock@|@meta podsmeha@
@laughter@|@smeh@
@launch@|@ispaliti, otpočeti, pokrenuti, porinuti brod, preduzeti@
@launder@|@prati (rublje)@
@launderette@|@praonica@
@laundress@|@pralja@
@laundry@|@perionica, veš za pranje@
@laureate@|@laureat@
@laurel@|@lovor, lovorike@
@lav@|@nužnik@
@lava@|@lava@
@lavage@|@ispiranje@
@lavation@|@pranje@
@lavatory@|@nužnik, toalet@
@lave@|@prati se, umivati se@
@lavender@|@lavandula@
@lavish@|@izdašan, obasuti, rasipan, rasipati@
@law@|@zakon@
@lawful@|@zakoniti@
@lawlessness@|@bezakonje@
@lawmaker@|@zakonodavac@
@lawn@|@batist, livada, proplanak, tanko platno@
@lawn-tennis@|@tenis na travi@
@lawsuit@|@proces, suđenje@
@lawyer@|@advokat, pravnik@
@lax@|@aljkav, labav, mlitav, slab@
@laxative@|@laksativ@
@laxity@|@mlitavost, proliv, slabost@
@lay@|@nositi jaje, položiti, proš. od lie@
@layabout@|@besposličar@
@layer@|@sloj@
@layette@|@oprema za bebe@
@layman@|@laik@
@laymen@|@laik, svetovnjak@
@lay-out@|@planiranje, raspored, stanje poslova@
@laze@|@lenčariti@
@laziness@|@lenjost@
@lazy@|@lenj@
@lea@|@livada, poljana, ugarnica@
@lead@|@predvođenje, voćstvo, voditi@
@leader@|@uvodni članak, vođa@
@leaf@|@list, listati@
@league@|@liga, morska milja, zajednica, združiti se@
@leak@|@curiti@
@lean@|@mršav, nagib, naginjanje, nagnuće, nagnuti se, naslanjanje, neplodan, oslananje, osloniti, postan@
@leanness@|@mršavost, slabost@
@leant@|@pp. od to lean, proš. od lean@
@leap@|@odskočiti, skočiti, skok@
@leapt@|@pp. od leap, pp. od to leap@
@leap-year@|@prestupna godina@
@learn@|@naučiti, saznati@
@learning@|@nauka, učenje@
@learnt@|@proš. od learn@
@lease@|@najam, najmiti, zakup@
@leash@|@kaiš, uzica@
@least@|@najmanje, najmanji@
@leastways@|@u krajnjem slučaju@
@leather@|@koža, kožni@
@leave@|@dopuštenje, dopustiti, odlazak, odsustvo, ostaviti, otići@
@leaven@|@kvasac, snažan uticaj (fig.)@
@leaves@|@lišće, listovi@
@leavings@|@ostaci@
@lecherous@|@razvratan@
@lecture@|@držati čas, držati predavanje, predavanje@
@led@|@pp. od to lead, proš. od lead@
@ledge@|@greben, zaravan@
@ledger@|@glavna knjiga, knjiga salda@
@lee@|@zaklon, zavetrina@
@leech@|@pijavica@
@leek@|@praziluk@
@leer@|@ceriti se, pohotan pogled, zloban pogled@
@leery@|@nepoverljiv, sumnjičav@
@lees@|@društveni ološ, talog, talog@
@left@|@levi, levo, past. od leave, pp. od to leave@
@leftist@|@član levice@
@leg@|@noga@
@legacy@|@nasledstvo, zaveštanje@
@legal@|@pravni@
@legality@|@zakonitost@
@legalize@|@overiti, ozakoniti@
@legatee@|@naslednik@
@legation@|@poslanstvo@
@legend@|@bajka, legenda, priča, zapis@
@leggings@|@gamašne@
@legible@|@čitak@
@legion@|@legija, vojska@
@legislate@|@donositi zakone@
@legislation@|@zakonodavstvo@
@legislative@|@zakonodavan@
@legitimate@|@zakonit@
@leg-pull@|@pokušaj prevare@
@leisure@|@dokolica, nerad@
@lemon@|@limun@
@lemonade@|@limunada@
@lend@|@dati u zajam, pozajmiti@
@length@|@dužina, dužina, trajnje@
@lengthen@|@izdužiti, produžiti@
@lengthy@|@dugačak, podugačak@
@leniency@|@blagost@
@lenient@|@trpeljiv@
@leninism@|@lenjinizam@
@lens@|@leća, optičko staklo@
@lent@|@past. od lend, pp. od to lend, uskršnji post@
@lentil@|@sočivo (povrće)@
@leonine@|@lavlji, lavovski@
@leopard@|@leopard@
@leper@|@gubavac@
@leprosy@|@guba@
@lesion@|@povreda@
@less@|@manje, manji@
@lessee@|@zakupac@
@lessen@|@umanjiti@
@lesser@|@manjeg značaja, manji@
@lesson@|@lekcija, predavanje, zadatak@
@lest@|@da ne, iz straha da, kako ne bi@
@let@|@izdati, izdavati, iznajmiti, proš. od let@
@let down@|@ostaviti na cedilu@
@let in@|@pustiti (da uđe)@
@let off@|@ispustiti@
@letdown@|@razočaranje@
@lethal@|@smrtni, smrtonosan@
@lethargy@|@letargija, pospanost, učmalost@
@letter@|@napisati, pismo, slovo@
@letters@|@književnost, učenost@
@lettuce@|@vrsta salate@
@levee@|@bedem duz obale, nasip, prijem u dvorcu@
@level@|@izjednačiti, izravnati, podjednak, podjednako, ravan, ravnina, ravno@
@lever@|@dizati polugom, poluga@
@leverage@|@moć (fig.), snaga (fig.), snaga poluge@
@levity@|@lakoća, lakoumnost@
@levy@|@namet, nametnuti, porez@
@lewd@|@razvratan@
@lewdness@|@nepristojnost, razvratnost@
@lexicon@|@leksikon, rečnik@
@liabilities@|@pasiva@
@liability@|@odgovornost@
@liable@|@naklonjen, sklon padu@
@liaison@|@(ljubavna) veza@
@liar@|@lažljivac, lažov, lažovčina@
@libel@|@kleveta, klevetati@
@liberal@|@širokogrud, sloboduman@
@liberation@|@oslobođenje@
@libertarian@|@slobodar, slobodnjak@
@libertinsim@|@slobodumlje@
@liberty@|@sloboda, slobodno ponašanje@
@libidinous@|@požudan@
@librarian@|@bibliotekar@
@library@|@bibliteka, čitaonica@
@lice@|@uš, vaš@
@licence@|@ovlašćenje, ovlastiti@
@licentious@|@razuzdan@
@lick@|@lizanje, lizati, oblizivanje@
@lid@|@kapak, poklopac@
@lie@|@lagati, laž@
@lieutenant@|@poručnik@
@life@|@život@
@life-boat@|@čamac za spasavanje@
@life-like@|@veran@
@life-size@|@prirodna veličina@
@lifetime@|@čovečji život, život@
@lift@|@dizanje, podizanje@
@ligament@|@ligament@
@light@|@svetiljka, svetleti, svetlost, zapaliti se@
@lighten@|@olakšati, osvetliti@
@lighter@|@upaljač@
@lighthouse@|@kula svetilja@
@lightly@|@lako, olako, površno@
@lightning@|@munja@
@lignite@|@lignit@
@like@|@da, isto tako, kao, kao, nalik, sličan, slično@
@likelihood@|@mogućnost, verovatnoća@
@likely@|@verovatno@
@liken@|@uporediti@
@likewise@|@slično, takođe@
@liking@|@sviđanje@
@lilac@|@jorgovan@
@lilt@|@pevušiti, prijatan ritam, vesela pesma@
@lily@|@ljiljan@
@limb@|@član, raščlaniti, raskomadati, ud@
@limber@|@savitljiv@
@limbo@|@predvorje pakla, zaborav (fig.)@
@lime@|@kreč, lipa, vrsta limuna@
@limelight@|@centar pažnje@
@limestone@|@krečnjak@
@limit@|@granica@
@limitation@|@ograničenje@
@limp@|@ćopati, hramati, mlak, savitljiv@
@limpid@|@bistar, providan, prozračan@
@linden@|@lipa@
@line@|@crta, išpartati, kanap, linija, poređati, put, srodstvo@
@lineament@|@crta lica@
@linear@|@linearan@
@linen@|@platno, rublje@
@liner@|@lađa, putnički brod@
@linesman@|@linijski sudija@
@linger@|@ležati na samrti, oklevati, otezati@
@linguist@|@lingvista@
@linguistic@|@jezički, lingvistički@
@liniment@|@tečna mast@
@lining@|@obloga, postava, postava@
@link@|@karika, spojiti, veza@
@links@|@igralište@
@linoleum@|@linoleum@
@linseed@|@seme lana@
@lint@|@tkanina@
@lintel@|@greda nad vratima@
@lion@|@lav@
@lip@|@usna@
@lipstick@|@ruž za usne@
@liquefy@|@rastopiti se@
@liqueur@|@liker@
@liquid@|@tečan, tečnost@
@liquidate@|@obračunati, srediti@
@liquor@|@alkohol, piće@
@lisp@|@tepanje@
@lissome@|@gibak@
@list@|@nabrajati, popis, spisak@
@listen@|@poslušati, slušati@
@listener@|@slušalac@
@listless@|@neraspoložen@
@lit@|@pp. od to light, proš. od light@
@litany@|@litanija, niz (fig.)@
@literacy@|@pismenost@
@literal@|@bukvalan, dosledan, doslovan@
@literary@|@književni, literarni@
@literate@|@pismen@
@literature@|@književnost@
@lithe@|@gibak@
@lithuanian@|@litvanac, litvanka, litvanski jezik@
@litigant@|@stranka@
@litigate@|@parničiti se@
@litigation@|@parničenje@
@litigious@|@sporno@
@litre@|@litar@
