@English@|@Dutch@
@acme@|@hoogtepunt, toppunt@
@acne@|@acne, dauwworm, eczeem@
@acolyte@|@acoliet, altaardienaar@
@aconite@|@akoniet, monnikskap@
@acorn@|@eikel@
@acoustic@|@acoustisch, akoestisch@
@acoustics@|@acoustiek, akoestiek, geluidsleer@
@acquaintance@|@bekende, kennis, relatie@
@acquire@|@behalen, buit maken, verkrijgen@
@acquired@|@aangeleerd@
@acquisition@|@acquisitie@
@acre@|@acre@
@acrobat@|@acrobaat, kunstenmaker@
@acrobatic@|@acrobatisch@
@acrobatics@|@acrobatiek@
@acronym@|@acroniem@
@Acropolis@|@Acropolis@
@across@|@aan de overkant van, over, overheen@
@act@|@ageren, bezig zijn, doen, handelen@
@action@|@actie, gedoe, handeling, optreden@
@active@|@actief, bedrijvig, werkzaam@
@activist@|@activist, agitator, onruststoker@
@activity@|@actie, gedoe, handeling, optreden@
@actor@|@acteur, komediant, speler@
@actress@|@actrice, toneelspeelster@
@actual@|@daadwerkelijk, effectief, werkelijk@
@actually@|@inderdaad, metterdaad, waarachtig@
@actuary@|@actuaris, archiefmedewerker@
@acupuncture@|@acupunctuur@
@acupuncturist@|@acupuncteur@
@acute@|@acuut, helder, scherp, voorbijgaand@
@ad@|@aankondiging, advertentie, bericht@
@Adam@|@Adam@
@adapt@|@aanpassen, adapteren, afstemmen@
@adaptability@|@aanpassingsvermogen@
@adaptation@|@aanpassing, bewerking, modificatie@
@adapted@|@aangepast, bewerkt@
@adapter@|@bewerker@
@adaptor@|@bewerker@
@add@|@bijtellen, optellen@
@addition@|@optelling@
@additional@|@overig, verder@
@address@|@adresseren@
@addressee@|@geadresseerde@
@addressing-machine@|@adresseermachine@
@addressograph@|@adresseermachine@
@Aden@|@Aden@
@adept@|@aanhanger, adept, beoefenaar@
@adequate@|@adequaat, bijbehorend@
@adherents@|@aanhang, leden@
@adhesion@|@adhesie, grip@
@adieu@|@adieu, vaarwel@
@adjacent@|@aangrenzend, aanliggend@
@adjectival@|@bijvoeglijk@
@adjective@|@adjectief, bijvoeglijk naamwoord@
@adjoin@|@belenden, grenzen aan@
@adjust@|@aanpassen, adapteren, afstemmen@
@adjusted@|@afgepast@
@adjustment@|@afstelling, instelling@
@adjutant@|@adjudant, ordonnansofficier@
@administer@|@administreren, beheren, besturen@
@administration@|@administratiekantoor, bestuur@
@administrative@|@administratief, bestuurlijk@
@administrator@|@administrateur, beheerder@
@admirable@|@bewonderenswaardig@
@admiral@|@admiraal, vlootvoogd@
@admirality@|@admiraliteit@
@admire@|@bewonderen@
@admirer@|@bewonderaarster, vereerster@
@admiring@|@bewonderend@
@admit@|@toegeven@
@admittedly@|@toegegeven@
@admonish@|@aanmanen, aansporen, manen, vermanen@
@ado@|@herrie, lawaai, leven, ophef, rumoer@
@adolescent@|@puber@
@Adonis@|@Adonis@
@adopt@|@adopteren, zich eigen maken@
@adopted@|@aangenomen, geadopteerd@
@adoption@|@aanneming, adoptie@
@adorable@|@aanbiddelijk, aanbiddenswaardig@
@adoration@|@aanbidding, adoratie@
@adore@|@aanbidden, adoreren, verafgoden@
@adorer@|@aanbidster, vereerster@
@adorn@|@versieren@
@adorned@|@opgesmukt@
@adornment@|@decoratie, sieraad, tooisel@
@adrenaline@|@adrenaline@
@Adrianople@|@Adrianopel@
@Adriatic@|@Adriatische Zee@
@adstringent@|@stopmiddel@
@adult@|@adult, volwassene@
@adulterer@|@echtbreker@
@adulteress@|@echtbreekster@
@adultery@|@echtbreuk, overspel@
@adumbration@|@afschaduwing@
@advance@|@aanpakken, gaan naar, genaken, naderen@
@advantage@|@pré, voordeel@
@advantageous@|@goedgezind, gunstig, toegenegen@
@advent@|@advent@
@adventure@|@avontuur, lotgeval, perikel@
@adverb@|@adverbium, bijwoord@
@adverbial@|@bijwoordelijk@
@adversary@|@tegenstander@
@advertise@|@aandienen, aankondigen, adverteren@
@advertisement@|@aankondiging, advertentie, bericht@
@advertiser@|@adverteerder, verkondiger@
@advice@|@advies, raad, raadgeving@
@advisable@|@raadzaam@
@advise@|@aankondigen, adviseren, bekendmaken@
@advocate@|@advocaat, pleitbezorger, verdediger@
@Adzharia@|@Adzjarië@
@Aegir@|@Aegir@
@aeon@|@eeuwigheid@
@aerate@|@frisse lucht toewaaien, waaien, wannen@
@aerogramme@|@luchtpostbrief@
@aeroplane@|@vliegmachine, vliegtuig@
@affable@|@aardig, lief, voorkomend, vriendelijk@
@affair@|@aangelegenheid, affaire, ding, zaak@
@affect@|@aandoen, aangrijpen@
@affectation@|@aanstellerij, onnatuurlijkheid@
@affected@|@aangedaan, aangegrepen@
@affection@|@aandoening, affect, emotie@
@affectionate@|@aanhalig@
@affiliate@|@aannemen, affiliëren@
@affinity@|@affiniteit, verwantschap@
@affix@|@aanhechtsel, affix@
@afflict@|@bedroeven, beproeven, verdriet doen@
@affliction@|@beproeving, droefheit, hartzeer@
@Afghan@|@Afghaans@
