@English@|@Dutch@
@lightly@|@licht, lichtjes, zwak, zwakjes@
@lightning@|@bliksem, flits, hemelvuur, schicht@
@light-switch@|@lichtknop, lichtschakelaar@
@likable@|@waard om van te houden@
@like@|@als, bij wijze van, hoe, tot, voor@
@likely@|@waarschijnlijk@
@lilac@|@sering@
@lily@|@lelie@
@limb@|@lid, lidmaat@
@Limbourg@|@Limburg@
@Limburg@|@Limburg@
@lime@|@kalk@
@lime-tree@|@linde, lindeboom@
@limit@|@begrenzen, beknotten, beperken@
@limited@|@begrensd, beperkt, eindig@
@limp@|@hinken, kreupel lopen, mank lopen@
@linden-tree@|@linde, lindeboom@
@line@|@hengelsnoer, sim, snoer, vislijn@
@lineage@|@afkomst, afstamming, komaf@
@linen@|@linnen@
@lineseed-oil@|@lijnolie@
@linguist@|@linguïst, taalgeleerde, taalkundige@
@linguistic@|@taal-, taalkundig@
@lining@|@voering@
@link@|@monteren, zetten@
@linker@|@linker@
@linoleum@|@linoleum, vloerzeil@
@lion@|@leeuw@
@lip@|@lip@
@liqueur@|@likeur@
@liquid@|@vloeistof@
@liquidate@|@afwikkelen, liquideren, opheffen@
@liquor@|@alcohol, alcoholische drank, drank@
@Lisbon@|@Lissabon@
@lisp@|@lispelen@
@list@|@een lijst maken, uitlisten@
@listen@|@aanhoren, beluisteren, luisteren@
@listener@|@luisteraar, toehoorder@
@litany@|@litanie@
@liter@|@liter@
@literal@|@letterlijk, woordelijk@
@literary@|@letterkundig, literair, litterair@
@literature@|@letterkunde, literatuur, litteratuur@
@Lithuania@|@Litouwen@
@Lithuanian@|@Litouws@
@litigate@|@procederen@
@litre@|@liter@
@little@|@gering, karig, klein, luttel, min@
@liturgy@|@liturgie@
@live@|@gevestigd zijn, huizen, resideren@
@lively@|@ad rem, geestig, gevat, snedig@
@liver@|@lever@
@livestock@|@kudde, levende have, vee, veestapel@
@living-room@|@huiskamer, woonkamer, zitkamer@
@Livonia@|@Lijfland@
@Livonian@|@Lijflands@
@load@|@laden@
@loaf@|@brood, mik@
@loan@|@lenen@
@loathe@|@een afschuw hebben van, verafschuwen@
@lobster@|@kreeft, langoest, pantserkreeft@
@local@|@lokaal, plaatselijk@
@locate@|@leggen, plaatsen, situeren@
@location@|@lokaliteit, oord, plaats, ruimte@
@loch@|@fjord@
@lock@|@slot@
@locked@|@afgesloten, op slot@
@locksmith@|@slotenmaker@
@locomotive@|@motorisch@
@locust@|@sprinkhaan@
@Lofoten@|@Lofoten@
@lofty@|@hoog, verheven@
@logic@|@logica@
@logical@|@logisch@
@loin@|@kruis, lende@
@London@|@Londen@
@lonely@|@eenzaam@
@long@|@lang@
@longing@|@smachtend, verlangend@
@longitude@|@lengte, lengte (geo.)@
@look@|@er uitzien, het uiterlijk hebben van@
@loom@|@weefgetouw@
@loop@|@breisteek, maas, steek, strik@
@loose@|@mul, rul@
@loosely@|@losjes@
@Looz@|@Borgloon@
@lord@|@lord@
@Lorelei@|@Lorelei@
@Lorraine@|@Lotharingen@
@lorry@|@truck, vrachtauto, vrachtwagen@
@lose@|@kwijtraken, opgeven, verbeuren@
@loss@|@deficit, nadeel, schade, strop@
@lost@|@kwijt, verloren, vervlogen@
@lot@|@kavel, perceel@
@Lothringen@|@Lotharingen@
@lottery@|@loterij, verloting@
@lotus@|@lotus, rolklaver@
@loud@|@hard, luid@
@loudly@|@hardop, luid@
@lounge@|@salon, zaal@
@louse@|@luis@
@Louvain@|@Leuven@
@lovable@|@beminnelijk, beminnenswaardig, lief@
@love@|@beminnen, houden van, liefhebben@
@lovely@|@behaaglijk, genoeglijk@
@lover@|@geliefde, minnares, vriendin, vrijster@
@low@|@laag@
@lower@|@afdraaien, verlagen@
@loyal@|@getrouw, loyaal, trouw, trouwhartig@
@LP@|@langspeelplaat, LP@
@LPG@|@L.P.G., LPG@
@Lucifer@|@Lucifer@
@luck@|@bof, buitenkansje, geluk, mazzel@
@ludicrous@|@belachelijk@
@luggage@|@bagage@
@luggage-van@|@bagagewagen@
@lukewarm@|@lauw, zoel@
@lull@|@wiegen@
@lullaby@|@slaaplied, wiegelied@
@lump@|@bal, dot, klomp, klont, kluit, prop@
@lunar@|@lunair, maan-@
@lunatic@|@bezetene, gek, krankzinnige@
@lunch@|@lunch, twaalfuurtje@
@lung@|@long@
@lungwort@|@longkruid@
@lure@|@lokken@
@lurid@|@bijtend, doordringend, fel, guur@
@lust@|@hartstocht, lust, passie, roes@
@lute@|@luit@
@Luxembourg@|@Luxemburg@
@Luxembourger@|@Luxemburger@
@Luxemburg@|@Luxemburg@
@Luxemburger@|@Luxemburger@
@Luxor@|@Luxor@
@luxurious@|@luxueus, weelderig@
@luxury@|@luxeartikel, weeldeartikel@
@lyceum@|@lyceum@
@Lycia@|@Lycië@
@Lycian@|@Lycische@
@Lydia@|@Lydië@
@Lydian@|@Lydisch@
@Lyra@|@Lier@
@lyric@|@tekst@
@Maastricht@|@Maastricht@
@macabre@|@eng, griezelig@
@Macao@|@Macao@
@macaroni@|@macaroni@
@Macau@|@Macau@
@Maccabees@|@Makkabeeën@
@Macedonia@|@Macedonië@
@Macedonian@|@Macedonisch@
@mach@|@mach@
@Machiavelli@|@Machiavelli@
@machine@|@machine@
@machinery@|@machinerieën@
@mackerel@|@makreel@
@mad@|@dol, dolzinnig, gek, krankzinnig@
@Madagascan@|@Madagaskisch@
@Madagascar@|@Madagascar@
@Madeira@|@Madeira@
@Madonna@|@Madonna@
@Madrid@|@Madrid@
@Maestricht@|@Maastricht@
@maestro@|@grootmeester, maëstro, meester@
@magazine@|@blad, krant@
@Magdalena@|@Magdalena@
@Magdalenian@|@Magdalenien@
@magic@|@magie, toverkunst@
@magical@|@magisch, toverachtig@
@magician@|@goochelaar@
@magnanimous@|@edelmoedig, grootmoedig@
@magnet@|@magneet@
@magnetic@|@magnetisch@
@magnetism@|@magnetisme@
@magnetize@|@magnetiseren@
@magnificent@|@grandioos, groots, overweldigend@
@Magog@|@Magog@
@Magyar@|@Magyaar@
@maid@|@dienares, dienstmeisje, meid@
@mail@|@post, posterijen@
@mailbox@|@brievenbus, bus@
@mailman@|@postbeambte, postbode@
@main@|@hoofd-, voornaamste@
@mainland@|@continent, vasteland, werelddeel@
@mainly@|@in het bijzonder, inzonderheid@
@maintain@|@argumenteren, betogen, vertogen@
@maize@|@mais, maïs@
@majestic@|@majestueus, plechtstatig, statig@
@majesty@|@statigheid, verhevenheid@
@major@|@majoor@
@Majorca@|@Majorca@
@majority@|@meerderheid, meerderjarigheid@
@make@|@bedrijven, doen, maken@
@make-up@|@blanketsel, make-up, schmink@
@making@|@aanmaak, fabricage, fabricatie@
@Malacca@|@Malakka@
@malaria@|@malaria@
@Malawi@|@Malawi@
@Malawian@|@Malawisch@
@Malay@|@Maleis@
@Malaysia@|@Maleisië@
@Malaysian@|@Maleisisch@
@Maldives@|@Malediven@
@Maldivian@|@Maledivisch@
@male@|@mannelijk@
@malfunction@|@haperen, stuk gaan, uitvallen@
@Mali@|@Mali@
@Malian@|@Malinees, Malisch@
@malicious@|@boosaardig, hatelijk, kwaadaardig@
@malign@|@schadelijk@
@Malines@|@Mechelen@
@Mallorca@|@Majorca@
@malt@|@mout@
@Malta@|@Malta@
@Maltese@|@Maltezer@
@mam@|@ma, mam, mamma, mammie@
@mammal@|@zoogdier@
@Mammon@|@Mammon@
@mammy@|@ma, mam, mamma, mammie@
@man@|@mens@
@manage@|@administreren, beheren, besturen@
@manageability@|@gedweeheid, meegaandheid, volgzaamheid@
@manageable@|@handelbaar, inschikkelijk@
@management@|@administratiekantoor@
@manager@|@administrateur, beheerder, bestuurder@
@Manchuria@|@Mantsjoerije@
@Manchurian@|@Mantsjoerijns@
@mandate@|@lastbrief, mandaat, volmacht@
@maneuver@|@manoeuvreren, rangeren@
@manger@|@bak, drenkbak, eetbak, krib, trog@
@mango@|@manga, mango@
@mangosteen@|@mangisboom@
@mango-tree@|@mangaboom, mangoboom@
@manicure@|@manicuren@
@manifacture@|@aanmaak, fabricage, fabricatie@
@manifest@|@laten blijken, manifesteren@
@Manila@|@Manilla@
@manipulate@|@hanteren, manipuleren, omgaan met@
@mankind@|@mensdom, mensheid@
@manner@|@manier, trant, wijze@
@manoeuvre@|@manoeuvreren, rangeren@
@mansion@|@herenhuis@
@mantel@|@schoorsteenmantel@
@mantelpiece@|@schoorsteenmantel@
@mantle@|@jas, mantel@
@manufacture@|@aanmaken, fabriceren, maken@
@manure@|@mest@
@manuscript@|@handschrift, kopij, manuscript@
@manuvre@|@manoeuvreren, rangeren@
@many@|@menig, veel, vele@
@Maori@|@Maori, Maori-taal@
@map@|@kaart, landkaart@
@maple@|@aak, ahorn, esdoorn@
@marble@|@pilletje@
@march@|@lopen, marcheren, tippelen@
@March@|@lentemaand, maart@
@margarine@|@margarine@
@margin@|@kant, marge, rand@
@marguerite@|@margriet@
@marionette@|@marionet@
@mark@|@merken, tekenen@
@market@|@bazaar, markt, marktplaats, marktplein@
@marketplace@|@markt, marktplaats, marktplein@
@marmelade@|@jam, marmelade, moes@
@Marowine@|@Marowijne@
@marriage@|@echt, echtverbintenis, huwelijk@
@married@|@gehuwd, getrouwd@
@marry@|@in de echt verbinden, trouwen@
@Mars@|@Mars@
@marsh@|@broek, drasland, moer, moeras@
@Martian@|@Marsbewoner, Martiaan@
@martyr@|@bloedgetuige, martelaar@
@marvel@|@zich verbazen, zich verwonderen@
@Mary@|@Maria@
@masculine@|@mannelijk@
@mask@|@bemantelen, bewimpelen, maskeren@
@mason@|@metselaar@
@Mason@|@vrijmetselaar@
@masonic@|@vrijmetselaars-@
@masonry@|@metselwerk@
@masquerade@|@maskering@
@mass@|@boel, drom, hoop, massa, menigte@
@massacre@|@bloedbad, moordpartij@
@massage@|@masseren@
@massive@|@massief@
@mast@|@mast@
@master@|@meester worden, onder de knie krijgen@
@mat@|@mat, schaakmat@
@match@|@lucifer@
@match-make@|@koppelen@
@match-maker@|@koppelaarster@
@mate@|@paren@
@material@|@materieel, stoffelijk@
@materialise@|@materialiseren, verstoffelijken@
@materialize@|@materialiseren, verstoffelijken@
@mathematical@|@mathematisch, wiskundig@
@mathematician@|@mathematicus, wiskundige@
@mathematics@|@mathematica, wiskunde@
@matrimony@|@echt, echtverbintenis, huwelijk@
@matrix@|@gietvorm, matrijs, matrix@
@matron@|@intendante@
@matter@|@aangelegenheid, affaire, ding, zaak@
@Matterhorn@|@Matterhorn@
@mattress@|@matras@
@mature@|@belegen, bezonken, rijp@
@matzo@|@matse, paasbrood@
@Mauretanian@|@Mauretanisch, Moors@
@Mauritania@|@Mauretanië@
@Mauritanian@|@Mauretaniër, Moor, Moriaan@
@Mauritius@|@Mauritius@
@maw@|@afgrond, bek, muil, opening@
@maxim@|@sententie, spreuk, zinspreuk@
@maximum@|@maximaal, maximum-@
@may@|@mogen@
@May@|@bloeimaand, mei@
@Maya@|@Maya@
@maybe@|@misschien, mogelijk, mogelijkerwijs@
@mayor@|@burgemeester, burgervader@
@me@|@me, mij@
@meadow@|@beemd, grasland, wei, weide, weiland@
@meager@|@mager, schraal, sprietig@
@meal@|@bloem, meel@
@mealies@|@mais, maïs@
@mean@|@gemiddeld@
@meander@|@kronkelen, slingeren@
@meaning@|@bedoeling, doel, plan, strekking@
@meaningless@|@onbeduidend, onbetekenend@
@means@|@middel, werktuig@
@meanwhile@|@daarentegen, inmiddels, intussen@
@measles@|@mazelen@
@measure@|@meten@
@measured@|@afgemeten, ceremonieel, plechtig@
@measurement@|@afmeting, dimensie@
@meat@|@vlees@
@Mecca@|@Mekka@
@mechanic@|@mecanicien, werktuigkundige@
@mechanical@|@mechanisch, werktuiglijk@
@mechanics@|@mechanica, werktuigkunde@
@Mechlin@|@Mechelen@
@medal@|@medaille, penning@
@medical@|@geneeskundig, helend, medicinaal@
@medicine@|@artsenij, geneesmiddel, medicijn@
@Medina@|@Medina@
@meditate@|@mediteren, nadenken, peinzen@
@meditative@|@nadenkend@
@Mediterranean@|@Middellandse Zee@
@Medusa@|@Medusa@
@meekness@|@mildheid, zachtaardigheid@
@meet@|@bijeenkomen, samenkomen, vergaderen@
@meeting@|@vergadering, zitting@
@Mekong@|@Mekong@
@melancholy@|@droefgeestig, melancholiek, weemoedig@
@Melanesia@|@Melanesië@
@Melanesian@|@Melanesisch@
@mellowness@|@malsheid, weekheid, zachtheid@
@melodrama@|@melodrama@
@melodramatic@|@melodramatisch@
@melody@|@deun, deuntje, melodie, wijs, wijsje@
@melon@|@meloen@
@melt@|@dooien, ontdooien, wegsmelten@
@melting@|@dooi@
@member@|@aanhanger, lid, lidmaat@
@membership@|@lidmaatschap@
@memento@|@aandenken, gedenkschrift@
@memorable@|@gedenkwaardig, heuglijk@
@memorize@|@uit het hoofd leren, van buiten leren@
@memory@|@geheugen, herinnering, heugenis@
@menace@|@bedreigen, dreigen@
@mend@|@boeten, flikken, lappen, oplappen@
@mental@|@geestelijk, mentaal@
@mention@|@gewag maken van, noemen, vermelden@
@menu@|@kaart@
@Mephistopheles@|@Mefistofeles@
@merchandise@|@handelswaar, koopwaar, waar@
@merchant@|@handelaar, koopman, zakenman@
@Mercury@|@Mercurius@
@mere@|@bloot, enkel, louter@
@merit@|@toekomen, verdienen, waard zijn@
@merry@|@goedgehumeurd, goedgeluimd@
@merry-go-round@|@carrousel, draaimolen, zweefmolen@
@mesh@|@breisteek, maas, steek, strik@
@Mesolithic@|@Mesolithicum@
@Mesozoic@|@Mesozoïcum@
@mess@|@brij, moes, pap@
@message@|@bericht, boodschap@
@messenger@|@afgezant, bode, gezant@
@metal@|@metalen@
@metalled@|@kei-, keislag-, stenen, stenig@
@metallic@|@metalen@
@metamorphosis@|@gedaanteverwisseling, metamorfose@
@metaphor@|@beeld, beeldspraak, metafoor@
@meteorite@|@meteoriet@
@meteorology@|@meteorologie, weerkunde@
@meter@|@meter, metrum, versmaat@
@method@|@methode@
@methodical@|@methodisch, schools@
@Methodist@|@methodistisch@
@Methuselah@|@Methusalem@
@metre@|@meter, metrum, versmaat@
@metric@|@metriek@
@metropolis@|@hoofdstad, metropolis, metropool@
@Meuse@|@Maas@
@Mexican@|@Mexicaans@
@Mexico@|@Mexico@
@mica@|@glimmer, mica@
@microbe@|@microbe@
@microfilm@|@microfilm@
@Micronesia@|@Micronesië@
@microphone@|@microfoon@
@microscope@|@microscoop@
@Midas@|@Midas@
@midday@|@middag, noen@
@middle@|@doorsnee, gemiddeld, middelbaar@
@middle-aged@|@van middelbare leeftijd@
@middleclass@|@burgerlijk@
@middy@|@adelborst@
@midge-bite@|@muggebeet@
@midget@|@dwergachtig, minuscuul@
@midnight@|@middernacht@
@midshipsman@|@adelborst@
@midwife@|@verloskundige, vroedvrouw@
@migrant@|@migrerend, rondtrekkend, trekkend@
@migrate@|@rondreizen, rondtrekken, trekken@
@Milan@|@Milaan@
@mild@|@mild, zacht, zachtaardig, zachtmoedig@
@mildness@|@mildheid, zachtaardigheid, zachtheid@
@mile@|@mijl@
@milepost@|@mijlpaal@
@milestone@|@mijlpaal@
@military@|@militair@
@milk@|@melk@
@milk-powder@|@melkpoeder@
@mill@|@molen@
@millenium@|@duizendjarig tijdperk, millennium@
@millennium@|@millennium@
@miller@|@molenaar, mulder@
@millet@|@gierst@
@millimeter@|@millimeter@
@millimetre@|@millimeter@
@milliner@|@modemaakster, modiste@
@million@|@miljoen@
@mince@|@fijnhakken@
@mind@|@geest, intellect, verstand@
@mine@|@de mijne, het mijne@
@minefield@|@mijnenveld@
@minelayer@|@mijnenlegger@
@miner@|@mijnwerker@
@mineral@|@mineraal@
@Minerva@|@Minerva@
@mingle@|@mengen, mixen, temperen, vermengen@
@minimum@|@miniem, minimaal@
@mining@|@mijnbouw@
@mining-engineer@|@mijningenieur@
@minister@|@bewindsman, minister@
@ministerial@|@ministerieel@
@ministry@|@ministerie@
@minority@|@minderheids-@
@mint@|@kruizemunt, munt, pepermunt@
@mint-master@|@muntmeester@
@minus@|@min, minus@
@minute@|@minuut@
@minutes@|@bekeuring, notulen, proces-verbaal@
@Miocene@|@Mioceen@
@miracle@|@mirakel, wonder@
@miraculous@|@miraculeus, wonderbaar@
@mirage@|@fata morgana, luchtspiegeling@
@mirror@|@afspiegelen@
@miscalculate@|@buiten de waard rekenen, misrekenen@
@miscarry@|@een miskraam krijgen, mislukken@
@mischievous@|@boosaardig, hatelijk, kwaadaardig@
@miserable@|@jammerlijk@
@miserably@|@ellendig@
@miserly@|@gierig, hebzuchtig, inhalig, pinnig@
@misery@|@armoe, ellende, misère, narigheid@
@misfortune@|@ongeluk@
@misleading@|@bedrieglijk, illusoir@
@miss@|@misgrijpen, mislopen, missen@
@mission@|@missie, opdracht, zending@
@missionary@|@missionaris, zendeling@
@mist@|@damp, floers, mist, nevel@
@mistake@|@abuis, dwaling, fout, vergissing@
@mistaken@|@fout, foutief, onjuist, verkeerd@
@mistletoe@|@maretak, vogellijm@
@misty@|@dampig, heiig, mistig, nevelig@
@misunderstand@|@misvatten, verkeerd begrijpen@
@misunderstanding@|@misverstand@
@mite@|@mijt@
@miter@|@mijter@
@mitre@|@mijter@
@mitten@|@handschoen@
@mix@|@mengen, mixen, temperen, vermengen@
@mixture@|@mengeling, mengelmoes, mengsel@
@mizzle@|@motregenen@
@mnemonic@|@mnemonisch@
@moan@|@kermen, zuchten@
@mobile@|@beweegbaar, los, mobiel, roerend@
@mobilize@|@mobiliseren@
@mock@|@bespotten, honen, spotten@
@mockery@|@aanfluiting@
@mode@|@manier, trant, wijze@
@model@|@modelleren@
@modem@|@modem@
@moderate@|@bescheiden, gematigd, matig@
@moderation@|@matigheid@
@modern@|@bijdetijds, modern, nieuwerwets@
@modernize@|@moderniseren@
@modest@|@bescheiden, discreet, ingetogen@
@modesty@|@bescheidenheid, discretie@
@modify@|@modificeren, wijzigen@
@Mohammed@|@Mohammed@
@Mohammedan@|@islamiet, mohammedaan, moslim@
@moist@|@vochtig@
@moisture@|@aanslag, condens@
@mold@|@boetseren, modelleren@
@Moldavia@|@Moldavië@
@Moldavian@|@Moldavisch@
@moldy@|@duf, muf, vuns, vunzig@
@mole@|@mol@
@molecule@|@molecuul@
@Moloch@|@Moloch@
@Moluccan@|@Moluks@
@Moluccas@|@Molukken@
@mom@|@ma, mam, mamma, mammie@
@moment@|@moment, ogenblik, oogwenk, tel@
@momentarily@|@even, eventjes, korte tijd@
@momentary@|@kortstondig@
@mommy@|@ma, mam, mamma, mammie@
@Monacan@|@Monegask@
@Monaco@|@Monaco@
@monarch@|@monarch, vorst@
@monastery@|@klooster, mannenklooster@
@Monday@|@maandag@
@Monegasque@|@Monegaskisch@
@money@|@geld, poen@
@money-box@|@fonds, geldkist, kas@
@Mongol@|@Mongool@
@Mongolia@|@Mongolië@
@Mongolian@|@Mongools@
@mongoose@|@ichneumon, mangoest, mungo@
@monitor@|@afluisteren@
@monk@|@monnik@
@monkey@|@aap@
@monkey-like@|@aapachtig@
@monkey-wrench@|@Engelse sleutel@
@monkshood@|@akoniet, monnikskap@
@monocle@|@monocle, oogglas@
@monologue@|@alleenspraak, monoloog@
@monopolize@|@accapareren, opkopen@
@monopoly@|@alleenhandel, monopolie@
@monotonous@|@eentonig, monotoon, saai@
@Mons@|@Bergen@
@monsignor@|@monseigneur@
@monster@|@mormel, rotbeest@
@monstrance@|@monstrans@
@monstrosity@|@monsterachtigheid@
@monstrous@|@gedrochtelijk, monsterachtig@
@montbretia@|@montbretia@
@Montenegrin@|@Montenegrijns@
@Montenegro@|@Montenegro@
@month@|@maand@
@monthly@|@maand-, maandelijks@
@monument@|@gedenkteken, monument@
@monumental@|@monumentaal@
@mood@|@gemoedstoestand, moreel, stemming@
@moon@|@maan@
@moon-@|@maan-@
@moor@|@aanbinden, meren, onderbinden@
@Moor@|@Mauretaniër, Moor, Moriaan@
@moorhen@|@waterhoen@
@Moorish@|@Mauretanisch, Moors@
@moose@|@eland@
@moped@|@bromfiets@
@moraine@|@gruiswal, morene@
@moral@|@moreel, zedelijk, zedenkundig@
@moralist@|@moralist, zedenmeester@
@morality@|@moraliteit, zedelijkheid@
@morals@|@moraal, zedenkunde, zedenleer@
@moratorium@|@moratorium, surséance@
@Moravia@|@Moravië@
@Moravian@|@Hernhutter@
@more@|@meer@
@morel@|@morille@
@morello@|@morel@
@moreover@|@overigens, trouwens, verder@
@mores@|@gebruik, zede@
@Moresque@|@Mauretanisch, Moors@
@morganatic@|@morganatisch@
@morganatical@|@morganatisch@
@Mormon@|@mormoons@
@morning@|@morgen, ochtend@
@Moroccan@|@Marokkaans@
@Morocco@|@Marokko@
@morose@|@aalwaardig, aalwarig, gemelijk@
@morpheme@|@morfeem@
@Morpheus@|@Morpheus@
@morphia@|@morfine@
@morphine@|@morfine@
@morphinomaniac@|@morfinist@
@morphology@|@morfologie@
@morsel@|@hap, mondvol@
@mortal@|@sterfelijk@
@mortar@|@mortier, vijzel@
@morter@|@metselkalk, mortel, mortier, specie@
@mortgage@|@hypotheek@
@mosaic@|@mozaïek@
@Moscow@|@Moskou@
@moselle@|@Moezelwijn@
@Moselle@|@Moezel@
@Moses@|@Mozes@
@Moslem@|@islamiet, mohammedaan, moslim@
@mosque@|@moskee@
@mosquito@|@muskiet@
@mosquito-net@|@muskietengaas, muskietennet@
@mosquito-netting@|@muskietengaas, muskietennet@
@moss@|@mos@
@moss-green@|@mosgroen@
@mossy@|@mossig@
@most@|@hoogst, meest@
@mostly@|@grotendeels, merendeels, overwegend@
@motel@|@motel@
@motet@|@motet@
@moth@|@nachtvlinder, uil, uiltje@
@moth-eaten@|@mottig@
@mother@|@moeder, ouder@
@motion@|@motie, resolutie@
@motionless@|@bewegingloos, onbeweeglijk, roerloos@
@motivation@|@motivatie@
@motive@|@aanleiding@
@motor@|@motor@
@motor-boat@|@motorboot@
@motor-car@|@auto, automobiel@
@motorcycle@|@motor, motorfiets@
@motor-cyclist@|@motorrijder@
@motorial@|@motorisch@
@motorize@|@motoriseren@
@motor-launch@|@motorboot@
@motorway@|@autobaan, autosnelweg, snelweg@
@motto@|@devies, leus, leuze, lijfspreuk@
@mould@|@boetseren, modelleren@
@mouldy@|@duf, muf, vuns, vunzig@
@mount@|@monteren, zetten@
@mountable@|@beklimbaar@
@mountain@|@berg@
@mountaineering@|@alpensport, alpinisme, bergbeklimming@
@mounting@|@montage, zetting@
@mourn@|@rouwen@
@mournful@|@rouw-@
@mourning@|@rouw@
@mouse@|@muis@
@mousepad@|@mousepad@
@mousetrap@|@muizeval@
@mouse-trap@|@muizeval@
@moustache@|@knevel, snor@
@mouth@|@bek, muil@
@mouthful@|@hap, mondvol@
@move@|@aangrijpen, bewegen, ontroeren@
@movement@|@beweging@
@movie@|@film, rolprent@
@moving@|@aandoenlijk, ontroerend, roerend@
@mow@|@maaien@
@Mozambican@|@Moçambiquaans, Mozambiquaans@
@Mozambique@|@Moçambique, Mozambique@
@Mr@|@dhr.@
@Mr.@|@dhr.@
@mu@|@mu@
@much@|@veel@
@muck-water@|@aal, aalt, gier@
@mucous@|@slijmerig, snotterig@
@mucus@|@slijm@
@mud@|@drek, modder, slijk, slik@
@muddy@|@modderig, troebel@
@mudguard@|@slijkbord, spatbord, spatscherm@
@muezzin@|@moëddzin, mueddzin, muezzin@
@Muhammad@|@Mohammed@
@mulatto@|@mulattin@
@mulberry-tree@|@moerbei, moerbeiboom@
@mule@|@muil, muiltje, slof@
@muleteer@|@muildierdrijver@
@multicoloured@|@bont, veelkleurig@
@multinational@|@multinationaal@
@multiple@|@veelvoud@
@multiply@|@multipliceren, vermenigvuldigen@
@multitasking@|@multitasking@
@multitude@|@boel, drom, hoop, massa, menigte@
@mummification@|@mummificatie@
@mummy@|@mummie@
@munition@|@ammunitie, munitie@
@murder@|@moorden, vermoorden@
@murderer@|@moordenaar@
@murderess@|@moordenares@
@murk@|@donker, duister, duisternis@
@murmur@|@murmelen, murmelen (v. beekje)@
@muscatel@|@muskaatwijn@
@muscle@|@spier@
@Muscovite@|@Moskovitisch@
@muscular@|@spier-@
@muse@|@muze@
@muser@|@dromer, mijmeraar@
@museum@|@museum@
@mush@|@brij, moes, pap@
@mushroom@|@champignon@
@music@|@muziek@
@musical@|@muziek-, muzikaal@
@musical-box@|@muziekdoos@
@musicality@|@muzikaliteit@
@music-book@|@muziekboek@
@music-box@|@muziekdoos@
@musician@|@musicus, muzikant, speelman@
@music-lesson@|@muziekles@
@music-lover@|@muziekliefhebber@
@musicology@|@muziekwetenschap@
@music-stand@|@muziekstander@
@musk@|@muskus@
@musk-deer@|@muskusdier@
@musket@|@musket@
@musketeer@|@musketier@
@musk-ox@|@muskusos@
@muskrat@|@muskusrat@
@musk-rat@|@muskusrat@
@Muslim@|@islamiet, mohammedaan, moslim@
@muslin@|@mousseline, neteldoek@
@musquash@|@muskusrat@
@mussel@|@mossel@
@mussel-bank@|@mosselplaat@
@mussel-bed@|@mosselplaat@
@Mussulman@|@islamiet, mohammedaan, moslim@
@must@|@behoren, dienen, horen, moeten@
@mustard@|@mosterd@
@mustard-gas@|@mosterdgas@
@muster-roll@|@monsterrol@
@musty@|@duf, muf, vuns, vunzig@
@mutation@|@mutatie@
@mute@|@sprakeloos, stom@
@mutineer@|@muiter, oproerling, rebel@
@mutiny@|@muiterij, onlusten, opstand@
@mutter@|@brommen, mompelen, morren, mummelen@
@mutton@|@schapevlees@
@mutual@|@onderling, wederkerig, wederzijds@
@muzzle@|@bek, muil@
@my@|@m'n, mijn@
@Mycenae@|@Mycene@
@myriad@|@myriade@
@myself@|@mezelf, mijzelf@
@mysterious@|@geheimzinnig, mysterieus@
@mystery@|@geheimenis, mysterie, raadsel@
@mystic@|@mystiek@
@mystical@|@mystiek@
@mysticism@|@mysticisme@
@mystification@|@bedotterij, fopperij, mystificatie@
@mystify@|@bedotten, beduvelen, beetnemen@
@myth@|@mythe@
@mythical@|@mythisch@
@mythologist@|@mytholoog@
@mythology@|@mythologie@
@myxomatosis@|@myxomatose@
@N.B.@|@n.b.@
@nabob@|@nabob@
@nadir@|@nadir, voetpunt@
@naiad@|@najade, waternimf@
@naif@|@argeloos, naïef, ongekunsteld, onnozel@
@naïf@|@argeloos, naïef, ongekunsteld@
@nail@|@nagelen, spijkeren@
@nail-bed@|@nagelbed@
@nail-brush@|@nagelborstel@
@nail-scissors@|@nagelschaartje@
@nail-varnish@|@nagellak@
@naive@|@argeloos, naïef, ongekunsteld@
@naïve@|@argeloos, naïef, ongekunsteld, onnozel@
@naked@|@bloot, naakt, onbedekt, onopgesmukt@
@nakedness@|@naaktheid@
@name@|@benaming, naam, naamwoord@
@name-day@|@naamdag@
@nameless@|@anoniem, naamloos@
@namely@|@in naam, namelijk, te weten@
@name-plate@|@naambordje@
@namesake@|@naamgenoot@
@Namibia@|@Namibië@
@Namibian@|@Namibisch@
@Namur@|@Namen@
@nap@|@druilen, dutten, sluimeren@
@nape@|@nek@
@naphthalene@|@naftaleen@
@naphthaline@|@naftaleen@
@naphthol@|@naftol@
@napkin@|@servet@
@Naples@|@Napels@
@narrative@|@relaas, verhaal, vertelling, vertelsel@
@narrow@|@bekrompen, eng, krap, nauw, smal@
@nasal@|@nasaal, neus-@
@nasturtium@|@Oostindische kers@
@nasty@|@afschuwelijk@
@Natal@|@Natal@
@nation@|@natie, volk@
@national@|@nationaal, vaderlands@
@nationality@|@nationaliteit@
@nationalization@|@naasting@
@nationalize@|@naasten, nationaliseren@
@native@|@aangeboren, ingeboren@
@natural@|@natuurlijk@
@naturally@|@natuurlijk, uiteraard, van nature@
@nature@|@aard, geaardheid, karakter@
@naught@|@nihil, nul@
@nausea@|@afkeer, misselijkheid, walg, walging@
@nauseate@|@afkeer inboezemen@
@nauseous@|@misselijk, onsmakelijk, stuitend@
@Navajo@|@Navajo@
