@English@|@Kinyarwanda@
@Camelia sinensis@|@ayi n. [i- iby-]@
@canal@|@tuba n. [igi- ibi-]@
@cancer@|@kanseri n.@
@candle@|@buji n. [s. Ø- pl. ama-]@
@canine tooth@|@kaka n. [umu- imi-]@
@Canis familiaris@|@bwa n. [im-]@
@canonic@|@fatizo adj.(rb Bz)@
@canonical@|@fatizo adj.(rb Bz)@
@cap@|@gofero n. [in-], pfundikizo n. [igi- ibi-], juriji n. [iki- ibi-]@
@capillary@|@tsi n. [aga- udu-]@
@capital@|@rwa  n. [s. umu- pl. imi-]@
@caps@|@nyuguti n. [s.&pl. i-] nkuru@
@car@|@modoka n. [im-]@
@caracteristic@|@karango n. [aka- utu-](rb Bz)@
@carefully@|@buhoro buhoro adv.@
@caress@|@syushyanya v. [gu-]@
@carnal knowledge@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@carnivore@|@ryanyama n. [in(d)-]@
@cartilage@|@kucangwahiniro n. [igi- ibi-]@
@casino@|@kinironywero n. [uru-](rb rtd)@
@cassino@|@kinironywero n. [uru-](rb rtd)@
@castigate@|@kosora v. [gu-]@
@category@|@oko n. [s. ubw- pl. am-]@
@Catholicism@|@gatolika n. [pl. ubu-]@
@cave@|@vumo n. [ubu-]@
@cavern@|@vumo n. [ubu-]@
@CD@|@disiki n. [i- ama-], SEDE, SIDI@
@cease@|@reka v. [ku-]@
@ceaselessly@|@dasiba n. [ubu-], datuza n. [ubu-], tarangira n.ub@
@ceiling@|@parafo n.@
@celebrate@|@izihiza v. [kw-]@
@celebrity@|@amamare n. [s. icy- pl. iby-]@
@celestial sph@|@rere n. [iki-]@
@cell@|@girangingo n. [in-], soro n. [aga- udu-], girangingo n.[in-], soro n.[aga-udu-]@
@celluloid@|@filimi n. [s. i- pl. ama-]@
@center@|@go n. [iki- ibi-]@
@central office@|@icaro n. [icy- iby-]@
@centre@|@go n. [iki- ibi-]@
@chair@|@tebe n. [s.&pl. in-], tebe n. [in-]@
@changes@|@hinduka n. [pl. im(p)-]@
@chaos@|@duruvayo n. [s. aka-], vundo n. [s. umu-]@
@chapeau@|@gofero n. [in-]@
@chapter@|@twe n. [s. umu- pl. imi-]@
@character@|@kinnyi n. [s. umu- pl. aba-], co n.[s.umu-pl.imi-]@
@chart@|@bonerahamwe n. [s. im-]@
@chasm@|@nyenga n. [s. i-]@
@chasten@|@kosora v. [gu-]@
@cheat@|@kopera v. [gu-]@
@check@|@genzura n.[i- ama-], genzura v.[ku-], saka v.[gu-]@
@cheek@|@buno n. [s. i- pl. ama-], buno n. [iki- ibi-]@
@cheetah@|@tarangwe n.[uru- in-] (rb rtd)@
@chemistry@|@tabire n. [ubu-], shimi n.@
@cherish@|@tetesha v. [gu-], kundwakaza v. [gu-]@
@chetah@|@tarangwe n.[uru- in-] (rb rtd)@
@child@|@ana n. /umwâana/ umw- pl. aba-@
@Chinese@|@shinwa n. [s. umu- pl. aba-]@
@chin-wagging@|@zimwe n. [ama-]@
@choice@|@hitamo n. [s. i- pl. ama-]@
@chord (MUS)@|@sanisha n. [i-]@
@Christian@|@kirisitu/o n. [umu- aba-]@
@Christianity@|@kirisitu/o n. [s. ubu-]@
@church@|@Kiliziya n., sengero n. [s. uru- pl. in-]@
@churn@|@sabo n. [igi- ibi-]@
@cinema@|@filimi n. [s. i- pl. ama-]@
@cipher@|@zeru n.@
@circle@|@ziga n. [s. uru- pl. in-]@
@circulatory system@|@ungano n. nyamaraso@
@civil code@|@tegeko n. mbonezamubano@
@clamoring@|@amo n. [s. urw-]@
@clamour@|@amo n. [s. urw-]@
@clamouring@|@amo n. [s. urw-]@
@clarify@|@futura v. [gu-]@
@clasped together@|@egeranye adj. [s. cy- pl. by-]@
@class@|@shuri n. [s. i- pl. ama-], oko n. [s. ubw- pl. am-]@
@classic@|@fatizo adj.(rb Bz)@
@classroom@|@shuri n. [s. i- pl. ama-]@
