@English@|@Kinyarwanda@
@jailhouse@|@roko n. [ubu-], kasho n., gereza n.@
@January@|@Mutarama, ukwezi kwa mbere@
@jar@|@kombe n. [igi- ibi-]@
@jazz@|@rongorana v. [ku-]@
@jealosy@|@hari n. [pl. ama-]@
@jealousy@|@shyari n. [s. i- pl. ama-]@
@jerk off@|@ikinisha v. [kw-]@
@jersey@|@tisheti n. [i- am-]@
@jest@|@cyocyora v. [gu-], kina v. [gu-] mu magambo, setsa v. [gu-]@
@Jesus@|@Yezu@
@jet@|@naga n. [s. i-], shunzi n. [s. uru-]@
@jewometiri n.@|@geometry@
@joint@|@gingo n. [uru- in-]@
@joke@|@shyenga v. [gu-], shyengo n. [ama-], kina v. [gu-] mu magambo, setsa v. [gu-]@
@joking@|@shyenga n. [ugu-]@
@jug@|@funga v. [gu-]@
@juice@|@tobe n. [s. umu- pl. imi-]@
@July@|@Nyakanga, ukwezi kwa karindwi@
@June@|@Kamena, ukwezi kwa gatandatu@
@juxtaposition (GRAM.)@|@bangikanyanteruro n.[i-](rbBz)@
@karihe n. [ubu-]@|@acidity@
@keep on@|@gumya v. [ku-]@
@kengero n. [in-]@|@outskirts, suburb@
@kengero n. [ink-]@|@periphery@
@key@|@funguzo n. [uru- im-]@
@kibe n.@|@cube@
@kibonumwe@|@comet@
@kidney@|@pyiko n. [im-]@
@kind@|@gwaneza n. [umu- aba-]@
@kindness@|@gwaneza n. [ubu-]@
@king@|@ami n. [umw- ab-]@
@kip@|@sinzira v. [gu-]@
@kiramende n. [s. uru-]@|@rectangle@
@kite@|@dege n. [s. aka- pl. utu-]@
@knickers@|@kariso n. y'abagore@
@know@|@rongorana v. [ku-]@
@Koran (Quran)@|@Korowani n. [i-]@
@ku ijana@|@percent@
@kuba n. [ugu-]@|@multiplication@
@kubo n. [s. igi- pl. ibi-]@|@product@
@kusanyijwe n. [pl. ibya-]@|@data@
@labial consonant@|@nyamunwa n. [i-]@
@labiodental consonant@|@nyamwinyo n. [i-]@
@lag@|@funga v. [gu-]@
@lamp@|@tara n. [i- ama-]@
@lane@|@irukiro n. (SP.)[s.ak-pl.utw-]@
@later@|@nyuma adv.@
@later on@|@nyuma adv.@
@laugh@|@seka v. [gu-]@
@launch@|@ato n. [ubw-] bw'imyidagaduro@
@lava@|@hindure n. [pl. ama-]@
@lavabo@|@besani n. [i- ama-]@
@law@|@tegeko n. [i- ama-]@
@lawn@|@atsi n. [s. aka], caca n. [s. aga- pl. udu-]@
@leader@|@twe n. [s. umu- pl. imi-], yobozi n. [s. umu- pl.aba-]@
@lean against@|@byiga v. [ku-]@
@lean against sthg@|@egamira v. [kw-], egama v. [kw-]@
@learn sthg by heart@|@fata v. mu mutwe@
@leave@|@genda v. [ku-]@
@leave mate (temporally) [usu. said of women]@|@ahukana v. [ku-]@
@left@|@ibumoso@
@leg@|@guru n. [uku- ama-]@
@length@|@rebure n. [pl. ubu-]@
@Lent@|@sibo n. [igi-]@
@lessen@|@cogoza v. [gu-]@
@lesson@|@somo n. [s. i- pl. ama-]@
@let the cat out of the bag@|@mena v. ibanga@
@letter@|@baruwa n. [i- ama-], nyuguti n. [i-]@
@level@|@ego n. [s. urw- pl. inz-], shashe adj. [s. gi- pl. bi-]@
@lexicography@|@koranyamagambo n. [i-]@
@lexicology@|@menyajambo n. [ubu-]@
@lexicon@|@koranyamagambo n. [s.&pl. in-]@
@library@|@somero n. [i- ama-]@
@lid@|@pfundikizo n. [umu- imi-], gofero n. [in-]@
@lie@|@beshya v. [ku-], himbano n. [s. igi- pl. ibi-]@
@lie with@|@rongorana v. [ku-]@
@life@|@bereho n. [pl. imi-], zima n. [s. ubu-]@
@ligament@|@rya n. [umu- imi-], tsi n. [s. umu- pl. imi-]@
@light@|@cyo n. [s. umu- pl. imi-], rumuri n. [uru-]@
@lightbulb@|@mpuru n. [a-]@
@lightening@|@rabyo n. [umu- imi-]@
@like@|@bene (esp. before pronoun), kunda v. [gu-]@
@limited community of acquests@|@vangamutungo n. w'umuhahano@
@line@|@rongo n. [s. umu- pl. imi-]@
@linguistics@|@igandimi n.[iy-](rb Bz), sesengurandimi n.[i-] shy@
@link@|@huriro n. [s. i- pl. ama-], huza v. [gu-]@
@lip@|@nwa n. [s. umu- pl. imi-]@
@lisp@|@rimi n. [ubu-]@
@list@|@tonde n. [uru-], lisiti n. [i-], lisiti n. [i- ama-], tonde n. [uru- int-], tondeko n. [in-], rondora v. [ku-]@
@listing@|@tondeko n. [in-]@
@literature@|@vanganzo n. [s.&pl. ubu-]@
@Litocranius walleri@|@hongo n. ubwoko bw'im(p)-@
@litter@|@arire n.[icy-], gobyi n.[in-], anda n.[umw- imy-]@
@little by little@|@buhoro buhoro adv.@
@live@|@tura v.[gu-], ba v. [ku-]@
@liver@|@ijima n. [umw- imy-]@
@living room@|@ganiriro n. [uru-] (rb rtd)@
@livingroom@|@ganiriro n. [uru-] (rb rtd)@
@lizard@|@serebanya n. [s.umu- pl. imi-]@
@lock@|@serire n. y'urugi@
@Logic@|@nyurabitekerezo n. [i-]@
@long@|@daca n. [s. uru-]@
@loose@|@sesuye adj. [s. gi- pl. bi-]@
@lore@|@bumenyi n. [pl. ubu-] gakondo@
@louse@|@da n. [s.&pl. in-]@
@lovable@|@kundiro adj. [cy'i-]@
@love@|@kunda v. [gu-]@
@lovely@|@henda adj.[preceded by n. cl.]@
@lower v.@|@itsa v. [ku-]@
@lower-case letter@|@nyugiti nto(ya) n. [s.&pl. i-]@
@Lucifer@|@Rusufero n., Luciferi n.@
@lukewarm@|@zuyazi adj. [s. aka-]@
@lung@|@haha n. [igi- ibi-]@
@lynchpin@|@kingi n. [ink-]@
@lyric@|@gambo n. y'indirimbo@
@machine@|@modoka n. [im-]@
@Madonna@|@shusho n. ya Bikiramariya, Nyina wa Jambo@
@magma@|@sukume n. [uru-], hindure n. [ama-]@
@magnet@|@rukuruzi n.@
@magnify@|@agura v. [kw-]@
@magpie@|@sandi n. [i- ama-]@
@mail@|@ohereza v. [k-]@
@main office@|@icaro n. [icy- iby-]@
@mainstay@|@kingi n. [in-] (rb Bz)@
@maize@|@gori n. [s. iki- pl. ibi-]@
@make@|@nyara v. [ku-]@
@make (more) complicated@|@komeza v. ibintu@
@make (more) difficult@|@komeza v. ibintu@
@make a mistake@|@ibeshya v. [kw-]@
@make love@|@rongorana v. [ku-]@
@make things difficult@|@shyira v. ibintu iw'abandi@
@make up@|@cura v. [gu-], cura v. (amatiku/inkuru)@
@make water@|@nyara v. [ku-@
@make yakety-yak@|@sakabaka v. [gu-]@
@male@|@gabo adj.@
@male child@|@hungu n. [s. umu- pl. aba-]@
@malnutrition@|@ryo n. [in(d)-] nkene@
@mamma@|@mama@
@mammal@|@nyamabere n. [i-]@
@mammy@|@mama@
@man@|@gabo n. [s. umu- pl. aba-], ntu n. [umu- aba-]@
@manage@|@twara v. [gu-], tegeka v. [gu-]@
@manager@|@nyirikigo n.@
@manufacturer@|@nyiruruganda n.@
@map@|@karita n. [s. i- pl. ama-]@
@march@|@karasisi n. [s. aka-]@
@March@|@ukwezi kwa gatatu, Werurwe@
@march (MIL.)@|@gahunda@
@mark@|@nota n. [i- ama-]@
@marriage@|@shingirwe n. [ubu-], kwe n. [ubu-]@
@marriage ceremony@|@kwe n. [ubu-]@
@married man@|@gabo n. washatse, ganji n. [umu- aba-]@
@married person@|@shyingiranywe n. [uwa-aba-] na@
@marrow@|@sokoro n. [umu-]@
@Mary@|@Mariya@
@masculine@|@gabo adj.@
@mass@|@Misa@
@masturbate@|@ikinisha v. [kw-]@
@match@|@ambi n. [s. umw- pl. imy-]@
@mate@|@shyingiranywe n. [uwa-aba-] na@
@mater@|@mama@
@material@|@tambaro n. [igi- ibi-]@
@mathematics@|@bare n. [pl.imi-]@
@matrimony@|@kwe n. [ubu-]@
@mattress@|@matola n. [Ø- ama-], saso n. [i-], fariso n. [umu- imi-]@
@May@|@Gicurasi, ukwezi kwa gatanu@
@me@|@njye pron. pers.@
@measurement@|@pimo n. [s. igi- pl. ibi-]@
@mechanic@|@kanishi n. [umu- aba-], makanika n.@
@mechanist@|@kanishi n. [umu- aba-]@
@medicament@|@ti n. [s. umu- pl. imi-]@
@medication@|@ti n. [s. umu- pl. imi-]@
@medicinal drug@|@ti n. [s. umu pl. imi-]@
@medicine@|@ganga n. [pl. ubu-], ti n. [s. umu- pl. imi-]@
@mellow@|@gabanya v. [ku-] ubukana@
@melt@|@shongesha v. [gu-]@
@member@|@boro n. [im-]@
@mendicancy@|@sabiriza n. [i-]@
@mesa@|@eza n. [am-]@
@meteorology@|@teganyagihe n. [s. i-]@
@micturate@|@nyara v. [ku-@
@middle@|@cyo hagati@
@middle ear@|@twi n. ko hagati@
@midist@|@hagati adv.@
@mightness@|@shobozi n. [pl. ubu-], baraga n. [im-]@
@military camp@|@gerero n. [uru- in-] (rb rtd)@
@mimic@|@igannyi n. [umw- ab-] (rb rtd)@
@minatory@|@aku n. [s. umw- pl. imy-]@
@mineral@|@unyungugu n. [um- imy-]@
@minibike@|@pikipiki n. [i- ama-]@
@misfortune@|@aga n. [s. ak-]@
@miss@|@kobwa n. [umu- aba-]@
@missile@|@misile n.@
@missy@|@kobwa n. [umu- aba-]@
@mist@|@hu n. [igi- ibi-]@
@mistrust@|@keka v. [gu-]@
@modifier@|@rangamimerere [s.&pl. in(d)-]@
@molar@|@jigo n. [iki- ibi-]@
@mollusk@|@nyamushongo n. [iki- ibi-]@
@mom@|@mama@
@momma@|@mama@
@mommy@|@mama@
@monastery@|@zu n. y'abihayimana, zu n. y'abamonaki@
@Monday@|@ku wa mbere@
@monetary@|@-a mafaranga@
@money@|@faranga n. [s. i- pl. ama-]@
@moneyman@|@nyemari n. [umu- aba-]@
@monk@|@monaki n. [s. umu- pl. aba-]@
@monster@|@hindugembe n. [s.igi- pl.ibi-]@
@moon@|@ezi n. [ukw- am-]@
@more@|@kandi adv.@
@moreover@|@kandi adv., kandi@
@morning@|@tondo n. [igi-]@
@morphological notation@|@andiko nyantego n.[iny-](rbBz)@
@motheland@|@hugu n. kavukire@
@mother country@|@hugu n. kavukire@
@mother-in-law@|@bukwe n. [ma/nyoko-]@
@motorbike@|@pikipiki n. [i- ama-]@
@motorcar@|@modoka n. [im-]@
@motorcycle@|@pikipiki n. [i- ama-]@
@mountain@|@sozi n. [s. umu- pl. imi-]@
@mourning@|@unamo n. [icy-]@
@mouse@|@beba n. [s.&pl. im-]@
@mouth@|@nwa n. [s. umu- pl. imi-]@
@movement@|@byi n. [ama-]@
@movie@|@filimi n. [s. i- pl. ama-]@
@moving@|@kiyega adj. (rb Bz)@
@moving picture@|@filimi n. [s. i- pl. ama-]@
@mpandemunani ndinganire n.@|@octagon@
@mpandeshanu ndinganire@|@pentagon@
@mpandeshatu n.@|@triangle@
@mpandeshatu ndinganire n.@|@equilateral triangle@
@mpandeshatu nyampanga n@|@isosceles triangle@
@mpandesheshatu n.@|@hexagon@
@mu nkengero z'umugi@|@on the outskirts of the town@
@much@|@kenshi@
@mucus@|@kororwa n., [igi- ibi-], mwira n. [iki- ibi-]@
@mug@|@kopo n. [igi- ibi-]@
@multiplication@|@kuba n. [ugu-]@
@mum@|@mama@
@mummy@|@mama@
@muscle@|@kaya n. [umu- imi-]@
@mushroom [CULIN.]@|@humyo n. [s. igi- pl. ibi-]@
@music@|@muzika n.@
@music hall@|@curangiro n. [uru-] (rb rtd)@
@musical score@|@nota n. [i- ama-]@
@mythology@|@igankurumpimbano n. [s. iy-]@
@naif@|@tamenya n. [in-]@
@nail@|@ara n. [urw- inz-], sumari n. [umu- imi-]@
@naive@|@tamenya n. [in-]@
@naïve@|@tamenya n. [in-]@
@naming@|@tondeko n. [in-]@
@nani n. [s. umu- pl. imi-]@|@eight@
@narrator@|@barankuru n. [s. umu- pl aba-]@
@nasal consonant@|@nyamazuru n. [i-]@
@national anthem@|@ririmbo n. yubahiriza igihugu@
@national flag@|@bendera n. [s. i- pl. ama-]@
@natural gas@|@uka n. karemano@
@natural resources@|@tungo n. kamere@
@Navigator@|@Mugashyamasi n., Rwogogamasi n.@
@nearsightedness@|@bonahafi n. [im-]@
@needle@|@shinge n. [uru- in-], singa n. [uru- in-]babohesha@
@nerve@|@akura n. [umw- imy-]@
@network@|@huzarusobekerane n. [im(p)-]@
@new@|@shya adj. [s. gi- pl. bi-]@
@New Testament@|@sezeranon. [I] Rishya@
@news@|@kuru n. [pl. ama-]@
@newsmonger@|@nyamazimwe n. [umu- aba-]@
@newspaper@|@nyamakuru n. [iki- ibi-]@
@niece@|@ishywa n. [umw- ab-]@
@night@|@joro n. [i-]@
@nil@|@zeru n.@
@nine@|@cyenda n. [s. i-]@
@nineth letter of Kinyarwanda alphabet@|@i@
@ninetinth letter in Kinyarwanda alphabet@|@t@
@noise@|@dugararo n. [s. umu- pl. imi-]@
@nomination@|@shyirwaho n. [i-]@
@noncitizen@|@nyamahanga n. [s.umu- pl.aba-]@
@non-representational@|@boneshabwenge adj. [m-](rb Bz)@
@non-representational (BX-ARTS)@|@burafato adj. [m-] (rb Bz)@
@nose@|@zuru n. [s. i- pl. ama-]@
@nostalgise@|@kumbuza v. [gu-]@
@nostril@|@zuru n. [s. i- pl. ama-]@
@not at all@|@na gato@
@not hot enough@|@zuyazi adj. [s. aka-]@
@not to forget@|@shyira v. mu nda@
@notation@|@andiko n. [iny-] (rb Bz)@
@notational system@|@andiko n. [iny-] (rb Bz)@
@notorous@|@ruharwa n.@
@nought@|@zeru n.@
@noun@|@zina n. [s. i- pl. ama-]@
@novel@|@tabo n. cy'inkuru@
@November@|@Ugushyingo, ukwezi kwa cumi na kumwe@
@nucleus@|@timatima n. [in-]@
@number@|@rondora v. [ku-]@
@number (GRAM.)@|@bare n. [umu- imi-]@
@number (MATH.)@|@bare n. [umu- imi-]@
@numbering@|@tondeko n. [in-]@
@numerator@|@bara n. [s. iki- pl. ibi-]@
@nun@|@bikira n. [s. umu- pl. aba-]@
@nutrient@|@tungamubiri n. [in-]@
@nyamapande n. [iki-] enye@|@quadrilateral@
@nyampande n. [s. iki- pl. ibi-] (nyinshi)@|@polygon@
@nyamubyimba n. [iki-]@|@solid@
@nyuranyo n. [s. iki- pl. ibi-]@|@difference@
@oath@|@rahiro n. [in(d)-]@
@object@|@uzuzo n. [s. icy- pl. iby-]@
@object lesson@|@somo n. [s. i- pl. ama-]@
@obscene@|@tutsi n. [igi- ibi-]@
@observe@|@izihiza v. [kw-]@
@obtuse angle@|@furuka n. yagutse@
@occipital (bone)@|@twe n.[s.aga-pl.udu-]k'inyuma@
@Oceania@|@Oseyaniya@
@octagon@|@mpandemunani ndinganire n.@
@October@|@ukwezi kwa cumi@
@odd number@|@barwa n. [umu- imi-] nyakamwe@
@of@|@-a adj. poss.@
@of this kind@|@bene ibi@
@official@|@emewe adj. n'amategeko@
@oft@|@kenshi@
@often@|@kenshi@
@oftentimes@|@kenshi@
@ofttimes@|@kenshi@
@oil@|@vuta n. [pl. ama-]@
@Old Nick@|@Anzi n. wa Kera na kare, Satani n., Shitani n.@
@Old Testament@|@sezerano n. [I] rya Kera@
@old-fashoned@|@cyataye igihe@
@olfactory nerve@|@akura n. nuko@
@omnious@|@aku n. [s. umw- pl. imy-]@
@omnivore@|@ryabyose n. [in(d)-]@
@on@|@ku prep.@
@on the border@|@ku nkiko@
@on the contrary@|@ahubwo@
@one@|@rimwe@
@one's cow@|@bata n. [s.&pl. im-]@
@open vowel@|@atu n. [iny-] (rb Bz)@
@operational@|@gengamikorere adj. [n-]@
@optic nerve@|@akura n. w'ijisho@
@ordained@|@emewe adj. n'amategeko@
@order@|@rongo n. [s. umu- pl. imi-], tegeko n. [i- ama-]@
@ordinance@|@tegeko n. [i- ama-]@
@ordure@|@byi n. [ama-]@
@organ@|@gingo n. [uru-] rw'umubiri@
@organism@|@ngirangingo n. [i-]@
@organization@|@tunganyiriza n.[imi-], ubakire n.[imy-], terere n.@
@oriental slipper@|@kamambiri n., kambambiri n.@
@originate@|@vuka v. [ku-]@
@orthography (spec.)@|@andikire n. [imy-] (rb Bz)@
@outer ear@|@twi n. kw'inyuma@
@outlander@|@nyamahanga n. [s.umu- pl.aba-]@
@outsider@|@nyamahanga n. [s.umu- pl.aba-]@
@outskirts@|@kengero n. [in-]@
@outskirts (town)@|@hana n. [s. umu- pl. imi-]@
@overture@|@atu n. [iy-] (rb Bz)@
@owing to@|@kubera@
@pa@|@papa@
@Pacific@|@Pasifika@
@pain@|@a interj.@
@paint@|@rangi n. [i- ama-]@
@painting@|@shusho n. [s. i- pl. ama-]@
@paintwork@|@rangi n. [i- ama-]@
@palace@|@goro n. [s.&pl. in-]@
@palatal consonant@|@nyarusenge n. [i-](rb Bz), nyarusenge n. [i-]@
@palm oil@|@mamesa n. [pl. ama-]@
@panic@|@shya v. ubwoba, hangayika v. [gu-], gira v. umutima uhagaze@
@pants@|@pantalo n. [i- ama-], kariso n. y'abagore@
@papa@|@papa@
@paper@|@papuro n. [s. uru- pl. impa-]@
@pappa@|@papa@
@parade@|@gahunda, parade, karasisi n. [s. aka-]@
@Paradise@|@paradizo, paradiso@
@paragraph@|@ka n. [s. aga- pl. udu-], ka n. [s. igi- pl. ibi-]@
@paralerogarama@|@parallelogram@
@parallel@|@teganye adj. [s. gi- pl. bi-], taganye adj. [gi-]@
@parallelogram@|@paralelogaramu n., girwamwashi n. [in-]@
@paranthesis@|@kubo n. [s. aga- pl. udu-]@
@paratal@|@nyarusenge n. [i-](rb Bz)@
@parent@|@byeyi n. [s. umu- pl. aba-]@
@Parliament@|@Inteko Ishinga Amategeko n.@
@parlor@|@ganiriro n. [uru-] (rb rtd)@
@parlour@|@ganiriro n. [uru-] (rb rtd)@
@part@|@twe n. [s. umu- pl. imi-]@
@particularly@|@ihariko adv. (by'umw-)@
@partner@|@shyingiranywe n. [uwa-aba-] na@
@pass water@|@nyara v. [ku-], nyara v. [ku-]@
@pater@|@papa@
@peasant@|@nyacyaro n. [umu- aba-]@
@pecuniary@|@-a mafaranga@
@pediatrician@|@ganga n. w'abana@
@pee@|@nyara v. [ku-@
@pee-pee@|@nyara v. [ku-@
@pen@|@karamu n. [s. i- pl. ama-], karamu n. [i- ama-]@
@pencil@|@karamu n. y'igiti@
@peninsula@|@igimbakirwa n. [umw-]@
@penis@|@boro n. [im-]@
@pennant@|@bendera n.(SPOR.)s.aka- pl.utu@
@pentagon@|@mpandeshanu ndinganire n.@
@percent@|@ku ijana, %@
@period@|@he n. [s. igi pl. ibi-], domo n. [s. aka- pl.utu-], bago n. [aka- utu-] (rb Bz)@
@periphery@|@kengero n. [in-]@
@permission@|@renganzira n. [s. ubu-], hushya n. [s. uru- pl im(p)-], renganzira n.[s. ubu-], hushya n.[s.ur- pl. im(p)]@
@person@|@muntu n. [s. umu- pl. aba-]@
@personal pronoun@|@nyazina ngenga@
@phallus@|@boro n. [im-]@
@pharyngal consonant@|@nyenkanka n. [i-](rb Bz)@
@pharyngal n.@|@nyenkanka n. [i-](rb Bz)@
@pharyngeal n.@|@nyenkanka n. [i-](rb Bz)@
@philology@|@cengerarurimi n. [i-] shy@
@philosophy@|@cengerabumenyi n. [s. i-]@
@phone@|@telefoni@
@phonetic@|@nyejwi adj.@
@phonetic notation@|@andiko n. nyejwi (rb Bz)@
@phonetic transcription@|@andiko n. nyejwi (rb Bz)@
@phonetics@|@igamajwi n. [iy-]@
@phonological notation@|@andiko n. nyemvugo@
@phonological transcription@|@andiko n. nyemvugo@
@physical@|@garagara adj. [ki-]@
@picture@|@shusho n. [s. i- pl. ama-]@
@piddle@|@nyara v. [ku-@
@pile@|@oya n. [ubw-]@
@pilgrim@|@genzi n. [s. umu- pl. aba-]@
@pillar@|@kingi n. [in-] (rb Bz)@
@piller@|@kingi n. [in-] (rb Bz)@
@pinna@|@twi n. [s. ugu- pl. ama-]@
@piss@|@nyara v. [ku-]@
@pistil@|@umba n. [umw- imy-] y'ururabyo@
@place@|@caro n. [s. icyi- pl. ibyi-], ntu n. [s.&pl. aha-], anya n. [um- imy-], tebe n. [in-]@
@plane@|@baza v. [ku-], dege n. [in-]@
@plant@|@mera n. [iki- ibi-]@
@plant that has preventive capabilities@|@buza n. [s. umu- pl. imi-]@
@plate@|@sahani n. [s. i- pl. ama-]@
@plateau@|@twa n. [igi- ibi-]@
@play@|@kinamico n. [s. i-], kino [s. umu- pl. imi-]@
@playwright@|@andikamikino n.[umw-aba-](shy)@
@pleasant@|@gwaneza n. [umu- aba-]@
@please sb@|@shimisha v. [gu-], shyira v. igorora@
@pledge@|@rahiro n. [in(d)-]@
@plenty@|@kire n. [pl. ubu-], hagije adv.[bi-], kungu n.@
@plot@|@kora n. [s.&pl. in-], yira (zira) n. [s.&pl. in-]@
@plural@|@inshi n. [s. ubw-]@
@pneumonia@|@songa n. [umu- imi-]@
@poacher@|@shimusi n. [s. umu- pl. aba-]@
@poem@|@vugo n. [s. umu- pl. imi-], sigo n. [igi- ibi-]@
@poesy@|@sizi n. [ubu-]@
@poetry@|@sizi n. [ubu-]@
@point@|@bago n. [aka- utu-] (rb Bz), gingo n. [in-]@
@poke@|@cyocyora v. [gu-]@
@politics@|@politiki n.@
@pollen@|@tsinda n. [in-]@
@polles (pl. pollices)@|@kumwe n. [igi- ibi-]@
@polygon@|@nyampande n.[s. iki- pl. ibi-]@
@poorness@|@kene n. [ubu-]@
@pop@|@papa@
@positive neuter@|@ba n. [im-] (rb Bz)@
@possessive@|@ngenera n.@
@post@|@anya n. [um- imy-], ohereza v. [k-]@
@postcard@|@karita n. y'ubucuti@
@post-palatal consonant@|@curarusenge n. [in-](rb Bz)@
@pot@|@abya n. [s. urw- pl. inz-]@
@poverty@|@kene n. [ubu-]@
@power@|@basha n. [pl. ubu-], shobozi n. [pl. ubu-], baraga n. [im-]@
@pray@|@senga v. [gu-], vuga v. amasengesho, saba v. [gu-]@
@preach@|@bwiriza v. [ku-]@
@preamble@|@rangashingiro n. [i-]@
@preceding*@|@banziririza adj. [m-] (rb Bz)@
@prefix@|@mbanza, suma n. [s. umu- pl. imi-]@
@pregnancy@|@da n. [s.&pl. in-]@
@prepalatal consonant@|@terurarusenge n. [in-](rb Bz)@
@preposion@|@banza n. [m-] (rb Bz)@
@prescribed@|@emewe adj. n'amategeko@
@President@|@Perezida, Umuyobozi Mukuru@
@President of Republic@|@Perezida wa Repubulika, Umukuru w'Igihugu@
@prevail@|@garagaza v. [ku-] ubugabo@
@pricey@|@henda adj.[preceded by n. cl.]@
@pride@|@shema n. [i-], shema n. [aga-], jabo n. [i-]@
@priest@|@padiri n. [s. umu- pl. aba-], tambyi n. [s. umu- pl. aba-], herezabitambo n.umu-@
@Prime Minister@|@minisitiri w'intebe@
@Prince of Darkness@|@ami n. w'umwijima@
@prior@|@mbere adv. [cy'i-](rb Bz)@
@pristess@|@tambyi n. [s. umu- pl. aba-]@
@privates@|@tsina n. [igi- ibi-]@
@procreation@|@ororoka n. [iy-]@
@promoter@|@ishingira n.[umw-ab-] (rb rtd)@
@pronunciation@|@uko bavuga, vugirwe n. [imi-], vugirwe n.[imi-](rb Mtk), noboramvugo n.[i-](rbBz)@
@properties@|@ranga n. [s. iki- pl. ibi-]@
@prosperity@|@rumbuke n. [ubu-]@
@protein@|@poroteyine n.@
@provider@|@Nyamugirubutangwa n.@
@provoker@|@shotoranyi n. [umu- aba-], gashozamvururu n.@
@psalm@|@Zaburi@
@puberty@|@angavu n'ubugimbi n. [ubw-]@
@pubic hair@|@sya n. [in-]@
@pull down (house)@|@senya v. [gu-]@
@pullover@|@pira n. [s. umu- pl. imi-]@
@pump room@|@nywero n. [uru-] (rb rtd)@
@punctuation@|@atuzo n. [ak- utw-] (rb Bz)@
@punctuation mark@|@atuzo n. [s. ak- pl. utw-], atuzo n. [ak- utw-] (rb Bz)@
@purpose@|@herezo n. [pl. ama-]@
@pus@|@shyira n. [ama-]@
@push@|@byiga v. [ku-]@
@push button@|@buto n. [Ø- ama-]@
@put away@|@funga v. [gu-]@
@put behind bars@|@funga v. [gu-]@
@put forward@|@isunga v. [kw-], itabaza v. [kw-], iyambaza v.kw-@
@put on@|@ambara v. [kw-]@
@put sthg (up) against sthg@|@egeka v. [kw-]@
@put the cat among the pigeons@|@hungabanya v. [gu-], teza v. akaduruvayo, teza v. rwaserera@
@quaint@|@cyataye igihe@
@question@|@baza v. [ku-]@
@question mark@|@bazo n. [s. aka- pl. utu-], bazo n. [aka- utu-]@
@quickly@|@bwangu adv., vuba adv.@
@quit@|@hara v. [gu-]@
@race off@|@shyira v. ku murindi@
@racecourse@|@buga n.[uru-]rw'amafarasi rtd)@
@racism@|@vanguramoko n. [s. i-]@
@racket (in tennis)@|@manuzo n.(SPOR)[s.aka-pl.utu-]@
@radio@|@akiramajwi n. [iny-], radiyo n.@
@radio receiver@|@radiyo n. [s. i- pl. ama-]@
@radio set@|@radiyo n. [s. i- pl. ama-]@
@radio telecommunication@|@radiyo n. [s. i- pl. ama-]@
@radius@|@rambararo n. [s.aka-]@
@rainbow@|@kororombya n. [umu-]@
@raincoat@|@koti n. ry'imvura@
@rambararo n. [s. umu-]@|@diameter@
@rambararo n. [s.aka-]@|@radius@
@rank@|@anya n. [um- imy-]@
@rat@|@beba n. [s.&pl. im-]@
@rather than@|@ho adj. clause [a-]@
@reader@|@somyi n. [s. umu- pl. aba-]@
@reading@|@soma n. [s. ugu-]@
@rear@|@nyuma n. [i-]@
@reason@|@hamvi n. [s.&pl. im-]@
@rebuke@|@cyaha v. [gu-], hana v. [gu-]@
@rebure n. [pl. ubu-]@|@length@
@reception centre@|@akiriro n. [urw-]@
@reclaim@|@aka v. [kw-]@
@rectangle@|@kiramende n. [s. uru-]@
@red@|@tuku n. [s. umu- pl. imi-]@
@red blood cell@|@soro n. gatukura@
@reduce@|@gabanya v. [ku-], oroshya v. [k-]@
@reduction@|@oroherezwe n. [ubw-]@
@reel@|@dandabirana v. [ku-]@
@Referendum@|@Kamarampaka, Kamarampaka n., referendumu n.@
@refreshment stall@|@nywero n. [uru-] (rb rtd)@
@regarding@|@erekeye adj. [cy-]@
@regular verb@|@shinga ikurikiza amategeko@
@regulation@|@tegeko n. [i- ama-]@
@related@|@gereka n. [umu-](rb Bz)@
@relation@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@relatives@|@fitanye v. [aba-] isano@
@relaxation@|@ruhuko n. [s.aka- pl. utu-]@
@relieve oneself@|@nyara v. [ku-]@
@religion@|@yobokamana n. [s. i-]@
@remainder@|@sigara n. [igi-]@
@remand@|@funga v. [gu-]@
@removal@|@kurwaho n. [i-]@
@remove@|@kuraho v. [gu-], vanaho v. [ku-]@
@removing@|@kurwaho n. [i-]@
@renown@|@amamare n. [s. icy- pl. iby-]@
@replace@|@simbura v. [gu-]@
@reprimand@|@cyaha v. [gu-], hana v. [gu-]@
@reproduction@|@ororoka n. [i-], ororokere n. [imy-]@
@reptil@|@kururanda n. [igi- ibi-]@
@Republic@|@Repubulika n.@
@research@|@shakashatsi n. [pl. ubu-], shakashatsi n. [ubu-]@
@respiration@|@humeka n. [i-]/[ugu-]@
@respiratory system@|@ungano n. rw'ihumeka@
@result at/in@|@gera v. [ku-]@
@resurrection@|@zuko n. [s. umu-], zuka n. [s. i-]@
@retainer@|@garagu n. [s. umu- pl. aba-]@
@rhyming@|@sizi n. [ubu-]@
@riddle@|@sakuzo n. [igi- ibi-], findo n. [ubu-], bazomenamutwe n. [iki- ibi-]@
@ridicule@|@cunaguza v. [gu-]@
@right@|@iburyo, iburyo adv., renganzira n. [pl. ubu-]@
@right angle@|@furuka n. igororotse@
@righteousness@|@tungane n. [ubu-]@
@rigid@|@ukutava ku izima, dakuka adj. [n-]@
