@Whose is the land?@|@E o ai te manafa?@
@Whose is the stick?@|@E a ai te lakau?@
@Whose is the work?@|@E a ai te ngaluenga?@
@whose is this hat?@|@E o ai te pulou nei?@
@Whose is this thing?@|@E a ai te mea nei?@
@Whose stick?@|@Te lakau a ai?@
@Whose stone is that?@|@E a ai te fatu na?@
@Whose things?@|@Mea a ai?@
@Whose trick?@|@Te tongaflti a ai?@
@Whose visits?@|@Omamainga a ai?@
@whose?@|@a ai?, O ai?@
@why did you run?@|@A koe ne tele aia?@
@wide@|@efa, lafalafa, lau, lauefa@
@wife@|@ama@
@wind@|@matagi@
@wing@|@kapakau@
@with whom are you eating?@|@E kai koe i ai?@
@with whom?@|@I ai?@
@woman@|@Fafine@
@women@|@faafine@
@woods@|@ulu, vao@
@work@|@ngaluenga@
@worm@|@kelemutu@
@year@|@naga, tau, tau naga, taunaga@
@yellow@|@fefelo, felo, hega, hegahega@
@yonder place@|@ko@
@you@|@ke@
@you (dual)@|@koulua@
@you (more than two)@|@koutou@
@you (pl)@|@koutou@
@you gave@|@Ne tuku ne koe, Ne tuku ne koulua, Ne tuku ne koutou@
@you give@|@E tuku ne koe@
@you give (dual)@|@E tuku ne koulua@
@you give (pl.)@|@E tuku ne koutou@
@you have come@|@Ko vau koe@
@you shall give@|@Ka tuku ne koulua, Ka tuku ne koutou@
@you two@|@koulua@
@you will give@|@Ka tuku ne koe@
@your@|@au, ou, tau, tou@
@your (pl)@|@a koutou, te otou@
@your coconut shells@|@Lu fangongo@
@your departure@|@Te lu olonga@
@your food@|@Tau meakai@
@your garden@|@Te otou umanga@
@your gardens@|@Otou umanga@
@your grandfather@|@Tou tupuna@
@your house@|@Te lu fale@
@your houses@|@Lu fale@
@your small canoe@|@Tou paopao@
@your weight@|@Tou mafa@

