@is cheerful@|@kakrayok@
@is clean@|@ipkrittok, salumayok@
@is clumsy@|@pikalukpok@
@is companion of action@|@innatauyok@
@is covered with snow@|@sausimayok@
@is curled up (as a dog)@|@immoriktok@
@is deceiving@|@tammarnartok@
@is desirable@|@krilanartok, perkominartok, pijominartok, piyominartok@
@is despicable@|@suglunartok@
@is different@|@adjortok@
@is discouraged@|@sujomiyok@
@is disguised@|@adjortok@
@is disobedient@|@tussangisartok@
@is doing nothing@|@terlikpok (Padl.)@
@is domesticated@|@nuyuitok@
@is done@|@pissimayok@
@is easy to reach@|@maniyok@
@is envious@|@idluigosukpok@
@is evil@|@sukko@
@is excessive@|@piluartok@
@is excited@|@uimakpok@
@is fair@|@inerkonartok@
@is flying@|@tingmiyok@
@is full@|@imagpok, tatattok@
@is full of energy@|@omariksartok@
@is funny@|@tipsiktok@
@is gathering things@|@kattersorpok@
@is generous@|@tukkuttok@
@is getting better@|@palarsiyok, piosiyok@
@is glad@|@kuviasukpok@
@is good@|@idluartok, piktauyok, pioyok, pioyok@
@is good at work@|@sennetuyok@
@is good hunter@|@angusuktok@
@is half asleep@|@nayagarpok@
@is happy@|@alianaigosuktok, nakkorsarpok, sarrimayok@
@is hard@|@sitiyok@
@is heavy@|@iktariktok, okkomaitok@
@is heavy-haired@|@tulroyok@
@is hidden@|@talliktok@
@is high@|@kotsiktok, poktuyok@
@is hungry@|@karpok@
@is hypocrite@|@pingitsertorpok, piotsertortok, takumortok@
@is in a hurry@|@erenesuktok@
@is intelligent@|@pokrittok@
@is inventive@|@erkraidguyok (Padl.)@
@is jealous@|@kremigosukpok@
@is late@|@miperpok, mulorpok@
@is lazy@|@erkreasukpok, salausuktok@
@is leaning@|@uvingayok@
@is lost@|@assiuyok, assiwarok (Padl.), tammarpok@
@is lovable@|@naglingnartok@
@is loved preferably@|@pinnariyauyok@
@is low@|@pokittok@
@is marvelous@|@kamanartok (Okk.), opinnartok, tatamnartok@
@is mean@|@kanogsartok, kanungauyok@
@is miraculous@|@tatapsimanartok@
@is moderate@|@ikublayok@
@is more and more active@|@piwallialerpok@
@is narrow@|@tuertok@
@is nervous@|@perangaitok, uimayarpok@
@is no more hungry@|@akreatusukpok@
@is noisy@|@pakadlakpok@
@is not caught@|@annakpok@
@is not frightened (as deer@|@nuyuisertok@
@is not heavy@|@okrittok@
@is not well disposed@|@sorangayok@
@is obedient@|@opalorpok (Padl.)@
@is obese@|@naaktok@
@is on the watch@|@illimasukpok@
@is placed high@|@kotsiktok@
@is proud@|@piosuriyok, pioyoriyok@
@is prudent@|@silatusarpok@
@is quiet@|@palarpok@
@is ready@|@pituinnarealik@
@is reversed@|@pussittok@
@is rich@|@akluitok@
@is rough@|@angatuyok@
@is sad@|@annutpok, nikadlorpok, sarremaitok@
@is sharp@|@ipiktok@
@is shrewd@|@silatuyok@
@is shy@|@adlauyartok, illerasukpok@
@is shy (sees for first time)@|@takungarpok@
@is silent@|@nippaitok@
@is similar@|@adjigektok@
@is sleepy@|@aitaurpok@
@is small@|@mikiyok@
@is smooth@|@nerromiktok@
@is soft@|@akrittok@
@is solitary@|@kissermiorpok@
@is stiff@|@perkangayok@
@is still free@|@annakpok@
@is still useful@|@sorosuitok@
@is stingy@|@erligosuktok, ibleriwok, tukkuitok@
@is stingy with food etc.@|@nerdlingoyok@
@is strong@|@nertuark, nukilik, pidguyok, sangiyok, sungowok@
@is suddenly frightened@|@tatabjiyok@
@is swift@|@okrilayok, pialayok, sukkaliyok@
@is taken by surprise@|@upaluarpok@
@is teasing much@|@tappasukpok@
@is thankful@|@kuyariyok@
@is the cause of trouble@|@idluilutaowok@
@is thin@|@sadluyok@
@is thinner and thinner@|@sadluwalliayok@
@is thirsty@|@immerukpok@
@is tired@|@sarremasakpok, takrayok@
@is too fat@|@orksingolerpok@
@is unable@|@sapperpok@
@is useful@|@suksauyok@
@is very interesting@|@sudluarnartok@
@is very playful@|@uiritsaktok@
@is very sad@|@annudlakpok@
@is very sensitive@|@kangartok@
@is very slow@|@sukkaitok@
@is very thirsty@|@krelerpok@
@is victorious@|@salaksartok, salariyok@
@is well awake@|@kriptaerpok@
@is worthy of@|@nadlerkotauwok@
@is wrestling@|@payok@
@is wrong@|@tammarpok@
@ivory@|@tugar@
