@English@|@Malay@
@orphan@|@piatu, yatim@
@oscillate@|@ayun@
@ostrich@|@kasuari@
@other@|@lain, lain@
@others@|@lain-lainnya@
@otter@|@memerang@
@our@|@kami, kita@
@oust@|@alih@
@out of wedlock@|@luar nikah@
@outbreak@|@cetus, cetusan@
@outburst@|@cetusan@
@outburst (of feeling)@|@cetus@
@outburst of noise@|@gerantang@
@outcry@|@kecoh, kekecohan@
@outfit@|@dandanan@
@outline@|@rangka@
@out-of-date@|@kolot@
@outpour@|@curahan@
@outside@|@di luar, luar@
@outspoken@|@lajak, lancang@
@out-spoken@|@celopar@
@outstretched (of limb)@|@kedang@
@oval@|@bujur, lonjong@
@oven@|@ketuhar@
@over@|@usai@
@over again@|@kembali@
@overcast@|@mendung@
@overdue@|@suntuk@
@over-ripe (of fruit)@|@ranum@
@overseas@|@luar negara@
@overshot@|@sasul@
@overtime@|@lembur@
@overturned or upside-down@|@langkup@
@overworked@|@tungkus lumus@
@ovoid@|@lonjong@
@owl@|@jampuk@
@oyster@|@tiram@
@pack@|@asak@
@package@|@bendela, bingkis, bungkusan@
@packaging@|@pembungkusan@
@packed@|@berasak-asak, padat, sesak, tumpat@
@pact@|@pakatan@
@paddle@|@kayuh@
@padlock@|@gepuh, mangga, tala@
@page@|@halaman, muka surat@
@pageant@|@arak-arakan@
@pageboy@|@biduanda@
@pail@|@baldi, baldi, timba@
@pain@|@sakit@
@pain in the joints@|@sengal@
@pain or emphasis@|@oh@
@painful@|@perit, sakit@
@paint@|@cat@
@painted@|@bercat@
@painter@|@tukang cat@
@pair@|@pasang, pasang, regu@
@palace@|@istana, mahligai, puri@
@palanquin@|@tanduan@
@palate@|@lelangit@
@pale@|@pucat@
@palm of hand@|@telapak@
@palm of the hand@|@tapak@
@palm-blossom@|@mayang@
@palm-wine@|@tuak@
@palpitation or throbbing@|@debar@
@pampered@|@manja@
@pamphlet@|@risalah@
@pancake@|@lempeng@
@pandemonium@|@gembar-gembur, gempar@
@panicky@|@gugup@
@pant@|@cungap@
@panting@|@tercungap, tercungap-cungap@
@pants@|@seluar@
@papaya@|@betik, buah betik@
@paper@|@kertas@
@par@|@tara@
@parable@|@ibarat, tamsil@
@parade@|@perbarisan@
@paradise@|@firdaus, syurga@
@paragraph@|@penggal, perenggan@
@parallel@|@jajar, sejajar@
@paralysis@|@lumpuh@
@paralytic@|@lumpuh@
@parcel@|@bingkis, bungkusan@
@parched@|@kering-kontang, kontang@
@pardon@|@ampun, keampunan@
@parent@|@ibu bapa@
@parents of a married couple@|@besan@
@pariah@|@jaharu@
@park@|@taman@
@parrot@|@kakaktua@
@parsnip@|@ubi@
@part@|@bahagian@
@part of telephone on which the receiver rests@|@kelompong@
@part of the body@|@anggota badan@
@part of the leg just above the heel@|@keting@
@participa@|@kecimpung@
@participant in a procession@|@pengarak@
@participate@|@ikut serta@
@particle@|@zarah@
@particular period or age inhistory@|@zaman@
@partner@|@sekutu@
@partnership@|@kongsi, perkongsian@
@parts of the body that should not be exposed@|@aurat@
@part-time@|@sambilan@
@party@|@jamuan, pihak@
@pass (a ball)@|@hantar@
@pass or gap in mountain@|@genting@
@passage@|@laluan@
@passed away@|@meninggal dunia@
@passed flatus@|@terkentut@
@passenger@|@pembonceng, penumpang@
@passing back and forth@|@lalu-lalang@
@passion@|@asmara, keberahian@
@passionate longing@|@rindu dendam@
@passport@|@pasport@
@past@|@lepas, masa lalu, masa silam, sudah-sudah@
@patch of hardened skin@|@belulang@
@path@|@lorong@
@patient@|@sabar@
@patronage@|@naung@
@pattering sound@|@derap@
@pattern@|@corak@
@pause@|@selang@
@pavement@|@kaki lima@
@pavilion@|@astaka@
@pawn@|@bidak, gadai@
@pawned@|@tergadai@
@pawnshop@|@pajak gadai@
@pay@|@bayar@
@pay attention to@|@endah, hirau@
@payer@|@pembayar@
@payment@|@bayaran, pembayaran@
@peace@|@damai, keamanan, kedamaian, perdamaian, salam@
@peaceful@|@aman, sejahtera, sentosa, tenteram@
@peacemaker@|@pendamai@
@peace-maker@|@pengaman@
@peacock or peahen@|@merak@
@peak@|@kemuncak, mercu, puncak@
@pearl@|@mutiara@
@peat@|@gambut, tanah gambut@
@pebble@|@kerakal, kerikil@
@peck@|@patuk@
@peck or eat with beak@|@cagut@
@peck with beak@|@catuk@
@peculiarity@|@keistimewaan@
@pedal@|@injak, kayuh@
@peddle goods@|@jaja@
@pedestrian@|@pejalan kaki@
@pedigree@|@salasilah@
@peek@|@intip@
@peel@|@gelupas, kopek, kupas@
@peel off@|@gelekak, kelupas@
@peeled off@|@terkopek@
@peep@|@intai, intip, jengah@
@peg@|@pasak@
@pelican@|@undan@
@pellet@|@gelintir, gentel@
@pembangunan@|@construct@
@pen@|@kandang@
@pen (writing device)@|@pena@
@penalty@|@hukuman@
@pendant@|@aguk@
@pendulous@|@berjuntai, juntai@
@pendulum@|@anting, bandul@
@penetrable@|@tembus@
@penetrate or slip in@|@celus@
@penetrated@|@bolos@
@penetrative@|@lut@
@peninsula@|@semenanjung@
@penis@|@zakar@
@penitence@|@taubat@
@pennant@|@gada-gada@
@pension@|@sara@
@pensioner@|@pesara@
@penthouse@|@emper@
@people@|@rakyat@
@pep@|@berangsang@
@pepper@|@lada@
@per cent@|@peratus@
@perch@|@hinggap@
@perfect@|@sempurna@
@perforated@|@gerek, tembus@
@performance@|@pengamalan, prestasi@
@performance on a screen@|@wayang@
@perfume@|@bau-bauan, haruman@
@perhaps@|@agaknya, barangkali, barangkali, gerangan, mudah-mudahan, mungkin@
@period@|@kalimat, masa@
@period of time@|@tempoh@
@periodical@|@berkala@
@permanent@|@kekal, tetap@
@permeable@|@telap@
@permissible@|@halal@
@permission@|@izin, kebenaran, keizinan@
@permit@|@menghalalkan@
@permitted to@|@boleh@
@perpetuate@|@mengabadikan@
@perplexed@|@mangu@
@persevering@|@tabah@
@persistently@|@tubi@
@person or people@|@orang@
@person who runs amuck@|@pengamuk@
@person who shaves@|@pencukur@
@person with no religious faith@|@kafir@
@personal@|@peribadi@
@personality@|@perawakan, sahsiah@
@perspiration@|@peluh@
@persuade@|@bujuk, umbuk@
@persuasion@|@bujukan, pujukan@
@pestle@|@antan@
@pet@|@timangan@
@pet name@|@julukan@
@petals@|@saribunga@
@petrified@|@pegun@
@petroleum@|@minyak@
@petty@|@remeh-temeh@
@pewter@|@tembaga putih@
@phantom@|@hantu@
@Pharaoh@|@Firaun@
@philanthropist@|@dermawan@
@philosophy@|@falsafah@
@phlegm@|@gelema, kahak@
@phoney@|@lancung@
@photo@|@gambar@
@photograph@|@gambar@
@photographer@|@jurugambar, tukang gambar@
@phrase@|@frasa@
@physical@|@jasmani, jasmaniah@
@physical exercise@|@senaman@
@pick@|@cungkil, kutip@
@pickle@|@acar, jeruk@
@pickpocket@|@copet@
@picnic@|@kelah@
@picture@|@arca, gambar@
@pictured@|@terbayang@
@piece@|@cebis, helai, keping@
@pieces@|@kepingan@
@pierce@|@cucuk@
@pierced@|@bolos, tercucuk@
@piercing (of sound)@|@mersik@
@piercing and shrill (of sound)@|@nyaring@
@piety@|@iman@
@pig@|@babi, kerbau pendek@
@pigeon@|@merpati, punai@
@pile@|@buasir, susun, timbun, tompok@
@pile driven into the ground@|@cerucuk@
@pilgrim@|@jemaah@
@pill@|@gelintir@
@pillage@|@jarah@
@pillar@|@rukun, tiang@
@pillory@|@kongkong, pasung@
@pillow@|@bantal@
@pilot@|@juruterbang@
@pimp@|@ibu ayam@
@pimple@|@bintil, jerawat@
@pin@|@jarum peniti, pasak, tusuk@
@pincer@|@ragum@
@pincers@|@angkup, catut, sepit@
@pinch@|@cubit, getil, ketip@
@pineapple@|@nanas, nenas@
@pink@|@merah jambu@
@pin-worm@|@cacing kerawit, kerawit@
@pioneer@|@pelopor@
@pious@|@alim, salih, warak@
@pious duties@|@ibadat@
@pip@|@biji@
@piracy (in printing)@|@cetak rompak@
@pirate@|@lanun@
@pistil@|@putik@
@pitch@|@legam@
@pitch (in music)@|@tala@
@pitch dark@|@gelap-gelita@
@pith (of stem or fruit)@|@empulur@
@pity@|@belas, kasihan@
@pityriasis versicolor (a type of skin disease)@|@panau@
@placard@|@sepanduk@
@place@|@tempat, tempat@
@placenta@|@tembuni, uri@
@plain@|@dataran, ketap@
@plains@|@tanah pamah@
@plait@|@anyam, jalin, tocang@
@plaited@|@terjalin@
@plan@|@gagasan@
@plane@|@satah@
@plane (of wood)@|@ketam@
@plank@|@papan@
@plantation@|@kebun, ladang@
@plants@|@tanaman, tumbuh-tumbuhan@
@plaster@|@lepa@
@plate@|@pinggan, pinggan, piring@
@plate for betel-leaf@|@puan@
@play@|@main@
@player@|@pemain@
@playfully@|@olah-olah@
@plead guilty@|@terima salah@
@pleasant@|@bagus, seronok, syok@
@pleasant (of atmosphere@|@nyaman@
@pleasant (of taste@|@sedap@
@please@|@sila, sila, tolong, tolong@
@pleased@|@gembira@
@pleasure@|@nikmat@
@pleasure or pain@|@ooh@
@pledge@|@ikrar@
@pliable@|@kenyal@
@plug@|@palam@
@plumber@|@tukang paip@
@plume on helmet@|@jambul@
@plump@|@gempal, montok, tembam@
@plump and healthy@|@montel@
@plunder@|@jarah@
@plunge@|@cebur@
@plunge down@|@hunjam@
@plunge in@|@kecimpung@
@plunged head first@|@terjunam@
@plural (in grammar)@|@jamak@
@plus@|@campur@
@pocket@|@kocek, saku@
@pock-marked@|@bopeng@
@poem@|@sajak, syair@
@poet@|@syair@
@poetry@|@puisi@
@point@|@butir@
@point (fraction)@|@perpuluhan@
@point of time@|@ketika@
@point of view@|@sudut@
@pointed@|@runcing@
@poison@|@racun@
@poisonous root used in fishing@|@tuba@
@poke or thrust@|@jolok@
@poker face@|@muka selamba@
@poker-faced@|@selamba@
@pole@|@galah@
@pole (of earth's axis or magnet)@|@kutub@
@pole or stake driven into the ground@|@pancang@
@pole vault@|@lompat bergalah@
@policeman@|@mata-mata@
@policy@|@dasar@
@polish@|@canai, gosok@
@polishing wax@|@pengilat@
@polite@|@beradab, beradat, sopan@
@politeness@|@adab, sopan santun@
@pollen@|@debunga@
@pollination@|@pendebungaan@
@polluted@|@cemar, tercemar@
@pollution@|@pencemaran@
@polytheism@|@syirik@
@pomegranate@|@delima@
@pomelo@|@abung@
@pond@|@kolam@
@ponfret@|@bawal@
@pool@|@palung@
@poor@|@miskin@
@poor eyesight@|@rabun@
@popcorn@|@bertih jagung@
@populated@|@berpenduduk@
@porcelain@|@tembikar@
@porch@|@serambi@
@porcupine@|@landak@
@porridge@|@bubur@
@portable case@|@kampit@
@portion@|@bahagian@
@position@|@kedudukan@
@possess@|@ada, mempunyai@
@possessed (by evil spirits)@|@rasuk@
@possible@|@mungkin@
@post@|@jawatan, perjawatan, tiang@
@post office@|@pejabat pos@
@post-box@|@peti surat@
@posterior or bottom@|@pantat@
@postpone@|@tangguh@
@posture@|@perawakan@
@potato@|@kentang, ubi kentang@
@pot-bellied@|@boyot, buntal@
@potent@|@manjur@
@pouch@|@jabil, kantung@
@pounder (rice)@|@alu@
@pour@|@curah@
@pour water on@|@jirus@
@pout@|@cebik@
@pout lips to sneer@|@cemik@
@powder@|@bedak, serbuk@
@powder made from rice@|@bedak sejuk@
@powdered@|@berbedak@
@power@|@daya, kehebatan, kekerasan, kekuasaan, kekuatan, kuasa, tenaga, wenang@
@powerful@|@perkasa@
@practice@|@amal, amalan, kebiasaan@
@practice;@|@latihan@
@practitioner@|@pengamal@
@praise@|@cumbu@
@prawn@|@udang@
@prawn pickle@|@cencaluk@
@prayer@|@doa@
@prayer for peace and prosperity@|@selawat@
@praying mantis@|@cengkadak, mentadak@
@preacher@|@mubaligh, pendakwah, pengkhutbah@
@preacher in mosque@|@khatib@
@precise@|@piawai, tegas, tepat@
@precision@|@teliti@
@pre-dawn meal in the Muslim fasting month@|@sahur@
@prediction@|@ramalan, telahan, tenungan, tilikan@
@prefix denoting large numbers or large amount@|@para@
@pregnancy@|@kehamilan@
@pregnant@|@berbadan dua, hamil, mengandung@
@pregnant (of animals)@|@bunting@
@prehistorical@|@prasejarah@
@prejudice@|@prasangka@
@prejudiced@|@buruk sangka@
@preliminary rounds of contest@|@saringan@
@premier@|@perdana@
@premonition@|@firasah@
@prepared@|@sedia, siap@
@prerequisite@|@syarat@
@presence@|@kehadiran@
@present@|@hadiah@
@present (food)@|@hidang@
@preservation@|@pengawetan@
@preservative@|@pengawet@
@preserve@|@awet@
@preserved durian@|@tempoyak@
@press@|@desak@
@pressed@|@terhimpit@
@pressing@|@berhimpitan@
@pressure@|@desakan, tekanan@
@prestige@|@martabat@
@presumption@|@sangkaan@
@pretence@|@buat-buatan@
@pretending@|@pura-pura@
@pretext@|@dalih@
@pretty@|@ayu, jelita, lawa, molek@
@prevent@|@cegah@
@prevention@|@pencegahan@
@preventive@|@pencegah@
@previous@|@lepas@
@prey@|@mangsa, perburuan@
@price@|@harga, harga@
@prick@|@cucuk@
@pricked@|@tercucuk@
@prickly heat@|@ruam panas@
@pride@|@kebanggaan, maruah@
@priest@|@paderi@
@primary@|@julung@
@prime@|@perdana@
@prince@|@putera@
@princess@|@puteri@
@principal@|@pengetua, perdana@
@principle@|@asas, pokok, raya@
@print@|@cap, cetak@
@print (noun)@|@cetakan@
@printing@|@percetakan@
@prison@|@kurungan, penjara@
@prisoner@|@banduan@
@private@|@peribadi@
@private (not public)@|@swasta@
@prize@|@hadiah@
@problem@|@masalah@
@proboscis@|@belalai@
@procedure@|@aturan, kaedah, tatacara@
@process of channelling the flow of@|@pengaliran@
@process of ending@|@pengakhiran@
@procession@|@arak, arak-arakan, perarakan@
@proclaim@|@isytihar@
@proclamation@|@perisytiharan@
@produce@|@menghasilkan@
@producer@|@pengeluar@
@product@|@bikinan, hasil, keluaran@
@product of@|@buatan@
@product of plaiting or weaving@|@anyaman@
@production@|@pembuatan, pengeluaran@
@productive@|@biak@
@products of a country@|@mahsul@
@profess@|@anut@
@professional@|@ikhtisas@
@professor@|@mahaguru@
@proficient@|@cekap@
@profit@|@laba, untung@
@profound@|@mendalam@
@profundity@|@dalamnya@
@programme@|@atur cara, jadual, rancangan@
@programming@|@perisian@
@progress or move in stages@|@ansur@
@prohibition@|@larangan, pantang, pantang larang, tegahan@
@projecting facade (of a building)@|@anjung@
@projecting rim@|@bebibir@
@prolific@|@biak@
@prominent or large (of ears)@|@jabing@
@promise@|@akad, berjanji, ikrar, jamin, janji@
@promoter@|@penganjur@
@pronunciation@|@sebutan@
@proof@|@bukti, dalil, kalis@
@prop@|@sandaran, topang@
@propaganda@|@dakyah, saranan@
@propeller@|@baling-baling@
@proper@|@senonoh@
@proper and right@|@wajar@
@property@|@harta@
@prophet@|@nabi, nujum, rasul@
@proportion@|@kadar@
@proportional@|@berkadar@
@proportionate@|@timpal@
@proposal@|@anjuran, cadangan, lamaran, saranan@
@propose@|@aju@
@proposer@|@pencadang@
@proprietary rights@|@hak milik@
@prosecution@|@pendakwaan@
@prosecutor@|@pendakwa@
@prosperous@|@makmur@
@prostrate (in prayer)@|@sujud@
@protection@|@pembelaan@
@protection or shelter@|@teduh@
@protest@|@bangkangan, bantah@
@Proto-Malay tribal chief@|@tok batin@
@protrude@|@jenggul, julur@
@protruding (of buttocks)@|@tonggek@
@protruding (of teeth)@|@jongang@
@proud@|@angkuh, bangga, bangga, besar hati, congkak, megah, riak, sombong, sombong, takabur@
@proven@|@terbukti@
@proverb@|@bidalan, pepatah, peribahasa@
@provided that@|@asalkan@
@province@|@wilayah@
@provisions@|@bekalan@
@provocation@|@acuman@
@provoke or instigate@|@acum@
@proximity@|@kedekatan@
@prudence@|@kebijaksanaan@
@psalm@|@jabur@
@puberty@|@baligh@
@public@|@awam, rakyat, terbuka, umum@
@public holiday@|@cuti am@
@publication@|@keluaran, terbitan@
@puddings@|@kuih@
@puddle@|@lopak@
@pull@|@tarik@
@pulley@|@takal@
@pulpit@|@mimbar@
@pulsation@|@denyutan@
@pulse@|@nadi@
@punish@|@dera@
@punishment@|@deraan, hukuman@
@pupa@|@kepompong@
@pupil@|@murid, murid@
@puppet@|@anak-anakan, boneka, orang-orangan@
@purchaser@|@pembeli@
@pure@|@hening, jati, jernih, murni, suci, tulen@
@purity@|@kegadisan, kejernihan@
@purple@|@ungu@
@purpose@|@guna, hajat, maksud, tujuan, tujuan@
@purposely@|@sengaja, sengaja@
@purse@|@dompet, kantung, pundi-pundi@
@pursue or chase@|@hambat@
@pursuit of knowledge@|@pengajian@
@pus@|@nanah@
@push upwards@|@julang@
@pushing@|@berhimpitan@
@put@|@bubuh, letak, taruh@
@putrid@|@busuk@
@puzzled@|@keliru, terkeliru@
@puzzling@|@mengelirukan@
@quail@|@puyuh@
@qualified@|@layak@
@quality@|@mutu, sifat@
@quantity@|@bilangan, sukat@
@quarrel@|@gaduh, guaman, hujah, kelahi, perguaman, tikai@
@quarter@|@suku@
@quatrain@|@pantun@
@queen@|@maharani, permaisuri, ratu, suri@
@queer@|@ganjil, pelik@
@question@|@soalan@
@questionable@|@curiga@
@questionaire@|@soal selidik@
@quick@|@bangat, cepat, deras, pantas, pesat, segera@
@quickly@|@lekas@
@quickness@|@kecepatan@
@quiet@|@bungkam, senyap, sepi, sunyi, tenang, tenteram@
@quiet but diligent person@|@diam ubi@
@quiet person@|@pendiam@
@quietly@|@diam-diam, senyap-senyap@
@quietness@|@keheningan@
@quinine@|@kuinin@
@quit rent@|@cukai tanah@
@quite@|@agak, belaka@
@quivering@|@bergetar@
@quiz@|@ujian@
@quotation@|@kutipan, petikan@
@quote@|@kutip@
@rabbit@|@arnab@
@race@|@bangsa@
@race-horse@|@kuda lumba@
@racer@|@pelumba@
@racial@|@perkauman@
@rack@|@para-para@
@radiance@|@cahaya, kecemerlangan@
@radiation@|@sorotan@
@radish@|@lobak@
@radius@|@jejari@
@raft@|@rakit@
@ragged@|@cabik, rabak@
@rail@|@landasan@
@railway coach@|@gerabak@
@rain@|@hujan@
@rainbow@|@pelangi@
@raise@|@angkat@
@raise a fishing-line slowly@|@embut@
@raisin@|@kismis@
@rancid (of oil)@|@tengik@
@random@|@rambang@
@range@|@banjar@
@range of mountains@|@banjaran@
@rank@|@darjat, pangkat@
@ransack@|@geledah@
@ransom@|@tebusan@
@rapacious@|@kemaruk@
@rapid@|@deras@
@rapid (of development)@|@pesat@
@rapids@|@jeram@
@rarely@|@jarang-jarang@
@rascal@|@bajingan@
@rash@|@ruam@
@rat@|@tikus@
@rate@|@kadar@
@ratio@|@kadar, nisbah@
@ration@|@bekalan, catu@
@rationing@|@pencatuan@
@rattan@|@rotan@
@rattan ring@|@kelikir@
@rattling sound@|@gerodak@
@ravenous@|@kemaruk@
@ravine@|@jurang@
@raw@|@mentah@
@raw vegetable to be eaten with rice@|@ulam@
@ray@|@pari, sorot@
@reach out@|@jengkau@
@reach out with the hand@|@jangkau@
@reached out@|@terjangkau@
@reaction@|@tanggapan, tindak balas@
@read@|@baca@
@reader@|@pembaca@
@ready@|@sanggup, sedia, sedia, siap, siap sedia@
@real@|@benar, hakiki, sejati, sungguh@
@real estate@|@harta tanah@
@realisation@|@insaf, keinsafan@
@reality@|@hakikat@
@really@|@benar-benar, beria-ia, betul-betul, sungguh, sungguh-sungguh@
@reap or harvest@|@ketam@
@rear@|@belakang@
@rear or breed@|@bela@
@rearing@|@ternakan@
@reason@|@alasan, sebab, sebab-musabab@
@reasonable@|@berpatutan, munasabah, patut@
@rebel@|@berontak@
@rebound@|@ambul, bingkas, gelincat, pantulan@
@rebuke@|@celaan@
@recall@|@ingat, kenang@
@receive@|@terima@
@recently@|@akhir-akhir, baru-baru, belakangan@
@receptacle@|@cembul@
@reception@|@jamuan, sambutan@
@receptionist@|@panyambut@
@reciprocate@|@balas@
@reciprocation@|@balasan@
@recluse@|@zahid@
@recognise@|@cam, iktiraf, kenal@
@recognition@|@pengiktirafan@
@recollection@|@ingatan@
@recommendation@|@syor@
@recommendatory@|@perakuan@
@recorded in writing@|@maktub@
@recovered@|@betah@
@recovered consciousness@|@siuman@
@recreation@|@riadah@
@red@|@merah@
@red ant@|@kerengga@
@redemption@|@tebusan@
@reel@|@kincir@
@referee@|@pengadil@
@reference@|@rujukan@
@refine metal@|@besut@
@refined@|@halus@
@refinement@|@saringan@
@reflected@|@terbayang, terbayangkan, tergambar@
@reflection@|@bayang, bayang-bayang, cerminan, sorotan@
@reflex@|@pantulan@
@reforms@|@pembaruan@
@refract@|@bias@
@refraction@|@biasan@
@refrigerator@|@peti sejuk@
@refuge@|@lindungan@
@regard as@|@kira@
@regarding@|@berhubung, mengenai, tentang@
@region@|@kawasan, rantau@
@regionalism@|@kedaerahan@
@register@|@daftar@
@registered@|@berdaftar@
@registrar@|@pencatat, pendaftar@
@registration@|@pendaftaran@
@regret@|@kesal@
@regretable@|@kesal@
@regretful@|@sesal@
@regulation@|@aturan@
@regulations@|@peraturan@
@rejection@|@tolakan@
@relapse@|@bentan@
@relation@|@kena-mengena@
@relationship@|@kaitan, perhubungan@
@relationship between two brothers' wives or betwe@|@biras@
@relative@|@saudara@
@relatives@|@kerabat, sanak saudara@
@relatives in general@|@saudara-mara@
@relax@|@istirehat@
@relaxation@|@santai@
@release the electric charge of@|@nyahcas@
@relevance@|@kaitan@
@relevant@|@tergolong@
@reliable@|@handal@
@relieved (e.g. from pain@|@lega@
@religion@|@agama@
@religious@|@alim, keagamaan@
@religious beggar@|@fakir@
@religious dogma@|@akaid@
@religious donation@|@wakaf@
@religious sect or community@|@umat@
@religious sect or school of thought@|@mazhab@
@religious teacher@|@mualim@
@reluctance@|@keengganan@
@reluctant@|@enggan, keberatan@
@remainder@|@baki, saki-baki, sisa@
@remember@|@ingat, ingat, ingat-ingat@
@remembered@|@terfikir@
@remembrance@|@ingatan, kenangan@
@reminder@|@peringatan@
@reminiscence@|@kenang-kenangan@
@reminiscent@|@mengingatkan, terkenang@
@remnants@|@recih@
@remnants of cloth@|@perca@
@renewal@|@pembaharuan@
@renovations@|@pembaruan@
@rent@|@sewa@
@rental@|@sewaan@
@repeat@|@bilang, ulang, ungkit@
@repeatedly@|@berkali-kali, tubi@
@repentance@|@insaf, sesalan, taubat@
@repentant@|@sesal@
@replace (substitute)@|@ganti@
@replacement@|@pengganti, tukaran@
@reply@|@balas, balasan, jawab@
@reporter@|@pemberita@
@represent@|@mewakili@
@representative@|@wakil@
@reprimand@|@kecam@
@reprimand severely@|@banting@
@reproduction@|@pembiakan@
@repulsive@|@jelik@
@reputation@|@nama@
@requirement@|@syarat@
@research@|@pengkajian, penyelidikan@
@researcher@|@pengkaji@
@resembling@|@secara@
@resentful@|@sebal@
@reservoir@|@takungan@
@reside@|@inap@
@residence@|@kediaman@
@resin@|@damar, jabung@
@resistance@|@tentangan@
@resolute@|@cekal@
@resource@|@sumber@
@resourceful@|@panjang akal@
@respect@|@hormat, jah, penghormatan@
@respect deeply@|@junjung@
@respectable@|@mulia@
@respected@|@berhormat, terhormat@
@respectful@|@sopan@
@respond@|@jawab@
@response@|@balasan, sambutan, tanggapan@
@responsibility@|@beban, bebanan, tanggungan, tanggungjawab@
@rest@|@berehat, istirehat, rehat@
@restaurant@|@restoran@
@restless@|@gelisah, kesah, resah@
@restlessness@|@kegelisahan@
@restoration@|@pengembalian@
@restricted@|@terbatas@
@restriction@|@ikatan, kekangan@
@result@|@akibat, ekoran, hasil, natijah@
@resulted in@|@berakibat@
@resurgence@|@kebangkitan@
@retail@|@runcit@
@retarded@|@rencat@
@return@|@balik, balik, kembali, kembali, pulang@
@reveal@|@dedah@
@revel@|@foya@
@revelation@|@pendedahan@
@revelation through a dream@|@wahyu@
@revenge@|@balasan, dendam@
@review@|@sorotan, tinjauan@
@revision@|@ulang kaji@
@revolt@|@berontak@
@revolting@|@menjijikkan@
@revolution@|@peredaran@
@revolve@|@kisar@
@reward@|@ganjar, ganjaran, pahala@
@rheumatism@|@sengal@
@rhinoceros@|@badak@
@rhythm@|@irama, rentak@
@rhythmic@|@berirama@
@rib@|@rusuk@
@rib of feather@|@pelepah@
@rib of palm leaf@|@pelepah@
@ribbon@|@bulangan, pita@
@rice@|@beras@
@rice (boiled)@|@nasi@
@rice (unboiled)@|@beras@
@rice barn@|@kepuk@
@rice bowl@|@jelapang@
@rice fried in the husk@|@bertih@
@rice grains left unhusked after pounding@|@antah@
@rice mortar@|@lesung@
@rice-field@|@sawah@
@rice-grain with its husk@|@padi@
@rice-plant@|@padi@
@rich@|@berada, kaya, kaya@
@rich soil@|@geluh@
@richest@|@terkaya@
@rickshaw@|@beca, lanca@
@ride@|@naik@
@ride pillion@|@bonceng@
@ridge of a roof@|@rabung@
@ridicule@|@ajukan, cemuh@
@ridiculous@|@karut@
@right@|@hak, kanan, kanan@
@right (accurate)@|@betul@
@right and proper@|@patut@
@rightful@|@halal@
@ring@|@cincin@
@ring-shaped objects@|@gelang-gelang@
@ringworm@|@kurap@
@rinse@|@bilas@
@rinsing@|@bilasan@
@ripe@|@masak, tua, tua-tua@
@ripped@|@rabik@
@ripple on the water@|@riak@
@rise@|@naik@
@ritual impurity@|@hadas@
@rival@|@pesaing@
@rivalry@|@saingan@
@river@|@sungai@
@river catfish@|@keli@
@river turtle@|@labi-labi@
@road@|@jalan, jalan@
@road)@|@seberang@
@roadside@|@pinggir jalan@
@roar@|@aum, deru@
@roast in hot embers@|@bembam@
@roasted@|@panggang@
@rob@|@jabal, jarah@
@robbery@|@rompakan@
@robe@|@jubah@
@robust@|@jagur@
@rock@|@batu, batuan, buai, oleng@
@rocking@|@terbuai-buai@
@rod with noose of fibre@|@jail@
@role@|@peranan, watak@
@roll@|@giling, golek, guling, gulung@
@roll over@|@gelek@
@roll over and over@|@gelentang@
@rolled up@|@bergulung@
@rolling@|@bergulung@
@rolling over and over@|@bergulingan@
@Roman@|@Rumi@
@roof@|@atap, bumbung@
@roofing (for boat or cart)@|@kajang@
@room@|@bilik, kamar@
@roomy@|@lapang@
@root@|@akar@
@rope@|@tali, tali@
@rose@|@mawar@
@rostrum@|@mimbar@
@rotate@|@kisar@
@rotation@|@edaran, pengisaran, peredaran, pusaran, pusingan, putaran@
@rotten@|@busuk, reput@
@rough@|@kasar@
@rough to the touch@|@gerutu, kerutu, menggerutu@
@roughness@|@kekasaran@
@round@|@bulat, bundar@
@route@|@jalan@
@row@|@banjar, baris, kayuh@
@row or line@|@deret, jajar@
@rowing (boat)@|@berdayung@
@rows (of houses)@|@deretan@
@royal@|@diraja@
@royal command@|@titah@
@royal crown@|@mahkota@
@royal honorific@|@seri@
@royal or official seal@|@cap mohor@
@rub@|@gelesek, gelosok, genyeh, gesel, geser, gosok@
@rubbed against@|@tergesel@
@rubber@|@getah@
@rubbish@|@sampah@
@ruby@|@delima@
@rudder@|@kemudi@
@rude@|@kasar@
@rudeness@|@kebiadaban, kekasaran@
@ruffled@|@kusut@
@rug@|@tikar@
@rugged@|@kasap@
@ruin@|@jahanam@
@ruined@|@binasa@
@ruler@|@pembaris, penggaris, syah@
@rules@|@aturan, undang-undang@
@ruling@|@petua@
@rumble@|@dayu@
@rumblin@|@keroncong@
@rumour@|@berita angin, desas-desus@
@run@|@lari@
@run aground@|@kandas@
@run over@|@gilas@
@run over by a train@|@gilis@
@rural@|@luar bandar@
@rust@|@karat@
@rustiness@|@karatan@
@rustle@|@desiran@
@rustle of leaves@|@desir@
@rustling of dry lea@|@kerisik@
@rust-proof@|@kalis karat@
@rusty@|@berkarat@
@sac@|@jabil@
@sack@|@kampit, karung@
@sacred@|@kudus@
@sacrifice@|@korban@
@sad@|@dukacita, kuyu, masyghul, pilu, sayu, sedih, sedih@
@saddle@|@pelana@
@sadness@|@duka, sugul@
@safe@|@selamat@
@safety@|@keselamatan@
@safety pin@|@peniti@
@saffron rice@|@beras kunyit@
