@English@|@Malay@
@a slope@|@lereng@
@a small fishing net@|@tangguk@
@a small group@|@segelintir@
@a small hut@|@teratak@
@a small part@|@segelintir@
@a small piece or quantity@|@cebisan@
@a small piece or shred@|@joreng@
@a small shrimp@|@geragau@
@a smear@|@lumuran@
@a smell@|@ciuman@
@a smile@|@senyuman@
@a snare or trap@|@jerat@
@a snarl@|@sergahan, tengkingan@
@a sniff@|@ciuman@
@a snort@|@dengus@
@a song and dance of Arab origin@|@zapin@
@a space@|@ruang@
@a spell or charm@|@pesona@
@a spicy dish@|@kurma@
@a splinter@|@serpih, serpihan@
@a split@|@rekahan@
@a sprout@|@tunas@
@a spur (of cock)@|@susuh@
@a spurt@|@pancutan@
@a spy@|@pengintip@
@a stab@|@tikaman@
@a stalk@|@tangkai@
@a stampede@|@rempuhan@
@a stem@|@tangkai@
@a step@|@langkah@
@a sting@|@sengat@
@a strand@|@lembar@
@a strike@|@mogok@
@a struggle@|@perjuangan@
@a study@|@kajian@
@a sum of@|@sejumlah@
@a summon@|@panggilan@
@a sweet Malay delicacy@|@dodol@
@a swift-sailing yacht@|@lancang@
@a swing@|@buaian@
@a syllable@|@suku kata@
@a talisman@|@tangkal@
@a threat@|@ancaman@
@a throb@|@denyutan@
@a tinkling sound@|@denting@
@a title of distinction for woman@|@datin@
@a top@|@gasing@
@a torch@|@suluh@
@a total of@|@sejumlah@
@a traditional Malay song sung@|@dondang-sayang@
@a transfer@|@pindahan@
@a turn@|@giliran@
@a type of@|@sejenis@
@a type of broad and curved chopper@|@lading@
@a type of cake made from tapioca@|@bingka@
@a type of cake steamed in banana leaves@|@lepat@
@a type of cigarette containing tobacco and cloves@|@keretek@
@a type of cotton@|@kapuk@
@a type of evil spirit or ghost@|@toyol@
@a type of large basket with lid@|@rangking@
@a type of large knife curved at the top@|@latuk@
@a type of Malay food made of rice and gravy@|@lontong@
@a type of palm@|@nipah@
@a type of plant@|@keroncongan, selasih@
@a type of red seed@|@saga@
@a type of resin@|@gala@
@a type of root resembling ginger@|@lengkuas@
@a type of sea mollusc@|@lala@
@a type of tree and its malodorous fruit@|@jering@
@a type of tree bearing edible fruit@|@janggus@
@a type of tree with edible fruit@|@melaka@
@a type of tree with sweet-smelling flowers@|@cempaka@
@a unit of weight (=133lbs.)@|@pikul@
@a vacuole@|@lompang@
@a variety@|@berjenis-jenis@
@a variety of cooked dishes@|@lauk-pauk@
@a visit@|@kunjungan, lawatan@
@a wedge@|@baji@
@a well@|@sumur@
@a while@|@sebentar@
@a whisper@|@bisikan@
@a white praying veil used by Muslim women@|@telekung@
@a widow@|@janda@
@a will@|@wasiat@
@a wish@|@kehendak@
@abacus@|@cepoa@
@abbreviation@|@singkatan@
@abbreviation of `kamu'@|@mu@
@abdomen@|@ari, ari-ari@
@ability@|@daya, kebolehan, upaya@
@ability to think and reason@|@akal@
@able@|@dapat, larat, sanggup, tergamak@
@able to@|@boleh, mampu@
@able to buy@|@terbeli@
@able to withstand@|@kalis@
@abolished@|@terhapus@
@abolition@|@penghapusan@
@abort@|@gugur@
@abortion@|@keguguran@
@about@|@fasal, memperkatakan, mengenai, tentang, tentang, terhadap@
@about (concerning something)@|@berkenaan dengan@
@above@|@atas, di atas@
@above all@|@apalagi@
@abraded@|@kehausan@
@abrasion@|@calar, lelasan@
@abrasive@|@lelas@
@abroad@|@luar negara@
@abrupt@|@dadak, konyong, sekonyong-konyong@
@abscess@|@bisul@
@absolute@|@mutlak@
@absorbed@|@leka@
@absorption@|@serapan@
@abstinence@|@pantang@
@absurdity@|@bukan-bukan@
@abuse@|@aniaya, caci, hamun, nista, penganiayaan@
@abusive@|@kesat@
@abysmal@|@lampau@
@academic study@|@pengajian@
@accent@|@pelat@
@accept@|@anut, iktiraf@
@acceptance@|@akuan, pengiktirafan@
@accident@|@kecelakaan@
@accompaniment@|@iringan@
@accompany@|@iring@
@accomplice@|@subahat@
@accomplish@|@capai@
@accomplished@|@tunai@
@accomplishment@|@pencapaian@
@according to@|@pada@
@according to one's wish@|@sekehendak hati@
@accountant@|@jurukira@
@accumulation@|@himpunan@
@accuracy@|@kejituan, teliti@
@accurate@|@jitu, piawai@
@accusation@|@dakwa, dakwaan, tuduhan@
@accuse@|@gugat@
@accustomed@|@betah@
@accustomed to (used to)@|@biasa@
@achieve@|@capai@
@achieved@|@tercapai@
@achievement@|@pencapaian@
@acknowledge@|@iktiraf@
@acknowledgement@|@pengakuan, pengiktirafan@
@acme@|@puncak@
@acquaintance@|@kenalan, perkenalan@
@acre@|@ekar@
@across@|@di seberang, seberang@
@act@|@akta, perbuatan@
@act like a mad person@|@menggila@
@act of@|@anyaman, pembalikan@
@act of billowing or rolling@|@alunan@
@act of biting@|@gigitan@
@act of burning@|@pembakaran@
@act of cleaning@|@pembersihan@
@act of counting@|@pengiraan@
@act of creating peace@|@pengamanan@
@act of digging@|@penggalian@
@act of dipping@|@pencelupan@
@act of drafting@|@penggubalan@
@act of drilling@|@penggerudian@
@act of hurling abuse@|@makian@
@act of leaving@|@keberangkatan@
@act of mixing or stirring@|@pembancuhan@
@act of nodding@|@anggukan@
@act of playing@|@mainan@
@act of reading@|@bacaan, pembacaan@
@act of screaming@|@jeritan@
@act of sharpening@|@asahan@
@act of sharpening or grinding@|@pengasahan@
@act of sieving@|@pengayakan@
@act of slaughtering@|@pembantaian@
@act of spying@|@pengintipan@
@act of squeezing or crushing@|@himpitan@
@act of startling@|@sergahan@
@act of taking or fetching@|@pengambilan@
@act of trying@|@percubaan@
@act of turning upside down@|@pembalikan@
@act or scene(of a play)@|@babak@
@act savagely@|@membuas@
@acting (of official post)@|@mangku@
@action@|@gerakan, tindakan@
@active@|@giat@
@activity@|@kegiatan@
@actor@|@pelakon@
@actress@|@pelakon, seniwati@
@actually@|@seharusnya@
@Adam's apple@|@halkum@
@add@|@bubuh@
@addictive@|@tagih@
@addition@|@campur, imbuhan, tambahan, tokok@
@additional@|@lagi, tambahan@
@addled (of eggs)@|@tembelang@
@address@|@alamat, alamat@
@addressed to@|@beralamat@
@adequate@|@mencukupi@
@adherence (to a religion)@|@anutan@
@adjacent@|@berdampingan, sanding@
@adjective@|@rupa nama@
@adjoining@|@berdampingan@
@administrative@|@tadbir@
@administrative territory@|@wilayah@
@admiral@|@laksamana@
@admirer@|@pencinta@
@admission@|@pengakuan@
@adolescent@|@akil baligh, remaja@
@adopt (religion)@|@anut@
@adopted child@|@anak angkat@
@adopted mother@|@mak angkat@
@adorn@|@hias@
@adorned@|@berdandan@
@adornment@|@perhiasan@
@adulation@|@sanjungan@
@adult@|@dewasa@
@adultery@|@zina@
@adulthood@|@kedewasaan@
@advantage@|@untung@
@adventure@|@pengembaraan@
@adverb@|@rupa kata@
@advertisement@|@iklan@
@advertising@|@pengiklanan, periklanan@
@advice@|@bimbingan, nasihat, petua@
@adviser@|@pembimbing, penasihat@
@advocate@|@bela, peguambela@
@adze@|@beliung@
@aegis@|@naung@
@aeroplane@|@kapal terbang@
@afar@|@kejauhan@
@affairs@|@ehwal, hal-ehwal@
@affect@|@jejas@
@affected@|@terkena@
@affection@|@kasih, kasih sayang, sayang@
@affiliation@|@gabungan@
@affix@|@bubuh, imbuhan@
@afloat@|@kapung@
@afraid@|@cuak, geleman, gentar, kecut hati, khuatir, takut@
@after@|@lepas, selepas@
@after that@|@selapas itu@
@afterbirth@|@tembuni@
@afternoon@|@asar, petang, sore, tengah hari@
@afterwards@|@kemudian@
@again@|@lagi, lagi, pula, semula@
@again and again@|@lagi-lagi@
@against@|@anti@
@agape@|@lopong@
@age@|@baya, umur, usia@
@agenda@|@tataacara@
@agent@|@wakil@
@agile@|@tangkas@
@agility@|@kecergasan@
@agitate@|@kocak@
@agitated@|@berkocak@
@agitation@|@kocakan, pengacuman, pergolakan@
@agog@|@ingin@
@agony@|@sengsara@
@agree@|@akur, kenan, setuju@
@agreeable@|@cocok, secocok, seia sekata@
@agreement@|@keakuran, muafakat, pakatan, perjanjian@
@agricultural products@|@hasil pertanian@
@aground@|@terkandas@
@aid@|@bantu, sumbangsih@
@aim@|@matlamat, tujuan@
@aim at@|@bedek, bidik@
@air@|@hawa, udara, udara@
@air hostess@|@pramugari@
@air or electricity@|@arus@
@air pilot@|@juruterbang@
@air-con@|@hawa dingin@
@airfield@|@lapangan terbang@
@airport@|@lapangan terbang@
@air-steward@|@pramugara@
@air-stewardess@|@pramugari@
@airtight@|@kedap udara@
@alarm@|@gera, semboyan@
@alarm clock@|@jam loceng@
@albino@|@balar@
@alcoholic drink@|@minuman keras@
@alert@|@cergas@
@alertness@|@kecergasan@
@alga@|@rumpair@
@alias@|@gelaran@
@alien@|@dagang@
@alike@|@iras@
@alimony@|@nafkah@
@alive@|@hidup, hidup-hidup@
@all@|@segala, segenap, sekalian, semesta, semua, serba@
@all alone@|@kara@
@all at once@|@sekaligus@
@all day long@|@sehari-harian@
@all kinds of debts@|@hutang-piutang@
@all kinds of flowers@|@bunga-bungaan@
@all kinds of plants@|@tanam-tanaman@
@all right@|@baik@
@all sorts@|@serba aneka@
@all sorts of@|@aneka@
@allergic@|@alah@
@allergy@|@alahan@
@alliance@|@perikatan@
@alliteration@|@aliterasi@
@allocation@|@peruntukan@
@allot@|@bahagi@
@allotment@|@pembahagian@
@allow@|@biar, menghalalkan@
@allowance@|@pemberian, sara@
@alluvium@|@lanar@
@ally@|@sekutu@
@almanac@|@takwim@
@almighty@|@maha kuasa@
@almighty (for God)@|@jabar@
@almond@|@badam@
@almost@|@hampir, hampir, hampir-hampir, nyaris@
@alms@|@sedekah, sumbangsih@
@alone@|@keseorangan, sendiri, seorangan@
@along with@|@serta@
@alongside@|@berganding, bergandingan, di sisi, ganding@
@aloud@|@jahar@
@alphabet@|@abjad@
@already@|@sudah, telah@
@already (auxiliary word for past tense)@|@pernah, sudah, telah@
@also@|@jua, juga, lagi, pula, pun@
@alter@|@ubah@
@alteration@|@peralihan@
@altered@|@beralih@
@alternate@|@seling, silih@
@although@|@kendati, mahupun, meskipun, sekalipun, sungguhpun, walaupun@
@altogether@|@belaka@
@always@|@selalu, sentiasa@
@am@|@adalah@
@amaryllis (lily-like plant)@|@bakung@
@amaze@|@cengang@
@amazed@|@hairan, mangu, takjub, tercengang-cengang@
@amazement@|@kehairanan@
@amazing@|@kagum@
@ambassador@|@duta, duta besar@
@ambition@|@cita-cita, hasrat@
@ambitious@|@bercita-cita@
@ambush@|@endap@
@amen@|@amin@
@amendment@|@pindaan@
@amiable@|@ramah@
@amicable@|@mesra@
@amnesty@|@ampun@
@amnesty or pardon@|@pengampunan@
@among@|@antara@
@amorous@|@berahi@
@amount@|@banyaknya, bilangan@
@amount one can hold with thumb and finger@|@cekak, secekak@
@amuck@|@amuk@
@amuse@|@cengkerama, hibur@
@amused@|@geli, geli hati@
@amusement@|@hiburan, kegelian@
@an@|@se@
@an abusive remark@|@cacian@
@an act@|@lakonan@
@an action performed as a replacement@|@qada@
@an advance (of payment etc.)@|@pendahuluan@
