@Terichmir@|@highest mountain in Chitral, 25, 230 feet high@
@teshtu@|@onion@
@thegar@|@afterwards@
@tho@|@goat used for stud service@
@thor@|@falling@
@thul@|@fat@
@thurt@|@a ford@
@tong@|@pear@
@tonj@|@lost@
@toq@|@marsh@
@toren@|@upper@
@tori@|@reaching@
@traq@|@crack in the ice@
@tringul@|@prongged stick used for winnowing@
@troq@|@bitter, intoxicant such as hashish@
@troy@|@three@
@trup@|@salt@
@tsapi@|@tweezer@
@tseq@|@child@
@tsipeik@|@to blink@
@tsoghu@|@orphan@
@tu@|@you@
@shilogh@|@a story@
@tun@|@streched@
@ugh@|@water@
@uhti anus@|@next day@
@ushak@|@cold@
@ushtureik@|@to abduct (usually a woman)@
@ushturik@|@to run away with@
@ut@|@camel@
@wakht@|@time@
@wam@|@debt@
@wam dik@|@to loan@
@war@|@language, Khowar is the language of the Khow tribe@
@waw@|@an old woman@
@yar@|@friend@
@yi@|@here@
@yiko@|@give me!@
@yor@|@the sun@
@yoz@|@ice formed from snow@
@zhaw@|@son@
@zhen@|@bed@
@zhur@|@daughter@
@zina@|@adultery@
@zogh@|@yak@
@zom@|@mountain@
@zophik@|@to dig@
@* sanskrit influence on khowar@|@* sanskrit influence on khowar@
@sheesh@|@head@
@kesh *@|@hair@
@chakshu * (a is silent)@|@eye@
@karan * (both a's are silent)@|@ear@
@nasika *@|@nose@
@mukh *@|@mouth@
@dant * (a is silent)@|@tooth@
@anguli *@|@finger@
@nakhun *@|@fingernail@
@asthee *@|@bone@
@hridya *@|@heart@
@lahu@|@blood@
@mutra * (a is silent)@|@urine@
@guun * (in Punjabi not sansk)@|@fæces@
@gram *@|@villiage@
@griha * (a is silent)@|@house@
@dwar or duar *@|@door@
@surya * (a is silent)@|@sun@
@akasha * (a is silent)@|@sky@
@sitara * (a is silent)@|@star@
@megha (a is silent)@|@cloud@
@inder danush *@|@rainbow@
@pawan or vaayu *@|@wind@
@pashan *@|@stone@
@path * (a is silent)@|@path@
@agni *@|@fine@
@dhuan * (n is nasal sound)@|@smoke@
@swah *@|@ash@
@swaran * (a is silent)@|@gold@
@kanta *@|@thorn@
@pusham *@|@thorn@
@amra *@|@mango@
@tel (or tale)@|@oil@
@mans * (n is nasal)@|@meat@
@matsya (a after y is silent)@|@fish@
@und (or) and *@|@egg@
@gow *@|@cow@
@kukur *@|@dog@
@shwan *@|@dog@
@and *@|@egg@
@maka *@|@monkey@
@naam *@|@name@
@manush *@|@man@
@purush *@|@man@
@istri *@|@woman@
@stri *@|@woman@
@pitri *@|@father@
@matri *@|@mother@
@bhratri *@|@brother@
@bgagini *@|@sister@
@putr *@|@son@
@putri *@|@daughter@
@dheotr *@|@daughter@
@pati *@|@husband@
@patni *@|@wife@
@stri *@|@wife@
@din *@|@day@
@ratri *@|@night@
@saptah *@|@week@
@varsh *@|@year@
@nav *@|@new@
@puran *@|@whole@
@puratan *@|@old@
@shushk *@|@dry@
@dirgh *`@|@long@
@tap (or) tup (by touch)@|@hot@
@greesham * (for season)@|@hot@
@dakshin *@|@right@
@shwet *@|@white@
@krishana *@|@black@
@mritya *@|@kill@
@nashta *@|@kill@
@aham *@|@I@
@vayam *@|@we@
@qalip@|@body@
@mox@|@face@
@neskar@|@nose@
@apak@|@mouth@
@ligini@|@tounge@
@shkama@|@belly@
@bazu@|@arm@
@dughur@|@fingernail@
@kol@|@bone@
@lei@|@blood@
@miru@|@urine@
@rich@|@fæces@
@deh@|@villiage@
@istan@|@roof@
@dowaht@|@door@
@mazhini@|@broom@
@andor@|@mortar@
@musul@|@pestle@
@chaku@|@nife@
@bardox@|@axe@
@shimeni@|@rope@
@zap@|@clothe@
@mas@|@moon@
@asman@|@sky@
@istari@|@star@
@kot@|@cloud@
@bilpak@|@lightning@
@vaayu *@|@wind@
@gan@|@wind@
@boht@|@stone@
@shughur@|@sand@
@angar@|@fire@
@kushun@|@smoke@
@gihth@|@dust@
@sorum@|@gold@
@iwak@|@root@
@zux@|@thorn@
@gamburi@|@flower@
@mewa@|@fruit@
@kela@|@banana@
@gras@|@millet@
@alu@|@potato@
@patigan@|@eggplant@
@mum-phali@|@ground nut@
@mahch@|@chili@
@zehchawa@|@tumeric@
@wrezhnu@|@garlic@
@trashtu@|@onion@
