@Malay@|@English@
@baik-baik@|@carefully@
@baiklah@|@okay@
@bait@|@a poem with two lines, couplet@
@baitulmal@|@treasury@
@baja@|@fertilizer@
@bajak@|@a plough@
@baji@|@a wedge@
@bajik@|@welfare@
@bajingan@|@scoundrel, rascal@
@baju@|@clothes, dress@
@baju@|@dress@
@baju kemeja@|@shirt@
@bak@|@like, similar@
@baka@|@heredity@
@bakal@|@future (adj.), aspirant, destined to become@
@bakar@|@to grill@
@bakar@|@burn@
@bakat@|@talent, flair, aptitude@
@bakau@|@mangrove@
@bakawali@|@a medicinal herbal plant@
@bakhil@|@stingy, miserly@
@baki@|@balance, remainder@
@baki@|@balance@
@bakti@|@devotion, dedication@
@baku@|@standard@
@bakul@|@basket@
@bakung@|@amaryllis (lily-like plant)@
@bala@|@disaster, calamity@
@balada@|@ballad@
@balah@|@bicker@
@balai@|@hall, station@
@balai bomba@|@fire station@
@balai raya@|@community hall@
@balak@|@log (timber)@
@balam@|@spotted-neck dove@
@balang@|@flagon@
@balar@|@albino@
@balas@|@reciprocate, reply, avenge@
@balasan@|@reciprocation, response, reply, revenge@
@baldi@|@pail@
@baldi@|@pail, bucket@
@baldu@|@velvet@
@baligh@|@puberty@
@balik@|@return, behind@
@balik@|@return@
@baling@|@throw, fling@
@baling-baling@|@propeller, wind-vane@
@balu@|@widow@
@baluarti@|@bulwark, stone wall of defence@
@balung@|@comb (of fowl)@
@balut@|@wrap, envelop, bandage@
@balutan@|@wrapping, bandage@
@banci@|@census@
@bancian@|@census@
@bancuh@|@mix, stir@
@bancuhan@|@mixture@
@bandar@|@town@
@bandar raya@|@city@
@bandaran@|@municipal@
@bandaraya@|@city@
@bandela@|@bale, large bundle@
@banding@|@compare@
@banduan@|@convict, prisoner@
@bandul@|@pendulum@
@bangang@|@duff, stupid@
@bangat@|@fast, quick@
@bangau@|@stork, flamingo@
@bangau@|@crane@
@bangga@|@elated, proud@
@bangga@|@proud@
@banggul@|@hillock, mound@
@bangkai@|@carcass@
@bangkang@|@oppose@
@bangkangan@|@protest, objection, opposition@
@bangkit@|@evoke, bring to one's mind, get up@
@bangku@|@bench, stool@
@bangsa@|@race, nation of people@
@bangsal@|@barn, shed@
@bangsat@|@vagrant, scoundrel@
@bangsawan@|@high class or rank, nobility, Malay opera@
@bangsi@|@bamboo flute@
@bangun@|@stand, get up, wake up@
@bangun@|@to get up@
@bangun tidur@|@to wake up@
@bangunan@|@building@
@banjar@|@row, range@
@banjaran@|@range of mountains@
@banjir@|@flood@
@bantah@|@protest, disobey, oppose@
@bantahan@|@a protest@
@bantai@|@slaughter, beat up@
@bantal@|@pillow@
@bantal golek@|@bolster@
@bantal peluk@|@bolster@
@banteras@|@fight against, eradicate, exterminate@
@banting@|@lambaste, reprimand severely@
@bantu@|@to help, to assist@
@bantu@|@help, assist, back, aid@
@bantuan@|@assistance@
@bantut@|@stunt, hinder, stop@
@banyak@|@many@
@banyak@|@much, many@
@banyak-banyak@|@in large quantities@
@banyaknya@|@amount, a large number of@
@bapa@|@father@
@bapa saudara@|@uncle@
@bara@|@embers@
@barah@|@cancer@
@baran@|@grumpy, ill-tempered@
@barang@|@things, goods@
@barang@|@goods, things@
@barangan@|@goods, commodity@
@barangkali@|@perhaps, maybe@
@barangkali@|@perhaps@
@barat@|@west@
@Barat Daya@|@South west@
@Barat Laut@|@North West@
@baring@|@lie down@
@baris@|@line, row@
@barisan@|@line, front, troops@
@baru@|@new@
@baru-baru@|@recently@
@barut@|@diaper, dressing, bandage@
@basah@|@wet@
@basah kuyup@|@drenched@
@basahan@|@daily used items or clothes@
@basi@|@stale, mouldy (of food)@
@basmi@|@eradicate, destroy@
@basuh@|@clean@
@basuh@|@wash@
