@Malay@|@English@
@mencurah@|@to pour@
@mencurahi@|@to pour on@
@mencurahkan@|@to pour out@
@mencuram@|@to steepen@
@mencurangi@|@to deceive@
@mencuri@|@to steal@
@mencurigai@|@to suspect, to distrust@
@mencurigakan@|@to arouse suspicion@
@mendada@|@to walk proudly, to strut@
@mendaftar@|@to register or enrol@
@mendaftarkan@|@to register or enrol@
@mendahagakan@|@to cause thirst@
@mendahului@|@to be ahead@
@mendahulukan@|@to advance or bring forward@
@mendak@|@sediment@
@mendakap@|@to embrace or hug@
@mendaki@|@to climb or ascend@
@mendaki@|@to climb up@
@mendakwa@|@to accuse, to indict, to charge@
@mendalam@|@profound, detailed@
@mendalami@|@to probe further@
@mendalamkan@|@deepen@
@mendalangi@|@to mastermind@
@mendalihkan@|@to feign, to pretend@
@mendamaikan@|@to pacify@
@mendandan@|@to adorn@
@mendap@|@to settle as a sediment@
@mendapan@|@sedimentation@
@mendapat@|@to receive, to obtain@
@mendapati@|@to realise, to discover@
@mendapatkan@|@to get, to communicate@
@mendarabkan@|@to multiply@
@mendarat@|@to land@
@mendaratkan@|@to bring something to land@
@mendatang@|@to come or appear suddenly@
@mendatangi@|@to pay a visit, to attack, to invade@
@mendatangkan@|@to bring about@
@mendatar@|@horizontal, level or flat@
@mendawaikan@|@to connect wires in@
@mendayu@|@to rumble, to moan@
@mendayung@|@to row@
@mendebarkan@|@to cause to palpitate@
@mendebungakan@|@to pollinate@
@mendedahkan@|@to introduce, to expose, to reveal@
@mendekati@|@to come close to@
@mendendami@|@to have a grudge against@
@mendendangkan@|@to sing for someone@
@mendengar@|@to hear or listen@
@mendengarkan@|@to listen to, to overhear@
@mendengki@|@to envy, to spite@
@mendengking@|@to yelp, to squeal@
@mendepakan@|@to stretch the arms out sideways@
@mendera@|@to punish, to abuse@
@menderam@|@to growl@
@menderhaka@|@to betray@
@menderita@|@to suffer@
@menderma@|@to donate@
@mendermakan@|@to donate something@
@menderu@|@to roar@
@mendesak@|@to push, to urge@
@mendewa-dewakan@|@to show excessive devotion@
@mendiami@|@to reside or inhabit@
@mendiamkan@|@to silence@
@mendiamkan diri@|@to become silent@
@mendiang@|@the late@
@mendidih@|@to boil@
@mendidik@|@to educate, to train, to teach, to nurture@
@mendindingi@|@to enclose within a wall@
@mendirikan@|@to build, to erect@
@mendoa@|@to beg, to pray@
@mendoakan@|@to pray for@
@mendodoikan@|@to sing to sleep@
@mendogolkan@|@to make bald@
@mendongak@|@to tilt the head upwards@
@mendongakkan@|@to tilt the head upwards@
@mendorong@|@to impel, to urge, to motivate@
@menduakan@|@to make two of@
@menduduki@|@to occupy for residence@
@mendudukkan@|@to place, to seat@
@menduga@|@to guess@
@mendukacitakan@|@to aggrieve@
@mendukung@|@to carry astride the back or waist@
@mendulang@|@to pan for ores@
@mendung@|@overcast, cloudy@
@mendustai@|@to lie to@
@mengabadikan@|@perpetuate, immortalize@
@mengabaikan@|@to disregard, to neglect@
@mengabdikan@|@to enslave@
@mengabui@|@to cheat, to deceive@
@mengabulkan@|@to fulfil, to grant@
@mengaburi@|@to make blur@
@mengaburkan@|@to make blur@
@mengacah-acah@|@to tease@
@mengacarakan@|@to compere or host a programme@
@mengacau@|@to harass, to disturb, to stir@
@mengacaukan@|@to stir, to mix@
@mengacu@|@to test, to try on@
@mengacuhkan@|@to care for, to heed@
@mengacukan@|@to aim weapon at target@
@mengacum@|@to provoke or instigate@
@mengada-ngada@|@to boast, to pretend@
@mengada-ngadakan@|@to concoct an excuse@
@mengadang@|@to obstruct or block@
@mengadatkan@|@to make it a practice or custom@
@mengadili@|@to judge@
@mengadilkan@|@to judge, to evaluate@
@mengadu@|@to report, to accuse@
@mengaduh@|@to groan, to wail@
@mengaduk@|@to mix or stir@
@mengadunkan@|@to mix together@
@mengafiatkan@|@to restore to good health@
@mengagah@|@to gurgle, to confront@
@mengagak@|@to guess, to estimate@
@mengagetkan@|@to startle@
@mengagihkan@|@to distribute@
@mengagumi@|@to amaze, to astound@
@mengagumkan@|@to amaze, to astound@
@mengagungkan@|@to honour, to revere@
@mengah@|@breathless, dyspneic@
@mengahwini@|@to marry@
@mengahwinkan@|@to marry off@
@mengaibkan@|@shameful@
@mengail@|@to fish with a rod@
@mengairi@|@irrigate@
@mengais@|@to scratch with the claws@
@mengait@|@to knit, to crochet@
@mengaitkan@|@to connect, to associate, to correlate@
@mengajaibkan@|@miraculous@
@mengajak@|@to invite@
@mengajar@|@to teach@
@mengajarkan@|@to teach@
@mengaji@|@to read the Koran@
@mengajuk@|@to imitate mockingly, to tease@
@mengajukan@|@to propose, to put forward for discussion@
@mengakad-nikahkan@|@to promise marriage@
@mengakali@|@to outwit, to deceive@
@mengakalkan@|@to think up a plan@
@mengakhiri@|@to end@
@mengakibatkan@|@to cause, to result in@
@mengaku@|@to confess, to admit@
@mengakui@|@to admit@
@mengakuri@|@to agree, to consent, to approve@
@mengalah@|@to concede defeat@
@mengalah@|@to surrender@
@mengalahkan@|@to defeat@
@mengalamatkan@|@to address to@
@mengalami@|@to experience@
@mengalangi@|@to obstruct@
@mengalangkan@|@to put crosswise@
@mengalaskan@|@to base on, to place an underlayer@
@mengalih@|@to shift, to alter, to change, to displace@
@mengalir@|@to flow@
@mengalirkan@|@to direct or channel the flow@
@mengalpakan@|@to neglect@
@mengalu-alukan@|@to welcome or greet ceremoniously@
@mengalungkan@|@to garland@
@mengalunkan@|@to billow, to rise and roll like big waves@
@mengamalkan@|@to practise@
@mengamanahkan@|@to entrust@
@mengamankan@|@to pacify@
@mengamarkan@|@to order@
@mengamati@|@to scrutinize@
@mengambang@|@to hover in the air@
@mengambil@|@to fetch, to take@
@mengambil@|@to take, to obtain, to fetch@
@mengambul@|@to bounce or rebound@
@mengambulkan@|@to cause to rebound@
@mengambus@|@to engulf, to cover@
@mengampaikan@|@to hang clothes out to dry@
@mengampu@|@to ingratiate@
@mengampunkan@|@to forgive, to pardon@
@mengamuk@|@attack without thinking@
@mengancam@|@to threaten@
@mengancing@|@to fasten@
@mengandaikan@|@suppose@
@mengandam@|@to make-up the bride and bridegroom@
@mengandang@|@to cage@
@mengandung@|@pregnant@
@mengandungi@|@to contain, to consist of, filled with@
@mengangan-angankan@|@to wish for, to day-dream about@
@menganggap@|@to assume, to regard as@
@menganggarkan@|@to estimate@
@menganggotai@|@to be a member of@
@mengangguk@|@to nod@
@menganggur@|@unemployed@
@mengangin@|@to winnow@
@menganginkan@|@to put in a windy place@
@mengangkang@|@to straddle@
@mengangkut@|@to transport@
@menganiayai@|@to oppress, to do injustice@
@menganjak@|@to shift@
@menganjakkan@|@to change the position of@
@menganjal@|@to be elastic or flexible@
@menganji@|@to starch@
@menganjur@|@to jut out@
@menganjurkan@|@to propose, to advocate@
@mengansurkan@|@to pay by instalments@
@mengantarai@|@to mediate, to separate@
@mengantuk@|@to be sleepy@
@mengantuk@|@sleepy, drowsy@
@menganugerahi@|@to bestow an award, to confer an award@
@menganugerahkan@|@to bestow, to confer@
@menganut@|@to follow or profess (a religion)@
@menganyam@|@to weave, to plait@
@mengapa@|@why@
@mengapa-apakan@|@to harm@
@mengapa?@|@why?@
@mengapak@|@to cut with an axe@
@mengapikan@|@to provoke, to instigate@
@mengapit@|@to squeeze between two surfaces@
@mengapit@|@to flank, to escort@
@mengapungkan@|@to allow to float@
@mengapuri@|@to white-wash@
@mengarah@|@to direct@
@mengarahkan@|@to direct towards@
@mengarak@|@to walk in procession@
@mengarang@|@to compose@
@mengasah@|@to sharpen@
@mengasak@|@to pack, to stuff@
@mengasamkan@|@to preserve in vinegar or tamarind (as@
@mengasap@|@to become smoke, to vapourize@
@mengasapi@|@to fumigate@
@mengasarkan@|@to make rough@
@mengasaskan@|@to base on@
@mengasi@|@to castrate@
@mengasihani@|@to pity@
@mengasihi@|@to love someone@
@mengasingkan@|@to separate@
@mengasinkan@|@to preserve in salt@
@mengasuh@|@to bring up (a child), to educate, to nurse@
@mengasyikkan@|@engrossing, occupying one's attention@
@mengata@|@to gossip@
@mengatakan@|@to tell@
@mengatapi@|@to roof@
@mengatasi@|@to overcome@
@mengatur@|@to arrange@
@mengaturkan@|@to arrange@
@mengaum@|@to roar@
@mengawal@|@to guard, to control, to watch@
@mengawal diri@|@to restrain oneself@
@mengawali@|@to guard, to escort, to control@
@mengawani@|@to accompany@
@mengawasi@|@to supervise, to watch closely@
@mengawet@|@to preserve@
@mengayak@|@to sieve@
@mengayuh@|@to row, to paddle@
@mengayunkan@|@to swing@
@mengazab@|@to torture@
@mengebumikan@|@to bury@
@mengecam@|@to recognise, to identify@
@mengecam@|@to criticise severely, to reprimand@
@mengecamkan@|@to ascertain the identity of@
@mengecap@|@to imprint, to stamp a mark or brand@
@mengecap@|@to taste, to enjoy@
@mengecat@|@to paint@
@mengecewakan@|@to disappoint, to frustrate@
@mengecualikan@|@to exclude, to exempt@
@mengecutkan@|@to shrink@
@mengedar@|@to circulate, to distribute@
@mengedari@|@to revolve around@
@mengedarkan@|@to distribute, to ciculate@
@mengedepankan@|@to bring forward, to propose@
@mengedutkan@|@to cause to be creased or wrinkled@
@mengehadkan@|@to limit@
@mengeja@|@to spell@
@mengejar@|@to chase@
@mengejek@|@to mock, to jeer@
@mengeji@|@to despise, to discredit@
@mengejut@|@sudden@
@mengejutkan@|@to shock, to startle, to surprise@
@mengekalkan@|@to perpetuate@
@mengekor@|@hang like a tail@
@mengekori@|@to tail, to follow closely@
@mengelak@|@to dodge, to avoid, to evade@
@mengelakkan@|@to evade, to dodge, to avoid@
@mengelamun@|@to daydream@
@mengelecek@|@to dribble (in football)@
@mengelepur@|@to flutter@
@mengelilingi@|@to encircle, to surround, to go around;@
@mengelirukan@|@to confuse, puzzling, to bewilder@
@mengelokkan@|@to beautify@
@mengelola@|@to organise, to manage@
@mengelolakan@|@to organise@
@mengelompokkan@|@to put into groups@
@mengeluarkan@|@to bring out, to publish, to produce@
@mengeluh@|@to moan, to sigh@
@mengelupas@|@to peel off, to come off@
@mengemaskan@|@to arrange, to tidy up, to pack@
@mengemaskinikan@|@to update@
@mengembalikan@|@to return something@
@mengembangkan@|@to develop, to cause to expand@
@mengembara@|@to explore, to wander@
@mengembek@|@to bleat@
@mengemis@|@to beg@
@mengempiskan@|@to deflate@
@mengemudiankan@|@to postpone, to delay@
@mengemudikan@|@to steer@
@mengenai@|@in connection with, regarding@
@mengenai@|@about@
@mengenakan@|@to impose@
@mengenal@|@to know, to recognise@
@mengenali@|@to know, to recognise, to identify@
@mengenang@|@to recall@
@mengenangkan@|@to recall@
@mengendahkan@|@to heed@
@mengendalikan@|@to manage, to conduct, to operate, to@
@mengendap@|@to wait in ambush@
@mengendong@|@to carry something in the folds of a sarong@
@mengendur@|@to slacken, to sag@
@mengendurkan@|@to slacken, to loosen@
@mengenjal@|@to cram or stuff (as of food into the mouth)@
@mengenyangkan@|@to satiate@
@mengenyit@|@to wink, to blink@
@mengepalai@|@to be the leader@
@mengepung@|@to besiege@
@mengerahkan@|@to call up (into the armed forces)@
@mengerami@|@to sit on eggs to hatch them@
@mengerang@|@to groan or moan@
@mengeraskan@|@to harden, to make loud@
@mengerat@|@to cut, to incise@
@mengeratkan@|@to tighten, to strengthen@
@mengeringkan@|@to dry something@
@mengeritingkan@|@to curl@
@mengerling@|@to glance sideways briefly@
@mengerti@|@to understand@
@mengerumuni@|@to crowd around, to swarm, to besiege@
@mengerutkan@|@to frown@
@mengesan@|@to track down@
@mengesot@|@to drag@
@mengetam@|@to reap or harvest, to plane (of wood)@
@mengetatkan@|@to tighten@
@mengetawakan@|@to laugh it out@
@mengetuai@|@to lead, to head@
@mengetuk@|@to knock, to strike@
@mengeyakan@|@to say yes, to agree@
@menggabungkan@|@to affiliate, to combine@
@menggadaikan@|@to mortgage, to pawn@
@menggadaikan nyawa@|@to sacrifice one's life@
@menggagahi@|@to force, to compel, to conquer@
@menggagalkan@|@to fail (another person)@
@menggagau@|@to grope@
@menggaji@|@to employ@
@menggalakkan@|@to encourage@
@menggalas@|@to carry on a pole over the shoulder, to@
@menggali@|@to dig@
@menggamak@|@to estimate@
@menggambarkan@|@to illustrate, to depict, to imagine@
@menggamit@|@to beckon@
@mengganas@|@to terrorise, to rampage@
@menggandakan@|@to double@
@menggandar@|@to carry@
@menggandingkan@|@to place beside@
@menggandung@|@to load things onto a boat using bamboo or@
@mengganggu@|@to bother, to trouble, to disturb, to@
@mengganggu-gugat@|@to bother, to disturb@
@mengganjarkan@|@to reward@
@mengganti@|@to replace, to compensate@
@menggantikan@|@to replace, to substitute@
@menggantung@|@to hang, to suspend@
@menggantungkan@|@to hang up@
@mengganyang@|@to chew up, to devour, to destroy@
@menggapai@|@to reach for, to clutch at@
@menggarami@|@to add salt@
@menggarang@|@to rage@
@menggaris@|@to draw a line@
@menggariskan@|@to draw a line@
@menggarit@|@to scratch, to move, to stir@
@menggaru@|@to scratch@
@menggasak@|@to strike, to eat gluttonously@
@menggaul@|@to mix, to blend@
@menggauli@|@to associate with, to mingle with@
@menggayakan@|@to show, to parade@
@menggayutkan@|@to hang@
@menggegarkan@|@to shake@
@menggelapkan@|@to embezzle@
@menggeledah@|@to search, to ransack@
@menggelegak@|@to boil, to seethe@
@menggelek@|@to roll over@
@menggeleng@|@to shake@
@menggelengkan@|@to shake@
@menggelepar@|@to flounder, to flutter@
@menggeletar@|@to tremble, to shiver@
@menggeletek@|@to tickle@
@menggeliat@|@to stretch oneself@
@menggelikan@|@to amuse, to tickle@
@menggelincir@|@to slip, to skid@
@menggelinjang@|@to jump about@
@menggelisah@|@to worry, to be anxious@
@menggelongsor@|@to slide@
@menggelorakan@|@to inflame, to arouse emotionally@
@menggelosok@|@to rub@
@menggeluncur@|@to slip or slide down@
@menggelungkan@|@to coil@
@menggelupas@|@to peel@
@menggelupur@|@to flutter@
@menggema@|@to resound@
@menggemari@|@to like very much@
@menggembar-gemburkan@|@to create an uproar@
@menggembirakan@|@to cheer someone up@
@menggembleng tenaga@|@to unite@
@menggemburkan@|@to loosen@
@menggemparkan@|@to shock@
@menggempur@|@to attack, to storm@
@menggemukkan@|@to fatten up@
@menggenapkan@|@to round up a figure@
@menggendalakan@|@to disrupt, to interrupt@
@menggenggam@|@to grasp in the fist@
@menggenggam erat@|@to grasp firmly@
@menggentar@|@to quiver@
@menggentarkan@|@to cause to vibrate@
@menggentel@|@to roll in the fingertips@
@menggenyeh@|@to rub@
@menggera@|@to scare, to frighten, to alarm, to give a@
@menggerakkan@|@to cause to move@
@menggeram@|@to growl@
@menggergaji@|@to saw@
@menggerlap@|@to sparkle, to glitter@
@menggerlip@|@to twinkle, to flicker@
@menggertak@|@to threaten@
@menggerudi@|@to drill@
@menggerunkan@|@to terrify, terrifying@
@menggerutu@|@rough to the touch@
@menggesa@|@to hasten, to urge@
@menggesek@|@to play the violin@
@menggeselkan@|@to rub@
@menggetap@|@to grit@
@menggetarkan@|@to cause to vibrate@
@menggetil@|@to pinch@
@mengghaibkan@|@to cause to vanish@
@mengghairahkan@|@to arouse passion or desire@
@menggiatkan@|@to activate, to inspire, to encourage@
@menggigil@|@to tremble, to shiver@
@menggigit@|@to bite@
@menggila@|@act like a mad person, infatuated with or@
@menggilap@|@to polish@
@menggiling@|@to grind, to roll@
@menggincu@|@to apply lipstick@
@menggirangkan@|@to cheer up someone@
@menggoda@|@to tempt, to lure, enticing@
@menggolongkan@|@to classify@
@menggomol@|@to hug or embrace tightly@
@menggoncangkan@|@to shake something@
@menggondol@|@to carry off, to win, to gain@
@menggonggong@|@to carry in the mouth@
@menggonyoh@|@to scrub@
@menggoreng@|@to fry@
@menggores@|@to scratch@
@menggoreskan@|@to scratch something@
@menggosok@|@to brush, to rub, to polish@
@menggosokkan@|@to rub something@
@menggoyangkan@|@to rock or jerk lightly@
@menggubah@|@to arrange, to compose@
@menggubal@|@to draft (legislation)@
@menggugat@|@to accuse, to claim, to criticise@
@menggugurkan@|@to abort, to drop@
@menggulingkan@|@to roll something, to topple, to@
@menggulung@|@to roll@
@menggulung perbahasan@|@to conclude the debate@
@menggulung ucapan@|@to conclude the speech@
@menggunakan@|@to use, to consume@
@menggunting@|@to cut with scissors or shears@
@mengguntingkan@|@to cut something@
@menggunung@|@to soar like a mountain@
@menggusarkan@|@to anger, to cause worry@
@menghablur@|@to crystallise@
@menghadamkan@|@to digest@
@menghadap@|@to have an audience with the king@
@menghadapi@|@to face, to meet@
@menghadapkan@|@to cause to meet or face@
@menghadiahkan@|@to present a gift@
@menghadiri@|@to attend@
@menghadirkan diri@|@to be present@
@menghafaz@|@to memorise@
@menghairankan@|@to astonish, to amaze@
@menghajati@|@to wish for@
@menghakimi@|@to judge@
@menghakimkan@|@to judge@
@menghakis@|@to erode@
@menghala@|@in the direction of@
@menghalakan@|@to aim at@
@menghalalkan@|@permit, allow@
@menghalang@|@to block, to obstruct, to hinder@
@menghalau@|@to chase or drive away@
@menghalkan@|@to talk about@
@menghalusi@|@to find out in detail, to treat gently@
@menghambat@|@to pursue or chase@
@menghamburi@|@to fill up@
@menghamburkan@|@to scatter@
@menghampakan@|@to frustrate, to disappoint@
@menghampar@|@to spread out (a carpet)@
@menghampari@|@to cover@
@menghamparkan@|@to spread out (like a carpet)@
@menghampiri@|@to approach@
@menghampirkan@|@to bring close to@
@menghamput@|@to scold@
@menghamun@|@to scold, to berate@
@menghantam@|@to beat violently@
@menghantarkan@|@to send off, to bring, to escort@
@menghantui@|@to haunt@
@menghantukkan@|@to knock@
@menghanyutkan@|@to cause to drift away@
@menghapuskan@|@to wipe out, to abolish, to eradicate@
@mengharamkan@|@to forbid, to ban@
@mengharap@|@to hope, to wish, to expect@
@mengharapkan@|@to hope for, to wish for@
@menghargai@|@to appreciate@
@mengharukan@|@to plague@
@mengharum@|@fragrant@
@mengharumi@|@to make fragrant@
@mengharumkan@|@to make fragrant, to make famous@
@mengharungi@|@to wade@
@mengharuskan@|@to compel, to permit@
@menghasilkan@|@produce@
@menghasut@|@to instigate@
@menghauskan@|@to cause thirst, to yearn for@
@menghayati@|@to appreciate, to experience@
@menghebahkan@|@to announce, to broadcast@
@menghebohkan@|@to cause an uproar, to publicise@
@menghela@|@to drag or haul@
@menghematkan@|@to economise@
@menghembus@|@to blow, to exhale@
@menghembuskan@|@to blow out@
@menghempap@|@to crush by falling on top of@
@menghempapkan@|@to cause something heavy to fall on@
@menghempas@|@to slam, to throw, to lash@
@menghendaki@|@to require, to ask for@
@menghendap@|@to spy, to lurk@
@menghentak@|@to stamp (of feet)@
@menghentakkan@|@to stamp (of feet)@
@menghentam@|@to bash, to strike, to batter, to beat@
@menghentikan@|@to cause to stop@
@menghenyak@|@to stamp@
@menghenyakkan@|@to throw oneself upon@
@mengherdik@|@to scold@
@mengheret@|@to drag@
@menghias@|@to decorate@
@menghiasi@|@to decorate@
@menghiaskan@|@to decorate@
@menghibakan@|@to arouse feelings of sorrow@
@menghibur@|@to entertain, to amuse, to cheer up@
@menghiburkan@|@entertaining@
@menghidangkan@|@to serve, to present (food)@
@menghidap@|@to suffer from (an illness)@
@menghidapi@|@to suffer from (an illness)@
@menghidu@|@to smell@
@menghidupkan@|@to start, to switch on@
@menghijau@|@to appear to be green, to become green@
@menghilang@|@to disappear@
@menghilangkan@|@to cause to disappear@
@menghilir@|@to go downstream@
@menghimpit@|@to squeeze or crush, to press@
@menghimpunkan@|@to assemble, to collect@
@menghinakan@|@to insult@
@menghindar@|@to avoid, to pull to the side@
@menghindari@|@to avoid, to evade@
@menghindarkan@|@to avoid@
@menghinggapi@|@to perch on, to attack (by illness)@
@menghiraukan@|@to pay attention to@
@menghiris@|@to slice@
@menghirup@|@to sip, to suck@
@menghisap@|@to suck, to smoke@
@menghitamkan@|@to blacken@
@menghitung@|@to count@
@menghormati@|@to respect@
@menghubungi@|@to contact@
@menghubungkaitkan@|@to interrelate@
@menghubungkan@|@to connect@
@menghujahkan@|@to contend@
@menghujani@|@to rain upon@
@menghukum@|@to sentence for punishment@
@menghulur@|@to stretch@
@menghulurkan@|@to stretch, to release@
@menghumban@|@to fling, to hurl, to throw@
@menghuni@|@to inhabit@
@menghunus@|@to unsheathe@
@menghuraikan@|@to untie, to separate, to settle, to decide@
@menghuru-harakan@|@to create chaos@
@mengiakan@|@to assent to@
@mengias@|@to hint at@
@mengiaskan@|@to make an analogy@
@mengiau@|@to mew@
@mengiau@|@to mew (of a cat)@
@mengibaratkan@|@to liken to@
@mengibarkan@|@to wave or fly (a flag)@
@mengibaskan@|@to fan vigorously, to flap@
@mengidam@|@to crave, to long for@
@mengidamkan@|@to crave for@
@mengigal@|@to display the feathers@
@mengigau@|@to talk in the sleep, to have a nightmare@
@mengikat@|@to tie, to bind, obligatory@
@mengikhtiarkan@|@to devise, to plan@
@mengikis@|@to scrape off@
@mengiklankan@|@to advertise, to publicise@
@mengikrarkan@|@to promise@
@mengiktiraf@|@to recognise, to acknowledge, to accept@
@mengikut@|@to follow@
@mengikuti@|@to shadow, to follow@
@mengilai@|@to laugh loudly, to scream@
@mengilang@|@to manufacture, to produce@
@mengilatkan@|@to polish, to make shiny@
@mengilhamkan@|@to inspire, to instil an idea into@
@mengilir@|@to sharpen@
@mengimbas@|@to glimpse@
@menginap@|@to lodge, to reside@
@mengindahkan@|@to beautify@
@mengingat@|@to remember, to think@
@mengingati@|@to remember, to recall@
@mengingatkan@|@to remind, reminiscent@
@menginginkan@|@to wish for, to desire, to yearn for@
@mengingkari@|@to break a pledge, to disobey@
@menginjak@|@to step on, to trample@
@menginsafi@|@to realise, to repent@
@mengintai@|@to peep, to spy@
@mengintip@|@to spy on@
@mengipas@|@to fan@
@mengira@|@to count@
@mengira@|@to calculate, to count, to compute@
@mengira-ngira@|@to estimate@
@mengirimkan@|@to send@
@mengiringi@|@to escort, to accompany@
@mengisahkan@|@to narrate@
@mengisarkan@|@to grind, to grate@
@mengisi@|@to fill up, to occupy@
@mengisikan@|@to fill@
@mengisyaratkan@|@to signal@
@mengisytiharkan@|@to declare, to proclaim, to announce@
@mengizinkan@|@to permit, to consent@
@mengkafirkan@|@to consider as an infidel@
@mengkaji@|@to study, to do research into@
@mengkal@|@half-ripe@
@mengkhabarkan@|@to inform@
@mengkhatankan@|@to circumcise@
@mengkhayalkan@|@to fantasise@
@mengkhianat@|@to betray@
@mengkhianati@|@to betray@
@mengkhusus@|@to specialise@
@mengkhususkan@|@to make special@
@mengobek@|@to grind or pound areca nut@
@mengocak-ngocakkan@|@to agitate@
@mengomel@|@to grumble@
@mengongkosi@|@to pay the expenditure, to finance@
@mengopak@|@to break open@
@mengopek@|@to peel@
@mengorbankan@|@to sacrifice@
@mengorek@|@to dig@
@mengosongkan@|@to empty, to vacate@
@mengotakan@|@to fortify@
@mengotorkan@|@to dirty@
@mengoyakkan@|@to tear@
@menguak@|@to croak@
@menguap@|@to yawn@
@menguasai@|@to dominate, to manage@
@menguatkan@|@to strengthen@
@menguatkuasakan@|@to enforce, to implement, to impose@
@menguburkan@|@to bury (the dead)@
@mengucup@|@to kiss@
@mengugut@|@to threaten, to intimidate@
@menguiskan@|@to kick aside, to shove@
@mengukuhkan@|@to strengthen@
@mengukur@|@to grate, to scrape@
@mengukus@|@to steam@
@menguliti@|@to peel, to skin@
@mengulum@|@to suck (keep in the mouth)@
@mengumpulkan@|@to collect@
@mengunci@|@to lock@
@menguncikan@|@to lock, to fasten@
@menguncup@|@to contract@
@menguncupkan@|@to close, to furl@
@mengundi@|@to cast a vote@
@menguning@|@to turn yellow, to ripen@
@mengunjungi@|@to visit@
@mengunyah@|@to chew@
@mengupas@|@to peel, to analyse@
@mengurangkan@|@to reduce@
@mengurniai@|@to award, to bestow@
@mengurniakan@|@to award, to bestow@
@mengusutkan@|@to entangle, to perplex, to confuse@
@mengutip@|@to pick, to collect, to cite, to quote@
@mengutuk@|@to curse, to condemn@
@meninggal (dunia)@|@die@
@meninggal dunia@|@passed away@
@menjabat@|@to occupy a post@
@menjadi@|@to become@
@menjadikan@|@to make, to cause, to create@
@menjadualkan@|@to schedule@
@menjahanamkan@|@to wreck, to destroy, to ruin@
@menjahit@|@to sew or stitch@
@menjahitkan@|@to sew something@
@menjaja@|@to hawk, to peddle@
@menjajah@|@to colonise@
@menjala@|@to fish with cast net@
@menjalani@|@to undergo@
@menjalankan@|@to perform, to carry out@
@menjalar@|@to creep, to crawl@
@menjalin@|@to plait, to braid, to establish@
@menjalinkan@|@to establish a relationship@
@menjamah@|@to touch, to taste, to eat in small amounts@
@menjamin@|@to guarantee@
@menjamu@|@to feast, to entertain@
@menjanakan@|@to generate@
@menjanda@|@to be a widow@
@menjangka@|@to expect, to anticipate@
@menjangkakan@|@to expect, to anticipate@
@menjangkau@|@to reach out@
@menjangkiti@|@to infect@
@menjangkitkan@|@infectious, communicable (of disease)@
@menjanjikan@|@to promise@
@menjarakkan@|@to space out@
@menjatuhkan@|@to cause to fall or drop@
@menjauhi@|@to stay away from, to shun@
@menjawab@|@to answer, to reply@
@menjawat@|@to hold a post@
@menjayakan@|@to make successful@
@menjebak@|@to trap@
@menjegilkan@|@to stare in horror or astonishment@
@menjejak@|@to trail@
@menjejaki@|@to trail@
@menjejaskan@|@to affect, to act upon in an adverse@
@menjelajah@|@to explore@
@menjelajahi@|@to explore@
@menjelaskan@|@to explain, to clarify, to settle@
@menjeling@|@to ogle flirtatiously, to look through the@
@menjelir@|@to stick out (tongue)@
@menjelirkan@|@to stick out (tongue)@
@menjelma@|@to incarnate, to materialise@
@menjelmakan@|@to create@
@menjemput@|@to invite@
@menjemukan@|@to bore@
@menjemur@|@to dry in the sun@
@menjengah@|@to peep, to glance@
@menjenggulkan@|@to protrude@
@menjengkau@|@to reach out@
@menjengkelkan@|@to annoy, to irritate@
@menjengket@|@to tiptoe@
@menjenguk@|@to look with head thrust forward@
@menjengukkan@|@to thrust head forward@
@menjentik@|@to snap or flick with finger@
@menjerang@|@to boil@
@menjerangkan@|@to boil@
@menjerat@|@to snare or trap@
@menjerit@|@to scream@
@menjerkah@|@to snarl@
@menjernihkan@|@to make clear, to purify@
@menjerumuskan@|@to cause to fall@
@menjerut@|@to constrict, to tighten a knot, to strangle@
@menjijikkan@|@revolting, loathsome, to cause disgust@
@menjilat@|@to lick, to lap@
@menjilid@|@to bind (printed material)@
@menjinakkan@|@to tame, to domesticate@
@menjinjing@|@to carry light objects in the hand@
@menjirus@|@to douse, to pour water on@
@menjitukan@|@to correct@
@menjodohkan@|@to marry off@
@menjolok@|@to poke, to thrust@
@menjolok mata@|@shameful, unsightly@
@menjual@|@to sell@
@menjuarai@|@to become the champion@
@menjulang@|@to boost, to push upwards, to soar@
@menjulur@|@to protrude@
@menjulurkan@|@to cause to protrude@
@menjumlahkan@|@to total up@
@menjumpai@|@to meet, to find, to discover@
@menjunam@|@to dive, to nosedive@
@menjunjung@|@to respect deeply, to carry on the@
@menjurus@|@in the direction of@
@menonton@|@to watch@
@mentadak@|@praying mantis@
@mentah@|@raw, uncooked, unprocessed, immature;@
@mentang-mentang@|@just because@
@mentega@|@butter@
@menterbalikkan@|@to turn upside down@
@menteri@|@minister@
@mentimun@|@cucumber@
@mentua@|@father or mother-in-law@
@mentul@|@bulb@
@menung@|@to ponder, to contemplate@
@menyaingi@|@to compete with, to rival, to accompany@
@menyebelahi@|@to take sides, to side with@
@merah@|@red@
@merah jambu@|@pink@
@merah lembayung@|@magenta@
@merah manggis@|@maroon@
@merak@|@peacock or peahen@
@merana@|@to languish, to live miserably or in ill-health@
@merawan@|@to be high in the clouds@
@merbah@|@thrush@
@merbuk@|@turtle dove@
@mercu@|@peak, summit, climax@
@mercun@|@fire-crackers@
@merdeka@|@independent, free@
@merdu@|@melodious@
@mereka@|@they, their, theirs@
@mereka@|@they, them, their@
