@clean@|@ma'a@
@cleaning up the King's residence@|@'oto'ota@
@clear@|@ma'a, mahino@
@Clement@|@Kelemete@
@clitoris@|@tenga'imoli@
@cloak@|@pulupulu@
@close@|@lafi, ofi@
@closed@|@'oku tapuni@
@clothes@|@vala@
@cloud@|@'ao@
@cloudy@|@'ao'aofia@
@coal@|@malala@
@cock@|@moa ta'ane@
@cocoa@|@koko@
@coffee@|@kofi@
@cold@|@momoko@
@collide@|@tui'i@
@colour@|@lanu@
@Columbia@|@Kolomupia@
@comb@|@helu@
@come@|@ha'u, omai@
@come here@|@omi@
@Come here@|@Ha'u ki heni@
@companionship@|@vakavakaua@
@competition@|@tau@
@complain quietly@|@ngulungulu@
@complaint@|@launga@
@concluding event@|@ngalutuku@
@concrete tank@|@sima@
@confused@|@puputu'u@
@container for drink@|@hohoni@
@contented@|@topono@
@continents@|@ngaahi konitineniti@
@continuous@|@hokohoko@
@cook@|@taha ngaahi kai@
@Cook Islands@|@'Otu Motu Kuki@
@cook on coal@|@tunu@
@cool@|@mokomoko@
@cork-screw@|@me'a to'o 'umosi@
@corn@|@koane@
@corned beef@|@pulu kapa@
@Cornelius@|@Konelio@
@corner@|@tuliki@
@correct@|@tonu@
@Cosmas@|@Kosema@
@cough@|@tale@
@Countries@|@Ngaahi Fonua@
@country@|@'uta, fonua@
@cover@|@takafi@
@cover floor@|@faliki@
@covered with weeds@|@pakopako@
@cow@|@pulu@
@crab@|@paka@
@crack@|@mafahi@
@crackers@|@'one@
@cramp@|@mingi@
@cranium@|@ngaahi hui 'o e 'ulu@
@cranky@|@'ite'ita@
@craving for seafood@|@'umisi@
@crawling@|@totolo@
@crayfish@|@'uo@
@cream@|@kilimi@
@creamy@|@kilimi@
@crepe paper@|@salu@
@cricket runs@|@kai@
@cried out loud@|@'ioho@
@crime@|@hia@
@criminal@|@hia@
@crippled hand@|@paipai@
@crooked@|@hipa@
@cross@|@kolosi@
@cross road@|@kolosi@
@crow@|@'u'ua@
@crowded@|@'efi'efi@
@crush@|@laiki@
@crushed@|@lailai@
@crwoded@|@'efi'efi@
@cry out@|@ngala@
@crying@|@nga@
@crying for the monarch@|@tutulu@
@Cuba@|@Kiupa@
@cucumber@|@kiukamapa@
@cup@|@ipu@
@curly (hair)@|@mingimingi@
@currant (raisin)@|@fuamelie@
@current@|@'au@
@curry@|@kale@
@curse@|@mala@
@cursed@|@mala'ia@
@curved@|@ofe@
@custard@|@kasitati@
@cut@|@fahi@
@cut down mulberry trees for tapa making@|@amusi@
@cut with scissors@|@kosi@
@cuttlefish@|@ngufeke@
@Cyprian@|@Sipiliano@
@Cyprus@|@Siapalesi@
@Cyril@|@Sililo@
@cystitis@|@sisitaisi@
@dagger@|@heleta@
@Damian@|@Tamiano@
@dance@|@hulohua, soke, tau'olunga@
@dancing@|@sululu, tau'olunga@
@dandruff@|@mafunofuna@
@date@|@teiti@
@daughter@|@'ofefine@
@daughter of a father@|@'ofefine@
@David@|@Tavite, Tevita@
@dawn@|@ata, mafoaeata@
@day@|@'aho@
@day after tomorrow@|@'anoiha@
@day dreaming@|@'avea@
@Days@|@Ngaahi 'Aho@
@deaf@|@fakaongotuli, tuli@
@deceitful@|@kaka@
@December@|@Tisema@
@decimal point@|@poini tesimale@
@deck@|@fungavaka@
@declare@|@fakaha@
@decoration@|@teuteu@
@deer@|@tia@
@delicious@|@ifo@
@deliver@|@'oatu@
@Denmark@|@Tenima'ake@
@desire@|@holi@
@dessert@|@hikinga ua@
@destiny@|@nunu'a@
@destruction@|@'auha@
@diabetes@|@suka@
@diarrhoea@|@fakalele@
@dice@|@lafo@
@dining room@|@loki kai@
@dinner@|@kai efi'afi@
@dirty@|@'uli@
@disappointed@|@siva@
@disciple@|@akonga@
@dish@|@tisi@
@disrupt@|@veuveuki@
@dive@|@uku@
@divorce@|@vete@
@dizzy@|@ninimo@
@Do you work ?@|@'Oku ke ngaue?@
@doctor@|@toketa@
@dog@|@kuli@
@dog's@|@ngungulu@
@Dominic@|@Tominiko@
@Dominica@|@Tominika@
@Don't touch me there?@|@'oua teke ala ai!@
@down@|@lalo@
@dream@|@misi@
@drink@|@inu@
@drinks@|@inu@
@drop in@|@talatala@
@drum@|@nafa@
@dry@|@momoa@
@dull@|@peku@
@dumb@|@vale@
@dust@|@efu@
@dusty@|@efua@
@duty@|@ngafa@
@dwarf@|@leka@
@dysentery@|@tu'utu'u@
@ear@|@telinga@
@earth@|@kelekele@
@Earth@|@Mamani@
@earthquake@|@mofuike@
@east@|@hahake, hoake@
@Ecuador@|@'Ekuatoa@
@edge@|@tapa@
@Edward@|@'Etuate@
@egg@|@fo'i manu@
@eggs@|@fo'ai moha@
@Egypt@|@'Isipite@
@eight@|@valu@
@eighteen@|@taha valu (hongofulu ma valu), tahavalu@
@eighty@|@valunoa@
@elbow@|@tui'inima@
@eleven@|@taha taha, tahataha@
@Elizabeth@|@'Elisapeta, 'Elisiapeta@
@embarrased@|@fakama@
@embassy@|@'api oe ampasitoa@
@emerald@|@'emalata@
@emerge@|@e'a@
@end@|@ngalutuku@
@end od daylight@|@ngalu@
@end of school term@|@tutuku@
