@to exist@|@njí@
@to expectorate@|@tjuk@
@to fall@|@klo@
@to flame@|@la@
@to flame up@|@lím@
@to flee@|@tor@
@to fly@|@lám@
@to for tell@|@dun@
@to get loose@|@lját@
@to growl as dog@|@njir, njur@
@to grunt@|@njór@
@to hasten@|@grám@
@to hew down@|@chek@
@to hit the mark@|@zak, zhak@
@to immerse@|@zham@
@to inquire@|@kha@
@to join@|@kop@
@to join the bamboos@|@klep@
@to knot@|@tjäp@
@to know@|@thyak@
@to laugh@|@thyän@
@to let@|@kón@
@to mix@|@kjól@
@to move@|@tir, tjär, tjir@
@to obstruct@|@grjam@
@to open@|@ók@
@to place upon@|@ka@
@to plant as tree@|@thjang@
@to pour as water@|@lüng@
@to precipitate@|@thyám, thyóm@
@to press down@|@lep@
@to proceed@|@di, dí@
@to pull@|@krüt@
@to pull out@|@thyeng@
@to rake@|@kuk@
@to reach@|@thí, thí-t@
@to reach the height@|@thók@
@to rest on stick@|@tung@
@to return@|@lót@
@to save@|@lüt@
@to see@|@ngak@
@to send to inquire@|@lán@
@to shake@|@käk@
@to sift@|@kam@
@to sit@|@ngan@
@to slice@|@líp@
@to slip@|@rut@
@to smell@|@njóm, nom@
@to sparkle@|@chir@
@to spread as carpet@|@láp@
@to stretch out@|@dan, dang@
@to suck@|@háp@
@to suck dry as orange@|@krjup@
@to take@|@la, läk@
@to take away@|@tál@
@to taste@|@ljak@
@to tell@|@lï, li-n@
@to tell tales@|@djam@
@to terminate@|@tel@
@to titillate@|@zhak@
@to travel@|@lóm@
@to turn upside down@|@tyük, tyüng@
@to twist@|@kar@
@to twist round@|@kjäl@
@to uncover@|@lut@
@to unite@|@krjóm@
@to vibrate@|@njáng@
@to warm up food@|@ljam@
@to wash@|@chóng@
@to watch@|@grun, räng@
@together for more easy@|@pa-dam@
@tongue@|@a-lí, lí@
@tooth@|@fo@
@tree@|@kä-ceng, kung@
@truncated@|@tam@
@turning and twining@|@käl, sä-käl@
@turnip@|@kä-njäng@
@twenty@|@kha@
@two@|@njät, njí@
@ulcer@|@fran, fren@
@universal@|@tjang@
@unwashed@|@ka-kju-la@
@urine@|@zhit@
@used in negative@|@ma@
@vegetables@|@bi@
@village@|@tjol@
@water@|@ung@
@water leech@|@hlet-bu@
@wavering@|@len, len-nä len-nä@
@weights for sinking it@|@a-pót@
@what@|@šu, to@
@what comes first@|@ták, täk@
@wide@|@väng@
@wind@|@so-mut, süng-mut@
@wind skeins of cotton@|@kha@
@without incumbency@|@króm/@
@woman@|@jÜ@
@yellow@|@ür@

