@Charlemagne@|@Charlemagne@
@Charles IX@|@Charles IX@
@Charles Martel@|@Charles Martel@
@Charles the Simple@|@Charles le Simple@
@Charon@|@Caron@
@Charybdis@|@Charybde@
@Chavin@|@Chavin@
@Chian Kai Chek@|@Tchang Kaï-Tchek@
@Chilean@|@chilien@
@chimera@|@chimère@
@Chinaman@|@Chinois@
@Chinese@|@chinois@
@christianity@|@chrétienté, christianisme@
@Christopher Colombus@|@Christophe Colomb@
@chronic@|@chronique@
@Chrysostom@|@Chrysodtôme@
@churchyard@|@cimetère@
@Cicero@|@Cicéron@
@Cilicia@|@Cilicie@
@Cimbri@|@Cimbre@
@Cimbri(The)@|@Cimbres(les)@
@Cinderella@|@Cendrillon@
@Circassian@|@Circassien@
@Cirta@|@Cirta@
@Civil War@|@Guerre Civile@
@Claudian@|@Claudien@
@Claudius@|@Claude@
@Claudius II Gothicus@|@Claudes le Gothique@
@Cleopatra@|@Cléopâtre@
@Clerical@|@Clérical@
@Clodius Macer@|@Claudius Macer@
@Clotharius@|@Clotaire@
@Coast Mountains@|@chaîne Côtière@
@Cochin China@|@Cochinchine@
@Cocytus@|@Cocyte@
@Codex Justinianus@|@Code Justininen(le)@
@Colchis@|@Colchide@
@cold war(the)@|@guerre froide(la)@
@collapse@|@chute@
@Colombian@|@colombien@
@Colony of Angola@|@Colonie d' Angola(la)@
@Colosseum@|@Colisée(le)@
@Columbus@|@Colomb@
@commercial city@|@ville marchande@
@Commodus@|@Commodes@
@Comneni@|@Commènes(les)@
@Composer@|@Compositeur@
@confucius@|@confucius@
@Congress of Vienna 1815@|@Le Congrès de Vienne@
@Conrad III@|@Conrad III@
@Conrad III Duke of Swabia@|@Conrad III Duc de Souabe@
@Constantine I the Great@|@Constantin le Grand@
@Constantinople fell@|@Chute de Constantinople(la)@
@Constantius@|@Constance@
@Constantius I Chlorus@|@Constance Chlore@
@Controversy@|@Contreverse@
@convent@|@couvent@
@Conversion@|@Convèrsion@
@copernicus@|@copernic@
@Corcyra@|@Corcyre@
@Cordova@|@Cordou@
@Corduba(Rom Empire)@|@Cordova@
@Corfu@|@Corfou@
@Corinth@|@Corinthe@
@Corinthian@|@corinthien@
@Coriolanus@|@Coriolan@
@Cornwall@|@Cornouailles@
@Corsica@|@Corse@
@Corsican@|@corse@
@Costa Rican@|@Costa-ricain@
@Cottian Alps(The)@|@Cottiennes(les Alpes)@
@council of Trent@|@le concile de Trente@
@counter-reformation@|@la contre réforme@
@Crassus@|@Crassus@
@Cremona@|@Crémone@
@Creta@|@Crètes@
@Crete@|@Crète@
@Crimea@|@Crimée@
@Crimean War@|@Guerre de Crimée@
@Croat@|@Croate@
@Croatia@|@Croatie@
@Croatian@|@Croate@
@Crusade@|@Croisade@
@Ctesiphon@|@Ctésiphon@
@Cuban@|@Cubain@
@Cubism@|@Cubisme@
@Cults@|@Culte@
@Cumae@|@Cumes@
@cuneiform@|@cuneïforme@
@Cupid@|@Cupidon@
@Curaçao@|@Curaçao@
@Cybele@|@Cybèle@
@Cyclades@|@Cyclades@
@Cyprian@|@Chypriote@
@Cypriote@|@Chypriote@
@Cyrenaica@|@Cyrénaïque@
@Cyrus@|@Cyrus@
@Cythera@|@Cythère@
@Czars of Russia@|@Tsars de Russie@
@Czech(ling.)@|@Tchèque(lang.)@
@Dacia@|@Dacie@
@Dacian@|@Dace@
@Dadaism@|@Dadaisme@
@Dadaist@|@Dadaïste@
@daemon@|@démon@
@daguerreotype@|@daguerréotype@
@dais@|@dais@
@dale@|@vallée@
@Dalmatia@|@Dalmatie@
@Dalmatian@|@Dalmate, Dalmatien@
@dam@|@barrage@
@Damascus@|@Damas@
@dame@|@dame, demoiselle noble@
@Damietta@|@Damiette@
@damn@|@condamner, damner@
@damnation@|@damnation@
@damned@|@damné, sacré@
@Damocles@|@Damoclès@
@Dane@|@Danois@
@danger zone@|@zone dangereuse@
@Danish(ling.)@|@Danois(lang.)@
@Danube@|@Danube@
@Darius I@|@Darius Ier@
@dark-room@|@cabinet noir@
@dart@|@dard, fléchette@
@dash@|@trait@
@dauphin@|@dauphin@
@Delphi@|@Delphes@
@Demeter@|@Démeter@
@Diadumenianus@|@Diademes@
@Diana@|@Diane@
@Dido@|@Didon@
@Dido and Aeneas@|@Didon et Enée@
@Diogenes@|@Diogène@
@disarmement@|@désarmement@
@Dmitri@|@Dimitri@
@Dmitri I(czar)@|@Dmitri I (Tsar)@
@Dominican@|@Dominicain@
@Domitian@|@Domitien@
@Domitianus@|@Domitien@
@Don Quixote@|@don Quichotte@
@Donatism@|@Donatisme@
@Dorian@|@dorien, dorique@
@Doric@|@dorien, dorique@
@Drangiana@|@Drangiane@
@Dravidian@|@Dravidien@
@Dreyfus case@|@L'Affaire Dreyfusse@
@Drusus@|@Drusus@
@Duma@|@Douma@
@Durer@|@Dürer@
@Dutch Flanders@|@Flandre néerlandaise@
@Dutch(ling)@|@Néerlandais(lang.)@
@Dutchman@|@Hollandais@
@East Flanders@|@Flandre-orientale@
@East India Company@|@Compagnie des Indes(la)@
@East Indies@|@Les Indes Néerlandaises, Les Indes Orientales@
@Ebro@|@Èbre(l')@
@Ecbatana@|@Ecbatane@
@Eden@|@Eden@
@Edessa@|@Edesse@
@Edict of Milan@|@L'Edit de Milan@
@Edict of Nantes@|@Édit de Nantes(l')@
@Egeria@|@Égérie@
@Egypt@|@Egypte@
@Egyptian@|@égyptien@
@Eiffel Tower@|@Tour Eiffel(la)@
@Ekaterian Alekseevna I@|@Catherine Ier@
@Ekaterina Alekseevna II@|@Grande Catherine(la)@
@Elagabalus@|@Eliagabale@
@Elba@|@Elbe@
@Electra@|@Electre@
@Elijah@|@Élie@
@Elis@|@Élide@
@Elisha@|@Élie, Élisée@
@Elizaveta Petrovna@|@Elisabeth(Tsarevna)@
@Elsinore@|@Elseneur@
@Elymais@|@Elymaïs@
@Empedocles@|@Empédocle@
@Emperor of Germany@|@Empereur d'Allemagne@
@Empire@|@Empire@
@Empire of Nicae@|@Royaume de Nicée@
@Empire of the Ayubites@|@Empire des Aïoubites@
@Empress of India@|@Impératrice des Indes@
@Enceladus@|@Enceclade@
@Ennius@|@Ennius@
@Ephesus@|@Ephese, Éphèse, èphese@
@Epictetus@|@Épictète@
@Epicurians@|@Épicurien@
@Epicurus@|@Épicure@
@Epidaurus@|@Épidaure@
@Epigoni(the)@|@Épigones(les)@
@epiphanius@|@Épiphane@
@Epirus@|@Epire@
@Erasmus@|@Érasme@
@Erebus@|@Érèbe@
@Eretria@|@Érétrie@
@Erie(lake)@|@Érié@
@Eritrea@|@Erythrée@
@Eros@|@Eros@
@Erostratus@|@Érostrate@
@Esau@|@Ésaü@
@Esperanto@|@espéranto@
@Esquiline@|@Esquilin@
@Estonia@|@Estonie@
@Estonian@|@Estonien@
@Estremadura@|@Estrémadure@
@Eteocles@|@Étéocle@
@Ethiopian@|@Ethiopien@
@Etruria@|@Étrurie@
@Etrurian@|@étrusque@
@Etruscan@|@étrusque@
@Euboea@|@Eubée, Négrepont@
@Euclid@|@Euclide@
@Eumaeus@|@Eumée@
@Euphrates@|@Euphrate@
@Euripides@|@Euripide@
@Europa@|@Europe@
@Europe@|@Europe@
@European@|@Européen@
@european trade@|@commerce européen@
@European Union@|@Union Européenne@
@Euryalus@|@Euryale@
@Eusebius@|@Eusèbe@
@Euxine Sea@|@Pont-Euxin@
@Evening Star@|@Vénus@
@Excommunicated@|@Excommunié@
@expansion@|@expansion@
@Expressionism@|@Expressionisme@
@Ezekiel@|@Ézéchiel@
@Fabian@|@Fabien@
@Fascist@|@Fasciste@
@Faust@|@Faust@
@Fedor I@|@Fédor Ier@
@Fedor IV(Czar)@|@Fédor IV(Tsar)@
@Ferdinand Magellan@|@Ferdinand Magellan@
@Ferrara@|@Ferrare@
@Feudalism@|@Féodalisme@
@Fieschi@|@Fiesque@
@Fiesco@|@Fiesque@
@Finnish(ling)@|@Finnois(lang.)@
@Finno-Ugric@|@Finno-Ougrien@
@Fiorentine@|@Florentin@
@Firdausi@|@Firdoussi@
@First Balkan War 1912-13@|@Première Guerre des Balkans@
@First Consul@|@Consulat(le)@
@First Crusade@|@Première Croisade@
@First Empire@|@Premier Empire@
@First Greek Republic@|@Première République Grècque@
@First Triumvirate@|@Premier Triumvirat@
@Flavian@|@Flavien, Flaviens(les)@
@Flemish(ling.)@|@Flamand(lang.)@
@Flora@|@Flore@
@Flourished@|@Florissant(e)@
@Flushing@|@Flessingue@
@Formosa@|@Formose@
@Fourth Republic@|@Quatrième République@
@Franciscan@|@Franciscain@
@Francisco Pizarro@|@Francisco Pizarre, Pizarre@
@François I@|@François Ier@
@Franconia@|@Franconie@
@Franco-Prussian War 1870-71@|@Guerre Franco-Prussienne(la)@
@Frankish@|@Franc@
@Frankish State@|@État Franc(l')@
@Franz I@|@François I@
@Franz II@|@François-Joseph II@
@Franz-Josef I@|@François-Joseph@
@Fredegond@|@Frédégonde@
@Frederick I Barbarossa@|@Frédérique Ier Barberousse@
@Frederick II Hohenstaufen@|@Frédérique II Hohenstaufen@
@Frederick II King of Sicilia@|@Frédérique II De Sicile@
@French Revolution@|@La Révolution Française@
@French(ling.)@|@Français(lang.)@
@Friedrich I@|@Frederique Ier@
@Friedrich II the Great@|@Frédérique II, Frédérique le Grand@
@Friesland@|@Frise@
@Frisian(ling)@|@Frison(lang.)@
@Friuli@|@Frioul@
@Fuhnen@|@Fionie@
@Fulvia@|@Fulvie@
@Funan@|@Founan@
@Gaelic(ling.)@|@Gaëlique(lang.)@
@Gaius Gracchus@|@Gaius Gracches@
@Galatia@|@Galatie@
@Galba@|@Galba@
@Galen@|@Galien@
@Galerius@|@Galère@
@Galicia@|@Galice@
@Galilea@|@Galilée(Palestine)@
@Galilee@|@Galilée(Palestine)@
@Galileo@|@Galilée, Gallilé@
@Gallienus@|@Gallien@
@Ganges@|@Gange@
@Garibaldi@|@Garibaldi@
@Gascony@|@Gascogne@
@Gaul@|@Gaules@
@Gaulish(ling.)@|@Gaulois(lang.)@
@Gaza@|@Gaza@
@Gellius@|@Aulule Gelle@
@Geneva@|@Genève@
@Genova@|@Gênes@
@geometric@|@géometrique@
@Georgia@|@Géorgie@
@Gepidae(the)@|@Gépides(les)@
@German East Africa@|@Afrique Oriental Allemande@
@German West Africa@|@Afrique Occidental Allemande@
@German(ling)@|@Allemand(lang.)@
@Germania@|@Germanie@
@Germanic(ling.)@|@Germanique(lang), Germanique(lang)@
@Geta@|@Geta@
@Ghanaian@|@Ghanéen@
@Ghauts(the)@|@Ghâtes(les)@
@Gibeon@|@Gabaon@
@Gideon@|@Gédéon@
@Gilead@|@Gallad@
@Glinka@|@Glinka@
@Goa@|@Goa@
@Godaigo@|@Go Daïgo@
@Gogol@|@Gogol@
@Gold Coast@|@Côte d'Or(la)@
@Gordian I@|@Gordien Ier@
@Gordian II@|@Gordien II@
@Gordian III@|@Gordien III@
@Goshen@|@Gessen@
@Gothic Architecture@|@Architecture Gothique@
@Gothic(ling.)@|@Gothique@
@Gothland@|@Gothie@
@Grand Princes of Moscow@|@Grands Princes de Moscou@
@Granicus(the)@|@Granique(le)@
@Gratian@|@Gratien@
@Great Northen War 1700-21@|@Guerre du Nord(la)@
@Great Wall of China@|@Grande Muraille de Chine(la)@
@Greater Colombia@|@Grande Colombie(la)@
@Greek(ling.)@|@Grècque(lang.), Grècque(lang.)@
@Gregorius@|@Grégoire@
@Gregory@|@Grégoire@
@Groningen@|@Groningue@
@Guelders@|@Gueldre@
@Guercino@|@Guerchin(le)@
@Guienne@|@Guyenne@
@Guilds@|@Guilde@
@Gupta Dynasty@|@Dynastie des Gupta@
@Gwalior@|@Goualior@
@Hadrian@|@Hadrien@
@Hagia Sophia@|@Hagia Sophia@
@Haitian@|@Haïtien, Haïtien@
@Halicarnassus@|@Halicarnasse@
@Hammurabi@|@Hammourabi@
@Han@|@Han@
@Han Empire@|@Empire Han@
@Hanno@|@Hannon@
@Hanse(the)@|@Hanse(la)@
@Hanseatic League@|@Guilde Hanséatique@
@Hapsburg@|@Habsbourg@
@Hapsburg Dynasty@|@Dynastie des Habsbourg@
@Harappa@|@Harappe@
@Harlequin@|@Arlequin²@
@Harpalus@|@Harpale@
@Harpocrates@|@Harpocrate@
@Harun-Al-Rachid@|@Haroun El Rachid@
@Hasdrubal@|@Hasdrubal@
@Hasrdubal Barca@|@Hasdrubal Barca@
@Hatra@|@Hatra@
@Hebrew(ling.)@|@Hebreu(lang.)@
@Hecuba@|@Hécube@
@Hejaz@|@Héjaz@
@Hejira@|@Hégire@
@Helen of Troy@|@Hélène de Troie@
@Heliodorus@|@Héliodore@
@Heliogabalus@|@Héliogabale@
@Hellenic(ling.)@|@Hellènique(lang.), Hellènique(lang.)@
@Hellespontus@|@Hellespont@
@Helvetia@|@Helvétie@
@Henri II@|@Henri II@
@Henri III@|@Henri III@
@Henry VI of Hohenstaufen@|@Henry VI D' Hochenstaufen@
@Heraclea@|@Héraclée@
@Heraclians@|@Héracliens(les)@
@Heraclides@|@Héraclide@
@Heraclitus@|@Héraclite@
@Herculaneum@|@Herculanum@
@heresy@|@hérésie@
@Hernando Cortés@|@Hernando Cortez@
@Herod@|@Hérode@
@Herodotus@|@Hérodote@
@Herzegovina@|@Herzégovine@
@Hesiod@|@Hésiode@
@Hideyoshi@|@Hideyoshi@
@Hiero@|@Hiéron@
@High German@|@Haut Allemand@
@Hilarius@|@Hilaire@
@Hilary@|@Hilaire@
@Hindustan@|@Hindoustan@
@Hindustani@|@Hindoustani@
@Hipoolytus(masc)@|@Hippolyte@
@Hipparchus@|@Hipparque@
@Hippo Regius@|@Hippone@
@Hippocrates@|@Hippocrate@
@Hippolyta(fem)@|@Hippolyte@
