@nose@|@qabar@
@not@|@li, lï, së, sï@
@notice@|@sari-, serë-@
@number@|@tö@
@oar@|@xürGa@
@oath@|@amdaGa, ndaGa@
@ocean@|@dalë, dalï@
@official@|@amba@
@on this side@|@naGšë@
@one@|@nige, nigen-@
@onion@|@sungGunoG@
@open wide@|@jära-@
@original@|@ang@
@orphan@|@nocin, unchin@
@other@|@busi@
@otter@|@xalö, xalü@
@outlook@|@chire, cirï@
@owl@|@ngguloG@
@ox@|@fugor, xukur@
@palm of hand@|@(x)arGa, xalGa@
@paper@|@cä(r)zë, cälzë, chälsë@
@part of cloth in the armpit@|@žoru-@
@patina@|@boGodi@
@paw@|@tawaG@
@pea@|@puzaG, pužaG@
@peel@|@sulë-, šuli-@
@penis@|@ožoGwë, ziGwë, žoGwë@
@person@|@bïje, buje, kun@
@personality@|@musu@
@pestle@|@nëdër@
@pheasant@|@cirGü, GurGul@
@pipe@|@xölo@
@plait@|@xunäzë@
@pleasure@|@dašë-, tä@
@posterior@|@Gonzosë, Gwënzasë@
@pregnancy@|@kële@
@press@|@šGurä-@
@press into@|@cigi-@
@prosperity@|@këšëg@
@protuberant@|@toboi-@
@psychosis@|@cinci, cinzi@
@punish@|@chugu-@
@pus@|@ide@
@quail@|@bodono, puduri@
@quarrel@|@këreldë-, kërü@
@quick@|@Gurdën, Gurdun@
@rabid@|@Galžü, Garzü@
@rain@|@xurä@
@rainbow@|@sulongGo@
@raise@|@urgu-@
@ram@|@xuza, xuža@
@rank@|@zerge@
@raven@|@kërë@
@ready@|@belen, belesGa-, bulen@
@rebuke@|@dongGordi-, sgö-@
@red@|@fulän@
@relative by marriage@|@Gadim@
@relative-in-law@|@Guda, Gudä@
@rib@|@xairzë, xawuzë@
@right@|@žo, žob, zuw, žwo@
@ring in bull's nose@|@durö, duröm@
@river@|@murön@
@roam@|@këzë-@
@robber@|@xorGwë, xulaGa-, xulGai@
@rock@|@Gadä@
@root@|@sižür, szür@
@rope@|@desë, fujäsar@
@rug@|@d(w)esë-, debse-, desëgu@
@rush@|@xulësë, xuluzë@
@rust@|@zwe@
@sabre@|@silëm@
@sack@|@füda, sdarGa@
@saddle@|@tuGum, tuGun@
@saliva@|@sorgo@
@Salsula@|@xangGu, xänGul@
@salt@|@dabsë@
@salty earth@|@xozir@
@sand grains@|@xumoG@
@scabbard@|@xui, xwë@
@scissors@|@xaichi, xëci, xëzi@
@scoop@|@šënaGa@
@scratch@|@züri-@
@search by feeling@|@temdëlë, tendili-@
@secretly@|@sëmuger@
@sediment@|@särö@
@seize@|@šü-, šür, sürda, šüri-@
@service@|@arwan@
@set@|@të-@
@shadow@|@südër@
@shagreen@|@sari@
@shape@|@xuGui, žusë@
@sharp@|@xuza, xužadë@
@sharp-shooter@|@mergen, murgen@
@shave@|@cirGä-, kësë-, kizë-@
@shed@|@sarï@
@sheepskin@|@nekï, nikï@
@shine@|@zilön@
@short@|@xoGor, xuGor@
@shoulder bone@|@baGarziaG, baGür@
@shoulderblade@|@dälï, dalu@
@sickle@|@Gadër@
@sigh@|@surezë@
@similar@|@adali, dali, madu@
@sinew@|@šbuzë, šdäsë, sdäzë, šuluzë, surbusë@
@sixty@|@ziran, žiran, zirG?n@
@skin@|@arasë, xalizë, xalsë, xüli-@
@skirt@|@xormë, xurmï@
@sleep@|@nör@
@sleeve@|@xamži, xanci, xanzi@
@sludge@|@zamburaG@
@small pieces of food@|@kajaG@
@smell@|@funir@
@smoke@|@funi, xuni@
@snake@|@moGui, muGwë@
@snot@|@nüsong@
@snow@|@casë, chaxsë@
@snow storm@|@sürGa@
@soft woollen cloth@|@merge@
@son@|@kö, kü@
@song@|@dau, dü@
@son-in-law@|@kurgen@
@soot@|@kö@
@soul@|@ami, amuraG, sunësë, sunëzë@
@soup@|@budä@
@South@|@mani, mešë@
@spark@|@fuzun, szun@
@spatter@|@chachura-, sazi-, sazirä-, szirä- sachura-@
@spelt@|@šbë@
@spider@|@xäxai, xäxë@
@spin@|@gurë-, guru-@
@spleen@|@dëlü, dilü@
@sprout@|@cigi@
@spy@|@sGe-, sge-, tangë-@
@star@|@födi@
@stepbrothers@|@ula@
@steppe@|@talä@
@stick to@|@nä-, niä-@
