@brothers@|@bratrîkai, BRATRÎKÂI@
@brought up@|@auginnons, AÛGINUNS, PAAÛGÎNTS, poaugints@
@brown@|@Bruneto, BRÛNS@
@brownish@|@Cucan, KUKAN@
@bruise@|@MÊLINÊ, Melne@
@brush@|@Coestue, KÂISTWÊ@
@brushwood@|@TWAKSTAN, Twaxtan@
@buckle@|@Sagis, SAGS@
@bulb@|@KÛGÎS@
@bull@|@LÂNIKS, Lonix@
@bullock@|@KURWAS@
@bumble-bee@|@Camus, KAMUS@
@bung-hole@|@Dulsis, DULZÎS@
@bunting@|@Sixdre, ZIGZDRÊ@
@burbot@|@Wilnis@
@burdened@|@PABRANDÎNTS, pobrendints@
@burdening@|@PABRANDÎNSNAN, pobrandisnan@
@burdock@|@KLETÂI@
@buried@|@ÊNKAPTS@
@burning kindling wood@|@KNÂISTIS@
@but@|@ABER, ADER, schlâit, schlâit, schlâits, ŠLÂIT, ŠLÂIT, ŠLÂITS@
@butter@|@Anctan, ÂNKTAN@
@buttocks@|@Pomnan, PUNINAN@
@by according to@|@PÂ, po@
@cake@|@LÛGÎS@
@calf@|@WÊRSÎS, Werstian, Werstian, WÊRSTJAN@
@call@|@wackîtwei, WAKÊTWEÎ@
@calls on@|@kâimaluke, KÂIMALÛKÊI@
@calves@|@IKRÂI@
@candle@|@lickte, LIKTÊ@
@cap@|@Kelmis, KÊLMS@
@capercailye@|@MEDENÎKS TATÂRWAS, Medenixtaurw'@
@caressed@|@PAGLABÂI, poglabû@
@carp@|@Sarote, ZARÂTÊ@
@carry@|@PÊST, pijst@
@carry out@|@LÂIKÂT, laikût@
@cart@|@ABAZUS@
@cart wheels' binder@|@Arwarbs, ÂRWARBS@
@carter@|@KELAWEZÎS, Kellewesze@
@cartilage@|@Gremsde, GREMZDÊ@
@casing of a mill-wheel@|@Surturs, ZÛRTURAS, ZÛRTÛRS@
@castle@|@PILIS, Sassenpile@
@cat@|@KATÂ@
@cattle@|@EKAN, Peckan, Pecku, PEKU@
@cattle-shed@|@STALDAS, Staldis@
@cauldron with legs@|@NAGÂTÎS, Nagotis@
