@hair@|@qyl@
@hair of head@|@chach@
@halter@|@dular@
@handful@|@üš@
@handle@|@qyldy, qyly, sap@
@hard@|@qatü@
@hard of steel@|@qurch@
@hare@|@kojon, majchyq@
@harnessed animal@|@kölkö@
@hat@|@tubaq@
@head@|@baš@
@healthy@|@su, sü@
@heap of stones@|@qorum@
@heel@|@enchik@
@he-goat@|@teke@
@helminth@|@qyna@
@hemp@|@kendir@
@herd@|@ür@
@hero@|@bätyr@
@heron@|@qordoj@
@high@|@bijik@
@high above@|@üzeri@
@hit@|@ijt-, it-@
@hoar-frost@|@quru@
@hoe@|@abyl, öl@
@hole@|@üt@
@hollow@|@chöng, chüng@
@holy@|@baj-lu@
@honest@|@maj-@
@honorary place in the house@|@tör@
@hoof@|@tujhaq@
@hook@|@ilmek@
@hop@|@qumanaq, qumdaq@
@horn@|@müs@
@horse@|@at@
@horse's bit@|@suluq, süluq@
@host@|@ë@
@hot@|@izü@
@house@|@üj@
@howl@|@ulu-@
@hundred@|@düs, jüs@
@hunger@|@ach@
@hunting dog@|@eger@
@I@|@men@
@illness@|@kem@
@image@|@kep@
@inheritance@|@qumartqa@
@inner fat@|@qazy@
@intelligent@|@tüžü-met@
@interrogative particle@|@-ba, be@
@irritate@|@qosqo-@
@island@|@ortolyq@
@joint@|@mun, pün@
@juice@|@duluq, jülük, juluq@
@juniper@|@jyjra@
@kidney(s)@|@börök@
@knee@|@tize@
@knee cap@|@tomuq, topuq@
@kumys@|@ajran@
@lake@|@köl@
@land@|@der@
@language@|@til@
@larch-tree@|@tyt@
@large intestine@|@mön@
@lasso@|@uruq@
@late@|@kech@
@layer@|@qat@
@leaf@|@dalbyraq@
@leather@|@jarü, kön@
@leather belt@|@qajyš@
@leech@|@šülük@
@leek@|@qalma@
@left@|@sol@
@light@|@daryq, dengil@
@lightning@|@däžyn, jažyn@
@like@|@sü-@
@lip@|@erin@
@little@|@kichü@
@lizard@|@keleski@
@load@|@dük, jük@
@locust@|@manghys, sarysqa, saryšqa@
@lonely@|@dangys, jangys@
