@carry on ones head  - to@|@púti-@
@carry on the back -to@|@tukwáni@
@cat@|@gátu /spanish loanword/@
@cat - /spanish borrowing@|@gáatu@
@cat - a big@|@gáatu yot, yot gáatu@
@catch /v/@|@cháqwi /sing/, yawá'na /pl/@
@cats - big@|@gáatum móomkatum@
@Cedar@|@tuvút@
@Celery@|@pa'kil@
@Cerasus ilicifolia@|@chamish@
@ceremonial chief@|@not /curtis/, púyukyot /curtis/, tóshnokat /curtis/@
@ceremonial enclosure@|@wámkish@
@ceremonial headband@|@piwíish@
@ceremonial mortar@|@támyash@
@Chamisal@|@u'ut@
@chamise@|@u'úut@
@charcoal@|@túla /curtis/@
@charming@|@yawáywish@
@Chenopodium album@|@ket@
@Chenopodium Californicum@|@kahawut@
@chew /v/@|@yáqwi-@
@chichiquelite@|@takáv$ish@
@chicken@|@gayíina /spanish loanword/@
@chief@|@nóot@
@child@|@'amáay, kiháat@
@Chinigchinich@|@chingíchngich@
@Chlorogalum parviflorum@|@kenut@
@choke /v/@|@móoya-@
@choke on food - to@|@móoya-@
@chó'on temét@|@day - all/every subj@
@chó'on teméti@|@day - all/every@
@choose - to@|@chikwáyi-@
@chop /v/@|@chóori@
@chop off - to@|@qapúti-@
@Christmas berry@|@achawut@
@Chrysoma Parishii@|@sanmikut@
@circular  - to be@|@púna-@
@clay pot@|@kaváa'al@
@clever@|@'ayálkawut@
@climb /v/@|@hiláala@
@climber@|@hiláalikat@
@close /v/@|@náki@
@closed@|@chúupa-@
@closed - be /v/@|@náka-@
@clothes@|@míixanish@
@cloud@|@tovís /curtis/, tuvíicha@
@Cneordium dumosum@|@navish@
@collapse - to@|@lóma-@
@come - to@|@mon-@
@come /v/@|@hakwáachi, munáa, wuko'a@
@command -to@|@tóshnga-@
@Common purslane@|@pokut@
@commoner@|@$a'úura@
@condor@|@yungávaiwut /curtis/@
@constantly@|@puyáamangay@
@consume /v/@|@kwá, náachaxan@
@continually@|@puyáamangay@
@cook@|@ló'xikat@
@cook /v/@|@ló'xa, qála@
@cooked@|@kwá$ish@
@Cordylanthus@|@yumayut@
@cottontail rabbit@|@tóo$iqat@
@Cottonwood@|@aváhat@
@cottonwood tree@|@aváaxat@
@cough -to@|@ixa-@
@count /v/@|@wóy'i@
@cover - to@|@qóti-@
@coyote@|@'anó, anó@
@crawl /v/@|@'eléla@
@cross /v/@|@chapáli, náami, náawa-@
@cross over - to@|@nóla-@
@Croton Californicus@|@shuikawut@
@crow@|@álwut@
@crow /v/@|@'áa'i@
@cry /v/@|@ngáa@
@Cupeño@|@kwimkawichum@
@cut /v/@|@chóori@
@cut wood - to@|@chóri-@
@dance  - to@|@péla-@
@dance /v/@|@móora, pélla@
@dancer@|@péllikat@
@darkness@|@yuýuvakal /curtis/@
@Datura meteloides@|@naktomush@
@daughter@|@-$wáamay@
@dawn@|@hwáayikat /curtis/@
@day@|@temét@
@daytime@|@teména /curtis/@
@dead -be /v/@|@takwáya, tápa@
@deaf@|@náanukvish@
@deep -be /v/@|@láwa@
@deer@|@$úukat@
@deer - a@|@$úukat@
@deer - pl@|@$úuktumi@
@delicious@|@áxaant, áxaat, áxaxunat@
@deliver a baby - to@|@aqíni-@
@dented - to be@|@lúqa-@
@devil@|@tóowish@
@devour /v/@|@kwá, náachaxan@
@Deweya arguta@|@kaiyat@
@die -to@|@takwáya-@
@difficult@|@hiká'ka$, wímaat@
@dig /v/@|@héyi@
@digger@|@héyikat@
@dirt@|@éxla, éxla@
@divine being /a/@|@wuyót@
@do /v/@|@loví'i@
@Dock /plant/@|@ipelwut@
@doctor@|@téngalkat@
@dog@|@'awáal, chuchu /curtis/@
@dog - the obj@|@'awáali@
@dog - the subj@|@'awáal@
@dogbane@|@wicha@
@dogs - the@|@'awáalum@
@dogs - the obj@|@'awáalumi@
@domestic animal@|@áshla@
@don´t!@|@tú$uxum /pl/@
@don't!@|@tú$u /sing/@
@door@|@pupú'uk@
@dove@|@mixéel@
@drag - to@|@hóoti-@
@drag /v/@|@xáawi-@
@dragged -be /v/@|@xáawa-@
@dragonfly@|@kamaríwri@
@dream@|@potíkap /curtis/@
@dream /v/@|@putí@
@dreamer@|@putíkat@
@drink -  I will@|@noo páa'in@
@drink - I want to@|@noo páa'ivichuq@
@drink - the sun will make us want to@|@temet chaami páa'ivichunin@
@drink - to@|@páa'i-@
@drink /v/@|@páa'i-@
@drinker@|@páa'ikat@
@drinking - I am@|@noo páa'iq@
@drive (animals) - to@|@kívi-@
@drizzle - to@|@hápi-@
@Drooping live oak@|@wiat@
@drunk -be /v/@|@ngóola-@
@dry@|@awáxvu@
@dry - to be@|@lavíqa-@
@dry -become /v/@|@wáxa@
@dry something  /v/@|@wáxni-@
@duck - a@|@qáatqat@
@Dudleya /cotyledon/@|@topnal@
@dull-edged@|@navúnvush@
@eagle@|@á$wut@
@ear@|@-naq@
@early@|@hamú@
@earrings@|@páaxwichat@
@earth@|@éxla, éxla, tamáyawut /curtis/@
@earthquake -an /v/@|@ngíini-@
@east@|@kwímik /curtis/@
@eat /v/@|@kwá, náachuxun-@
@Echinocystis macrocarpa@|@enwish@
@eight@|@páahaynumanáhant@
@Elder@|@kúta@
@elder sister@|@qée'is@
@Elderberry@|@kutpat@
@elegant@|@yawáywish@
@eleven@|@wéhnumatápahantsupul@
@Elymus condensatus@|@huikish@
@empty@|@atáxvish@
@Encina /plant/@|@wiashal@
@end /v/(a song)@|@máti-@
@enemies -be /v/@|@káytu@
@enemy@|@-káytu@
@enraged -be /v/@|@wóltu@
@ensnare /v/@|@cháqwi /sing/, yawá'na /pl/@
@enter /v/@|@chulúpa@
@entrap /v/@|@cháqwi /sing/, yawá'na /pl/@
@enumerate /v/@|@wóy'i@
@Epicampes rigens Californica@|@yulalish@
@Eriodictyon crassifolium@|@palwut@
@Eriodictyon Parryi@|@atovikut@
@Eriodictyon tomentosa@|@palwut@
@Erythraea venusta@|@ashoshkit@
@Eschscholtzia Californica@|@ataushanut@
@esophagus@|@móolilash@
@estafiate@|@páaku$ish@
@etc)@|@chíila-@
@eternally@|@puyáamangay@
@Euphorbia polycarpa@|@qénxamal@
@ever@|@puyáamangay@
@every@|@chó'on@
@every day@|@chó'on temét@
@everything@|@chó'on híicha@
@exquisite@|@yawáywish@
@eye@|@-púush, tíiwilash@
@face@|@-púush@
@fall - to@|@chúta-, hulúka-@
@fall (leaves) - to@|@qára-, qarápa-@
@family@|@-kíiyam@
@fast /stuck/@|@póminik@
@fasten  - to@|@póti-@
@fat@|@awí'@
@fat - to get@|@nóova-@
@father@|@-na'@
@father - her@|@poná@
@father's older brother@|@-kamú@
@father's younger brother@|@-má$@
@feather@|@húm$at@
@feather dancing skirt@|@páa'lat@
@feed /v/@|@moyóoni@
@fetch water /v/@|@páaw@
@fetch wood /v/@|@kuláaw@
@Field oak@|@wiashal@
@Fig marigold@|@panavut@
@fight /v/@|@káytu, neqpi@
@fill /v/@|@múuyi@
@find /v/@|@tulówi@
@find -to@|@tulówi-@
@fine -I'm@|@lóoviqan@
@finish /v/@|@tápi@
@finish -to@|@tápi-@
@fire@|@kút@
@firm  - to be@|@póma-@
@first@|@'amúula@
@fish@|@ichi-, kuyúul@
@fish - to@|@ichi-@
@five@|@maháar@
@flattened sides - to have@|@matámta-@
@fleet-footed@|@póminik@
@float - to@|@héeva-@
@flour -acorn@|@máaxish@
@flow /v/@|@ya'-@
@flute@|@wíirulash@
@flute player@|@wíirukat@
@flutter in the breeze - to@|@héma-@
@fly@|@ku'áal@
@fly /v/@|@wáapa /pl/, wíila /sing/@
@foam@|@-múuxala@
@foe@|@-káytu@
@fog@|@mésmal@
@follow /v/@|@nónomi@
@follow a scent - to@|@hu$i-@
@food@|@náachaxanish, náachuxunish@
@food basket@|@síqwalal@
@foot@|@'ét@
@foot /the/@|@ét@
@footprints@|@muníivul, múunivul@
@for the house@|@kiyk@
@forefather@|@-píiwi@
@forehead@|@qawísh@
@forget /v/@|@murópa@
@form puddles - to@|@kwóoya-@
@four@|@wasá'@
@fox@|@qewéewish@
