@English@|@Khanty@
@the inside of something@|@joh, jöx, jöxi@
@the upper part@|@nox, nuh, nuk@
@they@|@tew@
@thick intestine@|@putä, puti@
@thief@|@jaläm-, jiläh, laläm-, lalmax, liläh, totmax@
@thin branch@|@was, wasa, wasä@
@thing@|@mej, möhi, muj@
@thirty@|@xutemyang@
@this@|@-na, tame@
@three@|@xutem@
@tie@|@nal, nola, nula, nuta@
@time@|@ki(t)-pihär@
@tin@|@olna, ser olnä, xant utän@
@to approach@|@rahäm, rax-, raxä, raxi, raxtä, raxti@
@to be able@|@mastä-, mo?štä-, motšä-, mötšä-@
@to be afraid@|@pal-, pel, pel-, pet-@
@to be stretched@|@ninç-@
@to beat with the wings@|@rawsält-, repä-@
@to become dark@|@chëtimä-@
@to become fat@|@katäm, xotlä-, xottä-@
@to become lean@|@kans-, känt-@
@to become numb@|@pas-, pes-@
@to become tired@|@nujä-, nujhä-@
@to become wet@|@jastä-, lastä-, löstä-, pach-, pas-, tastä-@
@to bind@|@newäj-@
@to bite@|@par-, por-@
@to blow@|@pat- pal-, poh-, pol-, pöl-, pow-@
@to bore@|@par, parät, parli, por, poräl@
@to burst@|@pah-, pahän-, pakän-, pax-, paxän-@
@to close@|@pent-@
@to come@|@jöhät-, jöxät-@
@to come in@|@lap-, lep-, tep-@
@to cut@|@want-, wänt-, was-@
@to depilate@|@naw-, now-@
@to devour@|@pul, pül, pül-, pulät-, puli-@
@to dive@|@marät-, merät-@
@to dry@|@sas-, sos-@
@to fail@|@mintähtä-@
@to fall down@|@ra'h-, rah-, rax-, raxäj-@
@to fart@|@pan, panäm-, ponäh-, ponmä-@
@to flow@|@aw, oh, oha-, ow@
@to follow the tracks@|@kot-, köt-, küs-@
@to frazzle@|@ratämt-, rati@
@to freeze@|@pot@
@to go@|@jël-, man-, men-@
@to go down@|@oxäl-, wahäl-, waxät-, wexät-, wihäl-@
@to gush@|@pali-, poli-@
@to harden (steel)@|@at-, ät-, attä-, it-@
@to hide@|@laläm-, totäm-@
@to hold@|@pit-@
@to jump@|@pot-, sohäm, soxältä-, soxäm@
@to kill@|@wel-, wet@
@to lick@|@nal-, nala-, nat-@
@to mix@|@ilähtä-, lilähtä-, lilät-@
@to open@|@punc-, pünç-, pus-@
@to pierce@|@pel-, pet-@
@to pour@|@waläh-@
@to pour out@|@pachatnänt-, pochähint-@
@to press@|@chujät-, maräm, maräm, marlä-, marlä-, marsäm, marsäm, meräm, meräm, merap, merap, nöl-, posär-, pusär-, šojlä-, šojtäng oxäl, suwilä-@
@to pull@|@nar-, ner-@
@to put@|@pan-@
@to regurgitate@|@ahät, axät, ëhät-, uhät-@
@to rest@|@nohol-, nöhol-@
@to rot@|@jöj, lij-, löj, öj, tej@
@to say@|@at-@
@to scrape skin@|@nal-, nol-@
@to separate@|@paajit-, päçi-, pajit-, pájit-, peçähäl-@
@to sit down@|@jel-, lel-, tet-@
@to smile@|@nax-matängat@
@to split@|@langkät-, langkit-, langxät-@
@to spread@|@tewät-@
@to stand@|@jint-, las-, lint-, tont-@
@to step@|@rongk-, röngkä-, rungk-@
@to step over@|@unç-, us-, wus-@
@to stick in@|@pohläm-, puläw, putäp@
@to swallow@|@nel-, net-@
@to swell@|@te'ngärt-@
@to swim@|@-ut-, os-, ot-, üj-@
@to tear@|@mansi-, menäm-, mench-, menemä-, net-@
@to tell@|@mant, mas, mont@
@to the two houses@|@xotngäna@
@to throw@|@waaškaltnän-, waskä-, watxämt-, woskä-@
@to wind@|@pan-, pon-@
@to yawn@|@os-, usil-, wases-@
@tongue@|@naläm, näläm, natäm@
@tooth@|@pengk, pöngk@
@top@|@taj, tej, töj@
@touch@|@mal-, mäl-, maläs-, matäs-@
@trace@|@nöhäl-, noxäl-, noxät-, nuhäl-@
@tree gum@|@pihäl, pihli-@
@tremble@|@rent-@
@twenty@|@xus@
@two@|@kat, katn@
@understanding@|@as, atsam, oš, ossam, otšam@
@upper arm@|@maräx, meräk, merängk@
@village@|@poxäl, puhäl, puxät@
@wadding in shoe@|@iläm, ïläm, itäm@
@warm@|@malängk, meläk, melläk@
@wash@|@pewäl-, pexät-, pöhäl-@
@way@|@nahät, nihät, nil@
@we@|@meng, min, mong, mung@
@wear out@|@lopi pus@
@wet snow@|@ut, uthäl, utxät, witkäl, wusäl@
@what@|@meli, möhöli@
@what?@|@muy@
@which@|@mati, metä@
@who?@|@xoy@
@widow@|@jengk-uri, jengk-urwi@
@wing@|@pangät, pangkäl, pongkäl, tohäl, toxät@
@witchcraft@|@tolt, tolta, tolten, toltn@
@woman@|@na'j, naj, näj@
@wooded hill@|@maraj, mora, mori@
@woodpecker@|@kajärki, kajarngi, xangra, xaxraj@
@worm@|@n'ingk, ningk@
@you@|@-tä, -täh, -ti, nan, nang, nen@
@young@|@aj, äj, lojamtïjäl-, lojamtïl-@
@young of deer@|@pechä, pechäh, peši@
@younger brother of mother@|@arsäx, ortïweng@

