@English@|@Ainu@
@am@|@ne (vi)@
@among@|@tumuke (n)@
@among@|@tumuketa (adv)@
@among@|@tumuke-un (adv)@
@among@|@tumu (adj)@
@amongst@|@tumma (adv)@
@amuse one's self@|@sinewe (vi)@
@amuse one's self@|@sinot (vi)@
@amusement@|@sinot (n)@
@amusement@|@sinewe (n)@
@ancestor@|@sinrit (n)@
@ancestor@|@ekasi (n)@
@ancestor: female ~@|@huci (n)²@
@ancestor: male ~@|@kewsut (n)@
@ancestor: male ~@|@kewsut (adj)@
@ancient@|@hekay (adj)@
@ancient@|@kewsut (adj)@
@ancient@|@kewsut (n)@
@ancient@|@husko (adj)@
@ancient@|@huskotoy (adj)@
@ancient@|@onne (adj)@
@ancient tales@|@uwenewsar (n)@
@ancient times@|@teeta (adv)@
@anciently@|@ekanay (adv)@
@and@|@newa (pop)@
@and then@|@newa (pop)@
@angel: guardian ~@|@ituren-kamuy (n)@
@angel: guardian ~@|@kamuy: ituren-~ (n)@
@anger SB@|@iruskare (vt)@
@angry: be ~@|@iruska (vi)@
@angry: make SB ~@|@iruskare (vt)@
@announce@|@ye (vt)@
@another@|@oya (adj)@
@another person@|@anun (n)@
@answer@|@ese (vt)@
@antecedent@|@hoski (adv)@
@antecedent@|@hoske (adv)@
@antique@|@husko (adj)@
@antler@|@kiraw (n)@
@antler@|@kimpuy (adv)@
@antler@|@kirawehe (n)(g)(x)@
@antler@|@kirawe (n)(g)(x)@
@antler@|@kirawe (n)¹@
@anus@|@yorpuy (n)@
@anus@|@otompuy (n)@
@anus@|@ho (n)@
@any@|@ene (adv)@
@anyhow@|@eneka (adj)@
@anything@|@ene (adv)@
@anything: a piece of ~@|@pet (n)¹@
@apace@|@tumu (adj)@
@apartment@|@tumpu (n)@
@ape@|@ap-kor (vi)@
@ape [mimic]@|@ape-kor (vi)@
@aperture@|@suy (n)@
@apparition@|@tukap (n)¹@
@appear@|@as (vi)¹@
@appearance@|@kat (n)@
@appearance@|@sir (n)¹@
@appearance@|@katuhu (n)(g)(x)@
@appearance@|@katu (n)(g)(x)@
@appearance@|@ape (n)¹@
@appearance@|@siri (n)(g)(x)¹@
@appearance@|@ap (n)¹@
@appetite@|@ipe-mondum (n)@
@apprearance@|@humi (n)@
@apprearance@|@hum (n)@
@apron@|@mantari (n)@
@apron@|@maytari (n)@
@aralia racemosa@|@cima-kina (n)@
@arid@|@sat (adv)@
@arise@|@as (vi)¹@
@arm@|@tek (n)@
@arm@|@tekehe (n)(g)(x)@
@arm@|@tem (n)¹@
@arm@|@teke (n)(g)(x)@
@around@|@kari (pop)@
@around@|@okari (pop)@
@around@|@ekari (pop)@
@arrange@|@yoykir (vt)@
@arrive@|@ek (vi)(s)@
@arrow@|@ayehe (n)(g)(x)@
@arrow@|@aye (n)(g)(x)@
@arrow@|@ay (n)¹@
@arrow head@|@ay rum (n)@
@arrow shaft feather@|@ay rap (n)@
@arrow: poisoned ~@|@asi-ay (n)@
@article@|@ap (n)²@
@article@|@ampe (n)¹@
@article@|@pe (n)¹@
@arundinaria@|@hutta (n)@
@as@|@ani (adv)¹@
@as far as@|@epa (adv)@
@as far as@|@epa (vi)@
@as far as@|@pakno (adv)@
@as it may happen@|@katu-renkayne (adv)@
@as one desires@|@katu-renkayne (adv)@
@ascaris@|@tuy-kikir (n)@
@ascend@|@turasi (vt)@
@ascend@|@yap (vi)(p)@
@ascend@|@yan (vi)(s)@
@ash@|@e (n)@
@ash@|@una (n)@
@ash@|@ape-una (n)@
@ash@|@uyna (n)@
@ash [residue]@|@uyna (n)@
@ash: furnace ~@|@ape-kamuy-turihi (n)@
@ashamed@|@yayekatuwen (vi)@
@asipencer nikadoi@|@yupe (n)@
@aspect@|@siri (n)(g)(x)¹@
@aspect@|@sir (n)¹@
@assemble@|@uwekarpare (vt)@
@assiduous@|@yuptek (adj)@
@assiguity@|@yuptek-i (n)@
@assist@|@kasiw (vt)¹@
@assist@|@katunaska (vt)@
@assume@|@yaykar (vt)@
@asthma@|@rat-hese (n)@
@astonish: be ~ed@|@yaynumare (vi)@
@astonishing@|@yaynumare (adj)@
@astute@|@ramu-an (adj)@
@at hand@|@sa (adv)@
@at: be ~@|@or (vi)@
@athwart@|@etasa (adv)(s)@
@athwart@|@etaspa (adv)(p)@
@attain@|@epa (vt)@
@attest@|@ye (vt)@
@attire@|@cimipi (n)(g)(x)@
@attire@|@cimip (n)@
@attus loom@|@attus-karape (n)@
@aunt@|@unarpe (n)@
@authority@|@cimontum (n)@
@autumn@|@cuk-umpa (n)@
@autumn@|@cuk-unpa (n)@
@autumn@|@cuk-an (n)@
@autumn@|@cuk (n)@
@autumn@|@cuk-pa (n)@
@avert@|@yay-asis (vt)@
@avoid@|@esisi (vt)@
@away from@|@ho (adv)@
@awesome@|@kamuy (adj)(pf)@
@awful@|@kamuy (adj)(pf)@
@ax@|@mukara (n)@
@azuma emnion@|@hepere-cep (n)@
@bachelor@|@maci saki kuru (n)@
@bachelor@|@mat saki kuru (n)@
@back@|@ho (adv)@
@back again@|@etasa (adv)(s)@
@back again@|@etaspa (adv)(p)@
@backbone@|@motot (n)@
@backbone: fish's ~@|@cep-motot (n)@
@bad@|@toy (adj)@
@bad@|@kamuy (adj)(pf)@
@bad@|@wen (adj)@
@bad@|@wey (adj)@
@bad@|@wempa (adj)@
@bad@|@wenpe (n)@
@bad one@|@wempe (n)@
@bad person@|@wempe-kur (n)@
@bad person@|@wenpe-kur (n)@
@bad place@|@wen-i (n)¹@
@bad thing@|@wempe (n)@
@bad thing@|@wen-ampe (n)@
@bad: render ~@|@wente (vt)@
@badge@|@cimutpe (n)@
@badly@|@wen-no (adv)@
@badness@|@wen-ampe (n)@
@badness@|@wen-i (n)¹@
@bag@|@op (n)¹@
@bag: offeratory food ~@|@hepere-pusaru (n)@
@balances@|@ipakarip (n)@
@bald@|@etoy (adj)@
@ball@|@taku (n)@
@ball@|@tamane (n)@
@ball@|@tama (n)@
@ball up@|@tamane (vi)@
@ball: fibre ~@|@katak (n)@
@ball: thread ~@|@katak (n)@
@balsam poplar@|@kurunni (n)@
@bamboo@|@top (n)¹@
@bamboo-grass@|@pay (n)@
@bamboo grass@|@hutta (n)@
@bank [shore]@|@ya (n)¹@
@bank: low river ~@|@ca (n)¹@
@bank: low river ~@|@sa (n)¹@
@bar [post]@|@sakma (n)@
@bare@|@atusa (adj)@
@bare@|@heraske (adj)@
@bark [skin]@|@kap (n)@
@bark [skin]@|@kapu (n)(g)(x)@
@bark [skin]@|@kapuhu (n)(g)(x)@
@bark at@|@emik (vt)@
@bark fiber coat: elm ~@|@attus (n)@
@bark fiber coat: linden ~@|@attus (n)@
@bark fiber fabric: inner ~@|@attus (n)@
@bark: birch ~@|@tat (n)@
@bark: strip off the ~@|@kapkar (vt)@
@barley@|@amam (n)@
@barley@|@amama (n)@
@barrel@|@ontar (n)@
@barrel@|@ontaro (n)@
@bastard@|@aciye (n)@
@bat [animal]@|@kapap (n)@
@be@|@tasi (vi)@
@be@|@ne (vi)@
@beach@|@sirar (n)¹@
@beach@|@epis (n)@
@beach: towards the ~@|@episne (adv)@
@bead@|@tama (n)@
@bead: string ~s@|@tama saye (vt)@
@beak@|@etu (n)@
@beak@|@ecu (n)@
@beak@|@etuhu (n)(g)(x)@
@bean@|@mame (n)@
@bear@|@kamuy (n)@
@bear meat@|@kamuy-haru (n)@
@beast: wild ~@|@kimumpe (n)@
@beast: wild ~@|@kimoppe (n)@
@beat@|@kik (vt)@
@beat@|@kikkik (vt)@
@beautiful@|@pirka (adj)@
@beautiful@|@ramayta (adj)@
@beautiful: be ~@|@pirka (vi)@
@because of@|@renkap (adv)@
@become@|@ne (vi)@
@bee: small ~ type@|@ka-soya (n)@
@bee: small ~ type@|@ka-soyay (n)@
@beer: rice ~@|@tonoto (n)@
@beer: rice ~@|@sake (n)@
@beetle: black ~@|@ruy (n)¹@
@before@|@hoske (adv)@
@before@|@hoski (adv)@
@before@|@ekanay (adv)@
@before@|@etoko (adv)@
@before@|@teeta (adv)@
@before last: (year) ~@|@hoski sakne (adv)@
@before that@|@tata-otta (adv)@
@beg@|@yorun (vt)@
@beggar@|@yorun-ki-kur (n)@
@beggar@|@yorun-kur (n)@
@behead@|@kewe-uk (vt)@
@behind@|@simak-un (adv)@
@behind@|@sempirike (n)@
@behind@|@ho (adv)@
@behind@|@yokane (adv)@
@bell@|@etoru (n)@
@belly@|@honihi (n)(g)(x)@
@belly@|@hon (n)@
@belly@|@honi (n)(g)(x)@
@below@|@kes (n)²@
@below@|@rake (adv)@
@below@|@rata (adv)@
@below@|@ra (adv)@
@bend@|@kaye (vt)@
@beneath@|@rata (adv)@
@bent thing@|@komkep (n)@
@berry@|@emawri (n)@
@besides@|@oya-ciki (adv)@
@besides@|@tuykata (adv)@
@besides that@|@kaskun (adv)@
@between whiles@|@tumu (adj)@
@bewail the dead@|@yayciste (vt)@
@big@|@poro (adj)@
@bill: bird's ~@|@cikap-etu (n)@
@bind@|@muy (vt)@
@bind up@|@esina (vt)@
@birch@|@tat-ni (n)@
@birch bark@|@tat (n)@
@birch: white ~@|@kitat (n)@
@bird@|@cir (n)¹@
@bird's bill@|@cikap-etu (n)@
@bird's egg@|@cikap-not (n)@
@bird's feather@|@cikap-konkoni (n)@
@bird's wing@|@cikap-kanci (n)@
@bird@|@cikap (n)¹@
@bite [bated]@|@inini (vt)@
@black@|@kunna (adj)@
@black@|@kunne (adj)@
@blackberry@|@emawri (n)@
@blade of grass@|@ra (n)¹@
@blade: sword ~@|@emus-ipe (n)@
@bless@|@ituren (vi)@
@bless@|@turen (vi)@
@blinded@|@cupu (vt)¹@
@blinded@|@cupu (vi)@
@blood@|@kemihi (n)@
@blood@|@kem (n)¹@
@bloodline@|@sinrit (n)@
@bloom@|@asip (vi)(s)@
@bloom@|@asippa (vi)(p)@
@blossom@|@hepirasa (vi)(s)@
@blossom@|@asip (vi)(s)@
@blossom@|@asippa (vi)(p)@
@blossom@|@hepiraspa (vi)(p)@
@blow@|@ruy (vi)@
@blow [as nose]@|@ni (vt)¹@
@blow: wind ~s@|@as (vi)²@
@blubber@|@humpe-ki (n)@
@blueback@|@urp (n)@
@boat@|@cip (n)@
@body@|@tumama (n)@
@body@|@tumam (n)@
@body: dead ~@|@kew (n)@
@body: dead ~@|@kewe (n)¹@
@boil@|@pop (vi)@
@bone@|@pone (n)@
@bone: marrow ~@|@kirawe o pone (n)@
@boot@|@ker (n)@
@boot@|@keyr (n)@
@boot lace@|@keyrat (n)@
@boot: deer-skin ~@|@ker (n)@
@boot: deer-skin ~@|@keyr (n)@
@boot: salmon-skin ~@|@keyr (n)@
@boot: salmon-skin ~@|@ker (n)@
@boot: wear a ~@|@keyr-us (vt)@
@border@|@cinki (n)@
@born@|@hekatpa (vi)(p)@
@born@|@hekatu (vi)(s)@
@borrow@|@etun (vt)@
@bottom@|@kes (n)²@
@boulder@|@sirar (n)²@
@bow-shot distance@|@tunnay (n)@
@bow [weapon]@|@ku (n)@
@bow down@|@hepoktekka (vi)@
@bow down@|@hepokiki (vi)@
@bow down@|@hepokitekka (vi)@
@bow head@|@hepokitekka (vi)@
@bow head@|@hepoktekka (vi)@
@bow head@|@hepokiki (vi)@
@bow in worship@|@hepokiciw (vi)@
@bow to worship@|@hepoki-us (vi)@
@bowl@|@itanki (n)@
@box@|@op (n)¹@
@box@|@suop (n)@
@box@|@suyop (n)@
@box: round ~@|@wappa (n)@
@box: tobacco ~@|@tampako-op (n)@
@boy@|@hekaci (n)@
@boy@|@okkaypoho (n)(g)(x)@
@boy@|@ekaci (n)@
@boy@|@heykaci (n)@
@boy@|@okkaypo (n)@
@boy@|@okkay (n)@
@brace: building ~@|@yuki (n)@
@branch@|@tekehe (n)(g)(x)@
@branch@|@tek (n)@
@branch@|@teke (n)(g)(x)@
@branch: horn ~@|@kiraw awe (n)@
@branch: horn ~@|@kiraw konta (n)@
@brand@|@kes (n)¹@
@brand: fire ~@|@ape-kis (n)@
@brand: fire ~@|@ape-kes (n)@
@bread@|@pan (n)¹@
@break@|@kaye (vt)@
@break@|@yaku (vi)@
@break@|@yak (vi)(s)@
@break@|@yakka (vt)@
@break@|@yakpa (vi)(p)@
@break in@|@nuyaske (vi)@
@break in@|@nuyaspa (vt)@
@break off a small piece@|@rasu (vt)@
@break through@|@nuyaspa (vt)@
@break through@|@nuyasa (vt)@
@break through@|@nuyaske (vi)@
@breakdown@|@wente (vt)@
@breakfast@|@sin-ipe (n)@
@breakfast@|@simipe (n)@
@breast@|@to (n)¹@
@breath@|@he (n)@
@breath@|@mawe (n)(g)(x)¹@
@breath@|@omaw (n)¹@
@breath@|@maw (n)¹@
@breath: hot ~@|@sesek-maw (n)¹@
@bright@|@herherke (adj)@
@bright@|@tom (adj)@
@brightness@|@her (n)@
@brim@|@wa (n)@
@bring up@|@hepenki (vt)@
@brittle@|@rasne (adj)@
@broadcast@|@yupkir (vt)@
@broadcast@|@iyama (vt)@
@broken@|@tumak (adj)@
@broom@|@nuyep (n)@
@brother: elder ~@|@yupihi (n)(g)(x)@
@brother: elder ~@|@yupi (n)(g)(x)@
@brother: elder ~@|@yuppo (n)@
@brother: elder ~@|@yupo (n)@
@brother: elder ~@|@popo (n)@
@brother: elder ~@|@yup (n)@
@brother: elder ~@|@yuhpo (n)@
@brother: younger ~@|@akihi (n)(g)(x)@
@brother: younger ~@|@ak (n)@
@brother: younger ~@|@aki (n)(g)(x)@
@brung by one's boot@|@keyr-siru (vi)@
@brush@|@nuykar (vt)@
@brush@|@nuyep (n)@
@brush@|@nuykarape (n)@
@brush@|@sirsiru (vt)@
@brush@|@sirsirup (n)@
@bubble up@|@pop (vi)@
@bucket@|@ontar (n)@
@bucket@|@ontaro (n)@
@bucket: water ~@|@wakka-ontar (n)@
@bud@|@epuy (n)@
@bud@|@cucu (n)@
@bug@|@kikir (n)@
@build@|@kar (vt)@
@build@|@katuhu (n)(g)(x)@
@build@|@katu (n)(g)(x)@
@build@|@kat (n)@
@bulge@|@sik (adj)@
@bulky@|@rupne (adj)@
@bulrush@|@katumki (n)@
@bundle@|@muy (n)¹@
@bundle: make a ~@|@muy (vt)@
@burl@|@nin (n)¹@
@burn@|@ruy (vi)@
@burn@|@yomomke (vi)@
@burst@|@yak (vi)(s)@
@burst@|@yakpa (vi)(p)@
@burst@|@yaku (vi)@
@burst@|@yakka (vt)@
@bury@|@weyayram-nuyna (vi)@
@business@|@ye (n)¹@
@busy@|@emonus (vi)@
@but@|@korka (pop)@
@but@|@korkay (pop)@
@butterfly@|@heporap (n)@
@butterfly type@|@marewrew (n)@
@butterfly type@|@humpe-marewrew (n)@
@butterfly: cabbage ~@|@retar-marewrew (n)@
@buy@|@hok (vt)@
@buzz@|@yawyawse (vi)@
@by@|@peka (adv)¹@
@by@|@kari (pop)@
@by@|@okari (pop)@
@by@|@ekari (pop)@
@by@|@ani (pc)²@
@by land@|@ya-peka (adv)@
@by means of@|@ani (pc)²@
@by means of@|@ari (pop)@
@by: be ~@|@or (vi)@
@by: go ~@|@kari (vt)@
@cabbage butterfly@|@retar-marewrew (n)@
@cache@|@puhu (n)(g)(x)@
@cache@|@puy (n)¹@
@cache@|@pu (n)@
@cage: bear cub ~@|@hepere-kot (n)@
@cake: donut-like arrowroot ~@|@akam (n)¹@
@calamary@|@passanna (n)@
@calf of leg@|@yontekkam (n)@
@calf of leg@|@yontekpe (n)@
@calf: have aching ~es@|@yayepupu (vi)@
@call@|@ho (vt)@
@callionymus curvicorinis@|@ape-kesuy (n)@
@callorhinus ursina@|@onnep (n)@
@calm@|@rene (adj)@
@cannibal@|@we-kur (n)@
@cannibalize@|@we (vt)@
@canoe@|@cip (n)@
@cape: blunt ~@|@cinot (n)@
@care: be ~ful@|@kipip (vi)@
@careful: be ~@|@kipip (vi)@
@carpet@|@sokarpe (n)@
@carry@|@ampa (vt)@
@carry@|@na (vt)@
@carry (in hands)@|@ani (vt)@
@carry (on the back)@|@kay (vt)@
@carry (on the back)@|@pakkay (vt)@
@carry of back@|@sey (vt)@
@carry: go along ~ing STs@|@ampa-wa-apkas (vi)(p)@
@carry: to along ~ing STs@|@ampa wa apkas (vi)@
@carve@|@nuye (vt)@
@carve@|@sinnuye (vt)@
@cascade@|@so (n)¹@
@cask@|@ontaro (n)@
@cask@|@ontar (n)@
@cast (away)@|@eyapkir (vt)@
@castle@|@casi (n)@
@cat@|@ermu-koyki (n)@
@cat@|@cape (n)@
@cataract@|@may (n)@
@catch@|@koyki (vt)@
@catch [grab]@|@peka (vt)@
@cause@|@kire (vt)@
@cave division@|@tumpu (n)@
@cave in@|@teyke (vi)@
@cease@|@simakoraypa (vi)(p)@
@cease@|@yomne-ki (vt)@
@cease@|@tuy (vi)@
@cease@|@simakoray (vi)(s)@
@cease@|@yomne (vt)@
@centre@|@tumutur (adj)@
@cereal@|@amama (n)@
@cereal@|@amam (n)@
@certain@|@sine-an (adj)@
@cervus sika@|@yuk (n)@
@chair@|@aset (n)@
@change@|@nin (vt)@
@channel@|@tun-nay (n)@
@charadrius fuluvus@|@apto-cikap (n)@
@charcoal@|@paspas (n)@
@chase@|@ikesampa (vt)@
@chat together@|@uwenewsar (vi)@
@cheap@|@susam (adj)@
@cheap@|@hawke (vi)@
@cheap@|@hawke (adj)@
@cheap@|@susan (adj)@
@cheer@|@yayoparsecuy (vi)@
@chestnut@|@nisew (n)@
@chestnut@|@yam (n)@
@chestnut: thread ~s@|@yam-saye (vt)@
@chief@|@tono (n)@
@chief@|@yop (adj)@
@chief@|@pake (n)@
@chief@|@pa (n)²@
@chief@|@sapa (n)@
@child@|@heykaci (n)@
@child@|@hekaci (n)@
@child@|@ekaci (n)@
@chin@|@cinot (n)@
@chip off@|@rasu (vt)@
@chop@|@itata (vt)@
@chop@|@tata (vt)@
@chopsticks@|@sakkay (n)@
@chracter@|@maw (n)²@
@chracter@|@omaw (n)²@
@cicada@|@yaki (n)@
@cinder@|@pasna (n)@
@cinder: black ~@|@paspas (n)@
@cinder: hot ~@|@ape-usat (n)@
@circle: go in a ~@|@kari (vi)@
@city@|@kotan (n)@
@clam: Sakhalin surf ~@|@poki-sey (n)@
@clam: short-necked ~@|@ciwri (n)@
@claw@|@tekehe (n)(g)(x)@
@claw@|@ami (n)(g)(x)@
@claw@|@amihi (n)(g)(x)@
@claw@|@teke (n)(g)(x)@
@claw@|@tek (n)@
@claw@|@am (n)@
@clay@|@toy (n)¹@
@clay: white ~@|@ye (n)²@
@cleft wood@|@ras (n)@
@clever@|@ramu-an (adj)@
@cleverly@|@ramu-an-no (adv)@
@cliff@|@pira (n)@
@climb@|@turasi (vt)@
@close@|@cupu (vi)@
@close@|@cupu (vt)¹@
@close [near]@|@hanke (adj)@
@close the door@|@apa-si (vi)@
@close upon@|@kasu (adv)@
@clothe@|@mire (vt)@
@clothe: put on one's ~s@|@yay-mire (vi)@
@clothes: deer-hide ~@|@yuk-uru (n)@
@clothing@|@cimipi (n)(g)(x)@
@clothing@|@cimip (n)@
@cloud@|@kuri (n)¹@
@cloud@|@niskur (n)@
@cloud@|@kuru (n)¹@
@cloud@|@nis (n)@
@cloud: rain ~@|@wenkuriki (n)@
@clupea harengus@|@heruki (n)@
@clupea harengus@|@heroki (n)@
@coal@|@anci (n)¹@
@coarse@|@ruy (adj)@
@coat: elm bark fiber ~@|@attus (n)@
@coat: linden bark fiber ~@|@attus (n)@
@cocoon@|@heporap-wata (n)@
@cod@|@herekus (n)@
@cod@|@herekusi (n)@
@codfish@|@herkus (n)@
@cold@|@sinnam (n)@
@cold (to the touch)@|@yam (adj)@
@cold [sensation]@|@nam (n)@
@cold [temperature]@|@me (n)@
@cold [weather]@|@mean (adj)@
@cold water@|@yam-wakka (n)@
@cold water@|@yammakka (n)@
@cold: look ~@|@emetapunin (vi)@
@coldness@|@me (n)@
@coldness@|@sinnam (n)@
@collapse@|@teyke (vi)@
@collar bone@|@ninkew (n)@
@collect@|@uwekarpa (vi)(p)@
@collection@|@uwekarpa-i (n)@
@colloquial@|@momok-itak (n)@
@colour@|@tom (n)¹@
@comb@|@nuykar (vt)@
@comb@|@kiray (n)@
@come@|@ek (vi)(s)@
@come out of one's self@|@yay-asin (vi)@
@come to@|@ewsi (vi)@
@come to@|@ews (vi)@
@come: cause to ~@|@ekte (vt)@
@command@|@katurenka (vt)@
@common@|@susan (adj)@
@common@|@susam (adj)@
@common@|@momko (adj)@
@complete@|@yomne (vt)@
@complete@|@ewpakte (vt)@
@comrade@|@aynu (n)@
@conceive@|@yarat (vt)@
@conceive@|@yayrat (vt)@
@conceive@|@honkor (vi)@
@condition@|@maw (n)³@
@condition@|@mawe (n)(g)(x)²@
@condition@|@omaw (n)³@
@cone@|@tap (n)@
@congregate@|@uwekarpa (vi)(p)@
@congregate@|@uwekari (vi)(s)@
@congregation@|@uwekarpa-i (n)@
@consider@|@yaynu (vi)@
@consider@|@esanniyo (vt)@
@consider@|@ramor (n)@
@consideration@|@esanniyop (n)@
@consume@|@ku (vt)@
@contagious@|@turse (adj)@
@contain: be ~ed in@|@or (vi)@
@container@|@itanki (n)@
@contract@|@yomiyomik (vi)@
@contract@|@yoni (vi)@
@contracted@|@yomiyomik (adj)@
@convulse@|@macitke (vi)@
@cooked@|@cino (adj)@
@cool@|@meman (adj)@
@cool@|@namte (vt)@
@cool [sensation]@|@nam (n)@
@cool: make SB/ST ~@|@namke (vt)@
@cool: set to ~@|@namte (vt)@
@cord@|@atuhu (n)(g)(x)¹@
@cord@|@at (n)¹@
@cord@|@atu (n)(g)(x)¹@
@cord@|@harakika (n)@
@cord@|@harikika (n)@
@cork [stopper]@|@caruspe (n)@
@corpse@|@kewe (n)¹@
@corpse@|@kew (n)@
@corydalis ambigua@|@toma (n)¹@
@cotton@|@wata (n)@
@cottus pollux@|@cimakani (n)@
@countenance@|@katu (n)(g)(x)@
@countenance@|@sanca (n)@
@countenance@|@katuhu (n)(g)(x)@
@countenance@|@kat (n)@
@counterfeit@|@cinorep (n)@
@counterfeit@|@cinore (vt)@
@couple [people]@|@etun (n)@
@cousin@|@maciripe (n)@
@cover up@|@kasi-putu-unu (vt)@
@cover: outer ~ing of SB or ST@|@kap (n)@
@cow parsnip: edible ~ shoot@|@haru (n)@
@crab@|@ampayaya (n)@
@crab@|@ampay (n)@
@crab: horsehair ~@|@ampayaya (n)@
@cradle@|@sinta (n)@
@cramp@|@macitke (vi)@
@cramp type@|@roronke (n)@
@cramp: pins & needles ~@|@cinene (n)@
@cramp: pins & needles ~ of legstukunne (n)@|@tukunne (n)@
@cramped@|@hutne (adj)@
@cramped@|@macitke (adj)@
@cranium@|@onasi (n)@
@crataegus chlorosarca@|@ape-ni (n)¹@
@crippled@|@hera (adj)@
@crooked@|@ohuke (adj)@
@crooked@|@ohoke (adj)@
@crouch to catch@|@yonkor (vt)@
@crouch to catch@|@yonkoror (vt)@
@crow type@|@sirar-ewak-paskur (n)@
@crow: carrion ~@|@sir-paskur (n)@
@cruel@|@wen (adj)@
@crumb@|@ras (n)@
@crumble@|@ru (vi)@
@crumple@|@yomiyomik (vi)@
@crumple up@|@yomikyomikte (vt)@
@crumpled@|@yomiyomik (adj)@
@crush@|@nina (vt)@
@crust@|@cima (n)@
@cry@|@cis (vi)@
@cry aloud@|@hawki (vi)@
@cry: duck ~@|@wak (adv)@
@cub: bear ~@|@hepere (n)@
@cuckoo: Himalayan ~@|@tutut (n)@
@cuculus intermedius@|@tutut (n)@
@cup@|@itanki (n)@
@cup@|@tuki (n)@
@cup@|@pakes (n)@
@cup: lower-part of ~@|@tuki-num (n)@
@cup: wine ~@|@tuki (n)@
@curd@|@sirar (n)²@
@curled@|@cinoye (adj)@
@current: river ~@|@cu (n)@
@currycomb@|@nuykar (vt)@
@currycomb@|@nuykarape (n)@
@curt@|@tatne (adj)@
@curt@|@takne (adj)@
@custom@|@puri (n)@
@custom: Ainu ~s@|@aynu puri (n)@
@custom: universal ~@|@puri: sir-~ (n)@
@custom: universal ~@|@sir-puri (n)@
@cut@|@tuyetek (vt)@
@cut@|@tupeya (vt)@
@cut@|@tuye (vt)@
@cut@|@tuyetek (adj)@
@cut@|@tuyepa (vt)@
@cut@|@tuypa (vt)(p)@
@cut@|@tuy (adj)@
@cut@|@tuy (vt)(s)@
@cut into@|@sinnuye (vt)@
@cut off@|@tuytek (adj)@
@cut up@|@ca (vt)@
@cut up into fine pieces@|@aca (vi)@
@cut: things ~@|@tuyepap (n)@
@cutting board@|@manayta (n)@
@cutting board@|@manayta-cikuni (n)@
@cuttings@|@tuyepap (n)@
@daddy longlegs@|@ami-tanne-ya-oskep (n)@
@daddy longlegs@|@ami-tanne (n)@
@daily@|@kesto (adv)@
@dale@|@nay (n)@
@damp@|@pet (adj)@
@damp@|@teyne (adj)@
@damp place@|@pecir (n)@
@dance@|@rimse (vi)@
@dance@|@rimsep (n)@
@dark@|@kunna (adj)@
@dark@|@kunne (adj)@
@dark@|@sirkunne (adj)@
@darken@|@sirkunne (adj)@
@dawn@|@sirpeker (n)@
@day@|@to (n)²@
@day@|@toho (n)@
@day before yesterday@|@hoski numan (adv)@
@day: one ~@|@sine-anta (adv)@
@daybreak@|@ankes (n)@
@daylight@|@sirpeker (n)@
@dead: leggings for the ~@|@wen-hos (n)@
@dead: nearly ~@|@maymayke (adj)@
@dear [sibling usage]@|@wen (adj)@
@dear me@|@yak (!)@
@dear me@|@sir-an (!)@
@dear me!@|@humi (!)@
@death@|@ray-ampe (n)@
@death@|@ray-i (n)@
@death: accidental ~@|@yupkep (n)@
@death: at ~'s door@|@maymayke (adj)@
@debt@|@so (n)²@
@deceive@|@cinore (vt)@
@deception@|@cinorep (n)@
@deer@|@yuk (n)@
@deer-hide clothes@|@yuk-uru (n)@
@deer meat@|@yuk-haru (n)@
@deer track@|@yuk-apir (n)@
@defend@|@kasikewe (vt)@
@deformed@|@katawa-ne (adj)@
@demon@|@wempe-sani (n)@
@den [bear's]@|@cise (n)@
@den [bear's]@|@cisey (n)@
@den [bear's]@|@cisehe (n)(g)(x)@
@deny@|@esina (vt)@
@depart@|@simakoraypa (vi)(p)@
@depart@|@asureka (vi)@
@depart@|@simakoray (vi)(s)@
@dermatosis@|@mayayke-tasum (n)@
@descend@|@ran (vi)(s)@
@descend@|@san (vi)@
@descend@|@esor (vi)@
@descend@|@rap (vi)(s)@
@descend@|@ray (vi)¹@
@descent@|@sap (n)(p)@
@descent@|@san (n)(s)@
@despise@|@hepoko (vt)@
@destitute@|@heron (adj)@
@determine@|@esanniyo (vt)@
@devastate@|@wentek (vt)@
@devil@|@tumunci (n)@
@devil@|@wempe (n)@
@devil@|@tumunci-kamuy (n)@
@dew@|@kina-pe (n)@
@diarrhoea@|@tuyepuspuske-an (n)@
@die@|@wen (vi)@
@die@|@ekot (vi)@
@die@|@esini (vi)@
@die@|@ray (vi)²@
@die@|@tay (vi)(ain-NN)@
@die of hunger@|@yaycepekote (vi)@
@die: cause to ~@|@rayke (vt)(s)@
@diety: evil ~@|@wen-kamuy (n)@
@diety: owl ~@|@cikap-kamuy (n)@
@diety: owl ~@|@kotankor-kamuy (n)@
@diety: wind ~@|@rera-kamuy (n)@
@differ@|@sinnay (vi)@
@difference@|@sinna (n)@
@difference@|@sinnay (n)@
@different@|@woya (adj)@
@different@|@sinnay (adj)@
@different@|@oya (adj)@
@different@|@sinna-an (adj)@
@different: be ~@|@sinnay (vi)@
@differing@|@sinnay (adj)@
@digit@|@asikepet (n)@
@digit@|@asikipet (n)@
@diminish@|@yuk-utur-otpe-an (vi)@
@diminish@|@wempa (vi)@
@dipper@|@katken (n)@
@dipper@|@katken (n)@
@dirt@|@turi (n)(g)(x)@
@dirt@|@tur (n)@
@dirt@|@toy (n)¹@
