@English@|@Ainu@
@> ape-huci-kamuy (n)@|@iresu-kamuy (n)@
@> ape-huci-kamuy (n)@|@ape-kamuy (n)@
@> ape-huci (n)@|@iresu-huci (n)@
@> ape-huci (n)@|@kamuy-huci (n)@
@> ape-huci (n)@|@ape-kamuy (n)@
@> ape-huci (n)@|@iresu-kamuy (n)@
@> ape-huci (n)@|@ape-uci (n)@
@> ape-huci (n)@|@onne-huci (n)@
@> ape-huci (n)@|@unci-kamuy (n)@
@> ape-huci (n)@|@ape-huci-kamuy (n)@
@> ape-kamuy (n)@|@iresu-kamuy (n)@
@> ape-kamuy (n)@|@iresu-huci (n)@
@> ape-kamuy (n)@|@ape-huci (n)@
@> ape-kamuy (n)@|@unci-kamuy (n)@
@> ape-kamuy (n)@|@onne-huci (n)@
@> ape-kamuy (n)@|@ape-huci-kamuy (n)@
@> ape-kamuy (n)@|@kamuy-huci (n)@
@> ape-kes (n)@|@ape-kis (n)@
@> ape-kis (n)@|@ape-kes (n)@
@> ape-kor (vi)@|@ap-kor (vi)@
@> ape-kor (vi)@|@ap (n)¹@
@> ape-ni (n)²@|@ape-cikuni (n)@
@> ape-nipek (n)@|@ape-nupek (n)@
@> ape-nupek (n)@|@ape-nipek (n)@
@> ape-nuy (n)@|@nuy (n)@
@> ape-oy (n)@|@ape-sokot (n)@
@> ape-seseki (n)@|@ape-seseku (n)@
@> ape-seseku (n)@|@ape-seseki (n)@
@> ape-sokot (n)@|@ape-oy (n)@
@> ape-uci (n)@|@ape-huci (n)@
@> ape (n)@|@unci (n)@
@> ape (n)@|@huci (n)¹@
@> ape (n)¹@|@ap (n)¹@
@> ape (n)²@|@ampe (n)²@
@> apekus (vi)@|@apa (vi)@
@> apetumpe (n)@|@ape-etumpe (n)@
@> aputki (n)@|@yattuy (n)²@
@> aputki (n)@|@toma (n)²@
@> aputki (n)@|@sokkar (n)@
@> araka (vi)@|@arka (vi)@
@> ari (pop)@|@ani (pc)²@
@> arka (vi)@|@araka (vi)@
@> arpa (vi)(s)@|@arupa (vi)(s)@
@> arpare (vt)@|@arupare (vt)@
@> arupa (vi)(s)@|@arpa (vi)(s)@
@> arupare (vt)@|@arpare (vt)@
@> aruwa (adj)@|@arwa (adj)@
@> aruwa (adj)@|@aruwan (adj)@
@> aruwa (adj)@|@arwan (adj)@
@> aruwan (adj)@|@arwa (adj)@
@> aruwan (adj)@|@aruwa (adj)@
@> aruwan (adj)@|@arwan (adj)@
@> arwa (adj)@|@arwan (adj)@
@> arwa (adj)@|@aruwan (adj)@
@> arwa (adj)@|@aruwa (adj)@
@> arwan (adj)@|@arwa (adj)@
@> arwan (adj)@|@aruwan (adj)@
@> arwan (adj)@|@aruwa (adj)@
@> as (vi)²@|@ruy (vi)@
@> asikepet (n)@|@asikipet (n)@
