@English@|@Jingpho@
@length in opposition to width@|@dingdung@
@length of two hand-breadths@|@zhum@
@leopard@|@khang-khji, šäro, šärong@
@let fall@|@phra@
@level@|@pye@
@level country@|@gädung@
@level road@|@numda'@
@libiduous desire@|@ngang@
@lick@|@šinglep@
@lie down@|@kä, leng@
@lightning@|@myi'-phrap, nphrap@
@like@|@zhu@
@locusts@|@dinggam@
@long@|@gälu, ningjan, rèng@
@long strips of shavings@|@n-non@
@look after@|@mäzhan@
@look for@|@tam@
@love@|@nwai@
@lower@|@läwu'@
@lower part of the spinal chord@|@mängu@
@lower screen over fireplace@|@kärap@
@luck@|@gam@
@luxuriant@|@jang@
@make@|@di@
@make a hole in ox's nose@|@na'@
@make fun of@|@gja, kja@
@male@|@wa@
@malignant female nat@|@son@
@malignant nat@|@šäpot@
@mallet@|@sumdu@
@mantra@|@khju@
@manure@|@phun@
@matter@|@ní@
@measure of capacity@|@bje@
@metal@|@zha@
@middle@|@gä-ang@
@mildew@|@chämu@
@milk@|@chu'@
@millet@|@gji, ja, šägji, šägji@
@minced meat@|@päsa@
@minute worms@|@känu@
@mix@|@käjau@
@mix as by pouring from bottle@|@gälet@
@modesty@|@ägam@
@monkey@|@woi@
@monster@|@märo, märong, numro@
@moon@|@šäta@
@morning@|@zhäpho@
@mortar@|@thum@
@mother-in-law@|@ni@
@mould@|@mäšu@
@mountain@|@bum@
@mouse@|@ju@
@move slowly up and down@|@äwam@
@much@|@lo'@
@multiply@|@mäjat, tham@
@munch@|@mom@
@mushroom@|@kämu@
@nail@|@phri@
@naked@|@krin@
@name@|@mjing@
@narrate@|@ginron@
@narrow ravine@|@läkhjon@
@native beer@|@chäru, ru@
@navel@|@šädai@
@near@|@ni@
@neck@|@du'@
@nest@|@cip@
@nettle@|@cämat, mat-tung@
@new@|@nan@
@new growth@|@nsing@
@new paddy@|@mätut@
@night@|@šäna'@
@nine@|@zhäkhu@
@nit@|@ci-ru@
@noble@|@nsang@
@nose@|@lä ti@
@not bent@|@gäjan@
@not tall@|@nem@
@not to sink@|@wo@
@nothing@|@ma@
@notoriously severe@|@gumšem@
@novice@|@šälum@
@observe@|@ju@
@odor@|@bat@
@odour@|@mänam, urang@
@one@|@an, anhte, anhteng, ngai@
@open air entertainment@|@ninseng, nseng@
@opening@|@khu, nkhun@
@otter@|@šäram@
@outside of the ears@|@läbjing@
@oval@|@mäjon@
@overhelmed@|@kätan@
@owl@|@u-khu@
@paddy@|@ma, mam@
@paddy ready for husking@|@chäkhrau@
@paddy-bin@|@ndum@
@pass@|@lai, šälai@
@pass over@|@kot@
