@in-law@|@-ntil-, -ntir-@
@inside@|@ša-@
@iron@|@kina-, rkina-@
@it concerns you@|@go-x-u@
@jaybird@|@chxvik-@
@joint@|@ocxond-, oncxond-@
@keep warm@|@täb-, tib-@
@key@|@käla, kila@
@kindling@|@no-te@
@king@|@ma-p-a@
@kite@|@zhazh-a@
@knee@|@muxur-@
@lamb@|@kärib-, kirib-@
@landfall@|@no-'ur-@
@last year@|@go-co-s@
@laughter@|@xorxoš-@
@lay@|@d-, dv-@
@lay down@|@rg-@
@leather bag@|@guda-@
@leech@|@curvel-@
@left@|@kwarchxan-@
@leg@|@bork, kuchx-@
@let go@|@ta-l-@
@lime tree@|@cucxv-at-, cxacxu@
@link@|@cx-, rcx-, rsx-, sx-@
@little@|@pic-@
@little finger@|@nak-u@
@little stick@|@chxinzh-, ckir-@
@liver@|@qwižil-@
@lizard@|@xol-ar-, xvel-ar-, xvi-ar-, xvil-ar-@
@locative stem@|@-k-@
@locust@|@kol-@
@loft@|@cxven-, cxvend-, cxvin-, cxvind-@
@louse@|@ti, tišon-@
@lowland@|@nog-a, nog-o@
@luck@|@u-bad-o@
@lungs@|@pirtv-, pižv-@
@made deep@|@eno-rgoma@
@maggot@|@muntur-@
@make a hole@|@rxu-, rxv-, xur-, xvir-, xvir-at-, xvir-it-@
@make noise@|@ckir-@
@male@|@koch-, muma-, mumul-, xod-@
@mane@|@popor-@
@maple@|@lakinchxa-@
@marten@|@kvinor-@
@meat@|@xorc-@
@medlar@|@ckimuntur-, cxumuntur-, cxumutur-@
@Megrel@|@m-arg-al-@
@meskh@|@mosx-@
@middle@|@ška-@
@milk@|@bža-@
@mill gutter@|@gore@
@millet@|@pat-@
@millet bread@|@chkid-@
@mineral spring@|@menzh-@
@Mingrelian@|@margal-i@
@misfortune@|@kwarchx-@
@mist@|@närs-, nirs-@
@mix@|@tkvap-@
@mixed with water@|@ako-cqor-ua, cqor-il-@
@moisture@|@mere@
@moon@|@tuta-@
@morning@|@chume, ordo-@
@mosquito@|@kogo-, kogona-, kogunia-@
@moth@|@kikil-, kirkil-@
@mother@|@dida, nana@
@mountain goat@|@erckem, erskem@
@mourn@|@rg-, rgw-@
@murmur@|@burdgin-, dgirdg-, dgirdg-in-@
@mushroom@|@soko-@
@my@|@chkim-@
@naked@|@tutel-@
@name@|@zhox-, zhoxo-@
@navel@|@chapan-, chip-, chipe-, ompa@
@neck@|@kind-ir-@
@needle@|@lepš-, leš-, liš-@
@nest@|@bude-@
@net@|@mos-a@
@night@|@ser-@
@nightshade@|@od@
@nine@|@chxoro@
@nit@|@chkir-@
@noise@|@dgir-, dgur-@
@nose@|@chxind-, chxvind-, mi-švit-ia@
@not@|@nämä, nu; numu, var@
@notice@|@tqu-, tqv-@
@now@|@ac, aci, anc-, anci-@
@oak@|@chqon-@
@oatmeal@|@kum-u@
@obey@|@rchk-@
@occur@|@xvad-@
@old@|@zhv-eš-@
@older@|@uchaš-, unchaš-@
@one@|@art-@
@one time@|@švan-@
@only@|@xwale@
@orphan@|@ombol-@
@other@|@šxva-@
@our@|@chkän-, chki-, chkin- chkä-@
@overfill@|@jgib-, ziz-in-@
@owl@|@gu@
@pack@|@xva-@
@paddock@|@boga@
@palisade@|@masar-@
@pan@|@kwib-@
@part@|@cal-@
@partridge@|@kokob-e@
@pear@|@sxul-@
@penis@|@'ol-e@
@pestle@|@chax-, chaxw-@
@pharynx@|@xorxota@
@pierce@|@kirt-on-@
@pig@|@gezh-@
@pigeon@|@toronzh-@
@pigling@|@tu-, tul-ep-@
@pigsty@|@o-askwu, o-sk-u@
@pile of stones@|@xorg-@
@pit@|@duru@
@plait@|@chimoš-, chumoš-@
@plane@|@tol-@
@possess@|@gw-@
@pretty@|@sk'vam-, skvam-@
@prick@|@lekal-@
@prop@|@o-bax-e@
@pubes@|@chem-, rchem-@
@pull@|@zind-@
@puppy@|@lakv-@
@pus in eye@|@chirp, cirp@
@pussywillow@|@chichon-, zichon-@
@put@|@dg-, dgim-, dgin-, dgum-@
@quail@|@chqor-@
@raft@|@tiw-@
@ram@|@erzh-, och-@
@rank@|@juge@
@ravine@|@xab-o@
@raw@|@ladär-, ladir-@
@recite@|@kitx-@
@recognize@|@chin-@
@reed@|@lar-cham-, lar-chem-, larcham-, larchem-@
@report@|@c-, ci-, co-, cu-@
@rhododendron@|@pšker-, šker-@
@right@|@marjgw-an-@
@ring@|@marckind-@
@river@|@gal-@
@road@|@o-rz-ol-, za@
@roar@|@gärin-, girin-, gum-@
@rock@|@kärda, kärde, kirda, kirde@
@roebuck@|@skver-@
@roll@|@bur-, murgr-@
@root@|@pos-, posv-@
@rough@|@zhgvizhgv-in-@
@round@|@kwar-, kwarkwal-ia@
@sacred object@|@o-xom-al-a@
@saliva@|@lerchqva@
@salive@|@ležv-a@
@salt@|@zhimu@
@salty@|@cqät-ä@
@sand@|@psila-, sila-@
@scare@|@kut-@
@scent@|@šur-@
@scowl@|@brdgven-@
@scythe@|@cal-@
@sea@|@zgw-a@
@season@|@zo-tonzh-@
@second@|@cum-, cun-@
@sedge@|@isir-, lisir-@
@segment@|@kvet-, na-kvet-@
@separate@|@zoxo@
@seven@|@škvit-@
@shallow@|@marchxa@
@sharpen@|@chak-@
@shirt@|@o-sar-e@
@short@|@kule@
@shoulder@|@xuzh-@
@sigh@|@kus-, kus-an-@
@silver@|@warchxil-@
@simple@|@jak-@
@sinew@|@zhergw-@
@sing@|@gargal-, gor-, gwar-@
@sink@|@'urš-@
@sister@|@da@
@six@|@amšw-@
@skin of sheep@|@montqor-@
@sky@|@ca-@
@slave@|@chkor-@
@sleep@|@lur-, rul-@
@slobbery@|@ležv-am@
@small@|@chik-u, chuk-, kuch-, kut-, kut-@
@small nut@|@txir-@
@small pomegranate@|@burcumel-@
@smoke@|@bol-, kum-a, lol-, lul-@
@snake@|@gver-, ngver-@
@snake cartilage@|@xa-@
@snow@|@tir-, tu-@
@so@|@a-š-i, e-š-i, ta-š-i, te-š-i@
@soak@|@gvar-@
@soft@|@butqu, chkächkä-, chkichk-, lib-, lib-u@
@son@|@skua@
@sour@|@kox-a, kox-u@
@spare@|@cqolop-@
@speak@|@tk-, tkum-, tkw-@
@speckle of dust@|@twer-@
@spider@|@bobolia, borbolia@
@spikes in cereals@|@ocxvacxvinaia@
@spines of chestnut@|@bujga@
@spleen@|@tqip-@
@splinter@|@no-xap-ul-e@
@split@|@tkic-@
@spoon@|@käz-, kiz-, kowz-@
@sprinkle@|@chkap, mchkap@
@squeeze@|@chqachq-, chqanchq-, jgajg-, jgajg-, jgazhg-, z-, zal-, zu-@
@stagger@|@qunt-al-@
@stake@|@borzhg-, bozhg-@
@steep@|@sol-@
@sterile@|@burch-@
@stick@|@chort-@
@stone@|@kua@
@stone wall@|@'or-@
@stout@|@šxu, šxul-ep-i@
@straight@|@ckvent-er-e@
@strap@|@gwed-@
@straw@|@cu@
@string@|@g-@
@stump@|@buk-, zhik-, zhirk-@
@sturdy@|@mangar-, mangar-@
@sturgeon@|@zäntx-, zuntx-, zutx-@
@successful@|@morjgw-@
@suitable time@|@e-dor-ia@
@summit@|@konchx-@
@sun@|@bža, mža@
@supporting post@|@zhgunzhg-@
@Svan@|@šon-@
@swallow@|@ma-chirx-ol-, ma-rchix-ol-@
@sweat@|@up-, upu@
@tail@|@kud-el-, zhu-a@
@take care of@|@chu-, chv-@
@tar@|@dgwindgw-@
@tear@|@chilamur-, zhgäzhg-on-, zhgizhg-on-@
@ten@|@vit-@
@term@|@rdo@
@thin@|@chkol-a@
@this@|@a-@
@this year@|@cä, ci@
@thistle@|@burd@
@thorn@|@jig-ir-@
@thorny bush@|@zhagv@
@thorny plant@|@burjg-@
@thou@|@si-@
@three@|@sum-@
@throat@|@'al-, qorq-el-, qorqont-, qurq-el-@
@thumb@|@chanzh-i-kit-@
@tick@|@girzhgibe@
@tinder@|@obed-@
@tip@|@dud-@
@to ache@|@cq-in-, cq-un-@
@to acquire@|@'id-, g-@
@to appear@|@chkind-, rchkind-@
@to attach@|@pon-@
@to be@|@or-, r-@
@to be appropriate@|@škid-@
@to be at leisure@|@chol-@
@to be awake@|@kurcx-@
@to be droughty@|@gol-@
@to be dry@|@skär-, skir-, xom-, xum-, xum-@
@to be eaten away@|@xichon, xichor@
@to be enough@|@bag-@
@to be filled@|@pš-, š-@
@to be first@|@cor-@
@to be hungry@|@škär-, škir-@
@to be late@|@cxad-@
@to be long@|@gänj-, gärj-, ginj-, girj-@
@to be round@|@mo-rgv-, rgval-@
@to be satiated@|@rjg-@
@to be satisfied@|@rxin-@
@to be scared@|@gal-@
@to be seen@|@ton-@
@to be sterile@|@cud-@
@to be surprised@|@oc-, orc-@
@to be thin@|@txitx-u@
@to be ugly@|@zhog-@
@to be useful@|@rg-@
@to be willing to@|@zozh-@
@to beat@|@žaž-@
@to befoul@|@gingol-@
@to begin@|@chq-, rt-@
@to believe@|@rcum-@
@to bend@|@gun-@
@to bind@|@kär-, kir-@
@to block@|@kid-@
@to blow@|@bar-@
@to boast@|@purx-on-@
@to boil@|@gib-, pu-, škušk-@
@to break@|@ckack-, sip-, škil-, škil-, sp-, tax-, tex-@
@to break apart@|@chkachk-@
@to break in pieces@|@chxink-ol@
@to brust (1)@|@xerck-, xirck-@
@to burn@|@ch-, chw-, tkutk-@
@to burst@|@ntker-, ntkir-, ntkor-, pašk-, pešk-, xarck-@
@to buzz@|@zu-, zu-l-, zv-, zv-il-@
@to cackle@|@karkal-@
@to call@|@xäma, xoma, xum-, xuma@
@to caress@|@sirs-@
@to castrate@|@'var- v., 'vazh- n.@
@to catch one's breath@|@kal-, nkal-@
@to chaw@|@dgrap-, tkvap-@
@to chew@|@ckack-, ckanck-, kank-@
@to chirrup@|@chirx-@
@to choke@|@xup-@
@to chop@|@chig-, chigon-@
@to chop branches@|@cxont-, cxot-@
@to churn@|@pint-@
@to clean@|@xinc-@
@to clean of dregs@|@ckond-@
@to close the eyes@|@ckur@
@to collect tribute@|@zär-, zir-@
@to comb the hair@|@rcxon-@
@to contain@|@ntir-, ti-, tr-@
@to coo of dove@|@gugin-@
@to cool down@|@kir-@
@to cough@|@xval-@
@to count@|@ko-rocx-@
@to cover@|@por-, rt-, rtv-@
@to crack a nut@|@tkvar-@
@to crackle@|@tkarch-@
@to creep@|@xox-@
@to creep up@|@bac-, cac-@
@to cry of cock@|@'i-@
@to cry piercingly@|@rchxi-@
@to curse@|@chq-, chqu-@
@to cut@|@chkär-, chkir-@
@to cut branches@|@rsxil-, sxil-@
@to cut in little pieces@|@chkachk-, ckep@
@to cut with a dull knife@|@girjg-on-@
@to dance@|@chak-@
@to darn@|@bur-@
@to decay@|@xichon-@
@to deceive@|@gor-@
@to decorate@|@skv-@
@to defecate@|@jgv, njg-, njg-um-, njgv@
@to define@|@rchkin-@
@to descend@|@cur-@
@to destroy@|@cq-, ncqv-, šär-, šir-@
@to die@|@gur-@
@to dig@|@chkichkon-@
@to dip@|@c-, cu-@
@to dirty@|@txip-, txitx-on-@
@to dirty oneself with clay@|@lip-@
@to do@|@gol-, kim-@
@to draft@|@cärid-, cird-, cirid-@
@to drag@|@ntir-, tir-@
@to dream@|@zim-@
@to drink@|@šu-, šu-m-, šv-@
@to drive@|@lol-, lol-, ra'-@
@to drop@|@chvat-, chvet-@
@to drop in water@|@dgwab-@
@to eat@|@chkom-, chkum-@
@to eat a lot@|@qaq-@
@to eliminate bitterness@|@gito-chor-ap-@
@to embrace as a bear@|@gurž-, gurzh-@
@to entice@|@bir-@
@to expand@|@pipin-@
@to exterminate@|@zgod-, zgvind-@
@to extinguish@|@škirat-, škirit-, škirt-@
@to exuviate@|@rxin, xin@
@to fall@|@ntx-, tx-@
@to fall on@|@ntx-@
@to fart@|@tqor-in-@
@to fight@|@burzh-, xich-@
@to fill up@|@kvax-@
@to flap the wings slowly@|@porpot-@
@to fly@|@pur-in-@
@to fold@|@käch-, kich-@
@to forge@|@chkad-@
@to forget@|@chqolad-, chqolid-, chqord-@
@to fuss@|@poc-, puc-@
@to gather@|@kat-, korob-, korop-@
@to get bright@|@tan-@
@to get dark@|@rum-@
@to get used to@|@g-, gu-, rchkv-@
@to get wet@|@cump-@
@to gird@|@rtq-@
@to give@|@ch-, ch-am-@
@to give a good beating@|@baz-@
@to glide@|@cxilat-, cxilit-, cxirt-, zirt-@
@to glitter@|@rckin, wal-@
@to glue@|@chab-@
@to gnash the teeth@|@gärck-, gärckin-, girck-, girckin-@
@to gnaw@|@garg-, girg-on-, xirx-on-@
@to go@|@id-, ol-, ul-, ur-@
@to gobble@|@lekw-, räskon-, riskon-, rtkap-, tkvap-@
@to gobble down@|@bu`on@
@to graft@|@'on-@
@to grin@|@ginzhg-in-, granzh-@
@to grind roughly@|@chkarchk-@
@to grow@|@chan-, rd-@
@to grunt@|@dgur-, gvint-, ndgur-@
@to guffaw@|@xwixwin-@
@to gurgle@|@rachx-@
@to hack@|@tqiraš-, tqiriš-@
@to hang@|@kid-@
@to hang of a multitude@|@šx-, šx-äm-, šx-im-@
@to harm@|@n-@
@to have@|@'-, 'u-, 'v-@
@to hear@|@säm-, sim-@
@to hiccup@|@šik-in-@
@to hide@|@pul-@
@to hit@|@rag-, ragv-@
@to hoe@|@barg-, berg-, xachk-@
@to howl@|@'ur-@
@to huddle@|@xut-ol-@
@to insert@|@s-, sv-@
@to instruct@|@zokul-@
@to invite@|@chan-@
@to jog@|@jvanjval-@
@to join@|@rt@
@to jump@|@cor-, ncor-@
@to knead@|@cax-@
@to know@|@chkun-@
