@English@|@Ket@
@knife@|@do'n, donäng, donul, donuläng@
@knot@|@bonggul, bongguläng, bongul, bonguläng@
@lake@|@de', dëng@
@leading strings@|@aqqäl, aqqälang, aqqälangyn@
@leaf@|@l:, l:ng@
@leech@|@ulol@
@leg@|@bül, buläng@
@let go@|@ultij@
@lid@|@kuläm, kulem@
@lie with one's face@|@qep-ghot, tqelut@
@light@|@bejing, kl'n@
@lightning@|@ëkna bök, qog ëk@
@loft@|@e'ng, i'@
@log@|@bágä@
@long@|@i'n, i'n, ïn, ïn, ugdä, ugdeng, ugsi@
@long ago@|@i'n, ïnam@
@loop@|@l'k, lgding@
@louse@|@l:gä, lg, lgen@
@low@|@hïtim@
@mad@|@doqs, qaqbet@
@male deer@|@ý, y:n, ygän, yksi@
@mammoth@|@tëkng, tël, teläng@
@man@|@hïg, hïgä, hïgen, ho'n, ke't, ket@
@many@|@o'n, o:ne, on@
@marrow@|@kogat, koneng@
@martlet@|@bi:l, bi:leng, bi:lt, bïleng, bïltäng@
@matchmaker@|@bolbes, bolbesam, bolbesn, boles@
@meadow@|@o'ng, u@
@meat@|@ïs, kït@
@men@|@deng@
@middle@|@kÿ@
@milled boot@|@te's, te:si, tes, tesing@
@mind@|@anun@
@mitten@|@bo:n, boghon, boghonyng, böq@
@molar tooth@|@á, a', agitäng@
@mole@|@banguja@
@moon@|@qi:n, qïp@
@morning@|@hygem, qónoks@
@moss@|@do:n, dogon@
@mother@|@ám, amäng@
@mould@|@hu's@
@mountain@|@qa'j, qangneng@
@mouse@|@u:tä, u:ti, ut, utä, ütn@
@mouth@|@qö, qo'n@
@mouth cavity@|@agdi, akngi ïteng@
@much@|@bèajam, bèjam@
@mushroom@|@bolba, bolban, bolva, bolvan@
@my@|@ábä, áp, ávä@
@name@|@e'ng, ï@
@narrow@|@hátam@
@naughty@|@hítaq@
@near@|@ütis@
@neck@|@kbqt, kbqty, klqtan@
@needle@|@enäng, i'n@
@neighbouring@|@qo:j, qonams@
@Nenets@|@dbdäng, dbgät, dlkket@
@nephew@|@hytet@
@nest on earth@|@halchej@
@net needle@|@dlmbok, dlmbok, dlmbokng@
@nettle@|@kïtn@
@new@|@ki', ki:se, ki:si@
@next year@|@dynas, ongtel, ungtol@
@niece@|@hytam@
@nit@|@lgynok@
@no@|@ta:ng@
@nose@|@ánggon, olän, olen, olgen, ólgen, olyn@
@not@|@bbn@
@not loud@|@uma:t, üns@
@not to touch@|@ej...ta@
@now@|@ën@
@nut@|@ïm@
@oakum@|@ketling@
@oar@|@ha:jä, ha:ji, haj, háj, hajä@
@often@|@böt@
@old@|@ka't, kateng@
@old man@|@bátäng@
@old woman@|@ba:m, ba:t, bamäng, batäng, bo:m, bo:t@
@on the side@|@lamga@
@one@|@qo'k, qüs, qusäm@
@one more time@|@hä, háj, hás, hy@
@one time@|@hás@
@onself@|@bin@
@opening@|@kü, küneng@
@other@|@bï, bïget, bïk@
@otherwise@|@bikse@
@our@|@bta, btna@
@owl@|@hïkng, hy'j, hykng@
@palm of hand@|@batäng, battäng, battop, qobdi, qopt@
@paper@|@esla, eslan@
@peg@|@esäng, i's@
@penis@|@by's, bysäng@
@people@|@de'ng@
@piece@|@láptaqng@
@pike@|@qu:dä, qu:n, qukng, qükng, qur@
@pimple@|@boksa, boksan@
@pine@|@ajgit, e'n, ëj@
@pine forest@|@qokng@
@plait@|@kät@
@podex@|@ko't, kodäng, koreng@
@pole@|@qe:dä, qe:hn, qedä, qédeng, qer, qéreng@
@pole of the tent@|@lngn, lngneng@
@powder@|@dl:l@
@pregnant@|@qássej, qessej@
@price@|@kedäng, kereng, ki't@
@prince@|@qÿj, qyjeng@
@puddle@|@hä:nul@
@puppy@|@y:ntap, y:ntip, yntap, ýntip@
@pus@|@do'ng@
@put down@|@dadávere, dáverej, dij, qan rij@
@quickly@|@däqta, dlqtä, qÿla@
@quiet@|@än, ln@
@quietly@|@albät, qük@
@quietly of talking@|@dy'n@
@quiver for arrows@|@l't, ltn@
@rabbit@|@be's@
@rain@|@ules@
@rapid@|@bangas, bangäsn, banges@
@refuse@|@ql't@
@resin@|@dik@
@resound@|@bibbä-ta@
@rib@|@uledäng, uleräng, ulet@
@right@|@bóghat, böghat@
@river@|@big qol, qághol, qo'l, qolin, qük@
@river source@|@uta, üta, ütl@
@ro smell something@|@ittej@
@road@|@qÿk, qykseng@
@rod@|@ulan, ulanäng@
@roe@|@ongning@
@roe egg@|@ongdis@
@root@|@ti:dä, ti:n, tidä, tïdäng, tïdeng, tir, tïreng@
@root (1)@|@tïreng@
@round@|@hyrymtang@
@ruff@|@halg, halgä, halgen@
@rump@|@u't, udäng, ureng@
@rust@|@agul, aul@
@sable@|@e:dä, edä, eri@
@sack@|@a:ji, aj, ajeng@
@saliva@|@uläng, ultij@
@salt@|@tl'@
@sand@|@hlnäng, qe's, qedäng, qereng@
@saw@|@qongäs, qongäsing, qongi:s@
@scoop@|@hi'n, hïneng, taqpäm@
@seam@|@állän, dállän, dallyn, dallyngän@
@selkup@|@la'k, lagen@
@separate@|@belyng, l:l'@
@separately@|@benä, bene@
@seven@|@o'l@
@shaft@|@d¨l, d¨lingyn, düli@
@shaman's drum@|@ha:sä, ha:si, has, hás@
@shape@|@qong@
@sharp@|@ët, ëti, eting@
@she is born@|@sigitonoqs@
@shore@|@agä, qatop, qatopang, qatü:ng@
@short@|@ho'l@
@shoulder blade@|@aksarang, aksedang, oksat@
@shoulder joint@|@kentäbul, kentäbuläng@
@shovel@|@e'p, e:n@
@side@|@la'm, lám, lamen, qolap@
@si-g-bataq@|@she is born@
@simple@|@u't@
@sinew@|@da'l, daleng@
@sit down@|@üng@
@six@|@á, a', a:sen, as@
@skin of animal@|@ï, i'ng, ingolt, ingoltä, ingoltäng@
@ski-strap@|@e:se, es, ësing@
@sleeve@|@banna, bannan@
@sleigh bow@|@e:baq, e:boks@
@sleigh runner@|@y'n, y:ne, ýneng@
@slide down@|@hu:n, húnbang, húnej, húnij, húnsül@
@sliver@|@te, te:, te:gä, te:kng@
@sludge@|@u'l@
@small@|@hlna, imda, imdahbna@
@small bird@|@d¨m, dumn@
@small fish@|@höt@
@smell@|@ït@
@smoke@|@du', dügoräng, dügot, dügoteng, düneng@
@snow@|@be't@
@sober@|@hönal@
@soft@|@homylëng@
@son@|@hy'p, hyba:ng, hybang, hyp@
@son-in-law@|@be'p, bebäng, e:ne, en, ënin, enn, ënn, enne@
@soon@|@a't@
@soot@|@kbq@
@soul@|@atpej, atpejeng@
@soup@|@u'k@
@source@|@tajla, tajlop@
@spend the day@|@-vit@
@spend the night@|@-sál@
@spider@|@ellymyn, ely:m, elymyn@
@spinldle@|@hllemn, hylem, hylemn@
@spirit@|@eläng, ï'l, ïl@
@spit@|@qldäng, qlreng, qy'@
@splint@|@anggäl@
@spoon@|@qbkt, qbktä, qlktäng, qlktaq, qlktaqng@
@spreader for skin drying@|@hi'p, hi:ng@
@spring@|@y:dä, y:ri, ydä, ydäng, yr, yreng@
@star@|@qo', qo:n, qogh@
@stay behind@|@agynd, agynt@
@sterlet@|@ök, oksin@
@stick@|@abyl, ábyl@
@still@|@his@
@stone@|@tl'ng, tlnga:n, ty's@
@storm@|@tugil, túgulbej@
@stream@|@qÿn, qÿne@
@strength@|@ü@
@string@|@ángä, ku't, küdäng, küreng@
@strugeon@|@ees, es@
@suddenly@|@lpqas, lqäs@
@suffusion@|@o'l, oleng@
@sun@|@ï, igán@
@swampy place@|@kldäng@
@swan@|@tïg, tïgä, tïgin@
@sweat@|@á@
@sweet@|@hi'l, hïl, hilang, hïlang@
@tail@|@hu:t, hüdäng, hüräng@
@tail of birds@|@ha:sä, ha:si, has, hasä, hïs@
@tail of fish@|@hoda, hoda:n, hodap, horá, horap@
@take!@|@ma, ma'@
@tasty@|@da'ng@
@ten@|@qö, qös, qösen@
@testicles@|@oltäng, ultang@
@that@|@qáde, qár, qáre@
@the inside@|@köqt, köqty@
@there@|@kasa:ng, kasang, kaseng@
@there is not@|@bbnchäng, bbnseng, bbtseng@
@these@|@kina@
@thick@|@bo'l, boleng, quseng, qusing@
@thick bushes@|@ha:tä, hat@
@thick of paper@|@blsl@
@thigh@|@agdis, agdisn, kílarang, kílat, kílet, kíllat@
@thin@|@haksem@
@thin rods of birdcherry tree@|@hl:ghä, hlgh, hlqng@
@this@|@kida, kïdä, kïr, kiré, kïre kire@
@this is whole@|@egäm@
@thorm@|@'lmas, 'lmasing@
@thorn@|@qlmäl, qlmbäl, qlmlej, qlmyl@
@thou@|@ü@
@three@|@do'ng, döng, dongäm, dongäng@
@throat@|@klgäl, klgyläng, kllaräng, kllat, klletn, kllit@
@throat (1)@|@klledäng@
@thrust@|@hósej@
@thumb@|@ql:l, qlnggäl@
@thunder@|@ekkin, ekng, ëkng@
@tin@|@úmla, umula@
@tkeqsibet@|@to buy@
@to  breathe@|@elingbet@
@to ask@|@tivíj@
@to bark@|@da:mä, dam@
@to be@|@useng@
@to be angry@|@qljbes@
@to be bad@|@ajta@
@to be finished@|@-ghut, -qut@
@to be ill@|@a:dä, adä@
@to be visible@|@lgh-, lgha-@
@to beat@|@aldo, altet, diatet, dietet, ta:dä, ta:ri, tar@
@to become@|@-a, ávghan, qan@
@to become angry@|@ajet@
@to become hoarse@|@dl:l'ej, dl:lej@
@to bend@|@abygët, haldij@
@to bind@|@anggej, angyngej, iksing@
@to blink eyes@|@laktej@
@to blow@|@du:p, dúgap, dugáppej, ugij, úgij@
@to boil@|@bn, l:n@
@to bore@|@klgynej@
@to break@|@ilbät, ilvät@
@to bring@|@igbis, igvis@
@to buckle@|@entij@
@to burn@|@-roq@
@to buy@|@tkeqsibet@
@to catch@|@tongtet, toptet@
@to cawl@|@kit@
@to change@|@sigho@
@to chew@|@hýldang@
@to clean@|@ábbet@
@to climb@|@qu:tä, qu:ti, qut, qutä@
