@English@|@Kott@
@leg@|@pul@
@legs@|@pulan, puláng@
@light@|@kining, kinïx, linïgän, taganang, takantu, tegan, tekán, tyganá@
@lightning@|@kanan-a žujban, kanan-ichiban, kananggichiban, kanángichibàn@
@linx@|@šumurch-ögana, šumurch-ögatn@
@lip@|@dan, dán, dánang@
@lips@|@anag@
@little@|@imirangága, imyrangága@
@live@|@alaujang, alek, jan@
@liver@|@šichil@
@log@|@pëg, pëx@
@long@|@ui, ujga@
@look there@|@hätola@
@louse@|@ikáng, iki@
@low@|@hánala, tugiga, túgiga@
@lungs@|@šichátang, šichátn, šišatyn@
@lying on one's face@|@hïpa@
@make@|@bapajang@
@male@|@ig, igíg@
@male dog@|@alšip, iga-alchip@
@male of a wild goat@|@pién-ki@
@man@|@fan, fï, fïa, het, hit, hyt, il-it, pijal, xit@
@many@|@pajang@
@meadow@|@ögang, öx@
@meat@|@ich, ïchang, ichi, ïchi@
@metatarsus@|@pulpatap@
@midday@|@al-ïg, al-ïx@
@middle@|@haptu, tagar-fui@
@midge@|@althïtega, althïtegan, althiteka, šun@
@midnight@|@šúšig@
@milk soup@|@uk, ukan@
@milled boot@|@hëchang, hëchi@
@mitten@|@pagan, pagang@
@month@|@chuj, cuj, šuj@
@moon@|@qi:n, qïp, šui, šüjang@
@mosquito@|@-langan, ëmpul, šui, šun, ujampolangan, ujampolo, ujempol, ujempolang, ujempul, ujempulang, ujompal@
@moss@|@digen@
@mother@|@ama, áma, aman, ami@
@mountain@|@dï, dïan, gijlin, ij, jii, khei, khëlëx, xei, xëjang, xëlëtn, xëlëx@
@mountain valley@|@uruk@
@mouse@|@duta, düta, dütä, dütn, juda@
@mouth@|@höpang, höpi, xoboj@
@mushroom@|@uchaptanang, uchaptar, uchatapitaran@
@my@|@m-inšo@
@naked@|@ol, öl, thapalö@
@name@|@eäkng, ekng, ïkng, ix, ïx@
@narrow@|@tháge@
@near@|@ïmang, imanga@
@neck@|@fuimur, phuimur, phuimurang@
@needle@|@in, ïn, inang, ïnang@
@nephew@|@fu, fuan, phu@
@nest on earth@|@gachaj, hachej, hachejang@
@new@|@ki@
@niece@|@alippugi, alït fua, alït phua@
@night@|@šang, šig, šïg, šïx@
@nipple@|@tanang, ten@
@nit@|@doga@
@nomadizing@|@a-ith-ox@
@nose@|@ang, äng, ängán, ängi, ängie@
@not@|@mon, mön@
@not long ago@|@hönang@
@not loud@|@un@
@now@|@eanga@
@nut@|@im, ïm, ïman, ïmang@
@once@|@alšin@
@one@|@hucha, xanchi-xit@
@oneself@|@mintiäng@
@opening@|@ušfauk, ušpauk@
