@English@|@Faroese@
@cellar@|@kjallari@
@censor@|@ritskoðan@
@cent@|@sent@
@centennial@|@øld@
@centipede@|@túsundbein@
@centre@|@miðdepil@
@century@|@øld@
@ceremony@|@langskel@
@certain@|@vissur@
@certainly@|@ivaleyst, vissuliga@
@chain@|@keta@
@chair@|@stólur@
@chairman@|@forseti@
@chalice@|@bikar, steyp@
@chalk@|@krit@
@challenge@|@bjóða av, mótmæla@
@chamber@|@kamar, stova@
@chamber pot@|@náttpottur@
@champagne@|@kampavín@
@chance@|@hending, høvi, møguleiki, vánir@
@chandelier@|@ljósakrúna@
@change@|@broyta, broytast, skifta@
@channel@|@rør, slanga@
@chanson@|@ríma@
@chaos@|@fløkja, ruðuleiki@
@chapter@|@kapittul, partur, táttur@
@character@|@náttúra@
@characteristic@|@eyðkendur, sermerktur@
@charge@|@løða@
@chariot@|@kerro@
@charity@|@næstakærleiki, olmussa@
@charlatan@|@svikari, svíkjari@
@charming@|@yndisligur@
@chase@|@jagstra, jagstra, veiða@
@chasm@|@avgrund, fjallaskarð@
@chaste@|@blúgvur, siðiligur@
@chaste behaviour@|@blygd, smædni@
@chat@|@práta, tosa@
@chatter@|@práta, tosa@
@chauffeur@|@bilstjóri@
@chauvinism@|@tjóðskaparreyp@
@cheat@|@bakbeist, lumpa, skálkur, snýta, svíkja@
@check@|@hava eftirlit við, tjóðra@
@check up on@|@hava eftirlit við@
@cheek@|@vangi@
@cheese@|@ostur@
@chemistry@|@evnafrøði, evnafrøði@
@cherry@|@kirsiber@
@cherry-tree@|@kirsiberjatræ, kirsiberjatræ@
@chess@|@talv@
@chest@|@bringa, dós, kassi@
@chestnut@|@kastanja@
@chew@|@tyggja@
@chic@|@snøggur, snotiligur@
@chick@|@høsnarungi@
@chicken@|@hani, høna, høsnarungi@
@chief@|@aðal-, fyristøðumaður, høvuðs-, stjóri, týðandi@
