@spit@|@tutu@
@spittle@|@šurš@
@spleen@|@želerž@
@split@|@tu=k-@
@spoon@|@muç:ur, muççwur@
@spot@|@taqIw@
@spring@|@lat@
@spring(time)@|@hadukar@
@stalk@|@q:ur, rur@
@star@|@xIad@
@steel@|@ildan@
@steer@|@žerd@
@stick@|@marr@
@stone@|@Gwan, rwan@
@stop up@|@hit-i=š-@
@storm@|@turfan@
@straw@|@šum, xirxil@
@strawberry@|@nimq:, niq:w@
@street@|@küçe@
@string@|@turin@
@suffix of a locative case@|@-q@
@suffix of abstract nouns@|@-šin@
@suffix of profession@|@-q-an@
@sugar@|@šeker@
@summer@|@had@
@sun@|@rir@
@swamp@|@ar@
@swan@|@quG@
@sweat@|@amk@
@sweet@|@ic:i, me'li@
@sweetbrier@|@ški@
@sweetbrier berry@|@camcam@
@switch@|@kül-er@
@syrup@|@med@
@tail@|@riž@
@take wing@|@purr apub@
@tale@|@maqw@
@tea@|@çaj@
@tear@|@niwq:, niwr@
@temple@|@çal@
@ten@|@jicu-b@
@testicle@|@gugu@
@testiculus@|@qurqur@
@that@|@du-mu@
@that below@|@k:u-mu@
@thaw@|@je=c-@
@thigh@|@jatur@
@thin@|@çilli@
@thou@|@uwu@
@three@|@simi-cur, šubu-b@
@threshhold@|@gurzil@
@threshing-floor@|@rac:@
@throat@|@qarqar, qiq@
@tick@|@xic@
@tiger@|@peleng@
@tight plait@|@çiq@
@time@|@vaxt@
@tip@|@kak@
@to ask@|@h-erx-@
@to bake@|@u=ž-@
@to be@|@a, š-, wu@
@to become@|@x-@
@to believe@|@q-ur-@
@to bend@|@=irž-, qIužal apuz@
@to boil@|@u=x-@
@to break@|@u=rI-@
@to burn@|@k-a=x-@
@to carry@|@x-@
@to change@|@huž-uxI-@
@to comb@|@ž-u=x-@
@to come@|@ri-@
@to come in@|@u=ç-@
@to crumble@|@u=k-@
@to cut@|@kt-a=t-, u=k:-@
@to dangle@|@d-a=q-@
@to darn@|@k-a=ç-@
@to destroy@|@t-a=k-@
@to detain@|@d-e=k:-@
@to die@|@jix-@
@to dig@|@u=qI-@
@to dip@|@k-u=s-@
@to disperse@|@k:ar-a=r-@
@to drag@|@a=qI-@
@to drink@|@u=q:-, ux-@
@to drip@|@=i=t-@
@to drive@|@ut-u=k:-@
@to eat@|@ip-@
@to extinguish@|@kt?-u=š-@
@to fall@|@a=x-, ald-a=k-@
@to fight@|@el-e=g-@
@to filter@|@k-a=c:-@
@to find@|@=iq-@
@to fly@|@t-irub, t-irxub@
@to forget@|@h-aa=x-@
@to glue@|@k-a=s-@
@to gnaw@|@çu=q-@
@to go@|@a=rI-@
@to grumble@|@rur apub@
@to hang@|@k-e=x-@
@to hear@|@je-x-, ji=k-@
@to hiccup@|@hunk apuz@
@to hold@|@=is-@
@to itch@|@ug-ru xuz@
@to knead dough@|@ti=š-@
@to knit@|@u=r-@
@to know@|@arIu-@
@to laugh@|@alqI-@
@to lick@|@=ilž-@
@to lie@|@d-aq-@
@to lock@|@q-e=x-@
@to look@|@ki-lig-@
@to lose@|@d-u=g-@
@to make@|@ap-@
@to measure@|@je=c-@
@to milk@|@az-@
