@English@|@Hindi@
@agreeable@|@anuroop, sammat, suhaavnaa, upayogi@
@agreement@|@aikya, sammati, sweekar pattra@
@agricultural@|@khét kaa, krishi sambandhi@
@agriculture@|@kheti, khéti, krishi@
@aground@|@dharti par atkaa huaa@
@ahead@|@aagé, agaadi, saamné@
@aid@|@madad@
@ailment@|@beemaaree@
@aim@|@lakshya, nishaanaa@
@air@|@hawaa, vaayu@
@air conditioned@|@vaataanukuleet@
@AIR(abbrv.)@|@All India Radio@
@airforce@|@hawaee, hawaee dal@
@airman@|@vaimanik@
@alarm@|@gajar@
@alchemy@|@rasa vidyaa@
@alcohol (drinking)@|@daaru, madira, sharaab@
@alert@|@chaukas, sachet@
@algebra@|@beej ganita@
@alien@|@pargrahavasee@
@alien / abnormal@|@vikrit@
@alive@|@zindaa@
@all@|@saaraa, sab, sabhee, samast@
@all of India.@|@saaraa Bharat.@
@alley@|@galee@
@alligator@|@ghadiyaal@
@alphabet@|@akkshar@
@american@|@amrikee@
@analysis@|@pruthakkaran@
@ancient@|@praacheen@
@and@|@aevam, aur, tathaa, va@
@angel@|@paree@
@anger@|@gussa@
@angle@|@koan@
@animal@|@jaanwar@
@annual@|@varshik@
@answer@|@jawaab@
@ant@|@cheentee@
@apology@|@maafee@
@apple@|@Seb@
@application(using forms)@|@arjee@
@April@|@Aprail@
@aquaregia@|@tejaab@
@archaeological department@|@puratattva vibhaag@
@archaeological section@|@puratattva vibhaag@
@archaeologist@|@puratattva shastri@
@architecture@|@vaastu shaastraa@
@area@|@kshetraphal@
@argument@|@viwaad, waad@
@arithmetic@|@anka ganita@
@army@|@sainya dal@
@arrangement@|@rachanaa@
@arrestation@|@giraftaree@
@arrival@|@aagman@
@arrogance@|@ghamand@
@arrogant@|@ghamandee@
@art@|@kalaa@
@art gallery@|@kalaa daalan@
@art work@|@kalaakaree@
@artery@|@dhamanee@
@artist@|@kalaakaar@
@as you sow so shall you reap@|@jaisi karni waisi bharnee.@
@ash@|@raakh@
@asian@|@ashiyayee@
@assumption@|@dhaarnaa@
@asteroid@|@laghoo graha@
@asthama@|@damaa@
@astrologer@|@jyotishee@
@astrology@|@jyoteesh vidyaa@
@asylum@|@aashray sthaan@
@atheist@|@naastik@
@atleast@|@kam-se-kam@
@atmosphere@|@vaataavaran, vayoomandal@
@atomic@|@anoovishayak@
@atrocious@|@bhayaanak@
@atrocity@|@dushta krityaa@
@attack@|@aakraman, hamlaa@
@attempt@|@chaeshhtaa@
@attendance@|@upasthitee@
@attention@|@dhyaan@
@attractive@|@aakarshak@
@auction@|@neelami@
@augmentation@|@vridhhee@
@August@|@Agast@
@austere@|@teevra@
@australian@|@australiyayee@
@autibiography@|@aatmakathaa@
@autobiography@|@aatmakathaa@
@avalanche@|@him prapaat@
@average@|@ausat@
@award@|@puraskaar@
@awestruck@|@bhay chakit@
@axe@|@kulhadee@
@baby@|@bachcha (ch as in chat), shishoo@
@bachelor@|@kuaaraa@
@back(body part)@|@peeth@
@backwards@|@peeche@
@bad@|@burra@
@bag@|@thailee@
@bail@|@jamaanat@
@ball(cricket)@|@gaind@
@balloon@|@gubbaraa@
@banana@|@Kela@
@banana skin@|@kele ka chhilka@
@bankrupt@|@kangaal@
@barber@|@nayee@
@bare@|@kéval, khaali, nagna@
